,Reviews,Ratings
0,"Cans sound fine, but the AKG branded audio cable supplied to use the headphones wired was defective. Looks like there's an intermittent in the plug on one end or the other. I used a cable I got from a $30 pair of headphones to test and verified it was the cable. I was actually about to return the product until I decided to check the cable. Not worth swapping the product to get a replacement, but kind of lame to get a bad $2 cable when you buy a $300 pair of cans :(UPDATE 02/2015The left earcup now only produces static when used with Bluetooth, just sent the phones back for repair. They were used exclusively wirelessly at my desk at work. The ""AKG"" branded plastic cover on the USB charge cable also came loose, making AKG 0 for 2 on cables. As an additional comment, the plastic logo panels on the sides of the headphones are a glossy finish that shows every single fingerprint. Overall, the quality is very poor for headphones in this price range, and I would not recommend them at this price. Might be worth it at $100-$120, unless of course they die after 4 months like mine.Update 3/2015After 3 weeks, still waiting on a replacement for the return I made. AKG's outsourced Indian customer support informed me that they are closing my service request, so apparently I paid $17 for UPS Ground in order to have Harmon Kardon throw away my headphones for me. I would at this point suggest that another manufacturer not under the HK umbrella might be a better use of your money.Final Update 3/2015HK Customer Service apparently just closed my case after a month without actually sending a warranty replacement and just stopped responding to my inquiries; Summary, HK doesn't honor their warranty. Worst customer service experience I've had in 10 years, no joke.",1.0 out of 5 stars
1,"I bought these for my Futaba Sakura cosplay, but I also just wanted a nice Bluetooth headset too. I have no complaints. I was very concerned about all of the bad reviews about receiving a faulty one, but luckily I didn't get a bad one (ordered with Pavilion Electronics for $146 which isn't too shabby because now I see them for a whooping $266!). I saw a review that showed the earpads were very deteriorated after a year but I mean, as an avid headset user I just buy replacement pads. Also the Bluetooth pairing was extremely simple, I literally just pressed the Bluetooth button on my phone and held the Bluetooth button on the headset and it paired instantly with my Samsung Note 8. The headset and your phone or media device have a different volume gauge from each other. It wasn't hard to figure out. The volume was definitely loud enough for easy listening and even loud listening especially for a Bluetooth set. Sounds don't distort either. If you have determined you don't have a faulty set, you are either going deaf or are a professional DJ that plays in loud clubs, but you would know that you shouldn't be buying Bluetooth headsets for work anyway. It comes with a charging cord, a cord that you can plug into your headset for wired listening and a nice storage bag. No complaints. Comfortable too.",5.0 out of 5 stars
2,"Holy cow, what a set of cans. These are some nice headphones! I read some reviews where the headphones came in damaged or people had trouble with quality control issues, but not so with my pair. I’ll try to detail everything here so you can get an accurate review on a pair of headphones that actually are worth the money and that aren’t factory defunct.Sound quality: 5/5Nice full bass but not so much that it crowds the mix or that it overshadows the highs/mids. As a matter of fact I found that pretty much all the EQ was spot on. Older recordings that aren’t as bass heavy still sound pretty great; the slight bass boost on the headphones help on that front. Newer recordings sound very round, but everything has a certain presence and can be heard clearly. The cups help isolate the sound (even though these are not noise cancelling) and these headphones seem plenty loud.Build quality: 5/5They feel very sturdy and seem like they could take the years well. The pivots/folding portion of the headphones feel pretty stiff, like they’re going to hold up and not just flop about after a few months of use. The buttons have a mechanical feel to them and are well placed on the right ear cup. The padding on the ear cups are very soft and comfortable, if not a bit warm for my taste, but that’s the trade off with these headphones: have hot ears or have no sound isolation.Features: 4/5The features on these headphones are a bit lacking compared to some newer models. The track skip/ffwd/rewind buttons may not be on the headphones, but the buttons that it does have get the job done. You can answer a phone call with one button press or decline it with a long press. One thing that I found to be a bit wonky was that the headphones have a separate volume from the phone/music player. At first I was a bit concerned with the volume until I realized that the headphones themselves were not all the way up. Bluetooth range seems to be a bit above average compared to other headphones I have tried. The aux input is also a welcome feature, letting you continue listening with the included cable.Overall, this is a great set of headphones for the money, and it just goes to show that sound quality is more important than features you won’t use half of the time anyway.Hope this review helps!",5.0 out of 5 stars
3,"Love this headphone but the left side is louder than the right. After a quick google search, this is a common problem with this headphone and this headphone have a high failure rate and poor quality control. I had to reorder a new one from Amazon. Hopefully it's not defective.",1.0 out of 5 stars
4,"Sound leakage - nil/mildSound Isolation - EpicComfort - ExcellentBattery - AverageBluetooth range - amazingVolume - Great (I like really loud music and these puppy's can pull their weight).Noise Cancellation? No need. These are way better than the Beats, Bose and Sony's.Why buy a Camaro when you can get an Aston Martin.",5.0 out of 5 stars
5,"Sounds impeccable. Bowers and Wilkins P7 Wireless sound pretty much the same. My regrets with AKG are: 1) short battery life and 2) they arrived broken. One earpiece was making a contant noise that was not natural. I had to fiddle with the earpiece to fix it (after which they sounded perfect), but after some time (a day or so) the noise would occur again. Perfect sound, however, if they don't arrive broken.",3.0 out of 5 stars
6,Sound:Very clear sharp and decent bass.  I was very skeptical of the sound quality because it uses Bluetooth but I was very impressive for a Bluetooth. These will replace my SMS audio Sync/kleer headphones.Design:These headphones are serious and mature looking. My  complaints are they don't fit my head snug. I read somewhere that you can bend the headband but I'll pass on that. There is no way to forward tracks on the headset. The volume has an obvious limit with my ipod. It's not to bad it's still not a deal breaker.If you guys want a superior sounding headphones that are BT these are it. Don't waste your money on Beats by dre.,5.0 out of 5 stars
7,"I have an unfair bias towards AKG headphones because they have always been a high end brand I've focused on, but I'm slightly disappointed. These sound great and look great (which are respectively most important), I just wish they had controls for changing tracks and activating digital assistants. The power off button is much easier to push than the pause/play button (resulting in accidentally turning it off).Doesn't get too loud, bass is a little warm, which most people prefer these days. Clear stereo highs. It has its own volume separate from the device you're synced with which is weird.",3.0 out of 5 stars
8,"A couple of tries, or more, is all to often the case to pair a new Bluetooth device. Not so with these headphones, paired on the first try. The comfort of these full size cans is as good as my lightweight foam pad on ear headphones. I expected the Bluetooth connection to be just okay, like my other Bluetooth headphones and speaker. What a pleasant surprise that these sound as if they are hard wired.",5.0 out of 5 stars
9,Definitely more open sounding than any other closed headphone I've heard. Direct connected to source via 3.5mm plug sounds incredible. Using via Bluetooth is compressed but not bad. Very light for size and super comfortable. Plush leather pads are so soft. Love AKG quality.,5.0 out of 5 stars
10,Received a defective prodcut.Left ear cup not working. Item is not sealed. Bought from Electronics Expo. Does not look like a honest seller.,1.0 out of 5 stars
11,"These are a bit pricey compared to other excellent headphones, but if you want the convenience of a no-wire headphone and have money to spare this is an excellent pair of headphones.Some people say that the volume is slightly low, but I have no issues whatsoever. The fact that the charging port is a standard micro-usb means even without the AKG cable there would be no problems.",5.0 out of 5 stars
12,"Sound quality was fine wired but I couldn't get the bluetooth to work. Charged overnight, unplugged it and pressed the bluetooth button and no light. Tried NFC pairing and my phone found it, but it could not pair. Will exchange for a new pair and update review.Update: Replacement headphones sound great and are perfect for cosplaying Sakura Futaba from Persona 5. I used a set of replacement ear pads and spray painted them with red floral paint to change the color. Saved hundreds of dollars over the official Futaba AKG K 845s that Atlus put out.",3.0 out of 5 stars
13,Perfect fit and since it's wireless I don't have to worry about being tangled with the cord or it getting caught on something! Works perfectly with my phone so i can listen to my playlist.,5.0 out of 5 stars
14,Good Good Good,5.0 out of 5 stars
15,"The balance was a bit off with the left being louder than the right.  No easy adjustment that I could find.  Doesn't quite fit completely around the ear.  The overall quality of the sound was good, but the bass left a lot to be desired.",3.0 out of 5 stars
16,"Quite comfortable for me, well-made and very good sound quality.  Bluetooth sound quality is HIGHLY dependent upon the BT ""sender"" - find something that supports aptX codec.  I used the Creative BT-W2 with these headphones and quality was MUCH better than stock Lenovo bluetooth. Range was also much better with the BT-W2. Paired well with my S5 phone and sound quality was excellent.  I can *just* get all my ear inside the cushion which makes them much more comfortable; my ear size is pretty ""normal"".  These are not a $300 pair of headphones as I think they originally went for, but they're decent for $180.  Not studio-quality, but no BT headphones right now will be - this is a limitation of bluetooth and not necessarily the headphones.  Corded quality IS better, IF you have a high-quality input, but still not a $300 pair of headphones. I also like how they fold relatively flat (like DJ headphones) for throwing in a laptop case. Contrary to other reviews, shutting them off is a matter of hitting the round button on them (controls power/pairing).One odd thing I ran into is I couldn't charge these with a li-ion battery pack... autosensing either in the headphones or the battery caused it to shut off.Pros: corded option (cord included) when battery dies or with a non-BT device, headband adjustment stays put, quit comfortable, very good sound isolationCons: can't charge while using BT (but can still use cord), power/pair button is easy to accidentally hit when reaching for volume controlsFailed a 5-star, because while they're very good, I just don't feel they are *excellent*.  Charging while using BT, <$150 price point, skip controls, better battery life would probably make them 5-start cans.  Still I'm very happy with my purchase and would recommend them.",4.0 out of 5 stars
17,"It is trash.The left and right sound balance is not right at all.(Left side is always louder than Right side.)Except the balance problem, others are great.Because of this, I don't recommend.",1.0 out of 5 stars
18,"Don't let people's reviews saying the bluetooth on this device doesn't work, quite the opposite actually, it works great.Great heaphone for the price with solid battery life and colour!",5.0 out of 5 stars
19,"Sound is great for its price. Bluetooth has some problems however, with an uncommon <1 second pause while moving. Comfort isn't good, but not bad. It comes with a carrier bag, which is nice.",4.0 out of 5 stars
20,it good sound but only have volume control,4.0 out of 5 stars
21,"I've now received two pairs of these with the same defect. The left ear is louder than the right and if I tap/press on the right ear it will cut in and out. The seems to be a common problem reported on Amazon and elsewhere.If I press and fiddle with the right ear in a certain way I can get it to stay loud until I move again, but something is still off about it. It sounds to me like it's wired out of phase. It's too bad because they sound like they have the potential to be really good. I hope AKG can get their act together but I'm not going to be their quality control tester for a third pair.",1.0 out of 5 stars
22,"Fast service, product receive  as describe.The price was cheaper than the AKG website.The headphone sound great, and very good quality built.",5.0 out of 5 stars
23,GOOD!,4.0 out of 5 stars
24,sound - 5/3.5design - 5/4.5comfort - 5/4quality - 5/4price($99) - 5/5overall - 4.2pretty cool,4.0 out of 5 stars
25,"in fact, i have this one. But good price make me to buy it.it work very well, thank you",5.0 out of 5 stars
26,Serious noise occurs in Bluetooth stateI received a defective item and I repaired it with an additional payment.,1.0 out of 5 stars
27,"I absolutely love it.After my K271MKII broke I looked for a replacement over the ear headphones.I ordered the followingAKG Y45BT AKG Y45BT White Mini On-Ear Wireless Bluetooth Headphone with NFC and By-Pass Cable, WhiteAKG Q701 Quincy AKG Q 701 Quincy Jones Signature Reference-Class Premium Headphones - BlackAKG K267 Tiesto AKG K267 Tiesto DJ HeadphonesAKG K545 AKG K545 BOR Studio-Quality, Closed-Back, Over the Ear Headphones (Black/Orange)& The K845 AKG K 845BT Bluetooth Wireless On-Ear Headphones, BlackMy least favorite were the Q701 & Y45BTThe K267 Tiesto was amazing but I didn't like the fact that you had choice of sound which I didn't see a big difference between them.The K545 is essentially the K845 without bluetooth. Also slightly louder.After trying on the wire free setup, I was sold. The sound is perfectly balanced. I don't listen to it much but the battery so far lasted over 7 hours of listening at full volume. About 1 hour per day.",5.0 out of 5 stars
28,It sounds good.,5.0 out of 5 stars
29,"Good BT headphones. I can listen them without noticing much difference to my HD650. Noise isolation is quite good. They are over the ear but not mach, so if wearing beanie these will become on-the-ear. Good buy for $200 as I got it, not sure about $300.Something that I would note:- blue led is always blinking when headphones are enabled, can be quite distracting while listening in darkness;- sound can be interrupted when listening in a place with a lot of WiFi networks. Still works fine when laptop on laps, may work not so good when laptop is on stand behind display, In non-congested places no problems. Can get up to 20ft range in these before interruptions appear.",4.0 out of 5 stars
30,Wow. I had tried many other high end BT headphones and these blow them away. The sound quality is incredible. Easily rivaling wired headphones in this price range.They seem to be of very good build quality and are very comfortable.You will not be disappointed.UPDATE: After all I ended up returning these and instead I bought the Sony MDR-1RBT. There were 2 main reasons I like the Sony's better. 1. The Sony's have a 30 hour battery life while AKG has a comparative measly 8 hours. 2. They are much more comfortable and fit completely over my ear. I have pretty standard size ears for a man and the AKG's bottom pad rests on my earlobe. The Sony's sound great but I think AKG  is just a bit better. The sound quality difference is so not noticeable to me that I don't see it as a consideration. The Sony's also have a forward/back button which the AKG's do not have. The Sony's have better noise isolation and leak much less as well. The Sony's come with a carrying case while the AKG's do not. The price of the MDR-1RBT-s as of this review is about $270 which is the cheaper of the 2 as well.,4.0 out of 5 stars
31,Not as great sounding as I expected for the price also very heavy and a three in comfort,3.0 out of 5 stars
32,Nice price,5.0 out of 5 stars
33,Nice and I'm not in my phone called you a way to get rid of the exchange rate for next year,5.0 out of 5 stars
34,"Best sound quality I've ever heard on a bluetooth headphone or wired headphones for that matter.  I have own many bluetooth headphones including the Jabra Revo, Plantronics BackBeat Pro, Voxoa, and Velodyne vFree in the past and the AKG K845BT sound signature is the best out of all of them.  I wanted so much to keep these, but a few drawbacks with the AKG K845BT forcing me to send it back.Drawbacks:1.  The bluetooth range is very flaky and not as stable as the Plantronics BackBeat Pro2.  There is no skipping forward/backward on song tracks3.  Not foldable making carrying case choice very limited4.  Doesn't come with a carrying case (at $300 with no carrying case?  Come on AKG, you can do better than that)5.  The cable accessories come with the package seems very cheap like the other reviewer stated earlierIf AKG fixs these issues in future version, I would be willing to give it another shot.",3.0 out of 5 stars
