,Date,How Helpful,Review Contents,Score,Title
0,"on October 21, 2014","
      30 people found this helpful.
    ","Cans sound fine, but the AKG branded audio cable supplied to use the headphones wired was defective. Looks like there's an intermittent in the plug on one end or the other. I used a cable I got from a $30 pair of headphones to test and verified it was the cable. I was actually about to return the product until I decided to check the cable. Not worth swapping the product to get a replacement, but kind of lame to get a bad $2 cable when you buy a $300 pair of cans :(UPDATE 02/2015The left earcup now only produces static when used with Bluetooth, just sent the phones back for repair. They were used exclusively wirelessly at my desk at work. The ""AKG"" branded plastic cover on the USB charge cable also came loose, making AKG 0 for 2 on cables. As an additional comment, the plastic logo panels on the sides of the headphones are a glossy finish that shows every single fingerprint. Overall, the quality is very poor for headphones in this price range, and I would not recommend them at this price. Might be worth it at $100-$120, unless of course they die after 4 months like mine.Update 3/2015After 3 weeks, still waiting on a replacement for the return I made. AKG's outsourced Indian customer support informed me that they are closing my service request, so apparently I paid $17 for UPS Ground in order to have Harmon Kardon throw away my headphones for me. I would at this point suggest that another manufacturer not under the HK umbrella might be a better use of your money.Final Update 3/2015HK Customer Service apparently just closed my case after a month without actually sending a warranty replacement and just stopped responding to my inquiries; Summary, HK doesn't honor their warranty. Worst customer service experience I've had in 10 years, no joke.",1.0 out of 5 stars,"Cans sound fine, but poor product quality"
1,"on February 7, 2018",,"I bought these for my Futaba Sakura cosplay, but I also just wanted a nice Bluetooth headset too. I have no complaints. I was very concerned about all of the bad reviews about receiving a faulty one, but luckily I didn't get a bad one (ordered with Pavilion Electronics for $146 which isn't too shabby because now I see them for a whooping $266!). I saw a review that showed the earpads were very deteriorated after a year but I mean, as an avid headset user I just buy replacement pads. Also the Bluetooth pairing was extremely simple, I literally just pressed the Bluetooth button on my phone and held the Bluetooth button on the headset and it paired instantly with my Samsung Note 8. The headset and your phone or media device have a different volume gauge from each other. It wasn't hard to figure out. The volume was definitely loud enough for easy listening and even loud listening especially for a Bluetooth set. Sounds don't distort either. If you have determined you don't have a faulty set, you are either going deaf or are a professional DJ that plays in loud clubs, but you would know that you shouldn't be buying Bluetooth headsets for work anyway. It comes with a charging cord, a cord that you can plug into your headset for wired listening and a nice storage bag. No complaints. Comfortable too.",5.0 out of 5 stars,Love these!
2,"on January 17, 2018",,"Holy cow, what a set of cans. These are some nice headphones! I read some reviews where the headphones came in damaged or people had trouble with quality control issues, but not so with my pair. I’ll try to detail everything here so you can get an accurate review on a pair of headphones that actually are worth the money and that aren’t factory defunct.Sound quality: 5/5Nice full bass but not so much that it crowds the mix or that it overshadows the highs/mids. As a matter of fact I found that pretty much all the EQ was spot on. Older recordings that aren’t as bass heavy still sound pretty great; the slight bass boost on the headphones help on that front. Newer recordings sound very round, but everything has a certain presence and can be heard clearly. The cups help isolate the sound (even though these are not noise cancelling) and these headphones seem plenty loud.Build quality: 5/5They feel very sturdy and seem like they could take the years well. The pivots/folding portion of the headphones feel pretty stiff, like they’re going to hold up and not just flop about after a few months of use. The buttons have a mechanical feel to them and are well placed on the right ear cup. The padding on the ear cups are very soft and comfortable, if not a bit warm for my taste, but that’s the trade off with these headphones: have hot ears or have no sound isolation.Features: 4/5The features on these headphones are a bit lacking compared to some newer models. The track skip/ffwd/rewind buttons may not be on the headphones, but the buttons that it does have get the job done. You can answer a phone call with one button press or decline it with a long press. One thing that I found to be a bit wonky was that the headphones have a separate volume from the phone/music player. At first I was a bit concerned with the volume until I realized that the headphones themselves were not all the way up. Bluetooth range seems to be a bit above average compared to other headphones I have tried. The aux input is also a welcome feature, letting you continue listening with the included cable.Overall, this is a great set of headphones for the money, and it just goes to show that sound quality is more important than features you won’t use half of the time anyway.Hope this review helps!",5.0 out of 5 stars,Affordable headphones offering great sound quality.
3,"on March 11, 2015","
      6 people found this helpful.
    ","Love this headphone but the left side is louder than the right. After a quick google search, this is a common problem with this headphone and this headphone have a high failure rate and poor quality control. I had to reorder a new one from Amazon. Hopefully it's not defective.",1.0 out of 5 stars,High failure rate
4,"on January 3, 2015","
      8 people found this helpful.
    ","Sound leakage - nil/mildSound Isolation - EpicComfort - ExcellentBattery - AverageBluetooth range - amazingVolume - Great (I like really loud music and these puppy's can pull their weight).Noise Cancellation? No need. These are way better than the Beats, Bose and Sony's.Why buy a Camaro when you can get an Aston Martin.",5.0 out of 5 stars,"Excellent craftsmanship, sound and design hits the pavement - a real steal at this price when compared to the competition."
5,"on May 31, 2017","
      2 people found this helpful.
    ","Sounds impeccable. Bowers and Wilkins P7 Wireless sound pretty much the same. My regrets with AKG are: 1) short battery life and 2) they arrived broken. One earpiece was making a contant noise that was not natural. I had to fiddle with the earpiece to fix it (after which they sounded perfect), but after some time (a day or so) the noise would occur again. Perfect sound, however, if they don't arrive broken.",3.0 out of 5 stars,"Great sound, but 2 issues"
6,"on June 29, 2014","
      3 people found this helpful.
    ",Sound:Very clear sharp and decent bass.  I was very skeptical of the sound quality because it uses Bluetooth but I was very impressive for a Bluetooth. These will replace my SMS audio Sync/kleer headphones.Design:These headphones are serious and mature looking. My  complaints are they don't fit my head snug. I read somewhere that you can bend the headband but I'll pass on that. There is no way to forward tracks on the headset. The volume has an obvious limit with my ipod. It's not to bad it's still not a deal breaker.If you guys want a superior sounding headphones that are BT these are it. Don't waste your money on Beats by dre.,5.0 out of 5 stars,Incredible sound
7,"on March 23, 2017","
      One person found this helpful.
    ","I have an unfair bias towards AKG headphones because they have always been a high end brand I've focused on, but I'm slightly disappointed. These sound great and look great (which are respectively most important), I just wish they had controls for changing tracks and activating digital assistants. The power off button is much easier to push than the pause/play button (resulting in accidentally turning it off).Doesn't get too loud, bass is a little warm, which most people prefer these days. Clear stereo highs. It has its own volume separate from the device you're synced with which is weird.",3.0 out of 5 stars,Needs Track Skipping Controls & Asistant Activation
8,"on December 8, 2017",,"A couple of tries, or more, is all to often the case to pair a new Bluetooth device. Not so with these headphones, paired on the first try. The comfort of these full size cans is as good as my lightweight foam pad on ear headphones. I expected the Bluetooth connection to be just okay, like my other Bluetooth headphones and speaker. What a pleasant surprise that these sound as if they are hard wired.",5.0 out of 5 stars,"Flawless Bluetooth pairing, comfortable, and excellent sound"
9,"on December 25, 2015","
      One person found this helpful.
    ",Definitely more open sounding than any other closed headphone I've heard. Direct connected to source via 3.5mm plug sounds incredible. Using via Bluetooth is compressed but not bad. Very light for size and super comfortable. Plush leather pads are so soft. Love AKG quality.,5.0 out of 5 stars,Sound is incredible!
