,Date,How Helpful,Review Contents,Score,Title
0,"on July 16, 2017","
      7 people found this helpful.
    ","I was completely floored by the sound of these headphones.I wouldn't say I'm an audiophile, but I've got good ears.  I'm an amateur musician and music lover.  I own several pairs of headphones and typically prefer Sennheisers.  I've got a pair of HD238s, HD580s, I have some decent JBL earbuds, and I use ATHM50xs for recording.  I listened to a pair of Sony bluetooth headphones that run about $100 more than these - I don't recall the model #.  My buddy had a pair of Sennheiser Momentum 2.0 bluetooth phones that I liked (several hundred dollars more than these AKGs).  The only phones that I believe sound objectively better than these are the HD580s.I have had discouraging experiences with bluetooth audio.  I'm not sure how they did it, but these are on par with, or better than wired headphones costing significantly more.  These are closed phones, so the soundstage isn't huge, but it does not sound constricted.  The sound isn't super flat and accurate; actually it is colored - especially in the bass range.  These are a bit bass heavy, but not annoyingly so.  Bass frequencies are warm and focused.  It sounds like there is a slight bump in the upper midrange/low treble - like a bit of presence has been added.  The overall effect is a mix that is vibrant and engaging.  They are never muddy, and instruments are easily resolved.  Listening is a real pleasure.They appear well made, and fit and finish is impressive.  Clamping force is nominal.  The pads are very soft and comfortable.  They stay on my head if I move around, but I couldn't go running with them.  I wouldn't do that with these anyway - I would feel like I'm treating them too harshly.  I haven't worn them for more than an hour or two so far, but I've had no issues with fatigue.  I'm curious to see how my ears feel after wearing them at work all day.  I've yet to find a pair of phones that live up to that challenge.I should add that upon first opening them I charged fully.  They wouldn't turn on at first...I feared the worst and thought they were DOA.  However, pressing on a variety of buttons woke them up somehow and I haven't had any problems since.I'm definitely really happy with these.",5.0 out of 5 stars,I was completely floored by the sound of these headphones.
1,"on March 5, 2017","
      11 people found this helpful.
    ","Very happy with the AKG Y50BT. I like the clarity, battery life, weight and of the feel of the product. The Bluetooth range surprised me. I had my phone in my room and had to go the kitchen and the garage. No signal loss, well, not until I got to the other end of the garage. That's awesome considering there were several walls.",5.0 out of 5 stars,Very happy with the AKG Y50BT
2,"on January 7, 2017","
      29 people found this helpful.
    ","Headphones, needs:Privacy so I could listen to music or have telephone conversations over the cellular network without my immediate neighbor hearing the voice of the people. This is especially true during a card game where we have 6 to ten people sitting at one table.Block sounds in my environment ... especially subways, cars and sirens. Many modern headphones I read reviews for did this both physically (with thick pads that seal the wearer's ear canals from outside noise) AND electronically.Finally, twenty hours of battery life so I am not running out at the end of the day, and a cable for those times I don't mind being tethered.The three best units that fulfill these requirements are these:Bose QuietComfort 35 (https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B01E3SNO1G/ref=sr_1_1?ie=UTF8&qid=1483854780&sr=8-1&keywords=bose+comfort+35) at $350 with great looks, perhaps the best noise cancelling in it's class until recently, and superior comfort.Sennheiser PXC 550 (https://www.amazon.com/Sennheiser-PXC-550-Wireless-Bluetooth/dp/B01E3XLNA0/ref=pd_sim_23_1?_encoding=UTF8&pd_rd_i=B01E3XLNA0&pd_rd_r=W7PDJ23B2Y7KKRAM1ZB8&pd_rd_w=cdzB6&pd_rd_wg=3PCup&psc=1&refRID=W7PDJ23B2Y7KKRAM1ZB8) $400 for a set from a company known best for excellent sound quality, these have been regarded as best in class sound quality, but bested by the Bose in comfort and noise cancelling until:Sony 1000x (https://www.amazon.com/Sony-Cancelling-Bluetooth-Headphone-MDR1000X/dp/B01KHZ4ZYY/ref=pd_sbs_23_2?_encoding=UTF8&pd_rd_i=B01KHZ4ZYY&pd_rd_r=8MEZSZBMAQA6FQ3Z8NZ9&pd_rd_w=i5bpQ&pd_rd_wg=BcDtd&psc=1&refRID=8MEZSZBMAQA6FQ3Z8NZ9) came out also at $400. It's close, but the consensus seems to be that the Sony has much better noise cancelling and perhaps even better comfort than the Bose, and better sound even than the Sennheisers.All of these models have very good to best in class noise cancellation according to a wide variety of reviews. The AKG's rely entirely on physical isolation rather than digitally constructed noise cancellation. The result is if the AKG's are your choice, you are at the mercy of your environment.However, the sound of the AKG's is superior to both the Bose 35 and the Sony 1000x (the Sony is considered by most to be best in class sound wise) in my opinion. And, if I didn't mention it, at less than half the price.At $150, the sound from these is surprisingly outstanding. Solid bass that doesn't overwhelm the mids, an open high end that doesn't grate, and a open soundstage that is sufficiently large to present an accurate sonic portrait of the musicians and their locations.So the compromise? No electrnoic noise cancelling. To reduce (and not eliminate as the other options mostly do) day to day noise, the AKGs rely entirely on thick ON EAR (not over ear) pads and strong but comfortable pressure.I'm happy. Is the extra money worth the better noise cancelling? I think not, but given that idigital noise cancelling allows one to keep levels down and ear drums intact, I would if the AKG's SOUND wasn't such a winner.Tinnitus (sic) is real, and a real problem as one ages, so do what you can in early life to reduce the risk of middle age hearing loss.I find the Grado SR 60e -- at $80 --(https://www.amazon.com/Grado-SR60e-Headphones/dp/B00KYTNU9U/ref=sr_1_1?s=electronics&ie=UTF8&qid=1483856913&sr=1-1&keywords=grado+sr+60e)are a better overall value and I prefer their sound to all of the others. They have an open back design that has the advantage of a much larger soundstage. Implemented properly, and these are, the sound is completely immersive and listening to these is effortless.Even for your neighbor, which is the downside ... these have zero sound isolation. Hence my decision  to buy the AKG wireless, sealed headphones for travelling about and out. And a little added bass too!",5.0 out of 5 stars,"Nice bass, even mids, clear and crisp hi end. Where's the compromise?"
3,"on November 28, 2017","
      2 people found this helpful.
    ","AKG BlueTooth Headphones ROCK!!!  I got a pair of these in a promotional deal when I purchased the new SamSung Galaxy 8 smartphone.  It came with a bundle of the VR Headset and 256GB memory card.  At first I was skeptical of the quality being good enough for real music listening and considered them just a part of a VR gaming system.  However, after growing up on Sennheiser  audiophile headphones and enjoying B&O cans for years I was shocked at the musical reproduction of these headphones.  They rock my tunes at the gym during my workout on Pandora and have a great tight bass response and crisp, clear highs.  Very loud when you turn them all the way up without distorting and breaking up the bass.  Battery life is extremely good.  I've never run out of battery despite hours of gaming with them and not recharging.  I would say the claims of 15 hour battery life are probably spot on.  I generally just plug them in to charge after a few trips to the gym or playing VR games.  Once I discovered how good they were, my girlfriend had wanted a pair of BEATS for her to wear at the gym, I bought her this silver colored pair for her birthday instead.. She Loves Them!!!  I just don't see the value in spending a extra $150 for BEATS when these headphones sound just as good and offer superior battery life.  They look very cool in black (my pair) or this silver (girlfriend's pair) with the ghost lettering of ""AKG"" on the cans.  Bluetooth range is 30 feet with no breakup using my Samsung Galaxy S8.  Pairing is easy and the volume buttons synch with your phone's volume control.  One button turns them on/off and one button answers/hangs up phone calls.  These headphones are Super Cool!!  I took away a ""star"" because one of the ear pieces came off from use.  It wasn't a big deal to replace, though, it shouldn't just detach itself under normal wear.  Also, they don't have noise cancellation, but, spend about a $100 more and AKG makes a pair that does.Overall, for the money, I don't think you can buy another pair of bluetooth headphones with this quality construction, sound quality, and features for less than $150.  I like the looks of them far better than the BEATS I see others wearing and the battery life is Amazing to me.  The headphones are very comfortable to wear for extended periods with no discomfort to my ears or head after more than an hour at a time.  If I were to buy another pair I would get the noise cancellation only because I think they would be great to wear on a plane.  But, otherwise, I can't think of a single thing I would do to improve these headphones.  AKG BlueTooth Headphones ROCK!!!",4.0 out of 5 stars,AKG Bluetooth Headphones ROCK!! AKG vs. BEATS
4,"on May 30, 2017","
      5 people found this helpful.
    ","I work from a home office and have used a pair of Logitech USB headphones to conduct phone calls via VOIP and listen to music while I work. I travel frequently and my poor seven-year-old Logitech's were completely broken down.First, the good:  the sound from the AKG's is fabulous and although retailing at $150, I bought mine on Amazon for $74.Now, the not-so-good:  the on/off button is between the two cans when they are folded together for storage, so during my first real work use they ran out of juice after about 20 minutes while on an important client-proposal phone call. AKG designers could have placed this button just about anywhere else and it would have been better. The other drawback is a positive feature, depending upon how you look at it. The on-ear design does a great job of sealing outside noises (passive noise cancelling, if you will), which is an advantage while listening to music.  While speaking on the phone however, it provides a sensation like talking with your fingers in your ears. Now, I'm sure this is something I will get used to or perhaps I will talk less and listen more. I know many people who would have bought these for me ten years ago if they knew it would have that kind of impact.",4.0 out of 5 stars,"Great sound, one minor design flaw"
5,"on December 18, 2015","
      8 people found this helpful.
    ","UPDATE: I've just downgraded my review to 2 stars. After a year of using these, one of the ear cups has fallen apart. I'm stunned that they couldn't withstand the same treatment that my previous AKG headphones endured, and now, instead of replacing a wire, I have replace the entire unit.I've had these headphones for 8+ months and I've been very satisfied with them. In that time, I've used them almost every day either at home or at work. My main uses are for music, either connected to a Mac or an iPhone, and occasionally for streaming video. I purchased them to replace a pair of AKG K450s that I loved, but was tired of replacing the cables for. (I'll make a lot of comparisons to my previous wired headphones through this review.)While the sound has not been as good as the K450, it's been good enough. The Bluetooth audio's biggest issue for me is that it favours the low end. It seems to be an issue with the BT audio, as the sound of these is brighter and closer to the character of the K450s when the bypass cable is plugged in. I'm not an audiophile, and listen mostly to high quality compressed music, but I spend a lot of time listening and have been able to enjoy my music with these. (Maybe not as much as with the K450, but ah well.) When using them to watch video, the syncing may not be exact, but it's close enough for casual viewing.Compared to other Bluetooth headphones I'd tried, these were the most comfortable. Understandably heavier than the K450, but just as compact. They sit fairly gently on my head, and I don't feel much pressure against my ears.I think I can usually get between 8-10 hours of listening per charge. Unfortunately, this leads me to my biggest issue with them: you cannot use them wirelessly while the USB charging cable is plugged in. Which means that once the battery dies, you have to choose between continuing to listen with the bypass cable, taking them off and charging them, or wearing them with two cables connected. I'd previously used a pair of Bluetooth headphones that allowed for listening during USB charging, so this was quite disappointing, and the biggest reason why they don't get 4 stars from me.Another minor design complaint is that unlike the K450s, these have mesh over the speaker hole in the cup, and sometimes you can hear that mesh rubbing against your skin and hair.Overall, if you're not looking for audiophile perfection (which I don't think you can yet find in wireless anyway), and like me, you're tired of replacing headphone cables, the AKG Y45s are a good, solid option for on-the-ear Bluetooth headphones. I have no regrets about buying these, despite some annoyances. I can't quite bring myself to give them 4 stars, but I'd give them 3.5 if I could.",2.0 out of 5 stars,"A solid option for on-the-ear wireless, but far from perfect"
6,"on August 12, 2017","
      4 people found this helpful.
    ",For  a bluetooth stereo headset this one is fantastic.  Hubby is an audiophile nut job and I can't begin to state how much money he has spent on 'cans' over the years. Oh I could but I'd just start thinking about all the things that money could have been used for.  These are the only bluetooth wireless headsets that he will alllow to adorn his big noggin with when he's away from the high end toys that of course use oxygen free cables ..I think that's what he called them..anyway this is a great headset...,5.0 out of 5 stars,Even Audiophile Nut Job Hubby approves
7,"on May 9, 2017","
      2 people found this helpful.
    ","I usually use a pair of grado SR-60s at home which I love and think are well balanced for my taste music I like (indie, classical, 60s soul, some IDM). Those don't work for the office because of the open air design, so I use Standard apple earbuds. At first seems these seemed overly bassy and a little muddy, but after a couple of days realized I was probably used to tinny Apple earbuds, and pairs really fast with iPhone 6 iOS10, all button gestures work well. Everyone has already mentioned that these sound good, so I will mention that they block sound in my office well (half the reason I got them). They are a little heavy but I got used to that quickly. Battery is still going after the first charge 3 days ago. Bag is neoprene. When used with included cord, sound the same to my ears. I tried a pair of $400 Bluetooth Beats at target and really don't think they could be worth the extra $280, especially because the music most people listen to is probably compressed anyway. My only negative is that they don't fold much for being foldable, and if they lie flat around your neck, the speakers point up which is distracting if taking them off for a quick conversation. The power button is also easy to hit when folding for storage. These are minor complaints. Considering most reputable brand BT headphones are $70-100, at $119 these seem like a nice step up from overly bassy Skullcandy and a much cheaper option than Beats.",5.0 out of 5 stars,"Yes, they do sound great. They also sit comfortably, pair easy and  feel durable."
8,"on September 23, 2015","
      5 people found this helpful.
    ","I looked for high quality sound, folding on-ear, comfortable,  wireless Bluetooth, professionally built, with NFC that can be used on both phones, tablets or comps and I have found the AKG Y45BT.  The quality of the of the headphones sound is awesome! The frequency range is  amazing. Unlike many other headphone, where the low frequencies are  artificially amplified, so the ""bass"" sounds strong, here with the AKG Y45BT, the low frequencies are NOT too loud but CRISP. Other famous brand name sells a similar headphones for a price twice higher. The extra charge in this case is for its name only, not for the compared quality of sound and specifications. So buy smart.",5.0 out of 5 stars,A Pleasure For Your Ears at a Reasonable Price
9,"on November 7, 2015","
      5 people found this helpful.
    ","I bought this recently.  Tried it on for 2 day, and ended up returning it.  (Amazon return policy is excellent btw.)  I found the headphone uncomfortable to use, after ~30min of wear.  I have a small head and I've found the headphone to be squishing my ears.  I think my next pair will be over-the-ears.  For what it's worth, I do like the product styling, the material finish is solid, and great sound quality.  The BT pairing was a breeze.  The volume quality will take some getting use to, to locate the buttons, but heck, I only had this headphone for a very short time.  I'd consider buying AKG again.  (I had a pair of foldable wired headphone before... I just wanted to a wireless pair)",2.0 out of 5 stars,"Nice headphones, but uncomfortable to wear (for small heads)"
