,Edifier H650 Hi-Fi On-Ear Headphones - Noise-isolating Foldable and Lightweight Headphone - Fit Adults and Kids - Blue
0,"I'm one of those people that goes for ""cheapy"" headphones and eventually they don't work well. These are priced low but I love the sound. I find them comfortable and the packaging was great. No wrestling with those awful plastic packaging. I also love the comfort. I go for comfort and these fit the bill. For some reason ear buds just don't work for me. Either it's from the sweating or I have Dumbo ears. This is my fourth pair of headphones and these by far are the best!"
1,"My background:
-had a pair of sennheisser hd 280's.
-have tried other cheap headphones in this price range.
-love classical music and listen to some new retro wave

Feel and Look
After using them for an hour my ears feel a little sore. But, i do have a big head so keep that in mind. The headphone pads are pretty soft.
Sound Quality:
These headphones have a pretty accurate sound and do a good job in the mids and highs. The bass lacks depth and warmth. I did notice that when i pushed the headphones closer to my head the bass came in much clearer. Most headphones in this price range that have large drivers (like these do) sound really bad and have horrible overbearing bass. Even the koss porta pros have this problem. (https://www.amazon.com/Koss-Porta-Pro-Headphones-Silver/dp/B00001P4ZH/ref=sr_1_1_sspa?ie=UTF8&qid=1506812526&sr=8-1-spons&keywords=koss+portapro&psc=1)

Keep in mind that these headphones are still pretty crappy. They are 20 dollars. If you want good headphones you'll have to spend a little more than 20 dollars.

Update: They broke in less than 2 weeks. Not sure what happened. damn these are fragile"
2,Purchased 2 pairs for my kids for Christmas. It is January 22 and both pairs have already stopped working. Too bad because we really liked these headphones when they did work
3,"***New Update 10/16/2016***
After posting my first review, I was contacted by the seller and was informed that they offer a 1 year warranty which includes a free repair or replacement of my headphones. I opted for the free replacement and it was shipped and delivered promptly.

These headphones are lightweight, easily portable, fold up, and come in a variety of different colors. They are not bulky like many headphones out there and are pleasantly appealing to the eyes. These headphones have only one wire which makes being tangle free easier.

I am not an audiophile so I can't talk about ""bass"" or ""tremble"" like some music experts can. But they sound great to me and come at a very reasonable price. They are comfortable and are best suited for people with more petite sized heads and children.

I have changed my initial rating from 2 stars to 4 stars because of the seller's wonderful customer service and following through with their word. 5 stars was not given because 1 star was deducted for being defective the first time.

***First Review 10/6/2016***
I got these headphones during the latter part of last year. I loved that they were lightweight, had good noise isolation, and were pink (my favorite color). I also liked that they were easily portable and could fold up. They were pretty comfortable too. I would use them primarily for the gym and personal use. Recently, the audio has been coming out of one ear though and I have been struggling with the one wire to get the sound to come out of both. They were good while they lasted but it's time to move onto the next headphones. The quality is definitely lacking here because it hasn't even been a year and it is already having issues. These headphones are best suited for people with more petite sized heads and children. It's better to get something else though which is better quality."
4,"It took forever to find headphones that were small lightweight on-ear types, I chose these for that alone.

Pros:
1. The sound is decent. Not the best I've ever heard, but decent.
2. The color is definitely orange like a pumpkin. The padding is a light gray, almost white. Kind of a ""meh"" color combo, but I like orange. You can easily see them on a desk in a dark room lit only by a monitor.

Cons:
1. The cord. However I didn't know it would come with a short flimsy cord, as thin as a toothpick and unable to hook into an extension cable without causing static. Luckily my sound system's right speaker has a plug-in for headphones, but these Edifier headphones are wired by the left ear, which means it must cross over my keyboard and workspace to be used. I tried running it under my keyboard, im afraid to damage the wire. They really need an extender to work, a really lightweight one.

2. One thing that you don't often think about when buying headphones. Are they noisy while wearing them? These are noisy to the point of distraction from what you are listening to. The pivoting parts creak like a house settling, long after putting them on. Any emotion that causes your ears to move such as laughter or sadness will make them creak as well. I've never had this problem before with other headphones. I'm thinking of trying WD40 on it to see if it changes anything."
5,"Very comfortable, I love them! I need comfortable headphones because I had brain surgery for my epilepsy and these headphones are great. They are light, and do not give me a headache! They keep the background noise out, and the music in! The price is great. They are wonderful!"
6,"I'm wearing these right now! They have very good hi-fi sound, are not on the treble side, or seem to lack bass. I'd say the only thing I miss is that they aren't stereo, and I miss that. But for what they are, they are very good! Noise cancelling? Almost too much! When I have them on and someone asks me something, or talks to me, I have to lift off one side and free that ear so I can hear! They are more noise cancelling than my $50+ Sennheiser that stopped working suddenly.

If you have a large head and wear glasses, these might be too small. I have a smallish head, so they are not a problem. The colors are fun, so pick the color that expresses your personality or matches your device.

The only reason I gave 4 stars instead of 5 is that they are for smaller heads. If you have a large head, they will feel tight. If that doesn't bother you, go for these!"
7,These headphones say for adults and kids. They lied about the adult part unless you have an irregularly small head. These headphones are made for toddlers and very small kids. These headphones are a waste of money and time!! DO NOT BUY!!
8,"I am stunned by the sound quality of these earphones. The bass is ripping, the highs are clear and piercing but not tinny. I listen mostly to rock music though am a big fan of acoustic flamenco. I've used phones that are five times as expensive as the Edifer H650 and the Edifiers blow them away. I may buy a couple more of them just to have backups in case sometime steals my pair."
9,"I'm very happy that you contacted me, because I do have a question. This is the first time in my life that I have ever used headphones. I'm 71 years old. I live in a Rehab place and share a room, thus the need for headphones. I was given a pair of headphones when I got here, but they recently went bad. In my attempt to buy new ones, I failed to remember the most important features that I needed. One main feature I needed was that I could control the volume in the cord, not the TV. But I started using your headphones at night to listen to my Playlists, using my Kindle. The experience was, for me, fabulous. The sound amazing!!! I listened to many songs that I've been listening to since the 60's, 70's, 80's, etc. and have never known what they could have sounded like. I will keep yours, even though they don't meet all my requirements, because I literally had an out-of-body experience. The one question I had is that the size of the earmuffs seem small. The description of your product did say they are for men and women. Do you have a larger size?"
10,"These work very well for the purpose I needed them for. I don't need to wear them for long periods of time, which is good since the ear piece is too small. They sit on the edges of the ear rather than fitting around the ear so if I do wear them for long periods my ears start to get annoyed. But they aren't tight and so they don't press on the ears/head which is good. And there seems to be plenty of adjust-ability to them. My daughter borrowed them and adjusted them as small as they would go and they fit her tiny head just fine. My head is a bit bigger than average and they fit me just fine. So other than wishing the ear piece was a bit larger they are a great set of headphones."
