,Product,Ratings,Reviews
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I'm a headphone junky, and I got these because the price was right, the color is nice and vibrant, and I can wear them at work. They have a very long cord, so I do have to bundle it up and put a twisty tie around the bundle, but this is no big deal, rather too much cord than not enough. The sound is nice, not super great such as some of the more expensive headphones, but then again I mostly use these to listen to audio books, so the sound is just right, and they do have decent bass. If you are looking for a lightweight, nice but cost effective pair of headphones I would definitely recommend these. They do fold up nicely, too."
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars," My son loves to watch movies/listen to music/play games on his tablet or one of our phones while we are travelling. The problem is, my husband and I are listening to our own music through the car speakers. So, we purchased these headphones for him so all of us could be happy travelers.

He LOVES these headphones! They are soft, padded and extremely comfortable to wear…even for longer road trips. The noise cancelling/isolating feature on these really do help tune out the outside noise around him. The fact that they can fold up and not be space hog in his travel bag is also a nice feature. It would be nice if these headphones came with a little storage bag to keep them in when not in use. The cord is covered in a very durable fabric cover which feels like it is going to stand up well to the abuse of being moved around from the house to the car, etc.

We tried the microphone out during a recent cellphone call. I could hear the person talking crystal clear…so much better than when I listen directly through my cellphone itself. Again, that is where the noise cancelling/isolating feature comes in great. I was told that I came in very clear on the receiving end, but that they could hear more external noise (probably because it has a 360° microphone) as it seemed to be very good at picking up all sounds.

I purchased this Ailihen stereo foldable headphones at a discounted price for my honest review and I am thankful that there are no more “who wants to listen to what” discussions as we are in the car travelling. For under $30 (not $20 like mentioned in the video), you are getting a quality headphone that I would say sounds and feels much better than some of the pricier ones out there."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Great headphones. Comfortable with good sound quality. I love the color! I have a small head, so these fit perfectly, especially because they are easily adjustable. The wire only hangs from one ear bud, so you're not annoyed by it as your're working."
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I absolutely love the company, INTONE, that sells these headphones. Originally, I had purchased these headphones May 31, 2016, and they proved to be defective after a month of use, as one of the headphones had detached from the handle. I contacted INTONE and attached a picture of my headphones, and the company agreed to send another pair to me. The representative told me I would receive the headphones by July 27, 2016 but I actually received them July 21, 2016!! The service INTONE provides is 5-stars!

Now, when regarding the headphones I absolutely love them, even though I received a defective pair the first go-round-- you can experience a defect with any product and/or any manufacturer/designer. The bass on these headphones is excellent and the surround sound is awesome. There is a small operating panel for the cell phone and volume on the cord-- very convenient for working out and cooking (I personally find them handy for these activities). I use these headphones for both my computer and cell phone. A great buy for the price! #AMUSTHAVE"
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"The only thing I have to say bad about the product is that the color of the headphones does not quite match what was pictured. They came in a darker purple, but oh well!

I use these for transcribing and I love how it helps to block out surrounding noise. Sometimes it is really hard to hear the speaker, and being able to focus on just the speaker and not the noises of everyday life is really nice.

The sound is as clear as the audio in which is was recorded on. I used another expensive brand and these are very comparable to them.

I love the cord. It is reinforced so it will not end up fraying as easily as a typical plastic coated one would. It is sturdy enough to stand up to my cats, who seem to think that the nice long cord is for them to play with."
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Amazing for the price, the bass its pretty good, received them today and they are good so far, hope the headphones last a long time and ive been using them for a while and my ears doesnt hurt, ive seen a couple of bad reviews that one of the cushions fell apart, put some super glue and fix it and other thing its some doesnt take care of the headphones properly thats why they dont last for a long time."
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,3.0 out of 5 stars,"Originally I had loved these, one because of the cord that didn't tangle whatsoever (Love that part) and I loved the color and that they folded up for easy storage and whatnot. But now, I have had them for at least a month or two and as much as I wish I could love these and give five stars I simply can't because they kill my ears. This set is putting way too much pressure or something on my ears and I have to move them constantly to not be in pain which really sucks."
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"When it comes to headphones I always seem to have the worst luck. My headphones either break from in an extremely weird way, somehow hurt my ears, lose sound on one side or end up disappearing completely. When I saw these I was taken in by the color and specs listed. I decided to take a chance on these headphones, a chance that is definitely paying off.

They play music wonderfully. Alongside blocking outside sounds.The padding on the headphones is super soft and doesn't make your head sore from extended use. Even better is the fact the colors pictures are 100% accurate. A rarity for Amazon pictures. I'm used to some color variation or some vague disappointment. To have this surprise me in a good way was great. I'd highly recommend this headphones to more casual folks who want some sound blocking and cuteness."
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"These are by far, the best kids headphones for the cost. I went through many other brands and styles before finding these.
1) They are really sturdy and durable. The nylon wrapped cord doesn't kink. There is an extended coated wire from the ear cup to the headband that allows for movement and forgives a little kids not so easy handling.

2) Seriously. You can't beat the price. These headphones are worth more for everything going they provide.

3) The ear cup is so soft and stretchy, you can wear them for long periods without pinching. They also cancel out outside sounds really well.

4) The volume is definitely fine for kids, and adults alike. Yes, you can find headphones that allow you to get sick base and blah, blah, blah.... These aren't made for that. You will, however, be able to watch movies and videos with clear and perfect pitches, highs, lows and stereo.

5) The framework is definitely sturdy and will withstand long use. Nothing about it feels chensy or cheap.

6) The mic works great. It picks up voice and delivers yours clearly and without static.

All in all, I love these. This is our second pair. We had the first for over a year with our 6-7 year old exclusively using great them. That should be an excellent recommendation in and of itself! They only broke when I accidentally caught the cord in the car door and walked away, causing the cord to separate from the mic area.

Give them a try, you won't be sorry!"
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,These stay secure. I use them to run and for strength training. I have had no issues while working out with these. They work better than the in ear buds and do not slip off while doing hit training. 4 stars because the sound sometimes feels muffled.
