,Comments,Date,Product,Ratings,Reviews,Title
0,143 people found this helpful. Was this review helpful to you?, January 9 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I ordered the ""mint/grey"" pair, and they aren't really mint, but rather a gorgeous shade of light teal/aqua. First, I bought the Green/grey pair for my daughter, and she loved them. I liked them so much, I had to order a pair for myself! They are very comfortable, look great, and sound great. The cord is a nice braided cable that resists tangling. Love them! I uploaded pictures of both so you can see the colors.",Gorgeous color and fit!
1,46 people found this helpful. Was this review helpful to you?, July 28 2016,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"These headphones are really lightweight, good for children too. I let my 4 year old wear them some times. At first I thought they wouldnt expand out to fit my head but found out if you pull them a little harder its (hard to notice at first) they do adjust. And the mic works well. The sound is nice, but for my ears I cant wear them for more than a few hours. Otherwise, theyre good for normal use if your not going to sit all day with them on.","Good for the price, and look cute too"
2,31 people found this helpful. Was this review helpful to you?, June 21 2016,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"These are just what I was looking for. I was having trouble talking on the phone for long periods of time because of needing to be mobile and use both hands. This was the perfect solution. Adjustable and fit comfortably, blocks out about 95% of the outside noise and the other party can hear you crystal clear.",Great product
3,6 people found this helpful. Was this review helpful to you?, July 26 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"My 8 year old son can be very hard on headphones. I bought him these to replace a set that the audio was cutting in and out on due to a crimped cord. The first thing I noticed about these is that they seemed well made for the price. These are much sturdier than the ones he had before. The sound is very nice offering crisp highs and nice lows without distortion. There are two features that I especially liked; first of all they fold up which makes it easier to for travel and to put in his backpack (he has to have his own set of headphones for school). Folded up in his back pack they are much less likely to get twisted, broken, etc. Secondly, I like the in line volume control. It is a slide switch not an up/down button that changes the volume on the device. What this allows me to do is to set the maximum volume level on the device and then he can control it through the slide switch up to that point. This is great for kids that tend to turn the volume up excessively.","A great set of headphones, especially for children."
4,5 people found this helpful. Was this review helpful to you?, July 28 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I really like these. I can watch a movie or show on my laptop while my husband watches TV and it almost completely covers up the noise from HIS shows. The fit is comfortable on the ears, as the pads are quite generous, and I like that you can adjust these to be longer or shorter, depending on the size of your head. The sound quality is good - but if you're looking for Bose quality - it's not going to happen. If that's what you want - then go pay for it and don't complain about THESE. These are quite good for the price.",Quite good for the price!
5,4 people found this helpful. Was this review helpful to you?, August 5 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,4.0 out of 5 stars,This product is absolutely fabulous my daughter can talk on her tablet with face time and you can hear her clearly. The sound is crisp the headphones adjust to her head and stay on snuggly. It has a long battery life as well she played for hours and it never shut off on her. The only downside is that I wear glasses so when I use these I can't wear them for too long or my ears hurt from my frames. Overall very happy.,Overall very happy.
6,One person found this helpful. Was this review helpful to you?, October 17 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"These are great little entry level headphones. If you have a teen or young adult and just want to have a little peace in the car, and let them jam out, these are for you.

Pros:

1) the headband is very comfortable to wear. I love that these fit well, and do not squeeze your head. My five year old can wear these pretty easily on the smallest setting, but they do border on being just a bit big.

2) the ear pieces are also comfortable, and cup my ears nicely. They do a decent job of dampening the sound, but they are not sound canceling. They do a great job for the price!

3) sound and sound control are nice and work well. These have great sound for entry level headphones.

4) I ordered the teal, and these are awesome. The color was pleasing to 5 and 8 year old girls, and our 13yr old nephew.

5) phone microphone is ok. Not the best ever, but it works, and I haven't had too many issues.

Cons:

1) I don't really have any cons. They are great for the price!",awesome entry level headphones.
7,2 people found this helpful. Was this review helpful to you?, April 12 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,2.0 out of 5 stars,"NOT LONG LASTING.
These were great for about three or four months but have now stopped playing sound out of the right ear. It wasn't like I was constantly using them either, I'm not a huge headphone person so would usually try to listen to something straight out of the device so it wasn't really them just getting over used or abused--for the most part they stayed in my desk drawer until I needed them and then one day when I needed them, the sound in the right ear kept cutting in and out and now it's gone altogether and will pop up occasionally if I move in just the right way.",Great until they decided to only play out of one ear
8,One person found this helpful. Was this review helpful to you?, October 19 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"This head phone set is exactly what I have been searching for. My job requires a lot of phone calls and these work great for that. When I get a phone call, I put this head set on, and then place my I phone in my short pocket, and I can move to get files, make copies and even stack fire wood. The head set fits well and is very comfortable. By covering both ears, I am not distracted from the caller. Also the volume works really good. It actually will hurt your ears if you do not turn it down quick enough on certain calls.",Excellent Head set for talking hands free on my iPhone. I would buy it again.
9,One person found this helpful. Was this review helpful to you?, December 29 2016,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,3.0 out of 5 stars,"Another case of the buyer not understanding the technology, I guess. I bought these for my daughter who posts videos on YouTube a lot and is not happy with her microphone setup. So when she asked for headphones, and I found these that are described as having a built-in mic, and are compatible with phones and PCs, I thought this was the perfect thing. However, the mic part seems to be only activated when used with a phone, and not possible with a PC. I haven't found anything on the net that explains how to use the mic with a PC and would love feedback from any viewers if they have found the info. Also, the ear pieces seem uncomfortable for my large head. The pressure is too tight and the pieces are too small. I enjoy using Sony professional headphones for work. My 11 year old hasn't complained about their size, though.","May be comfortable for a smaller head, and can't use the mic with a PC"
0,One person found this helpful. Was this review helpful to you?, November 18 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,4.0 out of 5 stars,"The structure of the headset is tough and durable. Not too find that it is wired since they were for my young son who doesn't keep still very well. The cord is long enough but personally think it could be a little longer to give more freedom for movement. The earcuffs are a good size as well. The volume is not as loud as I would like but as I said before, theyh are for a found child so that is not all bad. They seem more appealing for kids rather than asuults but either one could use them.",The earcuffs are a good size as well
1,2 people found this helpful. Was this review helpful to you?, January 31 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,3.0 out of 5 stars,"These are stylish and have exactly the audio quality you'd expect. Unfortunately, due to a bit of a cable tangle yank situation, the tip of the headphone jack freely dislodged itself from the rest of the jack... directly into my phone. You would not believe how much trouble it is to get just the tip of an audio plug out of a phone, and how many problems it creates when your phone thinks a headphone is there that really isn't. Bummer!",Just the tip
2,2 people found this helpful. Was this review helpful to you?, August 18 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,4.0 out of 5 stars,Bought these for my children for school. The price was good and didn't expect much in the quality category but was pleasantly surprised. We're good out of the box and they have held up good thus far. Would recommend these if your not looking for high end headphones with a high price. Sound quality is average but for ththe price you can't beet them,Good for the price.
3,One person found this helpful. Was this review helpful to you?, December 12 2016,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,4.0 out of 5 stars,"Higher quality than I expected for under $20. Sound is acceptable. Bass and low notes not great, but if you are listening on a computer to higher quality audio, you can still enjoy it. This isn't what a huge audiophile would use daily, but someone who just wants to Netflix binge without waking kids, this is a great choice. The build quality is surprisingly solid, with a braided reinforced cord. Microphone and volume control slider built into cord work just fine. Probably would be the most comfortable for someone with small ears, as the ear pads and cups are small on the small side. Again, overall a better product than I expected for the price.","Bass and low notes not great, but if you are listening on a computer ..."
4,One person found this helpful. Was this review helpful to you?, December 8 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,2.0 out of 5 stars,"I was really excited about these headphones. They're comfortable and cute. However they do have some drawbacks. My hair frequently gets caught in the hinges or pulled by the rubber lining, which is annoying but not a huge deal.

The headphone plug is fragile. I've had these for about two months but already the wires inside the plug are showing signs of wear, to the point where I have to frequently adjust the plug or press on the cord to get full sound. I normally keep these at the top of my backpack or tote bag, and thought I was taking good care of them, especially in contrast to my old iPhone headphones, which I frequently abused and would last a year or two before breaking down.

If you're only planning to use these at your office desk and never unplug them or take them anywhere I'm sure they'll hold on fine (although the super long cord may get annoying). But if you're always on the go like me, spring for headphones that are more durable.",Fragile plug doesn't stand up to travel
5,Was this review helpful to you?, May 22 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"Not much bass, but what can you expect for under $20? I was pleasantly surprised that the sound was clear and the headphones comfortable. Honestly I was expecting to have to throw these out but based on the good reviews I was willing to give them a whirl.

I use them for a very long ferry and bus commute to and from work (you really don't want to do that with expensive earphones, trust me!). These serve their porpoise of making it clear I'm busy so I get left alone ;) but they also really do have decent sound. Not awesome sound, but far better than I anticipated considering the price.

I would definitely recommend these if you need a pair you aren't afraid to knock around a little bit. And to that point, it's been a month or so and there is literally nothing damaged on these either, so I suspect their durability will prove to be impressive as well!",Great for kids and commuting - good sound
6,One person found this helpful. Was this review helpful to you?, January 11 2018,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I have never had much luck buying headphones for my wife. Over the years I must have bought her probably 6 different pairs and in almost 3/4 of those I ended up taking them back or keeping them for myself. They were too big, too tight, they were ugly. So, I thought I'd try again as this is what she still wants and now two weeks later is using them and I haven't heard a complaint yet. I really hope they last, but only time will tell.",My wife thinks they are cute.
7,2 people found this helpful. Was this review helpful to you?, March 6 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"These are good sounding headphones. Not just for the price, but actually sound pretty good. I got them for my son, and out of curiosity tried them out for myself. Now, they don't sound quite as good as my Sony studio monitors, or my wife's Beats Studios, but they are pretty close. No idea how durable they are, time will tell as my 7 year old uses and abuses them. I'll be happy to get a year out of them for $20.",These are good sounding headphones
8,2 people found this helpful. Was this review helpful to you?, March 21 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I bought these headphones for my son's 8th birthday and he has worn then nonstop, he loves them! After trying them out myself, the cushioning is extremely comfortable for extended wear and the cord seems pretty durable. I do notice that the collapsible feature of these headphones might be a little TOO easy to fold, but they do not affect performance and does not bother my son at all!",Perfect for our 8 year old!
9,2 people found this helpful. Was this review helpful to you?, March 2 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"This is my second pair of this brand of headphones, I've purchased another color of the same type. Their excellent for the price, my kids live them, and their pretty durable. Volume is excellent, which my kids really like. For the money, you simply can't go wrong, plus there's a good variety of colors and their customer service is great, I've already received a email asking if I enjoy them, you'll love them!",Excellent headphones!
0,Was this review helpful to you?, August 26 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I was a bit skeptical about buying these headphones but they looked so good I went ahead with the purchase. I am not disappointed one bit. The sound that these things put out is amazing. You can hear the bass, the mid range and the tweeters. They are so loud that I cannot listen the volume at it's max. It's no beats or bose but for $20 it is amazing.",Amazing budget headphones.
1,One person found this helpful. Was this review helpful to you?, July 9 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,"I was getting tired of having earbuds stuck in my ear so I decided to give these headphones a try.
The fit is great and as is the sound both from the headset and the microphone. Where my wife complaining she couldn't always hear me during call she now talks about the clarity.",Great fro the price
2,One person found this helpful. Was this review helpful to you?, July 17 2017,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,3.0 out of 5 stars,"These headphones are just about as ""OK"" as any headphones you're going to be able to buy for $20. Mine broke after about 6 months which seems like a decent run, but they just stay at my desk at work. First one side, now both sides. Unless I tilt my head in a weird way and don't move. I imagine if you're going to be using these more regularly and taking them around they would not last as long. They look pretty good for how cheaply they are probably made, but that's the best thing I can say about them.",They're... fine. For a little while
3,Was this review helpful to you?, March 30 2018,AILIHEN C8 Headphones with Microphone and Volume Control Folding...,5.0 out of 5 stars,What I liked the most about these head phones is that they are super comfortable. They are noise canceling and the wrapped cord is perfect. The cord is extra long so you can do whatever you need to. These are stylish. The only thing I didn't like was the silver part is plastic but it folds easily and is adjustable. You bet I'll be buying alihen again!,Great buy! Stylish! Get yourself a pair!
