,Comments,Date,Product,Ratings,Reviews,Title
0,107 people found this helpful. Was this review helpful to you?, March 16 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"Durable and good sound. I use them in my car for the children's DVD players. Not a single complaint about fit or sound from the 4, 6, or 11 year old.",Durable and good sound. I use them in my car for ...
1,110 people found this helpful. Was this review helpful to you?, January 11 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"I don't take the time very often to write a review. I purchased these headphones for my 82 year old dad for Christmas. He needed a pair of headphones to listen to the TV while running on a treadmill. I saw in other reviews that these headphones block out noise that is around you. Even though my dad is a young 82 year old, his hearing is that of a person his age. He loves these headphones and said they really do cut out the noise of the treadmill so he can hear the TV. I am very happy with this purchase!",I am very happy with this purchase
2,111 people found this helpful. Was this review helpful to you?, January 3 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,Bought these headphones for 11 year old. He loves them and they seem to work well. They are compatible with his Kindle.,Bought these headphones for 11 year old. He loves ...
3,133 people found this helpful. Was this review helpful to you?, January 20 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"This was a gift for my daughter, and they work and look great! The black box they come in make them look a lot more expensive than they are. They work with the Xbox 1 controller too!",Awesome!
4,65 people found this helpful. Was this review helpful to you?, January 18 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,We are happy with these. Sound is good and an affordable price. They extend so if your head is a little bigger they fit well. Me and my husband both use them on our desktop and laptop computer.,We are happy with these
5,80 people found this helpful. Was this review helpful to you?, November 28 2016,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"I have owned multiple headphones before and this one is the best I have ever gotten. The sound, clarity, and bass is absolutely good and unlike the other headphones I owned this one doesn't hurt my ears.",Best one yet!
6,44 people found this helpful. Was this review helpful to you?, December 28 2016,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"The packaging was nice and was folded into a plastic mold. A plus for the folding! The cups on the headphones are somewhat comfortable and so is the band. The cable that is used to plug into devices is wrapped making it stronger. The sound is not really that crisp but the bass is pretty good. Lastly, the microphone is decent and can pick up sounds of you talking without the mic being held up to the mouth. All in all, it's great!","Actually, Pretty Great!"
7,7 people found this helpful. Was this review helpful to you?, April 20 2017,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"The only thing I would’ve have wanted more from this headphone is the ability to use the mic for pc as well, which unfortunately you can’t. Sound is really good and you can hear the quality of the speakers. Comfortable to wear and stretchable with soft ear paddings. The body is made from plastic which I really don’t mind since it is durable and the cable is nylon braided which is a plus. Also, the earpads are foldable so you can carry it with you easily.",Great headphones
8,6 people found this helpful. Was this review helpful to you?, November 25 2016,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"I have a pair of very comfortable blu tooth headphones, but, as with all blu tooth headphones, they occasionally pop in and out. And, frankly, sometimes I just want to plug in and start listening to music without connecting, etc. I'd had a pair of Philips corded headphones with reasonable sound (I'm not an audiophile) that just wore out. So, I went to Amazon to find a replacement. I'm so glad I found these -- they're perfect! Compact (they fold), reasonably priced, and best of all, the sound is great!!","Great Sound, Reasonable Price!"
9,12 people found this helpful. Was this review helpful to you?, November 18 2016,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop...,5.0 out of 5 stars,"Headphones were actually very comfortable, even more comfortable than a MUCH more expensive pair of headphones i owned, and i can wear the AILIHEN headphones longer than i could the expensive pair.

Cancels noise pretty well, almost completely. I can skateboard and not hear the wheels clacking over the sidewalk.

Headphone quality was WAY better than the price leads you to believe, it was almost as good, (like 99% as good) as the WAY MORE EXPENSIVE PAIR i bought.

I've only had them a week or so, so i dont know how long they'll last. I'll update you if/when they break. NOTe: Expensive pair broke six months in.

Overall: Great Headphones, look nice, sound nice, feel nice. The red and black were my favorite color, went with gold though, check all colors before you make your decision.",Fantastically Comfy and Incredible Sound
