,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
0,"I really debated to get this or not but after reading mostly good reviews I decided why not and bought a pair for the holidays for my tween- Just stopped working 2 months in -crickets that's what you hear nothing, nada, zip - Not to mention that the silver is really painted plastic not really metal! What's most upsetting is that my daughter really loved these and well now all I can do is warn other parents. Don't do what I did-instead spend a bit more for a better known brand that won't do this! Absolutely disappointed! I'm hoping amazon rectifies this as I bought 2 of the same brand different style and both stopped working within a week from each other :/"
1,This product is absolutely fabulous my daughter can talk on her tablet with face time and you can hear her clearly. The sound is crisp the headphones adjust to her head and stay on snuggly. It has a long battery life as well she played for hours and it never shut off on her. The only downside is that I wear glasses so when I use these I can't wear them for too long or my ears hurt from my frames. Overall very happy.
2,"This head phone set is exactly what I have been searching for. My job requires a lot of phone calls and these work great for that. When I get a phone call, I put this head set on, and then place my I phone in my short pocket, and I can move to get files, make copies and even stack fire wood. The head set fits well and is very comfortable. By covering both ears, I am not distracted from the caller. Also the volume works really good. It actually will hurt your ears if you do not turn it down quick enough on certain calls."
3,"Another case of the buyer not understanding the technology, I guess. I bought these for my daughter who posts videos on YouTube a lot and is not happy with her microphone setup. So when she asked for headphones, and I found these that are described as having a built-in mic, and are compatible with phones and PCs, I thought this was the perfect thing. However, the mic part seems to be only activated when used with a phone, and not possible with a PC. I haven't found anything on the net that explains how to use the mic with a PC and would love feedback from any viewers if they have found the info. Also, the ear pieces seem uncomfortable for my large head. The pressure is too tight and the pieces are too small. I enjoy using Sony professional headphones for work. My 11 year old hasn't complained about their size, though."
4,"The sound quality on these headphones is terrible. The earbuds that came with my iPhone have sound quality a million times better than these headphones... 30 seconds of listening and I knew I was going to need to return them. Also the volume control doesn't actually adjust the volume on your device, only raises or lowers on top of the volume you've already set on the device. I had to crank the volume way up on my phone and increase the volume on the headphones to reach the level I usually use with my other headphones.

I knew at $20 sound quality was going to be a gamble, but the other positive reviews convinced me to try them. Now I'm out the return shipping, so learn from my mistake and pick some higher quality/more expensive headphones if sound quality is important to you."
5,"The structure of the headset is tough and durable. Not too find that it is wired since they were for my young son who doesn't keep still very well. The cord is long enough but personally think it could be a little longer to give more freedom for movement. The earcuffs are a good size as well. The volume is not as loud as I would like but as I said before, theyh are for a found child so that is not all bad. They seem more appealing for kids rather than asuults but either one could use them."
6,"These are stylish and have exactly the audio quality you'd expect. Unfortunately, due to a bit of a cable tangle yank situation, the tip of the headphone jack freely dislodged itself from the rest of the jack... directly into my phone. You would not believe how much trouble it is to get just the tip of an audio plug out of a phone, and how many problems it creates when your phone thinks a headphone is there that really isn't. Bummer!"
7,Bought these for my children for school. The price was good and didn't expect much in the quality category but was pleasantly surprised. We're good out of the box and they have held up good thus far. Would recommend these if your not looking for high end headphones with a high price. Sound quality is average but for ththe price you can't beet them
8,"Higher quality than I expected for under $20. Sound is acceptable. Bass and low notes not great, but if you are listening on a computer to higher quality audio, you can still enjoy it. This isn't what a huge audiophile would use daily, but someone who just wants to Netflix binge without waking kids, this is a great choice. The build quality is surprisingly solid, with a braided reinforced cord. Microphone and volume control slider built into cord work just fine. Probably would be the most comfortable for someone with small ears, as the ear pads and cups are small on the small side. Again, overall a better product than I expected for the price."
9,"I was really excited about these headphones. They're comfortable and cute. However they do have some drawbacks. My hair frequently gets caught in the hinges or pulled by the rubber lining, which is annoying but not a huge deal.

The headphone plug is fragile. I've had these for about two months but already the wires inside the plug are showing signs of wear, to the point where I have to frequently adjust the plug or press on the cord to get full sound. I normally keep these at the top of my backpack or tote bag, and thought I was taking good care of them, especially in contrast to my old iPhone headphones, which I frequently abused and would last a year or two before breaking down.

If you're only planning to use these at your office desk and never unplug them or take them anywhere I'm sure they'll hold on fine (although the super long cord may get annoying). But if you're always on the go like me, spring for headphones that are more durable."
0,"Not much bass, but what can you expect for under $20? I was pleasantly surprised that the sound was clear and the headphones comfortable. Honestly I was expecting to have to throw these out but based on the good reviews I was willing to give them a whirl.

I use them for a very long ferry and bus commute to and from work (you really don't want to do that with expensive earphones, trust me!). These serve their porpoise of making it clear I'm busy so I get left alone ;) but they also really do have decent sound. Not awesome sound, but far better than I anticipated considering the price.

I would definitely recommend these if you need a pair you aren't afraid to knock around a little bit. And to that point, it's been a month or so and there is literally nothing damaged on these either, so I suspect their durability will prove to be impressive as well!"
1,"I have never had much luck buying headphones for my wife. Over the years I must have bought her probably 6 different pairs and in almost 3/4 of those I ended up taking them back or keeping them for myself. They were too big, too tight, they were ugly. So, I thought I'd try again as this is what she still wants and now two weeks later is using them and I haven't heard a complaint yet. I really hope they last, but only time will tell."
2,"These are good sounding headphones. Not just for the price, but actually sound pretty good. I got them for my son, and out of curiosity tried them out for myself. Now, they don't sound quite as good as my Sony studio monitors, or my wife's Beats Studios, but they are pretty close. No idea how durable they are, time will tell as my 7 year old uses and abuses them. I'll be happy to get a year out of them for $20."
3,"I bought these headphones for my son's 8th birthday and he has worn then nonstop, he loves them! After trying them out myself, the cushioning is extremely comfortable for extended wear and the cord seems pretty durable. I do notice that the collapsible feature of these headphones might be a little TOO easy to fold, but they do not affect performance and does not bother my son at all!"
4,"This is my second pair of this brand of headphones, I've purchased another color of the same type. Their excellent for the price, my kids live them, and their pretty durable. Volume is excellent, which my kids really like. For the money, you simply can't go wrong, plus there's a good variety of colors and their customer service is great, I've already received a email asking if I enjoy them, you'll love them!"
5,"Edit: totally forgot to update this. After the trouble I had with my first pair the seller/company contacted me. Asked me a couple of questions and replaced the product. This second item has been functioning ever since without any problems.
They were great at first but after getting knocked off my head a couple times there's s loose wire and the right ear goes on an off. Didn't hit the ground just got the wires yanked I guess."
6,"First of all this is a $20 headphone so don’t expect too much!! Sooo, for the $ it’s a fair deal, sound quality is ok not great but not horrible either.. build quality is fine it’s not solid, platicy feel but they built it good. Mic work excellent on phone calls, loud and clear at least the one I got. Earpads/foam is on the medium side so if you have a big👂 or head like mine this will sit on the ear. It’s soft though so it’s 👍.. Bought it for my niece so the will be perfect for her. Is it durable?? Idk yet, time will tell.."
7,"Four starts because the headphones themselves are gorgeous - I've gotten several compliments on the color scheme and folding mechanism. -1 star because the sound quality of the music seems a little tinny or underwater sometimes - it seems to be dependent on the volume and type of music. Also, the volume adjusting mechanism on the headset cord is very strange; there aren't separate buttons for + and - like there are on most other headsets. You have to use the switcher to toggle from + or -, then the button will affect whichever volume selection you're toggled to. Photo for clarity.

For <$20, I think this is a solid pair of headphones. If you're looking for outstanding quality in music, look elsewhere, but these get the job done!"
8,"Overall I would buy again. The cable that connects to the headphones is fixed and not replaceable, It broke within a few weeks of use so I threw them away and wrote it off as a bad buy. When I saw there was a quality guarantee, i wrote to the seller and they were great about replacing them. Customer service like that goes a long way to building loyalty and trust, My kid now has a new pair and I told her to be very very careful with the cable!"
9,"Bought these for our son for Christmas. He loves them, and the sound is great. Update: Had a problem with these headphones after about 2 months. They stopped working. Contacted the company regarding the warranty on them. The warranty is for 1 year after purchase. The company Rep. was very rapid and courteous in responding. After describing the problem to the rep. They said they were sending another pair at no charge. No hassles, courteous rep. 1 yr. warranty. How can you beat that ? Very pleased with the product and company. Thanks for a great product aith a great warranty."
0,"at first I really enjoyed them... they work perfect for TV and podcasts. for music, the are pretty good too. everyone says they can hear me really clearly on the microphone when connected to my phone.

A month later, I can only hear from one ear piece unless I wiggle the cord. I was not harsh on them so I feel that maybe the quality could be better."
1,"These are nice-looking headphones with good sound for the price. However, one of the ear cushions came off in less than two months of gentle use. Amazon informs me that they're ineligible for return as that's only allowed within 30 days of delivery. So yeah, that's what passes for a warranty."
2,"I was a bit skeptical about buying these headphones but they looked so good I went ahead with the purchase. I am not disappointed one bit. The sound that these things put out is amazing. You can hear the bass, the mid range and the tweeters. They are so loud that I cannot listen the volume at it's max. It's no beats or bose but for $20 it is amazing."
3,"I was getting tired of having earbuds stuck in my ear so I decided to give these headphones a try.
The fit is great and as is the sound both from the headset and the microphone. Where my wife complaining she couldn't always hear me during call she now talks about the clarity."
4,"These headphones are just about as ""OK"" as any headphones you're going to be able to buy for $20. Mine broke after about 6 months which seems like a decent run, but they just stay at my desk at work. First one side, now both sides. Unless I tilt my head in a weird way and don't move. I imagine if you're going to be using these more regularly and taking them around they would not last as long. They look pretty good for how cheaply they are probably made, but that's the best thing I can say about them."
5,What I liked the most about these head phones is that they are super comfortable. They are noise canceling and the wrapped cord is perfect. The cord is extra long so you can do whatever you need to. These are stylish. The only thing I didn't like was the silver part is plastic but it folds easily and is adjustable. You bet I'll be buying alihen again!
6,"I really liked these headphones while they lasted, but I've only had them for two months and one side randomly stopped working. I wasn't particularly rough with them and they stopped working in the middle of me using them. I'm really disappointed because they were nice headphones."
7,"I liked these headphones. They are really cute. However, I've owned them for 3 months, and the sound has started to cut out in the right speaker. The padding started to slip off the headphone about a month ago. There is a reason they are cheap.

I do use them everyday, and walk about 40 minutes a day with them on, so you may have better luck than I if you're more gentle on them than I am."
8,"After trying a bunch of headphones for the kids, these have been by far the best. They also cancel noise pretty good - my son uses them in the car to watch movies and he can't hear me playing my music over these."
9,"My daughter uses these for school. Not the absolute best sound. But they get the job done. A child doesn't need base anyway. They are better quality than most in the same price range. Would have preferred hidden wires, but you get what you pay for."
0,Broke after 1 week.
1,"We love these inexpensive headphones! My lawyer husband has three sets now and uses them for all his cell phone conference calls. They are reliable, simple and voices are very clear! We recommend!"
2,I bought these for my grandson and he loves them.
3,My daughter is very happy with them.
4,"My daughter loved these headphones until they broke. The wire on one side came lose, and now there is only sound on one side. Ugh! These only lasted about 6 weeks!"
5,"Quality sound, daughter loves the color! Great price, arrived before projected time."
6,"Great headphones, love them. And I will be ordering more of them in different colors."
