,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop Tablet Android Smartphones(Grey)
0,"Durable and good sound. I use them in my car for the children's DVD players. Not a single complaint about fit or sound from the 4, 6, or 11 year old."
1,"I don't take the time very often to write a review. I purchased these headphones for my 82 year old dad for Christmas. He needed a pair of headphones to listen to the TV while running on a treadmill. I saw in other reviews that these headphones block out noise that is around you. Even though my dad is a young 82 year old, his hearing is that of a person his age. He loves these headphones and said they really do cut out the noise of the treadmill so he can hear the TV. I am very happy with this purchase!"
2,Bought these headphones for 11 year old. He loves them and they seem to work well. They are compatible with his Kindle.
3,"This was a gift for my daughter, and they work and look great! The black box they come in make them look a lot more expensive than they are. They work with the Xbox 1 controller too!"
4,We are happy with these. Sound is good and an affordable price. They extend so if your head is a little bigger they fit well. Me and my husband both use them on our desktop and laptop computer.
5,"I ordered 2 sets. Golden set for me and the black red for my wife . I was very pleasantly surprised. The are well made. The head band is a kind of special material. The padding that sits on the ears is made of a soft vinyl and nicely padded. The earpieces fold in so they are easy to carry with you. The auxillary wire that connects it to your device is wrapped so it doesn't get tangled. It is plenty long enough that when you move around, it doesn't pull the earphones off.The unit itself is lightweight and comfortable.
As for the sound quality, it is excellent. I was so surprised. The base is good, but not too much. The sound is crisp and clear. The headphones cancel out background noise pretty well. I had bought my daughter the other brand headphones, which are over £70. Yes, the sound quality is better with them. BUT, not so much better that they are worth the extra money. These are so well worth the money."
6,"I have owned multiple headphones before and this one is the best I have ever gotten. The sound, clarity, and bass is absolutely good and unlike the other headphones I owned this one doesn't hurt my ears."
7,"The packaging was nice and was folded into a plastic mold. A plus for the folding! The cups on the headphones are somewhat comfortable and so is the band. The cable that is used to plug into devices is wrapped making it stronger. The sound is not really that crisp but the bass is pretty good. Lastly, the microphone is decent and can pick up sounds of you talking without the mic being held up to the mouth. All in all, it's great!"
8,"The only thing I would’ve have wanted more from this headphone is the ability to use the mic for pc as well, which unfortunately you can’t. Sound is really good and you can hear the quality of the speakers. Comfortable to wear and stretchable with soft ear paddings. The body is made from plastic which I really don’t mind since it is durable and the cable is nylon braided which is a plus. Also, the earpads are foldable so you can carry it with you easily."
9,"I have a pair of very comfortable blu tooth headphones, but, as with all blu tooth headphones, they occasionally pop in and out. And, frankly, sometimes I just want to plug in and start listening to music without connecting, etc. I'd had a pair of Philips corded headphones with reasonable sound (I'm not an audiophile) that just wore out. So, I went to Amazon to find a replacement. I'm so glad I found these -- they're perfect! Compact (they fold), reasonably priced, and best of all, the sound is great!!"
10,"Headphones were actually very comfortable, even more comfortable than a MUCH more expensive pair of headphones i owned, and i can wear the AILIHEN headphones longer than i could the expensive pair.

Cancels noise pretty well, almost completely. I can skateboard and not hear the wheels clacking over the sidewalk.

Headphone quality was WAY better than the price leads you to believe, it was almost as good, (like 99% as good) as the WAY MORE EXPENSIVE PAIR i bought.

I've only had them a week or so, so i dont know how long they'll last. I'll update you if/when they break. NOTe: Expensive pair broke six months in.

Overall: Great Headphones, look nice, sound nice, feel nice. The red and black were my favorite color, went with gold though, check all colors before you make your decision."
11,"Overall, this is a cheaper version of those expensive ""Beats by Dre"" headsets, and it is modeled to look like them. Speaking as a consumer, and as a father, I'd rather not pay $100+ for a brand name, and so I am glad to go with this option rather than the more expensive brand with identical performance.

Apart from the looks, the only thing wrong with these headphones is the length of the cord. A slightly longer cord, with some sort of soft plastic bracket to limit the length or draw the cord into a bunch, would really have gone a long way toward hitting the 5-star goal.

Sound quality is the same as any non-HD high quality headset. There are not really any noise-cancellation features, other than some padding along the ears, so take that as you will.

All-in-all, great headphones for the cost."
12,"When I first read other people reviews I said to myself what? I have expensive headphones people describing this with a great sound and very comfortable. Still I was skeptic but something in the back of my head said to me it is only 20.00 dollars if they do not meet your expectation send them back or just toss them.
I got them first impression counts a lot the package was really neat. When I used them for the first time I was very surprised by the sound. To make a long story short I took it for my workout I have to say I loved the sound I am really impressed, what the heck I paid so much for other headphones that does not have nearly a bass sound, I am very picky when it comes to headphones I need to feel I listening to music in crystal clear way. These phones delivers that, my son who is a DJ could not believe it so I guess I will be buying a second set for him."
13,"Nice headphones!! Feel good on my head and my ears, the fit is perfect for me and they sound great. I'm an older person and love that I can finally hear all the sounds in the music again! Beautiful highs, midtones and nice deep base! Pretty good at noise cancelling too, sometimes I don't really want that feature though. There are times when I want to be able to hear the outside world, for safety. But I'll just use another pair for those times. I also love that they fold up so it's easy to tuck them away in a pocket. Another thing I especially like is the braided cord...that was a wonderful idea!!! I took one star off because they won't go up as loud as I normally like, but that's just me. ( I put the 5th star back on because since they won't go as loud as this old hippy would like, that means I won't need another set of headphones without noise cancellation after all! ) This is obviously a good thing!"
14,"This review needs to be split into two sections. First there is the quality of the sound and the base which is actually amazing. The ear pads cover the ears completely and do help to eliminate some exterior noise. As far as the performance with the Audio I was very pleased, however about two days after the eligible date for returning the item past. The cord broke at the microphone. Decor you slipped out of the microphone and Winston pulled and now the earphones are completely useless in complete and total waste of money"
15,"I loved these at first. They had great sound and they were comfortable to wear. But less than six months and they fall apart on me. I was careful folding them, but that didn't matter. A piece on one side fell off, the cord is hanging out, and I can no longer wear them. Which sucks because they still sound good."
16,"I bought this for my daughter. As soon as it showed up, I tested it before giving it to my daughter. In just a few minutes of testing it, the cable came apart and the connector appeared to be broken. This one only worked for 2 minutes. Pure junk! I have many other headphones and have never seen such poor quality. It was not worth my time to send it back or to deal with getting a refund. It actually ended up in the trash can before I recycled the box that it came in."
17,"Bought on January 5, 2017, They sounded great and I liked them at first but after about 5 months the sound out of the left side of the headphones comes and goes sporadically. I have used them with normal use about 3-4 days a week at work and lock them up when I off. Now I gotta find a new pair of headphones which sucks cuss I liked the sound this one had."
18,"My daughter needed new headphones, or rather I needed her to wear headphones so I don't have to listen to her YouTube shows. The headphones are comfortable to wear because they are cushioned which also give a noise cancelling effect. The sound quality is good. The headphones fit my adult head as well as my 3.5 year old's head."
19,"I've been using these for a few months, now, and I love them! The sound is good, the stereo is excellent: it's amazing to hear Left and Right sound, as well as moving sound, while listening to favorite music.
I admit that I am not an audiophile, so perhaps my evaluation isn't meaningful to those of you who are audiophiles, but to the rest of the population: these are excellent, the price is very affordable, and they are comfortable, easily adjusted for different sized heads, even foldable to a degree for easier storage. I highly recommend them!"
20,I wished I knew about this headphones before. They are quite comfortable to wear and carry . Cell phone conversations are head clearly and the noise cancellation feature helps out a lot. These are not Boss quality but a really good buy for the price! I listen to podcast and music with good clarity. I am very happy with this purchase.
21,"Bought these for my son last Christmas. He loved them and used them all year. Said they sound great. I listened to them and they sound pretty good. I think as far as sound quality they are a steal. Unfortunately about a month ago one side went out and a couple weeks later the other side started acting up & only works part of the time. My son was really bummed.

This son takes care of his things very well. Better than me quite frankly. If he was rough with his stuff I wouldn’t take a star at all but since he treated them like his baby I’d hope they would last a couple years let alone less than one. Still, I’d say it’s a good deal. I’d give 3.5 if I could.

If I hear from someone who thinks get xan/should make it right I’ll update this review."
22,"Poor quality connectors- BEWARE. I puchased this headphone and the i35 in May. 2 weeks after purchased, the tip of this headphone connector came off in my kindle. I assumed my one son must have been rough with it and threw the headphones away and took the loss. One month later in July while travelling, the tip of the i35 connector also came off in my other son's ipad. This son is older and has never had this problem with headphones. Although both are comfortable, be very careful as I now have to take both digital devices to a repair shop to get the tips out and must now order 2 more headphones. BUYER BEWARE."
23,These are very good quality headphones. I bought two for us to use on a trip. For the low price I was surprised at how well they are constructed. They fold up nicely to put in my carry-on bag. They are also very comfortable to wear with just the right amount of pressure on the ears. I would recommend these headphones to anyone looking for good ones for movies or music.
24,"Right ear quit working after 2 months, with light use. Doesn't mean they will all be like that, but this was my experience. Didn't want to bother with returning, so I just bought another brand."
25,"For the $, it's a good deal. Took a chance thinking these might be better than my earbuds for talking on the phone. Found them to be obtrusive, not comfortable and my ears warmed up fairly quickly (and it's January). They are probably better for listening to music while mowing the lawn. Not so for talking on the phone."
26,"I really liked these headphones initially. The sound is good, they're comfy and I like that they are collapsible. But unfortunately, a few weeks after I got them they started malfunctioning. They randomly activate Siri or pause something I'm watching or randomly start music. Occasionally it's because I've accidentally pressed the remote button, but more often it's just a random occurrence. As you can imagine it gets pretty irritating. I haven't used the microphone and I'd be afraid they'd randomly hang up on someone I might be speaking with."
27,"What a piece of garbage, worked for about a week than sound started crackling one side would work and go out than the other side, had to constantly turn or reinsert plug... Do yourself a favor and steer clear of this product!!!"
28,These were a Christmas gift for my son for gaming . So far he loves them and is very impressed with the quality and the sound ! they came very quickly and the packaging was excellent ! My son and I are both very impressed with the high quality and attention to detail . They appear to be made to last for a long time. I would recommend purchasing these . Update .. I'm sad to say that after 3 months use one speaker has already quit working . My son is very careful with these and can't understand how they could malfunction so quickly. Very disappointing as he loved them. Now it's too late to return through Amazon so I'm hoping I can contact the manufacturer for a replacement . This is the 2nd pair we have purchased . The first ones lasted 6 months but it was too late to ask for a replacement . If I can't get a replacement this time then I will find a different brand for next purchase.
29,"Don't panic when you first open them! They make a horrid cracking noise when unfolding! If you're like me, you'll panic and think you broke them but for the price they aren't bad! I bought these as a gift for someone going on a long plane ride who otherwise never wears headphones so they're great for that purpose. I did try them on when they arrived though and while I'm not sure I would want to wear them regularly for long periods (I'm a bit of a snob when it comes to headphones so take that with a grain of salt!) they are definitely great if you don't wear them often enough to justify spending the big bucks!"
30,"Impressed with the quality of these headphones for the price. We have bought several off brand options before and were disappointed with the fit and comfort, however these are very comfortable both around the ears and over your head. The foldable feature is also really nice. The only reason that I'm rating these 4 instead of 5 stars is that the sound quality is not quite as great as we had hoped and you can definitely hear what someone is listening to when they have them on. I still think they were wonderfully priced on sale for the quality we got and would recommend to anyone that isn't looking to spend a fortune on some comfortable, portable headphones, just don't expect them to be 'noise canceling'."
31,"I got this head phone for my 10 years old girl for her bday, she didn't use this for two weeks, one side just completely stop working, I'm gonna try to return this product, spend a little more get a better one."
32,"Great headphones for the price! My only complaint about the design of the headphone itself is that my ears tend to get sore from the pads.

My first set unfortunately ended up breaking (a piece inside must have come loose in one of the phones so whenever I turned my head I would hear a harsh rattling sound from that piece moving inside). I contacted Ailihen. They were extremely helpful. They sent me another headphone free of charge without any issue and the replacement came within a few days. I would definitely consider purchasing other products from them in the future."
33,"These headphones have low volume, weak bass and after only a few weeks of use, the plug end is malfunctioning. Has to be wiggled to get full sound. These headphones are cheap and now i have to throw them away."
34,These are great headphones! These are my third pair (my husband lost the first two) and I haven't ever had a problem with them. They can even withstand my toddler getting a hold of them!
35,My 8 year old son needed a new set of headphones for school as you have to provide your own. I tried them myself and the sound is very good. The headphones are very comfortable; they swivel to fit your ear and lengthen to fit your head properly. It is a stylish design and the blue is very vibrant.
36,"Sound quality is great for a non-audiophile. Good bass and soundproofing.

After a couple hours though they seem to hurt the sides of my ears from pressing on them. Not sure if it's the shape of my ears or size of my head but I need to take a break every few hours."
37,"I don't know much about headphones but the sound quality is great. The fact that it folds into itself is really nice for storage or bringing it around. The cord is sturdy and feels like it won't brake. I have not tried out the microphone but I am sure that it will be great like the rest of the product. The only issue I had is that after about 30 min of wearing them, my ears hurt from the pressure. They are a bit too small."
38,"The bass is great and the noise isolation seems to work pretty well. They are also very comfortable. Like any pair of headphones I have ever had I need to take them off after like 2 hours or so because it starts to get a little irritating having something in or on your ears that long, but compared to others these are pretty comfortable for an extended period of time.

By the way I saw a comment posted which said that you can't skip to the next song with these headphones, but actually you can. You just have to hit the answer button twice, just make sure you do so fast enough. If you do it too slow it just pauses the song then plays it."
39,"I got these on sale, so I can't be too disappointed. They are ok. My problem with them is the right headphone doesn't play as loudly as the left. If any pressure is applied to the right headphone it creates a loud crackling noise in your ear, which sometimes makes the sound come out better... weird and loud, but it works sometimes. Other than that, they are comfortable. You get what you pay for I suppose. Definitely would not buy these for someone else or recommend them."
40,"Holy Moly... I got two of these and they are fantastic.... the sound is good and clear, and it really does block other noises out... I had purchased a cheap model at a retailer and then saw these... the others we keep in the car to use when traveling, but these end up in the car too! don't get just one... get two for that purpose alone, leave one in the car. Helps when I'm online working and the TV is on in the next room... I don't hear it. Great product... may buy a couple more just to have on hand"
41,"This thing is great so far. It's lightweight, sound quality is superb for the price. Earphones are very comfortable as is the adjustable headband. The microphone works, too. It is superior in most respects to the $100 headphones I bought, which has a defective microphone. The only reason for the four stars? Durability is a question mark. The lightweight and low price suggests to me that it's potentially an issue. Yet I did drop it a couple of times on carpet and it seems to be just fine."
42,"This was a gift, but the person receiving these headphones was very pleased. Note that the box said for Iphone, Ipad, etc., but the description when ordering said all smartphones and laptops. Luckily the description was right because the recipient does not have the Iphone but another smartphone and the headphones did indeed work."
43,"For the first few months, audio was perfect and crystal clear. Honestly, these were one of my best headphone purchases I ever made. Sadly, a few weeks ago, audio can no longer be heard from the right side of the headphones, unless I tilt my head in an uncomfortable way and the wires decide to work. I’ve tried to figure out what is happening, but I have no idea and can’t fix them"
44,"Update: The customer service has been great and they got back to me really quickly. The replacement headset works great and I have not had nay issues with it so far.

Update: I have had these headphones for a little over 2 months and the mic no longer works on this. I don't extensively use these headphones so I'm not sure why the mic would just go out. I guess you get what you paid for.

March review:
I have had these headphones for a week now. The sound on it is very good for headphones less than $20. The muffs on them are very comfortable. The mic on it is also very good."
45,"The problem with these headphones is that they are designed for iphones and ipods. They absolutely did not work with my Moto x and the sound quality on my dell laptop was not great, I had to tune the audio settings to strike the right balance. When I plugged it into my docking station I had to change my audio settings again. I did not have to change anything with other headphones. They seemed to work fine with my wife's iphone and when they did work the sound isolation was good. That's the only good thing about these."
46,"Folks a cpl months after i have had this item, it is malfunctioning. What it does is activated ur phones voice setting which interrupts the music or vid u r listening too. It happens so often that i have to take it out. If it's not the voice activation, it sends the volume up and down over and over. I'm not sure if it's the 3.5mm jack or something else..but that's what's happening. Check out other brands, this one gives trouble."
47,"I use these as gaming headphones for my Xbox One and they sound amazing! I mostly use them for talking with friends and playing sports games, but I'm sure they would be great for those who play shooter games casually. The lows and mids sound great for music and I would definitely recommend them for those looking to find an inexpensive headphone option."
48,"These headphones were ordered so my hubby could watch his news programs while I watched another TV program, both of us in the same room sitting next to each other. They keep the noise out for him and I can't hear his program. They are very comfortable and we are both pleased."
49,"It sounded pretty good, blocking most of the outside noise, unlike most headphones I used. Yet, after having it for 30 days, the cord was damaged, and now there is no noise on my right side. I still use it around the house, but I'll have to fix it or purchase another in the future."
50,"worst headset ever , very poor quality , it stopped working after a couple of month noting that it was rarely even used"
51,"These are really great headphones! The sound quality is fantastic and the design is smooth and VERY comfortable. I had originally bought a pair for my 16 yr old daughter for Christmas. However, after seeing them and testing the design, music quality, etc. etc, I literally bought a pair for almost everyone on my list. I'm even planning on getting myself some after the holidays!! I can't wait!!"
52,Item sounded good and microphone picked up background noise. Product stopped working 2 days after return window. I bought it on March 19th and the cord shorted out on April 20th while walking through the supermarket. I used the headset almost daily with the phone in my pocket. I assume that is why the cord stopped working.
53,Happy with headphones. Sound is good. I will vouch for that because my son couldn't hear me when I was talking to him;) only complaint is the ear part is definatly on the small size.
