,"Kids Headphones,AILIHEN HD850 Volume Limiting On Ear Headset with SharePort and Microphone, Children Headphones for Kids, Computer Tablets Laptops Android IOS Smartphones Cellphones (Navy Blue)"
0,"This is a cute, lightweight and comfortable pair of headphones for kids. The turquoise color is really pretty and the headphones are well-made. My daughter says it is really comfortable and the headphones/headband can be adjusted so the ear pieces fit directly over the ears. The wire for the jack measures a decent 60 inches long. The headphones are also easy to take with you as not only are they light, the ear pieces fold into the headband area so it is really compact. Another neat feature is that the you can connect another headphone to it and two kids can listen to what's playing at the same time! While the built in volume protects the child's ears, I found that when I connected it to the computer and not my phone, depending on the program running, I found the volume to be soft at times."
1,"I teach fourth graders and they have been hard on the headphones I had in my classroom. I bought these because the cords are covered in protective braiding and because this color stands out. Great news: no cords have been broken and no headphones have been ""lost."""
2,Got this as a Christmas gift for my niece! It comes in a nice box and I opened it up to make sure everything was good inside because I don't want to try to deal with a return in a few months. They seem nice quality and feel soft around the ears. I just listened to for a few minutes to make sure they would be good and they were :) I'm excited to see her face when she opens this gift!
3,"I bought these for my 8 yr old grandson who likes to blast his games. I tried them and found that the volume is loud enough. In fact, I needed to turn down the volume on my iPad. I would recommend this product to people who want to limit volume. Can't really address the sturdiness/longevity as he won't get them until Christmas."
4,"We bought these for our daughters classroom due to the existing ones being destroyed and lines being pulled out. These are awesome. Not only are the cords no tangle, they also can unplug and be stored and cleaned. They are very durable and even come with an extra no tangle cord. Very impressed!!"
5,"Fit my over-sized 8-year-old (more like the average 13). He immediately remarked on the sound clarity and appreciated the volume limit as he doesn't like accidentally getting his ears blasted when SOMEONE leaves the volume too high. He says they feel good on his ears.
Quality of construction appears pretty good though he's only had they a few days."
6,"Travelled overseas with these so my son wore them for extended periods on the plane (8+ hours) and he never complained about them being uncomfortable. Love the color options, love that you can pop in another pair of headphones right into these....super great value!!"
7,"I ordered two of the headphones for my children for Christmas. I love the fact that they can plug into each other's and ""share"" what they are listening to. I also like the flexibility of the the headphones. My only disappointment is that I ordered one blue and one green, and received two blue. It wasn't worth it to me to go through the process to exchange one, so I just kept both of the same color."
8,I purchased a pair of kid friendly headphones before but they broke because they had plastic adjustable bands. The bands on these are two metal wires which are very sturdy. I love how the volume is limited. These are also light and comfortable. They are on-ear headphones so they can still hear a little of their surroundings.
9,I bought these for my daughter. She loves them and they must be comfortable bc she walks around the house with them on all day long. I just wish they could go a little smaller
10,"These block out all outside sound. I have to scream at my kids to get their attention when they are wearing these. Otherwise, we like them. Sound is good, color is true to listing, construction is quality. Ordered 4 pairs, all work well."
