,"Kids Headphones, HD30 Volume Limiting Children Headset with Microphone for Girls Boys and Tablets Computer Laptops IOS Android Smartphone (White/Pink)"
0,My daughter kept stealing my headphones but then turning it up so loud I could hear it. I was worried about her little ears. We got these headphones and they are perfect. Great sound but safe for her to use. Plus she loves the fun colors!
1,"My daughter LOVES these headphones!!! Very comfortable on her ears and they stay in place on a 4-year-old head, with plenty of room to grow.
I love the volume control--Nice to know that it only goes up to a certain volume."
2,"Your search for affordable quality kids headphones is over. These have excellent sound quality and are very well made. The ear pads are extremely soft so they sit comfortably on your child's ears. The colors are bright and fun. There's sure to be one that complements his or her personality. It's important to have your children use headphones specifically made for kids versus regular ones because they limit the volume. This prevents your child from using high decibels which can cause hearing damage. The children featured in the photos are ten and seven. These headphones are perfect for watching movies, listening to music, and video calling friends and family."
3,"I got this for my son for his laptop as well as for the iPad when were are on car trips. The headphones have attractive fun colors, are well-made and made mainly of plastic. It is adjustable to fit the head size and also foldable for ease of transport. I like that the audio cables are detachable from the headphones as when the kids tug too hard, it just pops out and can be put back versus those that just get ripped out. This way even if the cable stops working, I can always find a replacement for it and the headphone can still be used. This headphones come with two audio cables - one which has the mic and one button for controlling pause/play, previous/next, answer/hang up call, and the other just a regular audio cable. The sound is quite clear, and the volume is not too loud so that it doesn't hurt his ears."
4,"Let me start by saying that I bought similar headphones (Intone Ms200 Stereo Low Bass Folding and Adjustable Headphone Earbuds - White / Green) from the same seller (MUJI SHOP) a year and a half ago, and while the looks and sturdiness have been good, the sound quality was appallingly bad right off the bat. I gave it 3 stars as a compromise.

The HD30 here are similar, though with some improvements. The cord is now detachable, and there is an extra cord in the box. They're also volume-limiting, though it actually turned out to be a negative.

The gist is that for $17 and in 2018, the HD30 sound just as bad, if not worse, than the Intone Ms200 from a year and a half ago, except now the volume doesn't even go up as high. This means that my kid wouldn't even be able to hear what his cartoon characters are saying in anything but almost complete silence. Sound quality would be possibly OK for him at his age (5 years old), but I can tell just how awful it is.

And here's the nail in the coffin - I also ordered a pair of comparable Noot K11 headphones Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children (Navy/Teal) for less than $10, and they sound an order of magnitude better (and are louder). I am returning the HD30 and getting another Noot K11 in a different color instead. One thing they don't have is a replaceable cord, but at <$10, who cares? I'll just buy another when they break.

If the HD30 sounded better (way better), the star rating of this review would have been completely different. I'm docking 3 stars for audio quality and leaving 2 for the rest of the package being not totally awful.

Attached photos:
- left: Noot K11
- right: AILIHEN HD30"
5,"The color of this headphone really pops and very easy to find when it's misplaced. The cushions are soft the the ears aren't red after an hour or 2 of use. Compare these to the regular headphones, the volume aren't as loud, but pleasant to their ears. Especially nowadays kids are clue to the phone or tables. The parents love it, and they can tell the difference, when they use this or the beats. For sure when the beats are in used. they will not answer to the parents call, but with this one, they will.

If you don't want overly loud music being played on your little ones eardrum this product is recommended. Not for a long period of time of an hour should be good."
6,"These kid headphones are working out great for us for several reasons. First of all, they are loud enough to actually hear but the volume is limited a good amount to protect my toddler's ears. Second of all, it came with 2 headphone cables which is a very nice surprise since my toddler destroys the cables about once a month but I still need my kids to wear headphones so I can have peace and quiet in the house. Third, I like that the headphones fold up so it takes up less space in my bag."
7,"Bought this for my 4 year old granddaughter for our first airplane trip.she insisted on the pink ones, and ,well...she is the only grandbaby....
Anyhow, I received this within a couple of days. I can't tell you how pleased I am with these headphones. The product shipped fast,was packaged very well,included extra cord, and the headphone are perfect in construction with volume control for little ears and padded nicely. I highly recommend to parents and grandparents, if you want a quality product at a reasonable price, these are the headpbones for your child!"
8,"SUPER HEADSET!
I cannot thank the makers enough for limiting the volume so these cannot be turned up too loud! I am constantly telling the little ones that they are going to ruin their hearing, but they don't understand the depth of that statement. The colors of these to choose from are perfect for the little ones - they love all of them! The only problem is that I only ordered one set, so now I need to order more as they seem to not want to share! Highly recommended!"
9,"These headphones are excellent. They're comfortable to wear - my son loves them. I was pleasantly surprised by the sound quality, too - it's excellent and very clear. He could hear his music just fine on a noisy airplane. I am tempted to buy a pair for myself because the sound quality is better than my earbuds. You can't beat the price for such a great product. I also love the nylon covered cord, it doesn't tangle like silicone cords do! And the extra port for a second set of head phones to plug in to and share the audio is pretty ingenious."
10,Nice kid headphones for the price. I like the volume limiting feature so that they don't get too loud and I also really like how they have a detachable cord. My kids have broken the cord on other headphones by accidentally pulling on the cord while it's plugged in and the plug/cord has broken off. The folding feature is nice as well in case you need to pack them in a bag while traveling.
11,"Our 7 year-old twin boys love these, and they use them with their new Fire tablets. It has volume limiting, but they still seem to find a way to have it loud enough to block me out when I'm speaking... Not sure that's the headphones' fault, though.They seem pretty sturdily built while still being collapsible for packing away easily. By far, my favorite thing about these are the detachable cables (yes, plural) that come with it. Both are sturdy braided cables too. Even if your kid figures out a way to break one, there's another in the box to trade out! Genius!"
