,"AILIHEN MS300 Headphones, Stereo Foldable Wired Headset for iPhone iPad iPod Android Smartphone Laptop Tablet PC Computer (Orchid)"
0,"Deep bass, my music sounds awesome through these headphones!! Super pleased with these! Sometimes you just want to plug in a set of headphones and not worry about charging or bluetooth, and these fit the bill!

Exterior sound cancellation is great, can't hear someone talking right next to you.

I didn't realize these folded when I bought them, which is a great plus. Makes storing them a breeze when not using them.

The metallic brushed pink color with white earpieces makes the set look very high end. I love them!"
1,"I am very impressed with these headphones. My husband bought me similar headphones a year ago (Sony brand for almost $100) and I actually think these are just as comfortable if not more. Plus, they're pretty! Whereas, my other headphones are black and boring. Since my children are always using my other headphones I decided it was time to give another set a try. Originally these were going to be for my daughters, however, now they are mine. :) I highly recommend you try these!

If my review has helped you in any way please feel free to click the helpful button for me. Thanks!"
2,"I really love these headphones. I have a giant head and it is quite tough to find headphones that fit over my head and don't pinch at the top but these are great. The inside top of the band is nicely padded for comfort and the padded ears make wearing them even for long periods quite comfortable. They adjust easily and fully cover the ear to block out surrounding sounds. The cord is sturdy and plenty long for most uses. The color is very pretty as well. The sound is nothing spectacular, but they're great for listening to audiobooks, videos, etc.

Overall, these are comfortable, attractive, and have good sound and I certainly recommend them."
3,"I am stunned by the sound quality of these earphones. The bass is ripping, the highs are clear and piercing but not tinny. I listen mostly to rock music though am a big fan of acoustic flamenco."
4,"The sound quality is nice on these and the cord is a nice length! I use them primarily for watching shows on my phone and listening to nature sounds before bed.
The only negative is that they don't have a way to adjust the volume or pause/play the music! Otherwise, very nice headphone for the price!"
5,"These are amazing! Gorgeous & sleek, extremely comfortable, sound quality is beyond phenomenal and they fold together for easy storage/carrying. I honestly am SO impressed with these, especially for the price. My husband and my son also agree, even though their rose gold/pink, both of them steal these from me every chance they get, they love them!!! I’ll be buying them both a pair very soon! Highly recommend!!!"
6,"I have to admit, I bought these for the color only. But wow, I was surprised at how good they sound. I use them with my digital piano and the sound is rich, clear and they have just enough bass. They are comfortable even after a couple hours."
7,"I was looking for a pink one at first, but changed my mind once I saw this one. This headphone looks exactly like the picture, and prettier! It is a soft and beautiful rose gold color, and I like that the headband is adjustable and very lightweight. I have to say I brought it for the color at first, but now I love it. Great quality and very affordable!"
8,Headphones have a great sound quality to them. Great fit that’s perfect for my 14 year old. Love that the cord is on one side.
9,These earphones are not sturdy and the wires are not good!
