,Product,Ratings,Reviews
0,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"At first I was really happy with this slick looking headphones. They lasted a week only and I just used to talk on the phone in my house: never to go to the gym or run. The control panel started acting weird and all of a sudden it stopped working; it wouldn't stay connected then it wont turn on. I had to spend at least 15 mins every time that i wanted to turn it on and then it only lasted a couple of seconds and it crashed. I guess it goes to stand-by mode by itself, and I say I guess because instruction manual and troubleshooting faq is useless. Company does not have a call canter in the US and you have to dial an international number (dial +86) and when you write them an e-mail they never answer you back. Please do not waste your money in this cool looking headphones that actually dont work."
1,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"Received item on October 9th, 2017. At first these were great. Sound was good, battery lasted a good while but went to use them today, November 26th, 2017 and they won't turn on and won't charge. I have maybe used them a dozen times, keep them stored in the storage pouch, have not abused them, and have charged them after use. So I guess I'm stuck w/ a $20+ pair of broken ear buds."
2,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"I couldnt connect to to my Samsung phone or tablet, something $10 cheapies can do. no online support either"
3,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"I've had the earbuds for less than 2 months and today they stopped working. When I originally got them I was very excited and they were great. So great that I ordered a second pair for my son the following day. Now, this morning as I'm working out it just died on me. Not exactly happy. This product says that it is sweat resistant and again up to this point it was working fine. Read the details, look at other options if you want something that's going to last more than 2 months."
4,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"I got these earbuds on the recommendation of my brother. Package was cool, but missing USB charger. No worries as these are everywhere in my house so I used my brothers. Once fully charges I could not (nor could anyone else) pair these to any smart phone/ ipod. All the devices used never picked up the earbuds. Disappointing."
5,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,Not good. Crackled and terrible connection. If you put your phone in your pocket forget hearing music. Bought another pair of cheap Bluetooth headphones from another company and they work fine.
6,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",2.0 out of 5 stars,"These were by far the greatest pair of headphones I have ever had. They were extremely light weight, I would forget they were in my ear or around my neck. The sound was truly amazing and when using the mic to talk outside in the wind there was no distortion or wind noise over the mic which is a problem I've had with other hands free devices.

With that said, I have had them for about a week now and have used them mildly. I have had trouble charging them, after having them plugged in over night it appears to be fully charged but after a song or two I get the low battery warning and they shut off. Also the control unit on the head phones themselves has started to gets extremely hot while briefly in use.

Sadly I am going to be returning them, preferably for a new pair but if not a refund. I really hope that it's just my pair that's malfunctioning and not the standard product."
7,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"Had product for a month, used three or four times, charged the headphones because battery was low and now they won’t turn on. Don’t waste your money on this item."
8,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,Wouldn’t pair.
9,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars," When the box says ""Lighter weight"" they were not kidding. I originally wondered if anything was even in the box because it was so light. They come with a carrying case that clips using a carabiner. I always like when items come with cases so you can keep all the cords and accessories together. I can clip it on my purse handle and use the headphones any time I go out. The sound quality is really nice. No complaints. And the headphones charge up in less than 2 hours. Comes with 3 sizes of ear buds so you can find the right fit to your ears.

Very satisfied and definitely recommend them to others."
