,Product,Ratings,Reviews
0,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars," This Otium X6 have amazing sound so clear even if it's low and high frequency and the quality is perfect. It's easy to use and fits perfectly. It includes different size of ear-pods that is great! Battery life takes 9hours, its also water resistant. Really comfortable to wear and the magnetic also helps the earphone will not fall when doing some exercise like jogging and running. I also use this on our television since I have a Bluetooth receiver so to avoid noise when somebody sleeping at night."
1,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"Very lightweight headphones, sound quality is clear and loud, headphones feel secured in the ear, no problem running or exorcizing while wearing them. Easy to pair, and microphone works great for handsfree. Great deal for the price"
2,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"I have used this bluetooth headphones for several days, and it meets all my needs.
Pros:
* It's equipped with wings which prevent the earphone from falling out of your ear.
*The sound quality is good enough at this price. I think it is at least as good as Apple's earpods (Not airpods, I don't have it...)
*Details of the earphones is perfect. Their factory does better job in the earphones' exterior than Bose. (Shame on Bose!)
Cons:
* I haven't tested it's battery life. It definitely can't last 24 hours (which Apple said they can). My estimation is about 7 to 8 hours.
*It is not completely water-resistant. The seller says it is sweat-proof which means it is safe with only a few water. It is Ok to me. I will not wear it while taking shower or swimming, but someone may.

Conclusion:
If you're look for a cost-effective wireless headphones, here it is. With 80% less price, you get 80% performance comparing to other famous brands' earphones."
3,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars," I have had these headphones for a few days now and really love them. They are great for my active lifestyle. I have used them whil running, biking, lifting weights, and mowing the lawn. They have stayed in place perfectly.
They are comfortable and lightweight. They also pair very easily with my iPhone and sound great. I would strongly recommend."
4,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,This was my first time switching from wired headphones to wireless headphones since I have been listening to music via Iphone or Ipod. I wasn't really sure what to think since it was new to me but these headphones gave me a good opinion. They were very comfortable to wear and they fit inside the ear nicely. I wasn't sure how I would feel about something resting on me but it didn't bother me at all. The only con I had was that the part of the headphone on the cord with the power buttons and volume became a bit annoying as it sits on the back of my neck and was harder to access. Pairing the headphones was a breeze and have a pretty good battery life Overall sound quality was great. It was not dull or faded but sounds crisp and clean. I enjoyed these while I was working out and they never fell out or had any issues at all. I highly recommend them to anyone looking for a good pair of wireless headphones.
5,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"For the price you can't beat these Bluetooth neckband style earbuds. I have a few different brands of this style of headset. This one is by far the most comfortable. Many have an issue where the earbuds will fall out when you turn your head...these have long enough wires from neck and to earbuds that they do not pull out. They also connect to each other via magnets in the earbud portion.

The sound was good, but initial sound quality left a little bit to be desired on the bass end, but was certainly adequate at this price point. Connection was easy and quick with my phone and never dropped the signal throughout my use. I expect the sound to improve after a break in period.

I highly recommend them for anyone looking for a necband style headset."
6,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"Good headphone for running or doing other exercises! The design of it is perfect so it won't fall down when doing exercises. After charing, this headphone can almost last for three days for normal use."
7,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"Love these headphones. I can't even tell I have them on. Very lightweight, great sound, and an unbelievable price! I'm going to get a couple more pairs to give to my parents as gifts. They love them too."
8,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"This might be the Otium's best product yet. The SoundBuds Life model is remarkably well built and looks extremely modern and sleek. The audio, being my biggest concern, is actually very dynamic and clear. The bass, mids and highs are all well balanced and the volume is plenty strong enough. The noise cancellation was surprising.The controls are all intuitive, the construction being superb, so I don't foresee any major damage or part malfunctions. Everything is either encased or sealed. The product is completely worth the cost.Recommend!!"
9,"Wireless Headphones, Otium X6 Neckband Bluetooth Headphones...",5.0 out of 5 stars,"❤️🧡💛💚💙❤️🧡💙
ABSOLUTELY LOVE
❤️🧡💛💚💙❤️🧡💙

Long play time. I played movies on this all day and the battery lasted for 11 plus hours. Plus it’s Sooooo lightweight, I didn’t realize how heavy my headset was until I wore this one and saw how light these are. I also never realized My old one pulled on my ears which could possibly be the reason I’ve been getting headaches.

This headset has a Handsfree calling feature and noise canceling is wonderful. Has a remote right on the side that turns up, down, on, off, answer, hang up and lots of other stuff.

Water resistant but I’m not going to try that but if I accidentally do I’ll let you know.

It’s really cool that the earbuds have magnets on the ends so when you want to have the headset just hang around your Neck you won’t loose it. It’s really nice so you also don’t accidentally bend over and get your headset in your food and stuff.

They also say it’s resist to water, but do not put it in water on purpose to test. However if by chance I accidentally do I will let you know.

What came inside the Box:

A Bad A$$ -Otium Wireless Headphone x1
Ear tips X 3 sets
AirWings x 2 sets
Micro USB Charging cable x1
User Manual x 1

Look I’m telling you you have so many choices so 💎💰Don't Settle for Just any Headset with Microphone! Choose the Best! Chose one of these Otium’s. I was not paid to do this review."
