,Product,Ratings,Reviews
0,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",1.0 out of 5 stars,"I gave this product 5 star when i purchased it cause i thought it was awesome tiny little thing.

But gave out too early, not even a MONTH.. The case doesnt charge the headset and only one head can be use but is dead already cause cant be charge.

Too bad. Had to buy different earphones (beats)..."
1,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",5.0 out of 5 stars,"Paired with a Note 4.
First attempt to pair the phone failed to find them. I blame that on the phone because it's had a history, just like every Samsung phone I've had this century, of doing that so I turned them off then tried again. This time it found them and after what seemed like a year, finally paired BUT would play for a second, cut out for about 5 seconds, play a second, repeat. I unpaired them, turned off the earbuds, tried again. Within a second, success and they worked correctly.
Medium gels and ear clips (not sure what you call the wings) from the box sounded good, felt great, but no bass. I'm used to this with all in-ear buds so I did my usual change the gels to the large ones but kept the medium clips. Bass is incredible but highs are slightly muddy when using no EQ on the Power Amp music player.
Nose isolation is quite a bit, so much so I couldn't even hear the TV, family, grandchild, barking dogs and other usual noises in my world in the least. Once I turned on music the whole outside world was gone of noise. I definitely will not wear them both when driving as it reminded me of my days of mega way stereo days in my truck (I was one of those folks at a stop light that annoyed the crap out of everyone around}. But I digress
The left bud is the main one that controls everything, limited as the controls are. What I found was to decrease time from power on to listening to music or make a call was power up the left side then in the time it takes to switch what I'm paying attention to and power up the right, the left has connected to the phone, right side about a second later has connected to the left one and they're ready to go.
The only control on the units is power on/off by holding or tap left button to answer/end a call or in music tap either side opens up your voice prompt engine. This is easy to remember, as no clue tap this triple hold that to remember. It's also inconvenient when wanting to change tracks and/or volume without the music device within reach.
Battery life was about 2 hours on the first charge but sometimes lithium ion batteries will increase life between charges after about 3-7 charges by a discernible amount. Time will tell on this.
I didn't write much about the sound quality as that's a personal choice but I did find the medium gels to provide no bass (far too bright) to me and the large a slight bit too much bass (aka muddy) but voices were pretty natural on both.
Volume, again subjective, was plenty for me at just under middle on the phone, I actually prefer it just under that as a maximum when lightning for extended time.
Turn off either side and they both power off. I like that a lot. Powering up just the right one did nothing, this why I stated the left side has the main software and the right is slaved to it.
Since call clarity and all that stuff is also highly subjective I called the Plantronics test line (Google it as I'm not sure I'm allowed to post the actual phone number in a review) and recorded myself. My volume was plenty loud, their volume was loud but I could hear my low volume level television a little in the recording and my voice was very muddy, but understandable.
The fit, as I wrote above, is comfortable. Forget you're wearing them comfortable. They are feather light so they didn't move in the slightest as I tested them jumping up and down, shaking my head, etc. It's rare I find both comfort and no movement when moving around in earbuds. Now when I'm cutting grass and sweating profusely no more cord catching my neck and painfully yanking a bud out of my ear. They almost make me look forward to cutting my lawn on a hot humid day. Almost.
I'd thought briefly about similar buds by the same manufacturer as my phone but the price they wanted it was very brief. With the low asking price and only $3 for a Square Trade warranty extension (I deal with these folks at my job ,selling their product ,and they're easy to deal with and no hassle when trying to actually use the product) I took a shot and I'm glad I did."
2,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",5.0 out of 5 stars,"I have to say righ off the bat that these are awesome for the price. No, these are not reference audiophile earbuds and for $30 no one should expect them to be. I own a pair of jbird x3, for working out, which cost from $99 to $129 depending on where you buy them. I had to send them in for warranty and wanted something to wireless to use in the meantime so I got these. Wow. I was expecting them to sound like total garbage and was planning to return them once I got my X3s back. There is no way I'm returning these. Yes they are missing some features like volume and track control, but again you can't go wrong for $30 wireless stereo earbuds. I can confirm that they are true stereo as I tested them with some tracks that have crazy right and left channel separation.

Beware though. I would knock off one star as the call quality is horrendous compared to the music sound quality. I was listening to music and decided to place a call. The person on the other line answered. The sound switched over to the left earbud only. The sound was kind of muffled and staticky. Once I ended the call, the music stayed in the left one only and I had to turn the Bluetooth on my phone off and then back on. Once they reconnected all was good.

I didn't knock off the star for the call quality but the music sound quality is really good for the price."
3,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",2.0 out of 5 stars,"I'll start by saying that I honestly wanted to like these headphones. It's hard to find a solid set of wireless earbuds with decent sound quality and battery life even if you are willing to price up to Apple Airpod levels, so when I found these and I looked over the reviews and specs I was cautiously optimistic. On first glance they're slick looking and fit firmly and comfortably into your ear, and the charger/carrying case is conveniently sized and a great concept. And after charging them, a quick cycle through a variety of different musical genres left me pleasantly surprised by the actually-quite-decent sound quality (the deciding factor in giving them a 2 instead of a 1 star rating).
But the problems became apparent almost immediately. Though advertised as usable with one or both earbuds, only the left earbud actually connects to your device, while the right earbud appears to connect to the left earbud. As such, you can use either both pieces or just the left, but the right is effectively useless by itself (if you, as I do, prefer to have just the right earbud in, or if the left earbud dies). And the battery life is abysmal. I was skeptical when I couldn't find an estimated battery life anywhere in the product description, but shrugged it off when I saw words like ""extended"" and ""surprising"" in the reviews, thinking I would find myself with perhaps a 1 1/2 hour life for each earbud that I could charge with the case while using the other. This is sadly not the case. From full charge to unusable is -maybe- 45 minutes, and as I stated earlier, the right earbud is effectively useless by itself, so when the left one dies, you're out of luck for the two hours it takes to recharge. I make no assumptions about how effective the charging case battery is over time since I only bothered to fully charge the left earbud twice before becoming exasperated, but it was honestly underwhelming when I still had to pull out the regular headset after less than an hour.
I get that there's just not room to pack much battery into headphones this size, but given that this is such an obvious problem making one earbud completely dependant on the other seems like a massive design flaw. I really wanted these to work, but just came out feeling like I had bought a pair of headphones at a gas station."
4,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",3.0 out of 5 stars,"UPDATE:!!!

I returned these because the have terrible range and wont stay connected.( I wrote the review before using them extensively)

these headphones sound freaking amazing! and they fit in my ears perfectly. the box and packaging are terrible.. lol.. very cheap but the case and the earbuds themselves are great quality. the carrying case is the best of all the ones ive used. they fit in it so secure that they wont shake loose. this is really a steal for the price. my only issue is that it doesnt go loud enough for me. i am constantly turning it up. that may just be an issue with me because i like my music loud, but ive noticed none of the new earbuds out go very loud. My old QCY earbuds still are my fave cuz they bump!... These do seal out all the noise around it so maybe the extra volume isnt always needed. it will do an add on to this review after a couple days.

its also a really small carrying case. so well made. they are just a bit bigger than the buds itself. perfect for travel and charging."
5,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",1.0 out of 5 stars,I was super excited when I ordered these at a reasonable price. I followed the directions and they worked great the 1st time (about 2 hours usage). Then 3 days later I tried them and they would not connect to any devices. I charged them for an hour and per instructions the indicator went off signaling they were charged and I still was unable to connect to devices. Super bummed. Returning them. :(
6,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",2.0 out of 5 stars,"I bought this pair of headphones on Amazon Prime Day when the price was at a low point and unfortunately have had issues with them charging since they arrived. I charged the case and the buds to full on arrival (film removed from buds as well) and the earbuds do not retain a full 2 hour charge as advertised.

I contacted the company and kindly requested a replacement unit and the response I received was ""We are sorry that we are unable to arrange a replacement for you because the price is for mistake at that time and these cause a lot of loss for us.""

They offered a refund for my price point, but I don't want the small refund, I want a pair of ear buds that work. They sound great when they're actually charged and I had no issues with dropping signal to either earbud, but if they only work for 20 minutes they aren't worth much."
7,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",5.0 out of 5 stars,"This is the best TWS I have found so far! I have tried many many brands, IOUIOU(tried two different sets!), Parihy, Soundmoov, Losei, QCY, and so on. They all have the same characteristics: right ear cuts in and out, weak connection. They all have good sound quality but very weak signal. Very disturbing to use. This one surprises me as it is not the most expensive one but sounds great and maintains the connection. I wear it while I jogging in my neighborhood and there is not once an interruption. Easy to connect to cell phone. One thing some people may not like about it is the size of the ear buds is the comparable larger than those previous brands. I think this is also why it has strong signals. Battery is a bit short like 2 hours or so depending on how loud you listen to your music. When you buy a set of earbuds, you want to be able to listen to the music without distraction. So far, this is the best."
8,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",5.0 out of 5 stars,"Well, I wasn’t sure how well these were going to work with all of the negative reviews. However, I don’t think it’s the excitement of getting a new toy! I have used these to listen to my music on my iPhone 6, and I was blown away! They sound amazing! The only thing I would say is if you have kids or someone else you take care of, make sure somebody else is home with you! These earbuds block ALL outside noise! I only had my volume up halfway and I snapped my fingers next to my ear & couldn’t hear it! I’m buying more of these for Christmas gifts! Absolutely amazing. Oh, they also come with a 1 yr. hassle free warranty & a free 6 month extended warranty! That’s crazy for the price! Love them! Glad I bought them for my early Christmas present! Haha"
9,"Bluetooth Headphones, Otium True Wireless Earbuds Stereo Dual V4.2...",3.0 out of 5 stars,"I can't figure these things out.. When I get them to work the, sound is great. However, I will charge them on the charger and then try to turn them on and it'll connect and 5 minutes later it'll warn me low battery. It also says you can use one while the other is on the charger. But the main earphone is the Left ear and if the left ear is dead I can NEVER get the right ear to connect. They do fit perfectly in your ear and I have been able to workout while wearing them without any problems. Just wish I could figure out how the pairing thing as its not easy to pair with your phone every single time."
