,Product,Ratings,Reviews
0,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"I use these for workouts and yardwork, and can honestly say it gets the job done. They stay in my ear with no problems, and have great sound quality. I was actually amazed at how good everything sounded, they sound as good as my Klipsch S6i - which at the time of writing cost around $60. Pairing to my phone is a breeze, and I find that the battery lasts a very long time before needing to be recharged. The wire connecting the headphones is flat, which from my experience means that it is alot less prone to being tangled that ordinary headphones. All in all, I am happy with the purchase, and would not hesitate to buy another pair."
1,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"These are my first pair of Bluetooth headphones. I really like that they speak when you turn them on and off. They were very easy to pair , and the connection seems solid.I did leave my phone on a table and walked around 20-30 fet away and still had music. The bass on these is not too deep but, my music did not have deep bass to it. I was able to use the earpiece that came installed and they were quite comfortable. I have worn them during some semi vigorous activity and they stayed in place with no problems."
2,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"Massachusetts is planning on going Handsfree for cell phones. So, I think these might be an alternative. When I saw them I thought what a great way for not losing the ear bud it's attached for both ears. Gonna have to read the laws on driving with head phones. Most states it's frowned upon. But, to use the tread mill or to go outside or the track for a walk it would really be a great idea. I can leave my phone in my car An set the blue tooth for the ear buds."
3,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"Very comfortable with three sets of replaceable ear plugs. Works great with my iPhone and Mac pro.
Like the control for volume and track. Hard cover case provides good protection and easy to carry."
4,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"I mostly use these headphones for working out. Sound is excellent, Bluetooth is flawless - including call clarity the few times I've used it - and they seem to hold a charge for the stated 8-9 hours of continuous play. Save some $$$ and get these!

Update: These started acting odd - disconnecting from Bluetooth and then shutting down - after about a month of use. Seemed to happen most when working out, possibly a moisture issue as normal function returned after a day or two. Now, two months into use, they refuse to connect to my phone or other Bluetooth devices at all. I've contacted Otium about a replacement. Will update when I hear back."
5,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,Really nice headphone. It can active a music so well. I also like the appearance of this device！
6,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"It's a compact Bluetooth in-ear headphone with cyber look design. It totally surprised me with its audio quality for small body at this such price. Comparing to my Bose QC 35, It definitely is not at the same sound quality level, but considering a fifteenth price, it will win."
7,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,"Love these headphones, the signal is strong so that i can listen to music with no issues with my phone being across the room and had no issues with dropped signals. They have great balanced sound with nice but not overpowering bass and feel quite comfortable while wearing them. The design is nice and won't fall when moving so these are decent headphones for jogging. this is a great deal for 24$ as these have outperformed 60/70$ headphones in terms of quality. Good buy"
8,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",1.0 out of 5 stars,"I had high hopes for these headphones. After looking through many other headphones and their reviews, I chose to purchase this pair. It seemed like a great deal price to performance wise. The headphones had quality sound and were comfortable.

Now, fast forward to 3 months later. The headphones worked fine until one day at the gym. The right side of the headphones stopped working. The sound went in and out for a while until it immediately ceased to work. I put the headphones in a bowl of rice to see if it was due to sweat seeping in, but isn’t that why they’re IPX7? After a night in the grains, nothing changed. I thought these headphones were the one, but now I’m stuck with listening to only leftsided audio. I’m very disappointed.

Thank you for your time."
9,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports...",5.0 out of 5 stars,I had another cheap pair of wireless headphones but those blow those out of the water! I love the sound and how you can control your music from the ear piece. I don't have a problem with these slipping off or anything as they fit secure around my ears. I've been using these at the gym for about 2 months now & I really love them. Definitely recommend!
