,Comments,Date,Product,Ratings,Reviews,Title
0,14 people found this helpful. Was this review helpful to you?, May 3 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"Economic, lightweight quality. What should one expect for headphones costing under six dollars? If your expectations are realistic, you will be pleasantly surprised with these. I was looking for a quick easy fix, and found it in these namebrand phones with prime shipping to my door in two days. I've used them for about a week. They are in fact very lightweight and comfortable. They fit firmly atop my ears (firmly enough not to slide or shake off requiring readjustment during normal use) and do not create any pressure points on the cartilage of my ear (3 to 5 hours average time per use). As to their sound quality (remember, six bucks) I'm quite pleased. I find the biggest difference is the source material, as much of what I'm listening to his web based – streaming music, YouTube, Netflix, Amazon prime video/music – and quality audio varies from clip to clip, let alone source. At six dollars, there was virtually no competition. Bargain bin, no name, knockoff earphones from Walmart, CVS, T.J. Maxx (and the like) economy electronics' section are more expensive and hardly as reliable as Panasonic. Will I be lost in the experience as a blissful audiophile? NO WAY! Will I be able to hear what I'm listening to? No doubt! ... And that's the point","I was looking for a quick easy fix, and found it in these namebrand phones ..."
1,25 people found this helpful. Was this review helpful to you?, April 12 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"Best pair of cheap headphones I have ever purchase. Lightweight, great sound. They are a cheap plastic and won't last forever, I am sure, but they are just going to sit at my desk to use at the computer, and at this price I can replace them in a few months and feel fine. Good choice.",Gret Value for the Price
2,9 people found this helpful. Was this review helpful to you?, October 4 2017,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"This is my 4th pair of RP-HT21s. They cannot be beat as the ""bang for your buck"" champion. The sound is amazing with great bottom end. I was shocked the first time I listened to them and could hear so much more in the music. And the best part is the comfort of these headphones. I wear them for hours at my desk and never have any pain in my head, ears, or neck. They just sit there. You notice the great sound but never notice the feel of the headphones. This is coming from a guy with a huge head, I have trouble buying hats because they usually don't fit.",The sound is amazing with great bottom end
3,5 people found this helpful. Was this review helpful to you?, October 17 2017,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"The perfect cheapo headphones. I take one to work, keep one upstairs, one downstairs, one in my travel bag, etc. They are great because they work adequately and they are fairly durable, but they cost so little. Eventually the form will wear away, the plastic piece that helps hold them to size will break away, and they'll just become more and more beat up. But they last long enough that they are totally worth it. Each pair seems to last me a couple of years with daily use. They are perfect for more risky situations where you may have concern your equipment could get banged up or lost, or kids might get a hold of them. If they get smashed, who cares. Buy another. I bought like 4 or 5 of these. Totally worth it for situations where you don't want to take your expensive headphones.

Sound quality is acceptable. If you're an audiophile, then you won't be satisfied with the quality. I use them for video streaming, video games, listening to music, etc and it always seems ok to me. They don't drown out external noise much though, so if you're in a noisy environment, it's not going to work out well.","Great value, perfect for more risky situations"
4,11 people found this helpful. Was this review helpful to you?, December 12 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"I bought my first pair of these for full price of $5.95 in December of 2013 and have never accepted discounted products. My rating criteria is as follows. If the product works as is advertised and the quality is in line with the price then I give it five stars tentatively, then deduct stars for usability problems, functionality problems, flaws, quality, etc.

I've actually bought many pairs of these headphones for myself and others, and all have been of very high initial quality, and of good durability, with the price ranging up to $12 and back down to around $7.

Its hard to evaluate sound quality, and I have never had the desire or cash to spend more than $25 on headphones. But for the price I have been very happy--I've never said to myself, ""I wish these were louder,"" or ""I wish these sounded different,"" or anything else like that. I guess my thought is that if you know enough to critically evaluate a pair of headphones beyond those two questions, you probably wouldn't buy them on the Internet where you can't listen first. I've bought a couple other pairs of sub-$10 headphones for my wife and kids, and these are the loudest, best and longest lasting, but they insist on earbud style so they haven't switched to these full time.

I don't like in-ear headphones because they tend to fall out of me ears, and eventually just get uncomfortable after an hour or so. I guess I have a sensitive head, because I have quit using other headphones before because they squeeze too hard or the foam doesn't do its job. These are comfortable enough for me that I can watch a movie on an airplane without discomfort.

For a decent pair of headphones, you won't go wrong here. There may be better choices, but after listening to a couple other pairs that my family uses, if I needed a new pair of headphones I wouldn't even look at anything else.

As for durability, these have been very good for me. I'm not a person who uses headphones multiple times per day, so I can't comment on how durable they are with constant, heavy use.","Great choice for most users, inexpensive, loud, comfortable"
5,4 people found this helpful. Was this review helpful to you?, March 15 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"Oddly, some of the best headphones I've ever experienced and at an extremely affordable price. I don't know why, but most headphones, usually cause me to get headaches, or the make my ears hurt from the constant pressure, so I've steered away from headphones and have mostly opted for earbuds the past couple of years. I needed a new listening device and decided I might as well get some earphones and seeing that these were pretty cheap I decided to try it. I got TWO btw. Was going to give one to my little brother, but I'm keeping them both now xD lol

They are super comfortable. They don't give me headaches, or make my ears hurt at all. They're really flexible and comfortable over my head, I don't feel them at all when I'm using them to play something. In fact, I forget I have them on. I'm not saying they're the best ever, but for the price and from my experience, they're well worth it. They also work very well to block out some noise. It doesn't block everything out say like Beats, but they block out enough sound so that with your sound playing, you can't hear other things outside of your space.",GREAT Headphones for a great price.
6,4 people found this helpful. Was this review helpful to you?, April 4 2017,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"I needed cheap headphones with no frills to use for ipods, tablets, and laptops. This fit the bill perfectly. Bought a few to scatter around the house and I've been using them for 5+ months so far with no visible wear and tear.

Sound is good. Small. Fits my big-ish head.

Only complaint is that I can't use it for too long because it presses on my ears, but for $6, this little headphone has exceeded all my expectations.",good for the price
7,2 people found this helpful. Was this review helpful to you?, April 11 2017,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"I just got the headset today. I am very pleased with the quality. The bass is surprisingly good ! am always on the hunt for items that I can use by myself because I have several disabilities. I could not put them on without help, but this has nothing to do with the performance of the headset ! With this headset being so comfortable, I will have no discomfort if I fall asleep watching TV. I added my HonShoop .dongle, and turned the headset into a Blu-tooth headset ! The call and answering is very clear. Like others have said, you get a good product for a good price. I hope the price doesn't increase.
UPDATE; I had trouble getting them on , I was putting them on backwards ! So now that I got the right and left correct, I can slide them on like eye glasses and stand them up.I wore them all day yesterday and night, no pain ! : )",very good quality
8,4 people found this helpful. Was this review helpful to you?, June 25 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"At under 7.00, these headphones sound incredibly clear with excellent bass.
I use these with a Sanza Fuze, and an iPod Classic 160gb when exercising.
The Apple ear-pods would do well to sound 1/3 as good as these.
And on the Sanza Fuze 4gb (which is the best sounding portable) the sound is oh,
so satisfying. Not audiophile quality, but way better than your typical ear-buds.
Safer too, if you're out running a few miles. (don't play them too loud and you
will be able to hear people or cars approaching)

And at a sub-7-dollar price, these phones can be replaced painlessly.
Amazing value!",An amazing value under 7.00 USD.
9,2 people found this helpful. Was this review helpful to you?, April 4 2016,Panasonic On-Ear Stereo Headphones RP-HT21 (Black & Silver)...,5.0 out of 5 stars,"These headphones really pack a punch for the price! Its hard to find good on-ear headphones these days without looking you've got cans coming out of your ears. I wear hearing aids, and a lot of the time the cups on a lot of headphones, even more so with cheep headphones, make my hearing aids give feedback. With on-ear headphones this is not the case and I can mostly wear them on top of my hearing aids or pull them to in front of below my ears and still hear them. I can also hear conversations going on around me, and no one has to shout at me to get my attenion.
After reading a lot of the reviews of these headphones, I ordered them. They are lite, and the headband is nice and big. I can see them giving some trouble with someone with a smaller head, but for the most part this shouldn't have a problem. The padding is also nice. It doesn't feel scrachy to the hand, and more importently to the ears. You could easily wear these headphones for hours while doing some work on the computer, or while listenning to some audio around the house. The cord is nice and long so you could step away from a tablet or a computer or stuff the extra cord into your pocket along with your phone if you're moving around.
The sound for these headphones is great. You get a lot of the highs, a lot of the lows, and surprisingly a lot of bass. I'm no audiofile, but I couldn't be happier with these headphones. For such lite headphones the sound is great! If you're not expecting a great sound for 50+ headphones, these headphones I'd say sound anywhere from $10 to $30. If you know the limitiations of these headphones and don't expect them to sound like a $100+ pare of cans, you'll be surprised at how well these little guys sound.
I wouldn't use these at an office, unless its your home office though, on-ear headphones tend to leek a lot of sound. If you don't like or want to use earbuds, and don't want to look like you've got two cans on the sides of your head, these headphones fit the bill. This is one set of headphones I'll be buying again.",These lite headphones pack a punch for the money
