,Product,Ratings,Reviews
0,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"In short, these are the best IEM's I've ever tried, but I'm not 100% convinced that they're worth $300.

I'm not really an audiophile, but I did a lot of research on IEMs (earbuds that sit deep in the ear), and I thoroughly tested a few of my finalists. So, in this review I'm going to compare the Shure SE215's ($99), Shure SE425's ($299), and Etymotic Research ER-4PT's ($299). My main selection criteria were comfort, sound quality, and ability to block out outside noise (note that for this reason I first tried the Bose QuietComfort 20i's, but the active noise canceling pressure made my ears hurt).

SHORT SUMMARY: I easily recommend the SE215's in terms of price-performance; but, if you have more to spend then get the SE425's. The ER-4PT's are very crisp, but they have some significant physical downsides.

LONGER REVIEW:

First of all, I hear that it's important to choose headphones based on the kind of music that you listen to. So, for my tests, I used ten songs representing my favorite genres of EDM (house/trance), synthpop, and pop rock. Songs included Instant Crush (Daft Punk), Good Morning Kaia (BT), Crush (Dave Matthews Band), and A Sky Full of Stars (Coldplay).

Overall, the SE215's are excellent, especially for the price. When switching back and forth between them and the 425's, I could notice a clear difference, but not necessarily a $200 difference. If $200 isn't a huge deal to you, definitely get the 425's; but, I think you'd have to be a very discerning listener to really appreciate the increase in quality.

So what's better about them? Everything is clearer. After listening to the 425's, the 215's feel almost like a light blanket was thrown over the speaker -- everything is just a little muddier and the individual instruments are less clear. There's less separation between the layers. But again, this wasn't a dramatic difference, so you'd still be very safe with the 215's (and I understand that $300 is an insane amount of money for most people to spend on earbuds).

What about the ER-4PT's? They were even clearer, but almost clinically so. It felt a bit like I was in a perfectly empty room listening to every little nuance of the sound, but that sound was less warm than that of the Shures. To be honest, though, this difference was minimal -- in most cases, there wasn't a hugely noticeable difference between the ER-4PT's and the SE425's. I most preferred the Etymotics in songs involving crisp cymbals and complex background noises; but again, it wasn't a huge difference, and overall I slightly preferred the warmer bass of the Shures.

More importantly, I found two dealbreakers that meant I couldn't keep the Etymotics: (1) That crisp clarity of sound sadly translated to the wire as well; every time I moved my head I could powerfully feel/hear the wire moving, to the point that it was quite distracting. I believe that this is called microphonics. (2) The plastic piece connecting the wire going to each ear was surprisingly heavy, to the point that its weight very quickly became annoying compared to the other earbuds.

The other nice thing about the Shures is how easily they slip into your ears. Fair warning that it took me a while to figure out how to get them in right -- I was about to return them because it was so confusing at first, but I watched a youtube video and realized you have to actually significantly bend the rubbery part. Once you get the hang of it, it's extremely fast and easy to fit them in compared to the Etymotics that I really had to work in every time while holding my ear open with my other hand.

So, like I said, I recommend either one of the Shures depending on how much money you can spare on headphones. One other tip, by the way: Be very careful about trying all the different types of tips that are included. I noticed a dramatic difference when I finally found the right set that made a truly tight seal in my ear canal -- the bass became significantly stronger and the overall sound became tighter and cleaner.

Overall, I definitely recommend IEMs over regular earbuds (unless you're riding a bike or something that demands attention), but keep in mind that none of these will fully block out nearby voices on their own -- I needed to play white noise or music to achieve the true isolation I was looking for.

UPDATE AFTER ANOTHER WEEK:

After going back and forth some more between these and the 215's, I can safely say that the 425's are clearly better for anything but casual background listening. For certain songs especially, the 215's now sound like they're covered in a blanket when immediately compared to the 425's -- they're just much duller, muted, and bass-heavy. I'd still certainly recommend them for the price, but I've decided to spend a little more and keep the 425's."
1,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,3.0 out of 5 stars,"I purchased these in December 2014, upgrading after owning the SE215-K and SE315-K. The sound quality is great, and a distinct improvement over the prior two. But other reviewers have spoken to that.

Yesterday when I went to remove the earbuds from my ear, the plastic at the base of the sleeve where it connects to the main body broke. This happened a few months ago, to the left side. I was able to send it in to be repaired, and I expect to be able to do so again under the 2-year warantee. However, this seems to be a weakness in the design that causes it to wear out after a bit over a year.

UPDATE: Original purchase: 12/2014 ; Left side sent for repair: 11/2015 ; Right side sent for repair: 9/2016

For $300, I expect the ear buds themselves to last for many years even if I have to replace the cables. So I would not buy these again."
2,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,4.0 out of 5 stars,"I have now owned these, the 215 and 315. I still have and use the 315's as my work headphones. I noticed a difference between the 215 and 315, but honestly, I can't tell the difference between the 315 and 425, except that I paid an extra $100 for them.

That said, the 315 sounds great and is all-day comfortable. I wore them for 8+ hours a day on multiple weekends last summer while working on a project in the backyard. I was running a table, mitre or circular saw all day long, and not only did they effectively block the noise from my saws, I could clearly hear the music above the noise of those saws without ever having to increase the volume of my music beyond what was comfortable without the saws running.

In short, the 425 is a nice earbud, but I can't say it's a dramatic leap in build or sound quality over the 315. As a tip, the black cable is less durable than the clear cable. Go for the clear."
3,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,3.0 out of 5 stars,"These headphones sound great. If you have done your homework you know these are not big heavy bass filled buds, and that is completely true. But the audio is crisp and clean, and I have never felt/experienced such a great and comfortable fit- in terms of both comfort and sound isolation. The cord wrapping around your ear design is very cool, though a little less convenient for those with glasses I found.

The replaceable cord is an awesome idea. In reality I found my left earbud in particular would disconnect quite easily. I could easily slide the right one in but about half the time on the left one the cord would pop out. A couple times while quickly wrapping the cord up after work a bud would fling off. For this reason I ended up returning them- I suspect my pair was defective because of how much easier the left bud came disconnected, but even still I found it a nuisance.

Verdict: If you are not worried about the price tag, and are looking for fantastic ear buds for the home or use with an instrument, I would definitely recommend these. If you are looking for earbuds to wear daily on the go, I would avoid. I bought them hoping to do double duty, but I was hoping for too much, will buy separate piano headphones and music earbuds :)"
4,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"I finally broke my Shure E3C earbuds after almost seven years of faithful service. I crazy glued the stem back onto the earbud and the buds still work, but I felt nervous about the stem breaking again and getting stuck in my ear. So I decided to get a new set and was wavering between the SE315's and the SE425's. The 315's are probably close to the equivalent to what I was replacing, but the other reviews I read for the 425's praised their better bass response (deep, but clean), the wider range, and the superior noise isolation. So I decided to spend the extra hundred dollars to upgrade to the 425's. I am very happy that I did. My old E3C's were great, and I would guess the SE315's would be equally good, but the 425's are a significant step up. I have a wide taste in music but at least half the time I am listening to classical, so strong, clean bass, and a wide range to handle every orchestra instrument and the occasional classical vocal piece are essential. I'm also in airplanes every week so sound isolation is important.

I might mention that in addition to my old E3C's I also have a set of Bose Quiet Comfort 15's, bought when I thought noise cancellation might be better than noise isolation. I was wrong. The Bose are great at killing jet engine noise, and are truly eye-watering in a turboprop, but they don't cancel out babies and rude adults. The E3C's did a pretty good job of those problems, but the 425's are really amazing when it comes to sound isolation. With no music playing, I can still hear conversations, but they are very muffled. With music playing, even at fairly low levels, there is no ambient noise to intrude. Somehow, Shure tweaked the angle of the earbuds so they get a perfect seal. That being said, the 425's would be truly dangerous to wear while jogging or cycling.

So about the sound quality of the 425's. Better than the E3C's; better than the Bose QC15's - but not quite at the audiophile level. My guess is you need to spend considerably more to get something that will sound as good as a quality THX-certified home surround system. On my home system, I can pick out exactly where a particular orchestra instrument is placed. Can't do that with the 425's but the stereo separation is very good and gives you the full depth you would expect. The quality of the 425's allow me to listen at lower volume levels, which is far less fatiguing (and quite a bit better for the ears!). The quality of the bass presentation I noticed when I played my Boston Pops recording of 76 Trombones. This piece has bass and kettle drums plus a tuba. On my E3C's and the Bose QC15's all three instruments sound the same and kind of mush together. On the 425's I can hear the difference between the drums and the tuba, and the sounds remain distinct. If you've never used noise isolating earbuds before, it is absolutely critical to get a good seal in your ear - otherwise the bass will be very weak. If you can clearly hear the conversations around you, you don't have a good seal. Conversations should sound almost like you're under water if you have the earbuds inserted correctly.

A couple quibble points. As other reviewers mention, getting the foam sleeves off that the 425's ship with is no small task. Even using the trick of putting them in the freezer isn't a quick fix. Knowing that the stems the sleeves fit on are fragile, it took me almost 15 minutes of gentle twisting and pulling to get the foam sleeves off. Hey Shure, how about shipping the 425's without the sleeves installed? The good news is, if you don't use foam sleeves, the other sleeves (soft rubber in three sizes, and yellow memory foam) are much easier to get on and off. And once you find the right sleeve for you, you will never have to mess with that problem again. The other quibble I have is the semi-rigid, 3"" wire cover adjacent to the bud. This wire should be bent to the curvature of the outside of your ear to help keep the bud securely installed. It absolutely does that; there is no way these buds are going to fall out accidentally. But the wire also makes the buds much harder to install in the first place. Getting the buds inserted and secured is a two-hand task, and takes a while even once you think you have the hang of it.

If the quality of sound and excellent noise isolation are critical to you,and you don't plan to use them for jogging or cycling, and you can live with the quibbles I mentioned, these are the earbuds to buy!"
5,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"I still marvel at it! A phenomenal achievement. NOT for bassheads. Dual balanced armature (not dynamic) driver, with a very capable, built in cross-over network, the SE425's offers an analytical interpretation of the audiophile experience. Bass is ample, when it is indicated in the mastering of the track, but it shines in its above average rendering of upper-mids to highs. Shure's signature sound is to emphasis the uppers and high mids, so it is true to that sound. To this day, after owning it for over 6 months now, I still marvel at its capability. It is accurate and detailed, without being fatiguing, and the sound stage, tho not vast, is good enough. My only reservation is to perhaps invest in the SE535's for a fuller expression of the low mids, to lows. I often tinker with the idea of upgrading to the 535's or even the SE846's."
6,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"Amazing, very accurate sound from an earphone. They have a more realistic spacious sound than the SE210s I had before these. Other headphones that emphasize bass or some other range make some music sound great and other music sound really crummy. These ones make all music sound great. Some might complain that the bass sounds weak, but that's because they're used to 'phones that exaggerate bass. Bass can be made to *almost* thump on these using equalizer settings on a player, but most of the time it sounds better without.

I've had them for close to a year and a half now. It takes some practice before you get used to putting them in, but once you've got it down, the new shape is great and lets them lie flatter in your ear. Having the wire go around your ear reduces cable noise when you move around. The included selection of sleeves is excellent, though after trying a bunch I ended up using the ones that came pre-installed, the 2-dot black foam ones. They can be a little finicky to get in correctly, but if done right they stay comfortable for extended listening sessions.

Having the cable be replaceable is brilliant, and more high end headphones need to start doing it. Headphone wires always seem to eventually get brittle when I use them, something about my skin oil I think. This one is the only one I've used for this long that hasn't, so it's an excellent quality cable, but I'm still very glad it will be replaceable when something finally does happen to it.

The cable is absurdly long at 60 inches. This would be great for use with a stereo or desktop computer. For portable use you end up with quite a bit of extra cable. I preferred the older way, where the cable is just long enough for a phone or iPod in a shirt pocket, and an extension wire is included for when you want it longer. I ultimately ended up cutting it to a more sensible length and splicing it together. If they offered a shorter one as an accessory, I'd have bought that."
7,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"I love these headphones. They are, by far, the best headphones I have ever owned, or even used for that matter. My only complaint is that I wish they produced more bass, but I was warned and made aware of that before I bought them. They are comfortable for hours on end; although for the first few days to a week, after a few hours they become uncomfortable, but after that you get used to them and it is no longer an issue. They also stay put. They will not fall out even if you pull, hard, on them. To really appreciate these, you need a high quality audio source, but they offer an improvement with any audio source. Also, removing the foam tips that come attached from the factory is very difficult, but once you change them the first time it gets easier after that. I had to pull so hard I thought I was going to break the headphones or tear the foam tips. My complaints are pretty minor though and the pros far outweigh any minor issues. I would highly recommend these to anyone. I will always buy Shure headphones in the future, as long as I can afford them."
8,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,2.0 out of 5 stars,"After all the rave reviews I was looking forward to getting these. I have never had in-the-ear phones before, so maybe it is just me, but I could get practically no bass out of these. I tried several of different size/type of ""inserts"" with them, but unless I forcibly kept them pushed into my ear canal, no bass. Tried all different types of music/songs. I was only able to get fairly decent low end when I hooked up my mp3 player through a FiiO A5 headphone amp, with output boost and bass boost on. Also had bass boosted in my mp3 player EQ. They did have excellent clear high and mid range (and bass when I forced the issue). So these headphones didn't work out for me and I returned them."
9,Shure SE425-CL Sound Isolating Earphones with Dual High Definition...,5.0 out of 5 stars,"Absolutely love these headphones. I am a drummer and use them for personal playing, gigs and in church. The dual drives are great for my needs, I wouldn't want a single drive for my needs. The amount of tips it comes with are nice to have, it gives you options for a comfortable fit or different places you are playing in.

The fit and comfort is superb. I found initially they didn't pick up the low ends, but after using them more and breaking them in they pick up the low ends better. Really making a nice balanced sound; which is great playing live as you want to hear all the instruments and vocalists.

I would buy again, but with shure's quality they should last quite awhile."
