,Product,Ratings,Reviews
0,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"Bose IE2i and Bose AE2
I had a pair of Bose IE2i to listen to music when in my office, studying, running, gym, etc. I also had a pair of Bose AE2 that I used to play my electric drum set. I got tired of the IE2i and stopped using them altogether because those do not isolate any noises whatsoever. Like the new Bose SoundSport the earphone tips/buds are extremely comfortable, but you can hear every single noise from outside. I tried to use the IE2i in several 5-hr flights and they are useless. The AE2 sounded very good and isolated some noise. Enough to enjoy using them with my drumkit, but not enough to use on a plane ride.

SE425
Fantastic mid-range, poor bass and low-end; low impedance; long and strong cord; ability to replace only the cord if broken. Very comfortable behind-the-ear cord and position on the ear with great noise isolation. Given their lack of low-range these could not satisfy my needs. Expensive.

Bose SoundTrue Ultra in-ear STIE
Great balanced sound; strong bass; short and thin/flimsy cord; includes iPhone controls. Very comfortable silicone tips that provide great noise isolation, but you can hear the cord touching against any surface. Easy and fast to take on/off. The earphones wiggle a bit when running, though not enough to break the sound seal. Relatively expensive.

SE215
Great balanced sound; strong bass; low impedance; long and strong cord, ability to replace only the cord if broken. Very comfortable behind-the-ear cord and position on the ear with great noise isolation. I can hear comfortably with 2/16 volume bars from the iPhone. Used 5/16 volume bars on the iPhone when running with 15 mph winds and was amazing. After a learning curve, you get used to quickly putting them on/off. Inexpensive.

Overall

I got the SE425 first and discarded them for their lack of bass. I couldn't notice much of a sound difference between the STIE and the SE215. The SE215 have a lower impedance and thus sound louder but the quality is, to me, quite comparable (My suggestion: get a tight seal, don't go too deep into your ear). The benefits of the SE215 suit my overall needs better and ended up choosing these.

Notes

1. I will post this same review in all three products hoping others will find it useful.

2. I am traveling in a couple of days and if I find a good store in an airport that will let me try the SE535 I will make an update to this post. The SE535 are supposed to be as good as the SE425 with the bass that the latter so deeply lack.

******UPDATE******

A store at the Chicage O'Hare airport let me try the SE535. Here is my short review:

SE535
Fantastic balanced sound; great bass and low-end; low-enough impedance; long and strong cord, ability to replace only the cord if broken. Very comfortable behind-the-ear cord and position on the ear with great noise isolation. Many eartips to try for different occassions (e.g. biking, office, airplane). I can hear comfortably with 2/16 volume bars from the iPhone. With 3/16 volume bars on iPhone 5S the sound is astonishing, lead guitar doesn't sound over rythm guitar, bass and drums sound great and all sounds are complimenting one another as opposed to fighting over which is the primary sounding one. I use them for running, biking, skating, working out, in the office, at the library, coffee shop, in the car (passenger), on airplanes, and with my Roland TD30-KV electric drumkit. I never need more than 4/16 volume bars on my iPhone 5S. I specially like the versatility of these IEMs and quality of their sound. Expensive.

I sincerely hope you find this review helpful!"
1,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,4.0 out of 5 stars,"I'm an audiophile that likes to get out and walk around while listening to music, so I've always aimed to get the most I can out of portable equipment. Using my iPhone 6 Plus with Spotify and Tidal Lossless, I listened through a pair of Beyerdynamic DT-990s (250ohm) powered by a FiiO E12 I carry around in my back pocket. This setup, for me, remains unbeatable in terms of audio quality; it's like a concert on your head. But unforeseen circumstances made me seek out my first pair of IEMs in a long time.

The last IEM I owned was the Klipsch Image S4, a popular one at the time that was widely praised for sounding 10x what it cost. But I knew I'd need something at least as good as my DT-990s if I really wanted to be satisfied; or at least, I'd need something that could give me that ""Wow"" when a song comes on I haven't heard before and I can hear every detail.

I'll tell it to you straight, if you're a fan of open-back headphones - hell, any headphones that sit on your ears at all - odds are you aren't going to find an IEM that can live up to that experience, at least not without paying an insane price for it. At $500, the Shure SE535 should be the headphone that at least meets you halfway, and I can say that it just about does. But this is not an IEM with that ""Wow!"" factor.. actually it seems to be an actively anti-""Wow"" pair of headphones. Take these out of the box and (after fiddling for several minutes) get them in your ear, the first thing you'll notice: they're damn comfortable for IEMs, mostly thanks to their smart but annoying design by which they basically hang on your ears. Now, turn on your favorite song, here it comes!... annnd... fizzle. Wait... what is this? Is this what I paid $500 for..? Are you kidding me?! This is the point where you have to have a little patience, giving your brain time to adjust to the new sound and the headphones time to show you what they can really do. Two words that should be printed on the bottom of the box: Keep Listening. Play song after song, and oddly enough, you'll find they start sounding better and better, and the SE535's character really starts to come out. The most forward, gorgeous rocking mids I've heard in probably any pair of headphones. The highs are so wonderfully detailed and flavorful, when singers hit those super high notes that would normally make you cringe in fear of pain, you instead feel an almost orgasmic sensation in the center of your brain, like their voice is reaching all the way into your brain and bouncing around in your skull. The lows and bass are understated, but certainly there, and they come out when they need to.. but hardly ever otherwise. This kind of sound profile actually has the unusual effect of making old, say pre-1940s vinyl recordings and mono mixes, sound amazing; listening to Jimmie Rodgers yodeling T For Texas sounds like having him right in front of you (don't let him sneeze on you). I was impressed by how much character these IEMs have, despite my initial disappointment that they didn't live up to my (perhaps absurd) expectations. All in all, I'll just break it down into pros and cons, so you can decide for yourself whether these are right for you in 2015.

Pros:
-Quite comfortable, and the box includes a ton of different ear tips to choose from. The box, by the way, includes many useful accessories, like cables and a well built hard case that can easily fit in your pocket.
-Orgasmic mids and highs
-Great soundstage for an IEM with good isolation as well, a rare combination.
-Full of character, but not overstated; the music sounds fun, without compromising the detail.

Cons:
-Same design that makes it so comfortable makes it incredibly annoying to put on, as you have to lay the cord over your ear; this becomes profoundly more irritating if you have long hair.
-Lows are understated and this seems to cost on sharpness and detail; instruments, for example, are more difficult to tell apart despite the 535's good soundstage. Bass is there, but has little punch or character.
-A little too expensive for what you're getting. But this is also the best IEM I've ever owned, and I haven't owned many.

Recommendations:

I strongly recommend using an amplifier with the 535. It will bring out MUCH more detail and really push the IEMs to their full advantage. Not all headphones, particularly IEMs, benefit from amping but these definitely do. The lacking of bass can be corrected entirely with a proper amp, and the 535 handles a thumping bass excellently. I'm using the FiiO E12 I was using previously with my DT-990s, which is sort of overkill for a pair of IEMs, but it does sound heavenly- just be sure to be careful with the volume on any amplifier, as the 535's are low impendence and don't need much juice to get them going."
2,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,4.0 out of 5 stars,"These are my third Shure earphones. First purchase was the SE530PTH back in 2010. Upgraded to SE535-CL in 2012. I fly a lot and usually on long flights (10+ hours) and found these to be the best for sound, comfort, and for blocking out all the noise on a plane. I like that they are in-ear and not over the ear like other noise-cancelling headphones. I often fall asleep on a plane while listening to music. I can get comfortable and twist and turn and not have to worry about what position my head is in. I've tried the Bose and Sennheiser earbuds and think the Shure are much better for sound and fit.

Shure's customer service is great. Over the past 8 years I've only had a couple of issues. Fortunately, it happened while the earphones were covered by their warranty. Shure replaced earphone assemblies without any hassle. I lost my SE535-CL last week and had to get them replaced before my next trip. I decided to pay $50 more to get the limited edition SE535LTD because they have a slim volume control in the photo on Amazon. The SE530PTH I bought back in 2010 had volume controls, but they were very bulky.

The SE535LTD comes with 2 sets of cables. One has the slim in-line volume controls and one with a single button for ""Media phones"". There's isn't a cable with no controls. First improvement I noticed were with the new cables. They aren't as stiff as the SE535-CL cables and there's a nice bend in the connector (see photo). The bent connector rests comfortably on my ear, and the softer cables go over and behind my ear without having to tug on them. With the previous cables I had to occasionally tug them down to keep them over my ear. It comes with a bunch accessories including different sleeves, an adapter for the 2-pin plugs found on some aircraft, and an analog volume control. I used them for a couple hours with my Galaxy S7 Edge and, as expected, they sound great.

That being said, I can only give the SE535LTD 4 stars. I'm annoyed that for the super high price, Shure still doesn't include a cable with in-line volume controls that work with Android phones. One cable has only one button and is meant for placing calls (no volume controls). The other cable with the in-line volume control buttons only work with iPhones. I understand that back in 2010 iPhones had these fancy features and the Android phones didn't. It's 2018 and you can get in-line volume controls with cheap $10 earbuds, but I can't get them in my $500 Shure earphones? The analog volume control Shure provides is clunky and it's on a short ""leash"" (see photo). I would like to control the volume without having to pull my phone out my backpack or coat pocket. I would give the SE535LTD 5 stars if it wasn't for the lack of a good volume control option."
3,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"Beautiful clear realistic multilayered sound! Super comfortable. I’m a budding home recording artist, with a head injury that makes over-the-ear phones painful to wear. Being able to hear the subtleties of interwoven parts is so key to my work. If these weren’t so expensive I would wear them everywhere. Love the interchangeability with cords. I’ve tried the Klipsch headphones at the same price point. The klipsch had beautiful sound, but were heavy and very fragile feeling. These have equal if not better sound differentiation and superior volume control. They are also much more compatible with all my devices than the klipsch were. They are super comfortable for long sessions, and cancel out the noise, while still allowing you to hear your vocals and volume clearly.

I’m giving this 5 stars even though... As usual, Amazon’s idiot packing department packaged them in an oversized box with insufficient padding for electronics (one small piece of deflated plastic). Thankfully, these do not seem to have been damaged during shipping by their incompetence, unlike 2/3 of the electronics I’ve had to return to them due to crappy packing, resulting in product damage. FYI, Amazon’s packing department doesn’t care if your products are damaged during shipping, so just expect that you may have to return anything electronic at least once. Which is sad, because if they took more care with their shipping department, they would not have as many returns due to product malfunctions:("
4,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"I felt compelled to write a review of these IEMs having obsessed about them for months now.
They are all very good!
They should be for the price! Haha.

So where do I begin?
Most important, above all is sound quality.
They are all good with certain signature differences.

I have been using Etymotics for years.
Using the Etymotic hf3.
Excellent overall. Very accurate. Just not a lot of punch or presence to the bass.
It's there but doesn’t hit you over the head.

I tried other brands of phones and found them to sound inaccurate or sloppy.
I had some older Shure IEMs and I wanted to see if their newer models sounded better.
I tried the Shure SE315. and the Shure SE425.
Didn’t sound as good as my old model. Back they went.
Decided I would need triple drivers to get a significantly better sound.
Bought the Shure SE535. Lots of money!
And wow! Very impressive!
Having come from the Etymotics, the sound is very different.
Its warmer and slicker sounding. The voice range is a little less forward, which may be simply because the bass presence and detail is huge compared to the Etymotics.
The Shure SE535s are very entertaining to listen to.
More so than the Etymotics.
With the Shures, you feel more like you are being washed with music.
With the Etymotics, it just feels more like you are analyzing the sound.
There is way more punch and space to the sound in the Shure SE535s. Almost too much punch on certain tracks. 😳

Let me go back to the Etymotics.
I tried out the Etymotic ER4XR and the Etymotic ER4SR.
Very little discernible difference. Maybe slightly more bass presence with the XR.
I have been using the Etymotic hf3 for many years.
In my opinion, the hf3 sounds as good if not better than the ER4XR.
The reason is that the ER4XR has a higher impedance than the hf3.
On an iPhone, you have to turn up the volume essentially all the way to get the full sound out of the ER4XR.
This is not the case with the hf3s. They are good at 3/4 volume.
Makes a significant difference!
Other than that, there is maybe a slightly discernible improvement in separation on the ER4XR. But I mean slight.
Overall the hf3 sounds better. And they cost way less!

And there is another point.
Comfort.
This is a tricky issue when it comes to IEMs.
After trying to use the triple flange cone tips, I gave up do to discomfort and the scariness of sticking a little plastic Christmas tree up your ear canal.
I found that using the cylindrical foam tips created just as good a sealed fit and bass response as the ""tree"" did. So that is what I use.
The Soft Flex Sleeves are also an excellent alternative. Really good isolation and amazing bass response!
That brings me to the difference between the Etymotics and the Shures.
The Etymotics are simply more comfortable.
The drivers are smaller and weigh less than the Shures. Less of a pull on your ear structure.
Shures design is supposed to route the wire over and behind your ear.
I find this distracting and annoying in addition to being uncomfortable.
My solution is to let the wires remain in front of my ears, hanging down in front of me.
Much more comfortable. (See photos)
This however, necessitates using a shirt clip to cancel out the weight of the cord pulling on your ears. I bought some from Amazon. Works well to make the phones as weightless as possible.
With the Etymotics, this is less of an issue because the earpieces weigh so much less and the foam goes straight into your ear canal.
The Shures have to kind of sit on your ear structure. Not so comfortable.
I'm hoping over time that I will be bothered less and less by this slight pressure.
It is worth it to get the sonic results that the 535s deliver.

Back to the Shures.
I payed a very large amount for the 535s. For me they are worth it for the spectacular performance they deliver. I can only imagine how nice the Shure SE846s sound.
I just couldn't bring myself to spend one thousand dollars on IEMs. I do after all have a family to support! 😛

So I am happy I have both.
I will probably usually use my 535s for my daily commute to Manhattan.
But it's nice to switch out to the Etymotics for a lighter more Spartan sound signature.

Hope this review helps some of you out there.

With streaming music, it's like being a kid in a candy store every day.
And with these headphones, You can hear the candy really really well! 😊

Edit to this review: October 9, 2016

This is an important addition to this review!
I made a discovery about the importance of source input to the performance of the se535s.
I had been listening to my music with Apple Music.
I had been detecting a slight stridency to the overall sound of the headphones.
Thought it was the phones.
But then I tried using Spotify Premium with the 535s.
No stridency!
Virtually perfect reproduction of vocals, piano, strings, bass!
As much as it pains me to say it, looks like Spotify delivers a more accurate dynamic signal.
Both great music systems. But Spotify has a slightly warmer, more realistic sound.
Wow!"
5,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"I bought these earphones because I play electric guitar, and needed something good for in-ear monitoring. I had some older Shure earbuds, and those are good, but they don't have much bass. I was doing a recording recently, and was really struggling to hear the bass line. Not ok. So I did a bunch of research and decided on these. I think this was a good choice. Their sound is very clear, and covers the whole range. They are so forward and almost a little harsh that I find it a little difficult to listen to regular music with them, because they cause me some listening fatigue. I don't have this issue with my old earbuds, so that's a bit unexpected. However, I will say they are very clear, with crisp treble and good bass response. They are fantastic for in-ear monitoring of live music, which is what I got them for. So I'm happy. It was a good choice.

The only thing I don't like about these is they are a little difficult to put on. They have a bit of a funny shape, and it takes some practice to figure out the right orientation to put them on. Once they're on though, they fit snugly, and they're comfortable. They come with an assortment of earpieces. I ended up choosing the yellow foam earpieces, which are comfortable and give me a good seal, which is critical for getting good bass. They come with a little zipper case. There is not too much cord noise when wearing them, which is nice.

These easily get 5 stars."
6,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"I absolutely love these IEM's. One of the best purchases I have ever made. I have used them for 6 months now, for 6 plus hours a day, as IEMs, as a sound engineer, and at home for casual listening. They get better everyday. The response is amazing!"
7,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"I never thought I'd pay $100 for a set of in-ear earphones when I bought a pair of Shure SE215s several years ago. I'm still enjoying the 215s to this day, but the roll off on the high end was noticeable. I liked the comfort and the sound so much I wanted to try their bigger brother the SE535s to see if it improved on the high end. I wasn't disappointed - the 535s have a much better high end and a fuller mid-range. I really like them. However, there are some serious diminishing returns compared to their little brother. The 215s are 80% of the sound of these IEMs for about 25% of the price."
8,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,4.0 out of 5 stars,"I really like these phones. They have an excellent, full-range response. I use them with a Sennheiser EW300 system, and they're great. HOWEVER, you only get low-end on them if they're well-sealed. I had leaky, smaller tip on them so I could hear the un-microphoned pared of the band (drums and bass) and the bass from my guitar and vocals disappeared.

The reason I wouldn't give them five stars is that I got a pair of the new Westone AM30, and they just blow the 535s away in bass response, tonal quality, and have the added advantage of attenuated, ambient sound. If you're working in large performance venues where the whole band is coming through the mixer, and there are ambient microphones, these will work fine. However, if, like most musicians, you play in smaller places, there are better options."
9,Shure SE535-CL Sound Isolating Earphones with Triple High Definition...,5.0 out of 5 stars,"For three years, I owned the Shure 500PTH model, which is almost the same thing but without the detachable wires from the earbuds themselves and - based on reviews - slightly less acoustic clarity. I loved them, but after daily use (and careful TLC), the right earbud wire was exposed at the end, and although it wasn't shorting out yet, I got the Westone 4R as a replacement.

That was two years ago. I wanted to treat myself to something that I have missed for quite some time. The Westones are outstanding as well, but I find the highs aren't as crisp as with the Shure 535s. Also, on few instances, the mids would feel a just SLIGHTLY muddy in ways that I never noticed with the 500PTH.
There is ""sufficient"" bass with the 535s, but I don't like headphones/buds that emphasize bass just to provide a false sense of more dynamic sound than what's actually produced by the source material. If there IS more bass, then it should be tight, pronounced and do a good job of not bleeding away texture and fidelity in the mids or highs. Thankfully, there is enough bass to add depth and oompth to most music... and if you really want some more kick, change to foam tips and/or use an amp - such as the Fiio E18 - to hit the bass boost.
A proper DAC/amp will only make these sound that much better.

These earbuds are an outstanding representation of what good inner ear monitors can offer. They don't drive too hard power-wise, so you can plug directly into an iPhone, iPod, Android phone/tablet or whatever. Play it with regular and boring MP3s, it sounds fine.
However, it's with lossless audio tracks that the Shures shine. Coupled with a proper DAC, you'll find sonic bliss. Especially if you only used cheap buds and/or headphones (including Beats by Dre, which are horrible) in the past.

NOTE:
Make sure they are fit properly into the ears. Change around the different earbud types/sizes to find what fits your tastes the most. Different types (foam, rubber, etc..) will produce a different sonic texture. A lot of it depends on personal preference and ear size/type."
