,Product,Ratings,Reviews
0,Shure SE315-K Sound Isolating Earphones with Single High Definition...,5.0 out of 5 stars,"I wouldn't consider myself an ""audiophile"" in the strictest sense of the word. I do, however, like to enjoy my music the way I believe it was meant to be heard. In my experience, Shure earphones provide some of the best sound quality for the price. While they are not in any way cheap, there are certainly far more expensive options out there.

I have used a pair of Shure E4c's for the past three years on an almost daily basis. I absolutely loved them. Unfortunately with that much use the cords began to get brittle and started to fray until a few weeks ago, one of the wires finally completely cut out. This is a common occurrence for all earphones which are used extensively. I contacted Shure customer service to inquire about repairs, replacement, and their advice on a comparable product now available. Shure's customer service delivered a highly detailed and cordial response within 24 hours. I learned that I could repair my E4c's for around $110. Alternatively, I was told that the Shure SE315's were being released in September and they were in the price range I originally paid for my E4c's. So, I decided to go on Amazon and pre-order the SE315's.

Today I received them in the mail. They are somewhat larger than my old E4c's, however I think they are more ergonomically in line with my ears, thus they are more comfortable. There are a number of improvements that Shure has made over the E4c's. First, the cords are now detachable. This is an enormous evolution and easily the best feature of these earphones. If the cord does go bad some years down the road, I can order a replacement for a fraction of the cost of full repair. Second, the top of the cord, near the earphone, is now moldable. Thus you can mold the cord easily over your ear and it stays put. It is also made with kevlar, making it more durable and hopefully, less prone to the problems of past cords.

Finally, the sound quality itself is much, much improved. The bass is full and rich with absolutely no distortion. The highs are also incredible and you can hear even the slightest nuances in music, even at low levels. Truth be told, I have been listening to songs just to see how they now sound with these new earphones. They sound that good. In fact, in some songs I have heard entire new sounds and noises that I'd never heard before.

I use high quality digital files and a Zune HD to listen to my music. I don't use an amp. Like I said, I'm not an ""audiophile"" but I can appreciate a good set of earphones and realize that to enjoy your music to its fullest you need to invest in a good pair. If you are happy with the stock earbuds that come with an iPod Touch or the equivalent, something like the Shure SE315's is certainly not for you. That said, once you experience the truly unbelievable sound quality these deliver, I believe no one can go back.

The best sound from new earbuds comes after 400-500 hours of playback after the driver has had a chance to get worked in. However, the SE315's already sound a magnitude better than the E3c's. I am ecstatic with my purchase. If you have the money to spend, you can't go wrong with these earphones. Having listened to the Shure SE425's I honestly can't recommend them over the SE315's given the $100 premium. The SE315's sound absolutely amazing and in my opinion, are worth more than $200.

With Shure's two year warranty and excellent customer service, the SE315's are a downright awesome purchase, not to mention they sound spectacular. Trust me, with the SE315's, you will be rediscovering your music all over again.

****October 26, 2010 Update****

After using these everyday for the past month, I feel even better about my purchase, if that is possible. The clarity of these earphones is nothing short of amazing, which has made my listening of radio on my Zune HD a hit or miss affair. Regular FM radio sounds compressed, garbled, and full of audio artifacts, not to mention static. Luckily, HD radio sounds a lot better. I primarily use my Zune to listen to my own library of music, but it's nice to hear the radio sometimes. These earphones will provide you with both the good and the bad in that regard. Still, listening to my personal library has never been more enjoyable.

Also, the new design of these earphones is fantastic when it comes to listening to them in bed. I will listen to music or watch movies on Netflix on my iPad at night, and I can now do so on my side. The design of these earphones is such that when they are in your ear, they are flush with the side of your ear. Therefore, you can lay on your side without them jutting into your ear and causing pain and discomfort. These are the only earphones I've ever had where this was possible. It makes for a huge difference in using them when I lay down or go to sleep, as I now can lay on either side or my back.

Overall, I still have no complaints. These earphones were a great purchase.

****December 2, 2010 Update****

I guess I am a little surprised by the 3 star reviews some others have been giving these earphones. However when I look at the complaints, they are all valid for the most part. If you aren't used to earphones like these there is definitely an introduction/break-in period that you go through. I do, however, disagree with people complaining about the sound quality. But that is an opinion.

As for my continued use, not much has changed. I still use them almost daily and they have been holding up fantastically. No signs of sound or cord degradation at all. I still maintain that they are very comfortable, but it always depends more on what you were coming from I guess. If you absolutely loved how your old earphones fit then any change will be jarring. However I am completely used to these now and love them. Was still a great purchase and I still whole heartedly recommend these.

****July 20, 2011 Update****

My earphones have been through quite a lot since I purchased them in September 2010. I've used them on an almost daily basis, and for very long periods of time in some cases. Since I've purchased them, I listen to them almost nightly, while I go running, and around the house on the weekends. They have also accompanied me on a flight to Las Vegas and back, (from Florida) as well as on international flights from Philadelphia to Barcelona and back. Needless to say, I still loved them and they have been performing great.

So, you can imagine my shock and horror when my left bud suddenly stopped working last week. I quickly went on Shure's website and printed out the requisite forms to send my earphones in for repair and mailed them out on Monday, July 11th. I figured I would not wait to put Shure's 2 year all inclusive warranty to the test. On Wednesday, July 13th I received an email notification that they had received my earphones and that I would be contacted if there were any issues. And then today, July 20th, I received my earphones back from Shure, the malfunctioning earbud replaced with a new one. And all is good and great in the world! But seriously, I received my earphones back from repair in 9 days, at least 4 of which were shipping, and 2 were over the weekend. So Shure's team turned around my warranty claim, replaced my earphone, and shipped it back to me in about three days.

When mailing my earphones to Shure I was resigned to having to wait weeks, maybe even over a month to receive them back. This had nothing to do with Shure, just expectations from previous warranty repairs in the past I've had to deal with from other companies. I am ecstatic about the service and ease of which it took place. Shure clearly stands by their products and obviously honors their warranty. Again, I love these earphones and this experience has made me even more confident in choosing Shure.

****January 08, 2013 Update****

It has been another year and a half since my last update and I am happy to report that these earphones are still going strong and still sound great. I have had no problems and I still use them on almost a daily basis. I am not sure what the newest models are like at this point, but I am still very confident in recommending these after several years and thousands of hours logged listening to music, playing games, and watching movies. Still highly recommended!"
1,Shure SE315-K Sound Isolating Earphones with Single High Definition...,5.0 out of 5 stars,"OK, I'm really not understanding a lot of the negative reviews. These headphones are easily the BEST set of headphones I have ever purchased. I am not an ""audiophile"" - I'm a DJ and I love music and appreciate clear, balanced sound with little coloration (especially for when I'm mixing). I want to preface this by saying that yes, I listen to house music (deep house, tech house, techno) 90% of the time, but I have had experience with these headphones playing all types of music.

I have owned many pairs of headphones. In order: Reloop RHP-10's (sub par but for a decent price I guess), Klipsch S4i's, Sennheiser HD-25 ii's, and Klipsch x7i's. To go through these in order: 1) Broke in under a year, 2) lost a pair, second pair broke in under a year. 3) Lost a pair, still have the second pair, still going strong, they are now my backup pair and I still love them, 4) Bought a pair, they crapped out, got another pair, crapped out, both well under a year. Yes, I'm hard on my headphones! I use them to listen to music 10 hours a day, and I walk around, use them at the gym, have a commute on the subway every morning, and back every night, I DJ, etc... the list goes on and on. None of the headphones I have ever purchased, with the exception of the HD-25's, felt like they could take the abuse I put them through, and they didn't!

I look for a few things when buying in-ears;
1) Durability - this is the #1 factor on my list, and it's why I LOVE my HD25's - they feel indestructible.
2) Comfort - As I said, I wear these for 10 hours a day, so comfort is key.
3) Sound Quality - Obviously, sound quality is important. What is most important to me is a balanced, crisp, sound that isn't overly colored.
4) Sound Isolation - I like to shut out the world and do work, or work out, so I basically want to hear no outside sound. Active sound-canceling is bulky, overly expensive, and needs a battery (lord knows I don't need another battery to worry about).

Alright so now on the the meat;
1) Durability - 5
With the SE315's...I finally feel like I've found a pair of headphones that are going to last me forever. Why? Because it was never the drivers that crapped out on my old headphones, it was always the cable! The SE315s solve this problem in such a simple manner; Detachable cables! Not only that but the cable feels like it could take a beating as it is, but even if it doesn't, I'll just throw them out and replace them for around $20-$30 bucks. That's a much better deal that $200-300 for a new pair of headphones. I have only had these for a month now, but so far, so good. I will continue to update if anything comes up.

2) Comfort - 3.5 to 4 with a caveat
Ok, so out of the box, figuring out how to actually put the headphones on was a bit different since the design is so radically different from any other in-ear I have ever used. Once you get used to it, the cable can still be a bit of an annoyance but overall the ""wrap around"" design is awesome. It prevents these earbuds from ever falling out, especially at the gym, or when I'm bouncing around during a DJ set. The way they designed these to fit in your ear is awesome, it just may take a while to get used to for some.

Now, the stock tips weren't very comfortable for me, which is normal for almost all earbuds I have purchased. Luckily the Comply T-100 aftermarket foam tips I used on my x7i's were a perfect fit. Now the comfort level of these is a 5. I guess after spending $200 I'd hope to not have to spend more money on aftermarket tips but I think it's the fact that I became so used to the Comply's after using them with my x7i's that I'll chalk it up to that.

In terms of sleeping with these - I can't fall asleep with headphones in period, but I can say that laying on my side with these in, listening to music in bed or laying on the couch, they were decently comfortable. Certainly more comfortable than anything else I've used. Still, I'd hate to give a full opinion because I simply will not sleep with headphones in or lay down for extended periods of time (Max 1 Hour, but typically much less).

3) Sound Quality - 4
Alright, I see a lot of people here hating on the sound quality. I will compare these to my HD-25's which I believe are one of the best headphones for the money out there, and the Klipsch x7i's. They are all around the same price so I believe it's a fair comparison. Again, I AM NOT AN AUDIOPHILE. For my purposes (DJing, Producing, daily listening) these headphones blow my x7i's out of the water. Kick for Kick, High Hat for High Hat, every sound is so much more crisp and detailed than the x7i's that I can't believe I spent $180 on them and that people compare them favorable to the Shures. The Shures have better dynamic range and separation between different instruments. Against the HD25's, I'd say they are on par or better, with the 25's having better bass response (that's just natural given the fact that they are over-ear drivers) and slightly better sound-staging. Then again, I can't wear my HD25's for more than an hour or so at a time before the head-clamping becomes bothersome and I start to sweat. The reason I give sound quality a 4 is because I'm sure the SE535's and 425's have better quality and better dynamics given the fact that they are multi-driver ear-buds, but they are also more expensive!!

4) Sound Isolation - 10/5 (yep, that's right, 10 out of 5)
I'm typing this from a plane right now listening to some soft deep-house, and I can't hear anything except my music, which is at normal listening volume...Not much more to say than that.

Conclusion:
These are amazing headphones. You certainly won't regret your purchase! If you want the best value, I would say you may like the 215's more. I would certainly say try both. I don't know if the 315's are worth $100 more, but they were worth $200 to me and are truly great headphones! I would certainly buy these again (but I don't think I'll ever have to! Unless I lose them, knock on wood!)"
2,Shure SE315-K Sound Isolating Earphones with Single High Definition...,4.0 out of 5 stars,"I own some more costly, ""higher end"" IEMs than this one, like the Sennheiser IE80 and the Westone W4r, both of which I purchased after buying the 315's. But I still like to listen to the Shure SE315's sometimes. The midrange is phenomenal... You can really hear all the nuances of a singer's voice. I love the fit and sound isolation these give... I think it's much better than either the IE80s or the Westones. Sometimes after not using the Shures for a while I put them on a get a huge smile. They still sound great, even though they were inexpensive. They have their own unique sound. Maybe it's just the Shure house sound, supposedly mid-centric and highly resolving. Because they fit so snugly and surely, I mainly use these for excercise and activity now, like while washing the car. Is the bass lacking, as others have said? Well, the bass is there, and it's tight and honest, but it won't floor you. All in all, I'm glad I have these."
3,Shure SE315-K Sound Isolating Earphones with Single High Definition...,2.0 out of 5 stars,"TL;DR - Sounds soft. High end is extremely lacking.

These have great, smooth bass and mids and both are fairly clean. They are missing the high end though. The full presentation is extremely laid back. Details are present to some degree, but the overall sound is just soft. I had hoped that switching to the silicone tips would help improve that, but it didn't. There is little or no bass bloat at least. They are well refined as well. Since my main criteria for review here is sound quality and cost, I give these a firm 2 star based on the overall refinement and lacking treble being the only major draw back in the sound. I must emphasize the ""major"" part of that because it is terribly lacking. I have several sets of IEMs ranging from $30 to $100 that sound better.

Build quality is great. Third star for that. They seem sturdy and removable cables are always beneficial. The problem is that the SE215 that costs much less has the same build quality and sound quality that is on par or better by all reports (I haven't actually heard them). Third star gone. You're getting the same build quality and arguably better sound quality for ~2x the money. It's not worth it. Save up for the 535s instead or look at something other than Shure."
4,Shure SE315-K Sound Isolating Earphones with Single High Definition...,5.0 out of 5 stars,"Shure sounds great. Been rockin' the the discontinued 310's for like 7 years or something. Had to send em in once and pay to get the cable repaired and it began to fray again recently

so I checked out the new models and they made some great improvements: the cables disconnect, so i don't have to send in the new unit, would gladly purchase a new cable as needed.

They are also lower profile than my previous buds, it's spring so I haven't tested, but I have no doubt they will be much comfier with a beanie or hat on the bike or on the slopes.

I wear these headphones quite a bit, up to two hours a day most days out of the week. These 315s are pretty comfy for the most part, takes a lil tweaking to find the sweet spot and proper fit. They block a lot of noise, even more so with a portable amp. But you can still pick up deeper sounds so I still feel pretty safe cruising through traffic on the bike in em.

I don't know all the nuances of audiophyllic analysis, but FLACs and 320s sound beautiful and you are guaranteed to discover so many more dimensions to your favorite tunes if you have never invested this much money in your mobile music experience before. Great highs when your getting all sophisticated with it, awesome deep bass when you wanna go all gangsta wid it."
5,Shure SE315-K Sound Isolating Earphones with Single High Definition...,4.0 out of 5 stars,"My first pair of top tier in earphone and all I can tell you is I'm so pleased with my purchase. Just be very careful when changing the ear insert, by mistake I broke my right piece but was able to get it back without any music lost. Still one of the best sounding in earphones. The four stars is for the build quality, again I broke the tip trying to change the ear insert but was able to get it back with a little ""JB WELD"".."
6,Shure SE315-K Sound Isolating Earphones with Single High Definition...,5.0 out of 5 stars,"I purchased these over a year ago (Sept 2012). They are still working great! I've had absolutely no problems with them. I've gone through at least 5 different high-end headphones over the past two years and they are my favorite thus far.

I primarily use them for two things:

1) I work on my computer. Because I spend so much time on it I need good headphones to jam out to music for a good portion of my day. These headphones have a fantastic range and I have no complaints when listening to classical music with beautiful highs or heavy dub-step with crazy lows. Whether in an office or at a coffee shop, they work perfectly

2) Whether doing INSANITY at my house or going and lifting they stay in my ear and work perfectly for my exercise habits. They're not technically ""noise canceling"", but good luck hearing anything with them in.

Pros:
Very comfortable.
GREAT range and depth
Cord is replaceable(detachable) and is ridiculously strong/thick.
'Musicians grade' earphones.
great durability - Going a year strong
Love the case they come in, I put the headphones in them when I'm done to keep them safe.
Again, they are not technically ""noise canceling"". But I 'shure' can't hear anything with them in.
!! Little to no bleed through. People CANNOT hear what I'm listening to!!

Cons:
Expensive
No microphone.

Overall: highly recommend them over the competition. The bottom line on the price? You get what you pay for..."
7,Shure SE315-K Sound Isolating Earphones with Single High Definition...,2.0 out of 5 stars,"I upgraded from a pair of 215s. Not worth the money. I'm a bit of an audiophile who needs noise isolation and enjoys high quality. There is MAYBE a negligible improvement. Maybe. But not worth the sacrifice in noise isolation due to the open porting. If I could do it all over again, I'd buy the 215s again, save $100, have the same audio quality (maybe even better bass response), and better noise isolation."
8,Shure SE315-K Sound Isolating Earphones with Single High Definition...,5.0 out of 5 stars,"If you're looking for a good pair of in-ears for live stage performance at an affordable cost then these are the ones for you.

I've been using these for a little over a month now and I am very happy with their performance. I play drums in a band and the bass port makes them very good for drummers in my opinion.

There is a lot of noise playing in a drum booth, but these in-ears do a great job isolating everything but what they're putting out AS LONG AS you find the right pair of gels that fit your ear. It took me a few tries before finding the ones that fit my ears perfectly so be patient.

I especially like the fact that they come in clear, as I like them to be practically invisible to the audience."
9,Shure SE315-K Sound Isolating Earphones with Single High Definition...,4.0 out of 5 stars,"Sound quality is a solid 4.5
The base it’s not the greatest.
However there is NO mic.
The cable it’s horrible to put on.
And there is the price at $200
For me these are 4 star headphones."
