,Product,Ratings,Reviews
0,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"First things first $1000 for a pair of iems or “earbuds” is insane beyond belief…. people will look at you like you have five heads so I don’t advertise the cost of these ever. Is it worth it though? Let’s get to that.

Accessories:
I am not going to spend much time going over this as the accessories are listed here in detail on amazon and on shure’s site. To put it simply there is everything you need. You get a bunch of ear tips, a case to carry the headphones, adapters, two different length cables, case to carry all the accessories etc. There is nothing else you need to buy, the cables are fantastic, there is no aftermarket cable needed. I didn’t need comply foam tips, there are lots of tips included here.

Design/build quality:
Build quality is rock solid. Much, much better than the 535. There is no weak part to the iems. The iems fit over your ear with memory wire. I have oddly shaped ears and typically have trouble with over ear iems however these fit perfectly. I was able to get a tight seal with the middle size included rubber tip and the sound isolation is unreal. There is no disruption from outside noise at all and with music playing I can’t hear anything. I have never seen isolation this good, just make sure you get a tight fit.

One thing very important to point out is the nozel inserts. These iems come with three nozel inserts, bright (slightly geared toward higher frequencies), neutral (balanced), warm (slightly geared toward lower frequencies). When I got these I immediately changed them to the warm inserts based on reviews. It wasn’t very difficult to change them but definitely take your time and have an open work space. Shure’s directions are very detailed.

Comfort: These are very comfortable and stay put in your ears. By comfort I don’t mean like pillows for your ears or forget you’re wear them sort of comfort but there is no pain or discomfort caused by them. I have worn them for hours with no issues.

These do NOT need an amp. To be clear with a 9 ohm impedance (the lowest I’ve ever seen) you will likely damage your ears, your amp, and these iems trying to use an amp. Using an ipod, phone, or anything with a quality internal dac is all you need. The incredibly low impedance is the result of essentially a built in amplifier which pushes the 4 drivers incredibly well.

Sound quality:
Unreal, magical, pure bliss. To give a little background I am a studio headphones nut. I don’t claim to be an audiophile because there are people far more qualified to use that term than I am but I am an audio enthusiast and I have, for a very long time, loved headphones. My go to line of headphones is Sennhiesers HD line (600/650/700/800). These headphones have massive drivers, require a quality amp/dac setup/aftermarket cable, and are not portable but to me it is worth it for the unbelievable sound and soundstage they put out. I have never been a huge fan of iems or earbuds aside from convenience because they will never deliver the wide-open soundstage, layering, or detail that a pair of studio headphones will…. until now.
The soundstage and layering of these iems is unbelievable. If you could not feel them in your ears you’d swear you had an open back pair of over ear headphones on. The spatial soundstage here is unreal. There isn’t a word to describe how large and spacious it is. There is so much open airiness to these and again the layering and separation, dreamlike. They are incredibly balanced, crystal clear treble, perfectly present mids and the bass. I am not a fan of bass heavy anything, the bass should be replicated naturally and not give you a headache. The bass here is deep, very detailed, and punches deeply when the song calls for it. Warm, beautiful, open. Not a detail is missed, nothing is rolled off, nothing is overemphasized. Even at low volumes these things project an insane amount. Unreal.

The sound quality here is honestly like a 15/10. This may just be the first flawless sounding headphone I’ve ever heard.

So is it worth the money? Well IMO it is well worth it if you love your music and are thoroughly dedicated about your headphones. It is a lot of money to spend and I heavily questioned buying these for awhile before I took the plunge and continued to question while I waited for them to come however I can safely say I have no regrets. They’re incredibly portable and more than driven by your portable device. No pair of headphones is worth going broke over but if you have the money I can’t imagine anyone not being thrilled with these.

Hope this has helped anyone deciding on whether or not to buy these. Cheers."
1,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"Aside from a few exceptions, this is the pinnacle of IEMs guys. This is it. It comes at an astronomical price that might even make you pass out at just one look, but sometimes if you want the best, you do whatever it takes to get it. Also, I got these in early June of this year, so I've had about 6 months to form my opinions.

I got the box from the mail and I didn't even realize that it was my earphones. I opened the cardboard box to see the initial packaging. It is the biggest box I have ever seen for earphones. I opened it and saw the clear pelican case. I opened that and found a micro-fiber cleaning cloth on top of the earphones and the smaller case they come with. Many of the accessories are in the case such as the ear tips, extra cable, airplane adaptor, quarter inch adapter, and tuning filters.

I ordered the Black color and I'm so glad I did because they look ""all business"". Right off the bat, I pick them up and I can immediately tell that these are no joke. The cable is thick with really good strain reliefs on the y-split and on the jack. The metal nozzle on the housing leaves me feeling a little better about long term durability. The comfort of these is really good. I use the yellow foam sleeves and have had no issues with fit, sound, or comfort. From walking to class to class, to when I'm at home, to being in any loud environment, these things block out so much noise.

The sound of these is expected when paying $1000. After paying that much, expectations are near impossible to exceed. Did it exceed my expectations? No. Did it reach my expectations? Yes it did in a big way. Before I start, I want to say that I am listening to ALAC files and Spotify 320 kb/s and listening through the Oppo HA-2SE. Also my opinions are based off the white filters because they sound the best to me. The bass is tight, punchy, and it has ""true subwoofer performance"". It's actually my favorite part about this earphone. I can hear every nuance and every detail in every bass note. I can't say that with anything else I've listened to. The mid-bass doesn't interfere with the midrange with the help of the Low-Pass filter. The midrange is forward compared to the bass and treble. Listening to Pop, Country, Alternative, and some Rock is a pleasure to listen to. The treble is my least favorite part of the sound. It's detailed and it's clear, but it doesn't extend high enough for my liking. It's not a bad treble response, it's just not what I prefer. Some enjoy this, but when I'm listening to Classical, Soundtrack, and some Rock music, I want a treble that has more of a presence to increase the soundstage. One aspect that stands out in the sound of this earphone is the vocals. They are the best I've heard bar none. Male and female vocals are well presented. They are natural, full, and clean all at the same time. I bet there are a few other earphones that sound better than this, but the combination of the sub-bass, midrange, and vocals is downright addicting to listen to.

This and the Sennheiser IE800 are often compared to each other, but in reality, they are more different than they are alike. They are so different it's hilarious that these are even being compared against each other. They are aimed for different types of buyers. I'll make my recommendations here. If you are active and listen to music mainly on the go, then SE846. If you listen to music more at home or in bed, then IE800. If you listen to Pop, Electronic, Hip-Hop/Rap, Country, and/or Alternative music, then SE846. If you listen to Classical, Singer/Songwriter, Soundtrack, R&B/Soul, and/or Rock, then IE800. Overall, if you listen to any genre and all you care about is sound in an earphone, then IE800. If you want a earphone that comes with everything and has little flaws, then SE846.

If you want the best overall experience for a universal earphone in this price range, this is probably the best you can do. It has a nice presentation, stellar build quality, top tier sound, and accessories to go along with all this. If you're thinking about getting these, take a while to think about it. You're spending $1000 on earphones. You have to be completely insane to spend this much on an earphone. Spend time to decide and whatever you decide to do, enjoy your music and live your life to the absolute fullest."
2,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"Having owned the range of Shure's previous IEMs, I was thrilled when the SE-846 was released back in 2013. I bought them as soon as they were released and have been listening to them ever since. I travel internationally at least 6 months out of the year and work on oil rigs. When I say that these headphones are durable, I believe that to be a qualified statement. The sound quality: they are better than anything else Shure makes or AKG or Westone or UE. Compared to my SE-535s these are in a whole different realm of sound quality. I've not listened to any other headphone (including open back electrostats) that more faithfully reproduces the nuances of an upright bass played as part of a jazz trio. Fat, throat-vibrating bass while not sounding boomy or overly presented. On some Charlie Haden tracks, you can hear the texture of his fingers on the strings. Detailed playback? Yeah the 846s have it. These headphones, much like the SE-535s, have excellent dimensionality. You quickly forget your wearing something in your ears. The sound stage is wide and not at all muddied. Good live recordings sound like your right there. Check out Stacey Kent's Dreamer in Concert album for a good demonstration of this. You'll best appreciate this when listening to FLAC files but even 320kb/s sounds good.
Bottom line: If you want the best portable audio setup for under $3,000 start off with buying the SE846 IEMs. Buy right once, cry once. I mostly use Apple iPhone or MacBooks to listen. I used to carry a standalone DAC/amp combo but I don't even bother anymore. The headphones powered by the iPhone 6+ and now 7+ (via adapter) are plenty good enough to still sound better than anything else I've tried and I try out a LOT of headphones."
3,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"Settle in with some coffee or tea cause this is going to be a long one...

;-)

Shure IEM's have been my mainstay daily listening choice for quite a few years now. I bought my first pair of Shure IEM's back in 2007, a pair of E4C's that I (amazingly) found for $100.00 at my local circuit city.

From the get go, the Shure house tendency towards neutrality and not over emphasizing any particular frequency really sat well with both my inner music producer, as well as my inner listener. I'm not a fan of exaggerated or unnaturally affected music in regards to any frequency range, really and if given my druthers, I would always have gear that tends towards neutral but that still responds well should I decide to use equalization.

Therefore, at least in regards to IEM's, I've always stuck with the Shure brand as the engineers (and ears) there, those behind the design process of their headphones, IEM's and even their microphones (I own several), seem most concerned with a natural, mostly unaffected presentation.

From the E4C's, I rather quickly moved on to the SE500's, then the SE530's and then the SE535's. I've enjoyed them all immensely and for mostly the same consistent reasons: solid performance, nothing exaggerated, clean detailed presentation and excellent build quality (not to mention their excellent service department).

Here come the SE846
---------------------------------------------------

And so when the SE846 was released, especially with the accompanying “hoopla” around the considerable amount of new technology that went in to the production of the IEM (in-house engineered balanced armature drivers, a miniature ported sub woofer of sorts with 4 inches of acoustic pathway, etc.) … admittedly, I was over the moon and just hell bent on the need to try them.

But when I saw the price of $1000.00, I realized this was an item that most likely would not end up as part of my regular, daily arsenal. And, for all intents and purposes, it has not. Something about spending $1000.00 on an IEM just throws some internal checks and balances that have simply not allowed me to actually try (or buy) a set.

But lately, I was lucky enough to get to spend a couple weeks with a brand new pair of SE846 IEM's and as a long time and quite devout user of the various 500 series IEM's, I figured I'd take a moment to write a bit about my experience with them.

Solid
----------------------------------------------

When listening to non-equalized music, The SE535's have always been just a tad to much on the “flat” side of things, a bit too “middle of the road,” a bit to “straight-laced.” This is fantastic from a music production point of view as it allows me to hear music for what it is and without any affectations brought on by the IEM itself (should I care to have a “clinical” listen to any given sort of music). But in daily use, I have always insisted on using equalization to bring the default, somewhat subdued presentation of the SE535 more in to focus in regards to what I enjoy insofar as recreational music listening is concerned. It's true as well, as you've most likely read or heard, the SE535 has fairly rolled off, stunted highs that I can only imagine were decided upon to make the IEM most palatable with the most sorts/genres of music. But in the final analysis, I enjoy a bit more sparkle than the SE535's naturally provide and too, I like a bit more sub bass and bass presence in general. Therefore, I've always used equalization with them. Currently, I use a Cowon J3 with it's formidable Jetaudio EQ to fine tune the SE535's and prior to the Cowon, a Teclast S:flo 2 with an Arrow amp's bass/treble boost.

And so the primary difference I would note between the SE535 and the SE846 is that the SE846 requires NO equalization to sound “right” to my ear. In fact, at all default/non-EQ'd settings, the SE846 sounds about like my SE535's with equalization applied. And yet, for various other reasons discussed below, the SE846 still sounds markedly more impressive for several other reasons.

SE535 vs SE846 … a general breakdown
---------------------------------------------------

The SE535's, in general, sound a bit more “flat line” or “homogenized” than do the SE846's. I think this has everything to do with the rather dramatically better instrument isolation/separation that the four drivers of the SE846 provide. The two IEM's are without a doubt from the same basic tuning camp, they are both somewhat neutral and neither overly accentuate any given frequency; with the SE846, I never found myself thinking, “wow, those highs are too bright,” or … “that bass is totally unnatural (think Bose)” … but Shure really took things to the next level with the SE846's and they are a fantastic successor to the ubiquitous SE535 if only for the fact that they solve two of the most obvious issues with the SE535 (to my ear, mind you): first, the rolled off highs and second, the lack of a visceral sub bass.

I just wish they'd have released them at a closer price point to the SE535's instead of basically doubling the price, but that's just my limited income and other interests (that require my money) talking. :-)

But it's true. Take every criticism you've heard regarding the SE500 series IEM's and just imagine them all rectified. That's what the SE846 brings to the table. It's not just the superior bass performance of the SE846 (which is significant), it's the high frequency presence, the sound staging, the instrument separation and micro detail retrieval, it's everything really. The improvement over the SE535, really is that significant of a thing. I have listened to the various 500 series Shure IEM's nearly every single day for 4 to 6 hours a day and for the past six years; I am intimately acquainted with them and the above comments are made with a good deal of confidence. The SE846 is a real evolutionary step away from the Shure SE535's.

But as mentioned, they definitely hail from the same sonic camp...

The one area I think the two IEM's are most similar is in regard to mid range frequencies. Upon first listening to the SE846, I was very happy to hear that Shure decided to stay with the (my opinion) utterly brilliant, somewhat forward and very present take on mid range that just about all of their headphones/IEM's are known for. I like my bass and I like my highs but I think somebody once said that the music is in the mid range and I for one, would tend to agree. The SE846 mid range is nearly indistinguishable from the SE535 mid range, if not just a tad more refined around the edges. Couldn't be more happy about that and the huge improvements in overall frequency retrieval and separation make the SE846 almost a perfect headphone for me.

Lows
---------------------------------------------------

And as most every review will mention, the bass performance of the SE846 is rather astonishing. However the Shure design team came up with that ingenious (and gorgeous) sub woofer-like “porting” system, whereby they give the bass frequencies, literally, four inches of metallic path to trace before exiting the tiny IEM's sound tubes, is beyond me but I can say they've worked a minor miracle with it as the bass performance is the best I've heard from any IEM.

It is not an overwhelming, huge, constantly present bass like one might hear in some of the “bass head” cans out there on the market; unless the particular track calls for it, you will never even know such potential is dormant there, but should any given track need it? The bass comes and it comes in just that amount that the track/recording calls for and is always in perfect relation to the high frequencies and the mid range frequencies. That last bit is perhaps the most astonishing facet of the SE846, the fact that at any volume, from the subtlest of settings to the loudest, the SE846 remains absolutely well behaved, with everything in it's place. The bass never bleeds into or drowns out the highs/mids and the mids, though generally always the backbone of the Shure IEM sound (any of them), never dominate in a way that seems outside the requirement of the given track/recording. I sat one day for over an hour just turning the volume way down and way up, marveling at how in the world they kept the relationship between highs/mids/lows so consistently perfect no matter how loud or soft the volume became, truly a feat.

But the bass is ridiculously good and miles beyond anything the SE535 is capable of. I consistently use equalization to give my SE535's just that little bit of extra something at both ends of the frequency spectrum as they are just so “flat line” that at times I find them to be a bit boring … not so with the SE846, though. Straight out of the Ibasso DX90, with no equalization, the SE846 are pretty much perfect sounding to this guys ear and I had no need or desire to equalize them in the slightest.

Highs
---------------------------------------------------

Another quality often discussed regarding the SE535 is the obviously rolled off high frequencies. I don't think it is debatable at this point, either for reasons of sounding the best with the most types of music or otherwise attempting to make them non-fatiguing, the SE535's are designed with a rather pronounced “roll-off” of the upper high frequencies. This isn't altogether bad as they can be easily massaged with a decent equalizer if one prefers more sparkle (I do); should one have a player with a decent equalizer (think Cowon J3) then that can be remedied; or worse case scenario? Should one be stuck with an exceptional player that has a pretty bad equalizer (think Ibasso DX90), then it can become vexing.

But again, as a person who has lived with the SE535's for many, many years and many thousands of listening hours, I can happily say that the SE846's are much more resolving and have far more sparkly, ­more detailed high frequencies. Everything about the high frequencies is more resolving and more detailed.

I would put a section here discussing the mid range but suffice it to say, the SE846 come with the same, rather pronounced and “confident” mid range presentation that the SE535's and most other Shure headphones count as hallmark. I for one was very pleased to hear this as I'm a big fan of a leading mid range and nothing else can really be said about it other than the fact that the SE846 presents that same mid range in an even more detailed, articulate manner (most likely having everything to do with more drivers).

Otherwise?
---------------------------------------------------

Sound staging is a bit more out of the head than the SE535's … the increased number of drivers and perhaps the design of the housings, give one the impression of the music coming from a slightly greater distance (in a pleasant way).

The SE846 is a noticeably more detailed/resolving IEM than the SE535, presenting music with a much greater, more discreet separation among the various instruments in any given bit of music; this is not a subtle thing, either. There is more “silence” between the various players and overall, one finds one's self more intimately experiencing the sonic landscape. An interesting thing is that as I would switch from the SE846 back to the SE535, I had a very intense and nagging desire to keep turning the SE535's volume up, thinking that if I did so, I would be able to hear the same sort of details I was getting via the SE846; but increasing the volume thru the SE535 just didn't assuage that nagging itch; in the end, I realized it was simply a matter of the SE846 being a much more resolving listen and there was no issue or discrepancy with the volume setting when switching between the two IEM's. Apparently, the number of drivers and overall design differences inherent to the SE846, really do make a very positive difference.

-- Using the Shure “black olives” the noise isolation was identical between the two IEM's (and quite remarkable, as always with that particular tip).

-- The fit of the SE846 was approximate with that of the SE535's, even though the SE846 is without a doubt a bit larger of an IEM; still, I had no issue with the fit (my ears are what you might call “medium” sized).

-- The build quality of the SE846 is something out of an Engineering or Industrial Design periodical, I mean it's a freakishly gorgeous bit of gear to look at with a magnifying glass. :-) … the cables are ridiculously tough and well put together (microphonic free, BTW) and overall the entire package screams quality.

-- I did not experiment with the various nozzles that reportedly can be used to change the sound; I found the default, “neutral” setup to be so perfect that I didn't have any desire to try the other options and so I can't speak towards that.

-- I did not test the SE846 with any sort of amplifier; they sounded brilliant straight from my Cowon J3 and even better, straight out of the Ibasso DX90.

Why I won't be keeping this $1000.00 pair of IEMs
----------------------------------------------------------------------------------------

First and foremost, I simply cannot drop a grand on a bit of gear that only has a 2 year warranty.

Despite my appreciation of Shure Inc. … their microphones and headphones alike, both of which I have used extensively over the past two decades … I still feel that such a device as the SE846's should come with a warranty that more syncs with the rather heady price tag. Again, I have nothing but love for Shure and their business methodology; for chrissake, they sent me a completely free pair of brand new SE530's once ... simply because I wrote an honest letter to their service department, but that's another thread …

But the fact remains, a 2 year warranty is basically the same as Shure saying, “Hey .. we think that these might very well fail after about two years of regular use and if so, your either going to have to buy a new pair or pay for repairs.” And, for a $1000.00 pair of inner ear monitors, this is simply unacceptable for me as a consumer. I'll just EQ my SE535's, thank you very much. ;-)

Something I didn't write anything about in the above little essay is that throughout my listening session, I was also swapping in a set of Koss Portapros for even further comparison and I have to say, they are damn near the sonic equal of the SE846's; and, to my ear, a decent bit more exciting of a listen than the non-equalized SE535's. Very similar bass/high freq performance as the SE846's but without the lovely isolation of the latter, and of course not nearly as discreet/portable. And if folks feel that paying $1000 bucks for the 846's is better than $40 bucks for the Koss Portapros or even $500 bucks for the SE535's (both of which I consider fair) … then more power to them. Technically and to make sure the above comparison is understood, the Koss Portapros are not nearly as detailed as the SE846; further, the highs and lows of the Koss' are tipped just so much more towards the “unnatural” … but they are coming close to the sonic performance of the SE846 and so at $40.00 and change, and with a lifetime warranty? It makes dropping a grand on the SE846's sort of hard to justify (even though I still want them real bad) … ;-)

But again, can't say it enough … the Portapros, even at a mere $40 bucks, still have a life time warranty (which I've used more than once). Hell, even the $1000 dollar Koss ESP-950 kit comes with a life time warranty, which I've also used on more than one occasion.

Ultimately?
------------------------------------------

Shure has done a genuinely remarkable thing with the design/engineering behind the SE846 and I certainly feel the price is okay for such work and especially the resulting performance; if you have the coin to spare and want pretty much the best sonics one can find today in the market of universal fit IEM's? Then buy the Shure SE846 immediately and feel good about buying them. I certainly would if I could and I might still, anyway ... if I can just find somebody who might want to buy one of my kids (just kidding, I don't have any kids but selling one still comes to mind and as I try and juggle responsibilities in an attempt to justify buying the SE846's for real)

If the SE846 IEM's had a life time warranty? I would buy them happily, immediately and without hesitation. Hell, even if the warranty was five years instead of two, I'd still buy them. Shiza! Just look at Blendteq blenders! They build a remarkable product as well (Blendteq is like the Shure SE846 of blenders!) and they back it with a very respectable 8 year warranty and those only cost about $500.00 bucks! But I digress ..

Much of this last bit of playful vitriol is just my annoyance at not allowing myself to keep the SE846's (really, I'm bugged to hell). It's been a couple weeks since I returned them to Amazon and every time I put my SE535's in, I'm immediately reminded of how superior of an IEM the SE846's are.

The pain is real...

Further, the sonic differences between the SE535 and the SE846, though quite significant, simply do not warrant a $1000.00 upgrade when considering my other interests that require financing and my relative income level as well. I really enjoy the SE535's and combined with a clean, capable EQ, they can be made to quite nearly approximate the general frequency performance of the SE846, though the better separation among frequencies and the better isolation of individual players that are hallmarks of the SE846 sound, simply cannot be matched by the SE535 with any sort of hardware or software equalization; it is a simple matter of better physical engineering and design (great job, Shure!!).

So yes. I will pine for the SE846's for some time and yes, I sorely wish that Shure had released them closer to the price point of the SE535's or even so, a much better warranty term when priced at their current $1000.00.

But at the same time I'm hugely pleased with Shure's innovation and the quality of the product that they chose to make and introduce to the audio market, both for those of us making the music and for those of us who listen.

Keep up the great work, Shure. I remain a fan....

...

;-)"
4,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"The best earphones for $1000, probably better than other IEMs above $1000.00. I've been using it for 11 months now, dropped it twice, and it's still working. This doesn't deserve below 5 stars, as others reviewed it. In fact, it deserved more than 5 stars.

I also replaced the cables with my Shure SRH1540 cables (yes, it's compatible), because I love black, and to give emphasis on the transparent IEMs. I also tried 2 different filters, and now I'm using the black one. There should be 3 different filters, but my white filter is missing its partner. I only received 2 blue filters, 2 black filters, and 1 white filter. I think they missed to include it in the package. Anyway, I didn't complain about it. I just love the black filters and the blue one, even though I haven't tried the white one.

I connected it to my PS4 via Soundblaster E5 using an Optical Cable, and it sounded majestic. I felt like I'm inside the game while playing Uncharted 4. The bass is incredibly awesome! You'll feel it like your heart beats bass. There's nothing more I can say with the SE846. I'm just impressed. Really impressed.

I also tried the various eartips included in the package, and I just love the long white one, the one they call ""Triple Flange Sleeves"". This doesn't give you the best sound isolation (The default one does) but this eartips will make you listen to your music in your head, not in your ears. It's like the band is singing inside your brain, while you listen to your favorite band. Or the movie is inside your head, if you're watching your favorite movie with the SE846. The feeling is immersive, like VR."
5,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"I don't usually gush over a product I review. I'm usually fairly picky and can find at least a few issues that would need improving. Not this time!
These IEMs score top marks in every category for me:

Pros:

1) Sound isolation with Shure's foam tips is almost exactly like that of the Etymotic ER4S - the best I've ever heard in terms of NRR.
2) Excellent frequency response, which doesn't neglect the treble or the sub-bass. The low-frequencies sound as good, or better than that of dynamic drivers like the Sennheiser IE 800. This is very impressive for balanced armature drivers.
3) They sound crystal clear - clarity and articulation across the whole frequency range.
4) Given their bulk and weight, they're surprisingly comfortable - certainly the most comfortable IEMs I've ever used. You could easily sleep with them on.
5) They come with three sets of filters to fine-tune the FR to fit your own personal preference (black = warm, blue = neutral, white = bright).
6) They have thin posts, which allow a big choice of aftermarket tips, should you want to experiment. However, the Shure foams are the best tips I've ever used on an IEM. (I've used these for years with many other Shure and non-Shure IEMs.)
7) The posts are made of metal, and they need to be, because those Shure foam tips do not want to come off those posts! (I'd previously had bad experiences with plastic posts snapping on other Shure model IEMs.)

Cons:

I really can't think of any. Price is the only thing that might leave me hesitant to recommend them to everybody. For those that aren't as serious about audio, the Monster Turbine Pro Copper comes very close in terms of sound signature and articulation, but doesn't have the comfort or isolation of the 846. (However, you can now pick up a pair of Coppers for about 1/4 of the price of the 846.) I also can't comment on QC, because I've only had one pair. If they break or stop working, I'll post back, but for now, I'm very happy with these.

P.S. One very important comment I forgot to make. These IEMs sound great at any volume level. That's critical, because when you're directing 100% of that acoustic energy at your eardrum, you need to keep that volume low in order to protect your hearing."
6,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,3.0 out of 5 stars,"Just got these today. Wow. Packaging has been scaled down very much. No longer includes a pelican case. The box is no longer ""rubberized"". Now, it's very ordinary with a foam insert and everything shoved into the earphone case. The out-of-the-box attached wire also has short. When attached to my phone, audio cuts in an out when the plug-in end moves. I tested with my year old wire, and they worked fine. So, also seems quality control has degraded. What a disappointment for $1000 earphones.

The box from the first pair also had a serial no. and manufactured date. This new pair has neither---nothing says ""serial number"" nor a date. Maybe it's coded now. I'm assuming I got a recent one and not a refurb or returned item.

Update:
Just noticed in Amazon's listing it does show that it (still) comes with the clear pelican type case. There's a pic that is subtitle ""comfort""----my packaging did not include this item. My SEs come from UTM Inc. I'll be returning them since they're 1) defective wire and 2) misrepresenting what comes included. Bummer."
7,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,Okay what can I say I had my doubts but wow was I wrong. Hearing these things compared to some of my other set up kind of makes me wonder why I wasted so much money on the others. I don't know the magic shure did but these SE846 were just magical. Everything you want from high end earphone and even high end headphones were in these earphones the soundstage is surprising large when you compare them to other makers. Plus the ability to customize your sound as just frosting on top of the cake. With each filter you could customize them to be what you wanted them to be making them that much more personal to you. Of course try out all the ear tips as you might not like the ones that it came with but I gotta say though the one that they are packed with were really nice. Fit right in but I had to change them out as there were a little bit to big for me. If you are looking for some hifi earphones and are already on the market looking for customs then check these out before you go customs because you might just find out that these are much better for the price.
8,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"Now we're talking! Best IEDs to be stuffed in my ears as of yet. I also have the Japanese version of the SE535s and they are way too bright so those will go back, I did not try the regular SE535 which are reportedly much better balanced and you can get filters right from digikey for cheap. I decided to go more than double or nothing and got these instead despite the high price. These things (SE846) have amazing headroom and are very efficient, great bass, not boomy or too exaggerated, detail, clarity, imaging (really called power response officially) as well as high end without any tizz or sibilance, most important is that these have none of the nails on the chalkboard sonics in the upper midrange of far far too many transducers of any kind. I can barely touch the volume on an AudioEngine D1 being fed by a Squeezebox Touch. I was close to getting custom IEDs but decided to give these a good try. I also own an AudioQuest Dragonfly Red. These also sounded great being fed from a Samsung S7E.

To do, I'll try them with my Samsung S8+ and then with the dragonfly on those as well as other sources. I've been listening to these for hours now with no fatigue. You really do not always know right away as any transducer with higher harmonic distortion will sound more alive with more detail in A/B comparison but after some time will cause anxiety and irritation since what you thought was more detail is actually information that was never in the recording to begin with, nope it's distortion! 3rd harmonics being the most irritating."
9,Shure SE846-CL Sound Isolating Earphones with Quad High Definition...,5.0 out of 5 stars,"I'm not an audiophile. I don't know how to appreciate every nuance of a given piece. After listening for a week I can say I have developed an appreciation for what audiophiles talk about. How can you not with these beauties?? After switch through the different ear tips, you'll find one that fits you best. They're comfortable and do an excellent job of isolating you from the environment. Not so much that you can't hear someone trying to talk to one, but once the music turns on you're in another world!

As a drummer (mediocre) these IEMs have saved my ears. I usually play listening to music off of my phone with some cheaper Bose ear phones but after any 10 min session my ears would be ringing. At baseline I have tinnitus, thank you very much Alice In Chains concert in 2007, so these provide me with incredible sound with no further damage to my ears. Honestly, that is priceless. So if you're a drummer like me looking for superb audio and ear protection, these are for you.

A great tip I read is checking out CDs from local libraries and ripping the files to your computer in FLAC or WAV formats, providing you with lossless audio quality, fit for these IEMs. Also, if you have Spotify, google how to use the Spotify Web Player (NOT APP!!!) that is available through Google Chrome only. This provides INCREDIBLE hifi streaming capabilities far superior to that of the Desktop app. You will need to be a premium member, but odds are if you have money for these, you'll have money to support their use.

So just like that, I've been converted into an audiophile, or at least a noob audiophile. I love these!"
