,Product,Ratings,Reviews
0,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,"I purchased this headset to use with the system at the gym to instruct a spin class. I got this set because I knew it would work with the set up. Before purchasing, make sure the system being used will be compatible with this headset. Since the gym already has the set up, I can just connect to the battery pack they have. There is a wire, but it connects to the battery pack which attaches to your clothing. I have to tuck the wire down my shirt so it doesn’t get caught on the handlebars of the spin bike. Without tucking the wire, I have had a few embarrassing moments where the wire has caught on the handlebars. To clarify, it is wireless as you you’re not connected to the system. But you’re connected to the battery pack which you connect to your clothing. You can walk around freely and move freely. It even worked when one of the instructors went outside and forgot to turn off the battery pack, she was away and outside of the building and the sound still was heard without any issues. There is a little foam piece that connects to the mouthpiece to help you not sound so winded. I can hear myself breathing but it doesn’t come through the speakers. It fits my head only if I have my hair tied a certain way, I think I have a small head because the other instructors who have the same headset don’t seem to have any issue no matter which way they style their hair. I sweat a lot while instructing and the sweat has not had any problem with the sound, I do take the foam piece off after each use to let it dry. It comes with 2 foam pieces so you can switch them out."
1,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,"I upgraded to this headset after my other Shure went out after less than a year. I was hoping putting a little more of an investment into my next set would be worth it -- and so far so good! I really like how much more durable this one seems to be. I make sure to dry it off after every class as well as remove the windscreen and allow the mic to hang until the next time I use it. I never wrap the cord tightly around the set either, so I'm hoping my good habits ensure a long life for this one."
2,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,"Wired mic for teaching Grouo Fitness classes- no more sharing germs and hair grime with other instructors. Super easy to attach to the transmitter pack, slim and compact for storage too. Looking to purchase the transmitter soon"
3,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,"Had several of these. Work great but don't be fooled, sweat in the mike will kill it."
4,Shure SM31FH Wireless Fitness Headset Condenser Microphone,3.0 out of 5 stars,"To sensitive to sweat. No matter what you do with the windscreen sponge. It should have extra screens. There should be many screens. They should be available to purchase. You still get it wet, and it still stops working in a few months. We have no choice here, but it is what it is."
5,Shure SM31FH Wireless Fitness Headset Condenser Microphone,2.0 out of 5 stars,"Worked fine on the proper pack setting for 2 months. A couple of weeks ago it stopped working at all on proper setting. I've tried on packs at all 5 gyms I teach at. I have to use the cheaper mic setting to get any volume, on which the mic feeds back regularly. The feedback causes me to feel like I can't move freely around the stage and that I have to overly meter the volume of my voice (and I'm not a loud person). It feels unprofessional. I am very disappointed to look for help today and see that I could only have gotten support with this issue within the first 2 months. Fitness instructors expect their mic to work for years, not months. Super frustrating."
6,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,"I've been using this while livestreaming my workouts on Zwift for a few months now. It's very lightweight, hardly noticeable while working with it. the only possible flaw is that the microphone picks up wind noise from a small fan I have set up in front of me. I've solved this by moving the fan off to the side, and the wind noise disappeared. You'll also need to take time to set your speakers up to not get echo, but it's worth the couple of minutes of effort."
7,Shure SM31FH Wireless Fitness Headset Condenser Microphone,3.0 out of 5 stars,I used this maybe 15 times and the connection to the transmitter button got stuck in transmitter and cannot get it out. Stopped working during my class! Up until then it worked great??
8,Shure SM31FH Wireless Fitness Headset Condenser Microphone,5.0 out of 5 stars,I use this several times a week and it works perfectly.
9,Shure SM31FH Wireless Fitness Headset Condenser Microphone,3.0 out of 5 stars,"I use and its great, but it is not wireless like is says. Oh well! I'm has a wore that hooks to the transmitter"
