,Product,Ratings,Reviews
0,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,4.0 out of 5 stars,"I've tried for years to find earphones I could use for listening to podcasts, but until now they've all had too much wind noise, from $30 in-ear Bluetooth models to the Bose 20i. These Shures have enough passive noise isolation that I can comfortably hear podcasts at a moderate volume, even when doing 40 mph downhill. I don't know how sweat-proof they'll be, but a 3 hour ride in hot weather that included pouring water on my head wasn't a problem for the earphones.

Edit: took off a star because the mic's sensitivity to wind noise makes it useless on a moving bicycle for voice commands. I tried putting tape over the remote, but that didn't solve the problem. Other than that, my ears ache slightly when wearing them for 4-5 hour straight, but that's more than acceptable for the noise isolation."
1,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,5.0 out of 5 stars,"I bought my 1st set of Shure's 12 years ago and they still sound great and are in excellent shape to this day - just change the foam tips regularly, plug and hit play. But with this set, I get the convenience of the mic to make and take calls on my iPhone also. I was pleased from the very first note of music I listened to immediately upon receiving them for my birthday. They sound great and will only get better the more I use them. They look nice also - the white and black contrast is very tasteful. I'm a business traveler and have had 2 sets of Bose QC's (wired & wireless) and the noise blocking on these is so much more effective than the noise cancellation in the Bose (not to mention I won't get the 'headset dent' look in my hair after a 2-3 hr. flight). The only knock I can think of is that the case they came with is a rather flimsy zippered pouch, unlike the original hard round clamshell case of my original set. Otherwise, an excellent product. Highly recommended."
2,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,4.0 out of 5 stars,"I have to say, Shure SE215 has been one of the best audio quality and fit earbuds I have ever used. I've only had one BIG issue, and that is they break somewhat often. After 6 months of use, the right earbud started cutting off. I sent it back and the 2-year warranty covered the repair at no cost. The problem was the wire. Before this pair, I owned the original SE215's and those had the same issue. About 1 year in, the issue happened and I sent them for repair. About 3-years in, the issue happened again and I bought these. This cable feels more ""cheap"" than the original black SE215's (no mic). I think this Mic only works with IOS so keep that in mind. The fit is amazing, and the sponge-like earbuds make sound isolation possible at a mid-high volume. Shure needs to invest in R&D for new generation better durability earbuds."
3,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,4.0 out of 5 stars,"I purchased these headphones to replace a 10+ year pair of Shure SE in-ear phones. While the older earphones sounded great, the wires had started to crack and cut my ears while I used them. I purposely purchased this model because of the additional microphone the unit to be used for phone conversations with my iPhone. Here's the comparison to an older version: a) The cord is shorter and the gauge wire is smaller than the older model. B) The phones sound more bassy than the older pair...this means that at lower volumes, they sound muddy. C). The inclusion of the microphone limits how close you can move the plastic slider to secure the ear buds. This, along with the shorter cord leads to a sloppier fit if you try to run the cord behind your head. Pluses would include: 1) the ""hinged"" style ear bud is easier to insert and find a comfortable listening position, 2) The cable is replaceable so if ""wire rot"" occurs with this pair, I can replace it rather than throwing the pair away. I have a pair of Bose earbuds that I use for business calls all week. I think I prefer the more ""open"" design of these phones because the tighter/closed nature of these phones is hot to use over extended periods of time. Overall - it's a solid purchase from Shure without having to spend big bucks for the more advanced models."
4,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,5.0 out of 5 stars,"I LOVE SHURE HEADPHONES, AND THESE DIDN'T LET ME DOWN!

I splurged on these after owning a pair of SE110s for 10 years. I used those things every day, on my way to work on the subway. Fantastic headphones with good sound. Most importantly, they lasted forever. Finally, one of the earbuds was shorting out because of a bad connecting.

These are built just as well, and they have much richer sound. Bass is readily available, and the mids are starting to warm up well as the headphones break in. They also feature similar build quality to my se110s, with a replaceable cord. The remote works well with IOS, but I haven't used an android phone. I look forward to putting these on, but I just need to make sure the music quality is good enough for the headphones to match!"
5,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,5.0 out of 5 stars,"On my long search for earbuds that can suit me for good quality music and mobile use, these are my final answer. I've read all the reviews and so I had to give them a try. I've went through many other brands at lower price points and wasted a lot of money but this makes up for it all.

These are totally worth the money. I'm not gonna go in depth with how they sound but SERIOUSLY these blew me away. They fit so well, they're lightweight and feel like they're not even there. And the sound quality is the best at its price range, allowing me to hear the drums, guitars, and vocals in my favorite rock tracks and all the ranges of sound in any electronic song.

The cable is also a big improvement upon the stock model, being thinner overall but keeping the durability all the same. The aux does not fit inside a lifeproof case unfortunately.

Overrall I couldn't take these out of my ears when they arrived so if that's something to go off of, 9/10 earbuds. Wish they came in solid blue though."
6,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,4.0 out of 5 stars,"I purchased these Shure SE215 special edition earbuds on March 30 and they are a huge upgrade from what I usually use. The only complaint I have is the cable, like any other cable they get damaged and stop working (I'm glad I can replace the detachable cable, which is a third of the price of the actual earbuds) but this particular cable seem to break prematurely because within the 6 months of having them the right earbud with the mic went out without any visible breakage. I take very well care of my earbuds and managed to make the brand 'Skullcandy' earbuds to last more than a year without breaking. As for the sound quality, they are the best sound I've ever owned in an earbud. I'd suggest buying the Shure earbuds without the mic because it's too bulky and from my experience makes the earbud go out prematurely."
7,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,1.0 out of 5 stars,"Very disappointed at the quality of these earphones. I upgraded to the model that has a microphone and buttons on the cable for an extra 20 bucks. I had just purchased cheapo headphones my entire life and figured that I'd upgrade and get some nicer ones as a treat so I bit the bullet and spent over 100 bucks on these. At first, they sounded great. The noise-cancelling is fantastic and the sound is actually noticeably better. However, last night, I plugged them into my phone and only one side was working. After about a month, they had already broken. How is this possible? I am not rough with these: I don't run with them, I've never stepped on them or sat on them, I don't travel with them. I really only used them for music in bed at night and when cleaning the house. I was willing to live with the fact that the actual product page doesn't clearly have any notes about the cable not working completely for Android (wtf?) and I didn't realize it until after the fact. What's the point of having a cable that only works for iOS? Now I have to go through the entire mess of using the warranty."
8,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,5.0 out of 5 stars,"These are the only earbuds that don't hurt my ear canals with fit. The rest of them fall out, hurt or otherwise just don't work. The sound is crystal and the noise reduction is a life saver on those ""family friendly"" trips."
9,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,5.0 out of 5 stars,"Sound great, excellent bass (heavy but not grossly so), love the inline controls. Little zipper case is decent.

None of the default ear buds that it comes with are comfortable IMO. Even the small foam ones seem to hurt the inside of my ears after an hour or two. Might look into getting a custom fit set. Not going to ding a star for it, i'm really paying for the drivers and the buds have almost always been a disposable item."
0,Shure SE215m+ Special Edition Sound Isolating Earphones with Remote...,3.0 out of 5 stars,"I consider myself fairly experienced with a wide range of headphones and I try to kee expectations reasonable for a given price point. I don't find these to be a value at all.

On the upside, they are very comfortable and Shure provides a wide range of inserts so you can swap as needed. I can wear for long periods of time with no discomfort. Cable attachment allowing swivel as a great idea.

External noise isolation is more than adequate with being eerily quiet. I do like to have some awareness of my surrounding when music is low or off. I use a set of JH Audio JH-16 IEMs and they really cut out almost all external noise. Maybe too much for some situations.

Now I understand that there are many very positive reviews based upon sound quality. That's one of the reasons I bought them. I don't get it at all. To me, they sounded overly warm to the point of somewhat muddy. Frequency definition was loose and bled together. Boring sound. Flat highs, forward miss and muddy bass. I've had lowest end Polk and midrange Senns that beat the heck out these in terms of clarity and accuracy, two or the areas most important to me.

I will compliment the soundstage. It sounded very accurate to me. Live and studio music both have a realistic sense of scale and space. That part was nice.

In short, there are so many other earbuds that really outshine these. I think the sound/comfort/cost ratio simply made these a poor value. I can get way better sounding buds for close to the same money or less.

These really sounded to me like $16 Skull Candy buds. In contrast, I bought some Denon AH-C820s for $199 and they sound like $500+ competitors. They exceeded expectations while these really fell short.

In fairness, I will say that I listened to these on both an iPhone 7 as well as an Onkyo DP-X1. These buds did sound moderately better on the Onkyo and likely would have gone from mediocre to pretty good if I swapped the cable for a balanced cable.

Only problem is that I don't always carry the Onkyo and I would think it's not too much to get decent sound with an iPhone. I would think that the number of people using these buds with some kind of high-end player vs those with a traditional cell phone has got to be small. Way more people listening on a cell phone. That's why I am being so rough on these buds.

I'm going to give them to my son and he will like them. He's a big bass fan when he listens to music and I think they do a respectable job there.

I recommend you look elsewhere if you are committed to this price range. The Shures I would recommend are way out of this price range. If you were will to spend a little more for earbuds that far outperform way more expensive models, I highly recommend the afore-mentioned Denons.

Purely my opinion... happy listening!"
