,Product,Ratings,Reviews
0,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,4.0 out of 5 stars,"Right to point, these headphones sound great. A very nice neutral approach with good clarity throughout. They are not bass heavy, if you are looking for that you will be disappointed. My criteria was a good sub $100 dollar IEM setup to plug right into my iphone. No amp, no dac. Just a nice sounding set of in ears I can take with me wherever I go. These deliver right on the money. Looks leave a little to be desired, but I am buying for sound not looks. I tried a pair of BeyerDynamic in ears in the same dollar range and these sound better in my opinion. For sub $100 dollars, I would put these up against anything-- provided you are looking for something neutral / flat.

My one complaint, the fit. It could just be my ears, but I could not get these to stay in no matter what I did or how I positioned them. I switched to the smallest tip and could feel and hear them continually losing pressure then sliding out. I had originally thought being forced to wear these up and over the ear would help, but it didn't. I was about to return them because no matter how great they sound, if they don't stay in my ear it's pointless. I had read good things on Comply replacement foam tips and ordered a pair of the T100 isolation series. That made all the difference, they are stuck like glue now and I can actually enjoy listening without feeling the IEM's fall out. So to summarize, fantastic neutral sound, but buyer beware if you have smaller ear canals the tips might be difficult to work in and hold. There is a great fix out there, but it does require spending another 15-20 dollars for a three pack of replacement tips. I've seen some BeyerDynamic IEM shipping with Comply tips as replacement, might be something for Shure to consider-- I almost returned them because of how poor the stock ones fit me."
1,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,4.0 out of 5 stars,"The sound is great. I've avoided earbuds before because I've never been happy with the bass response. I have to say the bass response is great on this headphones, the only trick is to have them fit properly inside the ear. It takes a bit to select the right sleeve (three sizes provided) and to get the cable looped correctly around the ear, but once fit properly the sound is fantastic. The mic works perfectly on my android device. I'm surprised about the sound isolation. I think it is better than the active noise cancelling on the Bose QC headphones. I've even worn these in a concert as earplugs.

I'm taking one star because after a year of use the rubber cover on the back of the earbuds is peeling and breaking apart.

After using these I bought the SE215, but I stull use the SE112m as my day to day headphones."
2,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,5.0 out of 5 stars,"Incredible earphones, listened to the se112 with the Shure SE846 ISOLATING FOAM TIPS, I could not detect a difference in sound quality only that the se112 had to be turned up a notch or two. I changed these earphones back and fourth at least 20 times. These earphones are the door to other Shure earphones and products, maybe that is why they sound so good. You can buy Shure foam tips, plus comply p series will fit your se112s. Most of the reviews would be 5 stars if foam tips were used. After being smashed into a narrow cylinder and then placed into the ear they expan to form a perfect isolating seal, making the se112 sound 50% better. PLEASE DO NOT USE THE SILICONE TIPS THAT CAME WITH YOUR EARPHONES."
3,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,4.0 out of 5 stars,"The Shure SE112 with wireless cable is pretty darn good. The battery life is stellar as well as the charge time, I never had an issue with it dying when I did not expect it. The sound quality is what you would expect, fairly entry-level. In comparison with the SE215, the lows are a bit lacking (the 215's are known to be a tad bass heavy) with not as much sub-bass extension. The high's and mids however are fairly spot on compared to the 215's, with the 215's maybe sounding a bit clearer, if barely. The wireless implementation Shure created is also quite nice, I had no issues with connection and I could go quite far before it started cutting out.

If you are used to how well the SE215's fit in your ear these are a little strange to get use to, they are much more round and not so fitted for an ear, that being said they still fit fine and won't fall out, the SE 215's do have a superior fit in my opinion though.

My only gripe with these IEM's are that the cable does not detach like most Shure models, which sacrifices the durability and options that the higher end models grant you.The cable is quite rugged though, I thought mine were dead after I snagged them in the rolling seat of my car, but to my surprise when I finally yanked them out there was not a scratch on them nor was there a detached wire internally.

So if you can afford the price increase to snag the 215's with this cable I would go for it, but this is still a quite nicely priced offering from Shure."
4,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,4.0 out of 5 stars,"My old Shure’s shredded along the right and left cords after 5 years of very heavy use. I hope to not be as hard on these.
The sound isolation is very good. It enables me to not have to blast the volume in order to keep surrounding noises at bay. For an example, at half volume on my iPhone, I can’t hear the usually loud music at Starbucks. But without audio, the headphones don’t block much sound at all.
There’s a chincer that keeps the cord snug to your jaw. The volume controls are easy to use by feel and the mic is a good distance from your mouth. Thought I do notice that many people like it practically in their mouths, the mic picks up your voice just fine where it is.

I like a bit more of a bass response and these give me all the bass I need without blowing out my eardrums. The stereo is clear and gives your music plenty of depth. I’m very satisfied with my Shures and hope to have them for years to come."
5,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,2.0 out of 5 stars,"I bought these because of the reviews and because they're from Shure...but I am thoroughly disappointed. If I were to draw a frequency response graph for these, it might look like a bell curve that peaks in the mid-highs and leaves highs and lows in the dust. Lyrics sound...ok on these. Certain musical instruments like clarinets sound pretty good while warmer instruments like a piano or drums sound gross.

Shure is known for their legendary dynamic microphones. Give the SE112-GR a pass."
6,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,4.0 out of 5 stars,"I'm not much of an audiophile, so if that's what you're looking for in a review, you might want to skip this one. From a practical standpoint, I really like these and struggled between 4 stars and 5 stars. These are my go-to headphones when I'm in an environment with any kind of background noise ... mostly being in an airplane or on my motorcycle (I wear a half helmet and have stock pipes on one HD and slip-ons on the other one). The sound is great enough for me for both music and audio books and, because of the isolation, I don't have to listen at full volume to hear it well. The controls are large enough to easily operate when wearing gloves. The cord is longer than most, making it easy to connect to my phone mounted on the gas tank or when it's sitting in the seatback pocket on the plane. The cord seems very durable and doesn't tangle. I'd give these 5 stars, but after several hours, they begin to get a little uncomfortable and I need to take a break."
7,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,5.0 out of 5 stars,"These are the loudest ear-buds I've ever owned. The bass is solid as are the highs. The mids actually sound pretty good too and Im kinda picky. Im not rich so I cant afford the $400.00 pair of Bose or Klepschs. I do like to drool on my screen at them though. I have had a few nice pair though. I reckon its safe to say that I buy a decent pair just about once a year, come motorcycle season. The most I've ever spent is $250 on a pair of wireless Beats. Ive also spent $20 on a pair of SkullKandys. So far, these are my favorites. I can't remember how much I spent ($59.99) on them just now but Im sure they weren't cheap. Still, they rock and I like my music loud so I can hear it over my bike, which is also kinda loud. Anyway, if you're on the fence, stop thinking and just get 'em. You wont be disappointed."
8,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,5.0 out of 5 stars,"These headphones are amazing, and not just for the price, they're just amazing period. As an audiophile and musician of many years, I can't believe sound this solid is available at such a low price. I remember paying close to 300 dollars for a pair of older EC3s and this pair in the SE112 is actually better. It's imperative to get a right seal in the ear and it does need to sit deeper in the ear canal, so it may not be for everyone. But for those who are willing to take the time to learn how to seat these buds the right way are going to be treated to nuances and dynamics that other earphones in this price range just won't be able to deliver. There's a quite long break-in period, both to the drivers and to your brain. It's a phenomenon that I can't truly describe, but once the burn-in period is established. They'll treat you good."
9,Shure SE112-K-BT1 Wireless Sound Isolating Earphones,5.0 out of 5 stars,"I've hadn't these for 2 months now, and say without reservation that these are the best headphones I've ever owned and one of the best purchases I've ever made.

I bought these because I had become frustrated with the sound quality of all the headphones I had. I hated the crackling I could hear when I streamed music (my primary form of listening) and I also felt like I wasn't getting enough outside sound blocked which prevented me from being able to hear the different levels of bass and treble.

I knew that these problems would be easier to fix with over-ear headphones, but not only do I look goofy with those on, they're also just way too bulky.

I fully expected to have to pay upwards of $120 for a pair of Beats or Bose earbuds, but after doing a little research I stumbled upon these and decided to go for it.

They have exceeded all expectations, solved all problems, and are the only headphones I will ever use. They completely block outside sound (so much so that I slept soundly through a 6 hour flight.) The quality is INCREDIBLE.

I absolutely recommend these to anyone even mildly frustrated with their headphones."
