,Comments,Date,Product,Ratings,Reviews,Title
0,15 people found this helpful. Was this review helpful to you?, April 20 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"These headphones are what I was looking for. I wear hearing aids, but like to listen to either audio books or music when out walking. I also like to wear a broad brim hat to protect my face from the Texas sun. I've tried other over the ear and bluetooth headsets, but they are heavy and cannot be worn behind the head. These headphones can be worn over my hearing aids and behind the head. They are lightweight and did not shift. They permitted me to still hear outside noises like cars and critters which ear buds do not. Old school, but still work real good!",but like to listen to either audio books or music when ...
1,24 people found this helpful. Was this review helpful to you?, March 17 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"I bought a pair of these headphones to use as my workout headphones. I used them for nearly 6 years before they finally broke. I used them in nearly every workout (6 days a week, for about 90 minutes a day). I sweat constantly, and these headphones really held up through it all. Because I sweat so much, I would clorox spray them occasionally. Honestly, I was so surprised at how long they lasted. I bought another pair because of how long the first pair lasted. They are comfortable, durable, and have decent sound quality. Honestly one of the best purchases I've made. When I ordered them from amazon they came in a timely manner, were packaged nicely, etc. Worth every cent.","They are comfortable, durable"
2,16 people found this helpful. Was this review helpful to you?, November 14 2016,Sony MDR-G45LP (Black),5.0 out of 5 stars,"These headphones are one of the few that are over the ear headphones that don't give me hat hair or hurt my head. They can be comfortably worn around the neck too, which is nice. If you're buying these, you aren't looking for sound quality, so I'm not even considering that. They stay on your head when you excercise, can you say that about any other over the ear headphones?","For the price, it is more than enough"
3,8 people found this helpful. Was this review helpful to you?, July 13 2016,Sony MDR-G45LP (Black),5.0 out of 5 stars,"I love these headphones. I have had several pair already over the years and I would probably be a bit devastated if they stop selling them. They last a decent amount of time; mine have lasted anywhere between 1-3 years (1-1.5 on average) which is pretty good for the price and I love the sound quality. It may not have as great of sound quality as some of the expensive ones like Beats, but it's still pretty good. The only trouble with it is if you play anything louder it can be heard by others around you.

The only trouble I ever have with these is after so long the wire at the base of the aux connector will break, but it takes a while for it to happen (this is why I need to buy a new pair like this every 1-3 years). I wear mine a lot too, especially when walkin and moving around so it does get a little roughed up, but it holds up well and relaxing them at the price isn't so bad at all; I definitely get my money's worth out of them!

They are comfy too! I wear mine for hours and have little to no discomfort at all and they can be worn with glasses on without issue (usually any discomfort from wearing them is not common, minimal and goes away if they are removed for a few minutes, and the discomfort is mostly when I've worn them with glasses for long periods of times, generally after a few hours).

They're also not as easy to accidentally knock off ones head as they do have a plastic loop that sits over the war to keep them in place, and don't fall off easily either. They stay in place and out of the way.

I would recommend these for anyone who just wants a comfy pair of headphones that will stay in place, but aren't looking to break the bank on an expensive (overpriced) pair.",Always love these
4,9 people found this helpful. Was this review helpful to you?, April 3 2017,Sony MDR-G45LP (Black),4.0 out of 5 stars,"I like behind the ear phones. I hate ear buds. These are good for workouts, sweat doesn't short them out. Good enough bass, comfortable. Cord is long enough for computer use. Much lighter than Bluetooth headphones which make them good for running. Because they don't cover the ears entirely they don't make my ears hot.","Good sound, light, workout quality"
5,3 people found this helpful. Was this review helpful to you?, September 27 2016,Sony MDR-G45LP (Black),4.0 out of 5 stars,"For the price, there isn't very much you can complain about in the sound quality department. These get plenty loud and fairly clear with a somewhat flat frequency range that's slightly more pronounced on the high and with a little boost on the lows, but not a bassy set at all. Sound stage is great for the price range. They feel heavier than expected in the hand, but light on the head.

Biggest complaint is that there is a designed under cut that runs along the entire bottom part of the plastic band and has a slightly rough or sharp feel to it so it gets annoying and irritates the top of my ears from the plastic that's around the area that sits on your ears. I don't care how this looks, but I stuck a bit of athletic tape around that area and it's fine.",Good for the price. Annoying cut in the band.
6,One person found this helpful. Was this review helpful to you?, June 27 2017,Sony MDR-G45LP (Black),4.0 out of 5 stars,"I prefer earbuds, but I recently got a daith piercing in each ear, and the jewelry I have in my ears at this time won't allow ear buds to fit, so I wanted to find a different style headphone that didn't seem very obtrusive. The ear clip style that are similar seemed to have such mixed reviews as far as the clips breaking, so I chose to go with this style, which seems sturdier in construction. I love that the ear portions tilt and move so that they grip tighter to your ears, making it easier to hear the sound clearly and also helping to avoid others around you being able to hear what you're listening to. The only possible down side I've found so far is that I had to have my phone volume at almost halfway before I could really hear what I was listening to, when, with other varieties of headphones, I can't get the volume turned down low enough to not bother my ears, so they definitely don't provide a very loud output, but I've found them to be sufficient. I have not yet tried these in a place with a lot of ambient noise to know if they're decent at blocking that out or not.",Good Headphones for a Great Price
7,One person found this helpful. Was this review helpful to you?, August 4 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"good workout headphones. back in 2014, i had purchased a set of amazon basics wireless bluetooth headphones. these worked great for a very long time, however, one day before my workout they refused to turn on. charged them up, still no dice.

was hoping i could come on and simply by another pair of the amazon basics pair, but i was wrong. apparently amazon quit making the ones i had.

sony has been around for years, and ive owned several sony products over the years. i bought these and they are very reasonably priced. i didn't wanna pay 50, 60, 70 or 80 bucks for a set of bluetooth headphones.
these are the old school corded headphones. they arrived quickly and are very comfortable. had them over a month now, and i Love them.
pick up a pair today!",nothing like old school corded headphones!!
8,3 people found this helpful. Was this review helpful to you?, April 2 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"Holey-smokes these are good. WAY better than expected. Considering the price, they are a outstanding value.

They sound great! I mean, literally (I guess auditory-ally). Not just great for their size and weight, just great. They're quite light-weight, very comfortable and feels very secure on my head. These sound much better than the on-the-ear lightweight headsets I've tried.",Holey-smokes these are good. WAY better than expected
9,3 people found this helpful. Was this review helpful to you?, May 13 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"My family goes through a lot of headphones and earphones.
We've tried many types: wireless / wired, over ear / on ear / earbud, ...

My frustration is that I end up buying replacement headphones or earphones at least once a month (for the five of us) ... because they just last very long.

I really like these because they sound fine and are very simple and rugged. This is my second pair ... the first pair lasted a very long time, I think for a couple of years.","Simple, strong, and sound good."
,Comments,Date,Product,Ratings,Reviews,Title
0,3 people found this helpful. Was this review helpful to you?, July 29 2015,Sony MDR-G45LP (Black),5.0 out of 5 stars,"These are great, exactly what I have been hoping to find.

My MP3 Player is loaded with audio books, and some music, that I listen to at the gym. I generally prefer being read to when working out than listening to music.

Earbuds are uncomfortable for me and don't stick in my ears. I have fine over-the-head headphones with good sound and volume, but they are heavy and make my head hot. What i have been searching for are lightweight, behind-the-neck, wired headphones like the ones I have for my smart phone.

Sound quality is very good and so is the volume. The volume control is on the MP3 Player, of course, but it is amazing how much variation there can be between different headphones.

Lightweight, behind the neck, cmfortable, good sound and volume. I'm searching no more, I've found what I've been looking for.",The Headphones I Have Been Searching For
1,2 people found this helpful. Was this review helpful to you?, September 3 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"I always wear a baseball hat outdoors in spring thru summer which is where, when, I tend to wear headphones. They're inexpensive and fit very comfortably below my hat. There also relatively inexpensive which outdoor use requires. In-ear plugs which I admit are more functional, but I hate them so they aren't an option for me. And the sound is ok given I play usually compressed music on the phone player.","Great fit with hat, relatively cheap, perfect for phone outdoors for in-ear plug haters."
2,Was this review helpful to you?, April 24 2018,Sony MDR-G45LP (Black),5.0 out of 5 stars,"Disclaimer: I haven't received the item yet, but this is my second pair. Reviewing the first pair, that finally gave up after all the abuse I've subjected it to (not it's fault at all)

This is the best pair of headphones for running, period.

Sony sound quality is more than acceptable for this use, and the shape of the headphones precludes them falling off of you as you run, a common problem with little earbuds or separate headphones. The behind-the-neck design is the best in terms of how firmly it's attached to your head, without causing extra sweat or inconvenience.

Oh, and do get some.replacemebt foam tops for those, they get funky quick, and they tear",that finally gave up after all the abuse I've subjected it to (not it's fault at all) This is the best pair of headphones for running
3,One person found this helpful. Was this review helpful to you?, December 1 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"WOW! Especially considering the price...just WOW! I have everything from Apple Ear Buds to $400 professional studio monitors! There aren't a lot of manufacturers the make this style. These have a great range for plugging into a source for busy work music! They're very comfortable! For the price, you can't beat them...especially if you don't want to mess up your hair, or your ears are in agony after only a few hours of having them in. I highly recommend these!",Great freq range AND comfort!
4,5 people found this helpful. Was this review helpful to you?, April 3 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"They fit well over the microphone of my hearing-aids, that are the over-the-ear type. Also very light for wearing for long periods.","They fit well over the microphone of my hearing-aids, ..."
5,2 people found this helpful. Was this review helpful to you?, June 10 2017,Sony MDR-G45LP (Black),1.0 out of 5 stars,"I bought these because I was having trouble finding earbuds that would stay in and be comfortable while jogging. These headphones stay on as long as I don't look up at all. If I do, my neck bumps the back piece, which joggles the earphones. Today, while using them, my right ear started to really, really hurt. I'm disappointed.",Disappointed
6,2 people found this helpful. Was this review helpful to you?, May 17 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,Great headphones for the gym! I can't vouch for the sound quality of these headphones because I don't use them for anything other than listening to TV programs through my gym's cardio equipment. That's the use for which I bought them and they work perfectly. What more can I say?,Great for the gym!
7,Was this review helpful to you?, March 7 2018,Sony MDR-G45LP (Black),5.0 out of 5 stars,"3 days having this headphone and I got to say I like it it came in good condition no broken or anything like that and everything work fine I give 9/10 on ranting that are good means

1- sounds good guality
2- fit perfect on my head right sizes
3- there is no bass or anything like that but it sound super loud and good
4- this headphone won’t bother you while you lay down
5- pretty much this headphone is meant to use while working out or running
6- is great headphone and is cheap too you won’t regret it buying it

I highly recommend getting this headphone if you planning on buying it is cheap and great :)",Good headphone for price
8,3 people found this helpful. Was this review helpful to you?, April 6 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"A replacement for the pair I wore out (listening to tunes on my bicycle, about 8 hours/wk). These do not interfere with my glasses or helmet. They're terrific.",It's the fidelity
9,Was this review helpful to you?, January 23 2018,Sony MDR-G45LP (Black),3.0 out of 5 stars,"I'm probably a little spoiled because I always use my bf's headphones which are studio headphones. I needed something I could wear to do light cardio in, but I can't wear earbuds. These work fine. They stay on my head and the sound is okay. They feel weird to me, like they're going to fall off my head.. but that's probably because I'm used to heavier headphones. Many would consider the barely-there feeling a pro, I imagine. :)",Nothing special but decent
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, May 14 2010,Sony MDR-G45LP (Black),5.0 out of 5 stars,"I have an MP3 player my son gave me some years ago. I put it on a timer and play my favorites each and every night to help me sleep. From the beginning I had tried different earphones and finally found this one. It gets tugged, pulled, stretched, and still lasts a long time before it needs replacing. This last time I bought two of them so I would have a replacement immediately when the one I use every night no longer works. I am glad to keep buying this earphone because the price is right and the fit is comfortable when try to get to sleep. It meets my needs exactly and I just hope they never stop making them.",Excellent item
1,Was this review helpful to you?, November 22 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"for the price they are great. I use them on my computer and the sound is perfectly fine. I'm a gamer so if it wasn't good sound I would be crying about it. If this is your price range, this is an easy buy",for the price they are great. I use them on my computer and the ...
2,One person found this helpful. Was this review helpful to you?, May 1 2017,Sony MDR-G45LP (Black),4.0 out of 5 stars,they are little quiet for my taste but they are comfortable and they work,not perfect but good
3,Was this review helpful to you?, October 19 2016,Sony MDR-G45LP (Black),5.0 out of 5 stars,"Awesome for the price. Sound is clear and balanced the way speakers should be, even in the low to high ranges. It's really comfortable and is great if you wear glasses. Received this on Monday and I just ordered another because the first one ended up on my husband's iPad.",Great buy.
4,Was this review helpful to you?, December 6 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"The sound is great! Its very light and compact, A long time ago I had one panasonic with this kind of design, over the ear, and is one of my favorites.
This Sony is above my expectations.",Light weight and great sound!
5,Was this review helpful to you?, March 10 2018,Sony MDR-G45LP (Black),4.0 out of 5 stars,it fits for my smaller head. The sound is excellent compared to other earphones I've tried. I can hear all of the instruments and get a complete engrossing sound experience.,Sound the Fits
6,Was this review helpful to you?, December 10 2017,Sony MDR-G45LP (Black),4.0 out of 5 stars,"Light in weight, fits well, good sound all around SONY quality. Great not to have annoying wires when listing to my Audio Books and MP3 downloads.","Nice, Easy to Us, Has Quality"
7,One person found this helpful. Was this review helpful to you?, October 26 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,"Great for running, they stay in place like a boss. Don't let your kids near them, they will rip off the foam pads that cover the ears. Sound quality is probably 6/10 for a headphone this style (on ear). But I'm not listing for sounds quality while I""m running.",Great for running
8,Was this review helpful to you?, September 26 2017,Sony MDR-G45LP (Black),5.0 out of 5 stars,I bought these headphones for my husband. He likes them and finds them very comfortable. They don't slip off and the sound is clear. They cup over the ears to eliminate background noise. They are a basic and reasonably priced. He's pleased with the purchase.,He likes them and finds them very comfortable. They don't slip off and the sound is ...
9,Was this review helpful to you?, February 25 2014,Sony MDR-G45LP (Black),4.0 out of 5 stars,"Audiophiles may find something wrong with this headset, but for me the sound quality is fine. Rock music of various styles all sound crisp and clear.

However, the cheap plastic of the band does tend to pinch on the ears if worn for prolonged periods. If you just use them for a 15 minute jog, you should be fine. However, working overnight listening to music for hours the discomfort becomes apparent rather soon. Wrapping a strip of duct tape around the band by the ears will save you some pain, if you don't mind how cheap it will make them look.

If you want a long-wearing solution I'd suggest elsewhere. Short-term they'll do the job though.",Good Sound but uncomfortable
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, May 22 2017,Sony MDR-G45LP (Black),4.0 out of 5 stars,I bought these to wear when I'm streaming without messing up my hair (what a girl). They're perfect for that but are painful to wear for longer than a couple of hours,Good for the price
1,Was this review helpful to you?, February 2 2018,Sony MDR-G45LP (Black),4.0 out of 5 stars,Had these before and needed wired headphones. Very comfortable but not as much bass as my Bluetooth headphones.,Treble heavy
