,Comments,Date,Product,Ratings,Reviews,Title
0,273 people found this helpful. Was this review helpful to you?, August 17 2016,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I've tried a ton of headphones lately and these sound by far the best to me. I like generally flat sound. I'm more concerned with clear mids and highs and want present but not overpowering bass and low bass.
Headphones I've tried include the following with my totally subjective sound rating on 10 point scale. YMMV.

Audio Technica ATH-M50X - highs a little subdued for my liking - 7
Beats Studio 2 Wireless - Subdued highs, some mid bass emphasis but not overpowering. 6
Bose QC25 - A little weak on bass and weak on highs, best ANC. 7
Bose QC35 - Can be a little bassy, especially at low volume. Bright highs. Best ANC. 9
JBL - EVEREST 700 - Way too bassy. 5.
JBL - Everest Elite 700 - Much better than non-Elite, 7
OPPO PM-3 - Excellent, expensive. 10
Sennheiser 202 - yuck. Too bassy, no highs, but cheap. 4
Sennheiser 280 - well balanced. 8
Sennheiser Momentum M2 - Close to perfection. 9.5
Sennheiser PXC-550 - wireless noise cancelling. These are excellent. 9
Sony - MDRXB950BT/B - Extra bass says it all. 4
Sony 7506 - Perfection 10

Out of all that I've tried the Sony 7506 are closest to perfection, to live performance. They are not bass heavy at all but can produce comfortable solid bass down to quite low frequencies. Tonal balance leans towards the upper mids and highs. Bright but not harsh. You end up hearing subtle sounds in the music that is missing with other headphones. Those who want more bass or don't want bright highs won't like these. But for my listening taste this matches perfectly.

They are also very comfortable. Many of the headphones listed above are not as comfortable. Either tight band or thin band or ear cups that aren't big or deep enough. These headphones are great. Biggest disadvantage vs. many that I've tried recently is that these are wired... with a long heavy cord easy to get caught on things. I was looking for a wireless headphone. But ultimately I couldn't find one at a reasonable price that sounded anywhere near as good as these. Next closest was the Sennheiser PXC-550, but at $400, wireless wasn't worth an extra $320. I also found that there were times I didn't want noise cancellation. Too bad Sony doesn't make a wireless headphone with anywhere near this sound.
Best of all, these are by far the cheapest of the decent sounding headphones I've listened to. The headphones in this list range in prices from $20 to $450.
Highly recommend the Sony 7506... if you like this sort of sound signature.","Listened to a bunch of headphones, this are closest to perfection. Not bassy. Excellent mids and highs, solid lows."
1,134 people found this helpful. Was this review helpful to you?, January 18 2015,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"These are my favorite pair of headphones I have tried so far. The overall sound of these are very balanced. This means the Low, Medium, and high tones are for the most part balanced out. You can easily look up a lot of information on these headphones. They are an industry standard which I have enjoyed owning for more than two years now.

The overall design of the headphones is fairly good. They are structurally well designed for the most part.
- Noise isolation is mediocre. You can hear people saying things through these depending on the volume.
- Sound leakage on the original pads is fairly low. People won't have to hear your music when it is at a fairly loud volume.
- Extremely long, coiled cable with 1/4-inch adapter. Possibly gold connections.
- Sturdy cable design. Each cable bend point is reinforced with additional rubber. Soldering to the driver seems sturdy as well, it should be able to withstand most tugs. This is usually not an issue with the gargantuan coiled cable. The coiled cable also prevents a large number of tangles!
- The headband is fairly comfortable. You could easily find a cover for it if it becomes a problem.
- Cup adjustment pieces have numbers on them to ensure a specific setting.

The problems I've had with these over time:
- Headband will lose its tension between your ears over time. These headphones no longer fit as soundly on my head as they used to.
- Faux leather pads will need to be replaced. I have included a picture of both of my ripped pads which I replaced with ""Beyerdynamic EDT250V Headphone Ear Pads Black"" these will create some additional noise leakage.
- The wire that connects the drivers to the headband can get stuck in the housing. (see picture) This may wear the wire a bit.
- Cable is extremely long. This can be an issue when you want to use these headphones outside of their intended purpose. The cable is generally a bit heavy, causing strain to the connections. I very often have to move it around to have it stop bothering me. The cable can be replaced with some soldering. There have been projects modifying the headphones to have a detachable cable. Google ""Sony MDR-7506 Detachable Cable Mod"" that I believe would improve the design of the headphones.
- Like all over the ear headphones, these will be uncomfortable with glasses. They do become very uncomfortable after a few hours.
- While these do come with a transport bag, even the fold up design makes them a bit of a pain to transport. This is to be expected.
- Fold up design doesn't center the cups when the length of each ear cup is at minimum. (See picture) Not sure what this does to the longevity of the headband.
- The blue portion of the ""Professional"" stickers on the sides are decals. One of mine peeled off. It looks similar, but is starting to disappear, and collects dust. (see picture)

Aside from a few gripes, these are still my favorite set of headphones. They simply sound right. I was appalled to go to the store and listen to some Bose headphones and hear how bad the quality was in comparison: for a set of $300 headphones.

These are undoubtedly worth the price. Don't hesitate to buy them if you can overlook the problems i have had.",SOUNDs like you should buy these headphones!
2,30 people found this helpful. Was this review helpful to you?, June 29 2017,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I'm rating these five stars, but they do have one pretty big negative. They are excellent, studio quality headphones. If you plan to wear them out and about though (like the NYC commuter I am) they effectively also serve as earmuffs. That's all well and good in winter, but on the June day I wore them out, I was sweating out the top of my head and down my neck. Amazing sound quality, but not great for being out in the heat. In their defense, these headphones never made that claim. They never made any claims at all, as they are an inanimate object without speech capability. They do have the capability to deliver superb sound quality though, which is mostly what you want in a pair of headphones.",High Quality Headphones
3,15 people found this helpful. Was this review helpful to you?, November 28 2015,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I love my 7506's. I do alot of video editing, edm production and djing as my main hobbies, and I would not use any other headphone. There is just something about these that reveals any and all audio errors. My rule of thumb is if it sounds good in these headphones it will sound good at the club and vice versa. Now that I have told you how much I love these they do have some major faults.

1. These headphones are very cold sounding even a bit harsh especially with low quality sources like spotify and soundcloud. These are aimed at the professional audience. If you have work to do get these. If you want to sit back and listen to music buy the mdrv6 or audio technica mh50x. As an aside everyone that says these and the mdrv6 are identical must be tone deaf. The v6 sounds warm with way more bass. By comparison the 7506's are harsh and cold with a more technical (tight) sound.

2. The ear pads are terribly uncomfortable do your self a favor and replace them immediately. For some reason I personally love the cloth pads from Turtle beach gaming headsets. I just hate leather and velour on headphones they make my head sweat and ears hot.

3. It's time to make these with a detachable cord. Audio Technica made the mh50's with a detaching cord, it's about time Sony did the same with these and the v6's. I am writing this review because of this. I was djing at a club when an attendee (cough very inebriated human being) fell on the ground and ripped the cord right out of the ear cup. Sony is lucky I won't use any other headphone in a professional setting.

When all is said and done though these are unbelievable headphones at a great price with nice build quality. Sony please just make them with a removable cord (im on my 3rd pair in 9 years and would gladly pay double the price for this one feature. Also, I hate having to get used to a new pair every few years). Finally, to sum up the review, if you are looking for good studio/dj headphones these are fantastic! If your looking for a more casual listening set of cans gets the mdrv6 or at mh50x.",My favorite studio cans!
4,14 people found this helpful. Was this review helpful to you?, August 5 2014,Sony MDR7506 Professional Large Diaphragm Headphone,4.0 out of 5 stars,"I recently developed a liking for headphones and wanted to try out the 7506, having the impression they were sort of a long-standing classic pair. I also read an extensive report claiming them to be the best pair of over-ear headphones in the $150 MSRP range.

I haven't owned them long enough to say much about durability, and they may have not had enough time to ""burn-in"" (I'm not confident myself of the importance of burn-in, but it seems to be a widespread-enough idea that I do give my headphones a short burn-in), but so far I agree that they are a great pair of headphones. They have a much more even or flat response than any popular pair of headphones to be sure, but my primary comparison is my go-to pair of Sennheiser 380 Pros. They are both phenomenal sounding. The best way I've found to describe the difference is that the 380s lean just slightly towards the lower frequencies, and the 7506s towards the brighter side. The 380s have a wider soundstage, as well (probably because of the larger ear cups and distance between the speakers and your ears). As a result, there were some songs that felt more rich from the 380s...but some songs that felt more exciting from the 7506s.

The 7506s have a relaxed fit, and the pads are quite soft. They will likely make contact with your ears, and I do feel some fatigue after extended listening. I have a very big head and typical sized ears, which is why I opted for the 380 Pros as my first pair...the ear cups are massive, very large and deep, and make no contact with your ears, but the headphones are heavier and grip tighter, so instead of any ear fatigue you feel a fair amount of warmth. The 7506s have padding on the speakers themselves, as well, inside the ear cup, so the contact with your ears is padded. They are lightweight and don't grip too hard. The headband is comfortable, though I noticed it tends to grab my hair more than I'm used to.

I don't like the coiled cable, though it is more lightweight than the one on my 380s, so it's a bit more manageable. I also don't like that the cable can't be removed, and therefore not easily replaced.

The ear cups don't swivel side to side very far, but can flip all the way around, and are on a hinged arm. You can sort of push them up against the headband (with the two ear pads together) to make the set pretty compact, and there's a basic storage bag that they'll fit in. They're fairly mobile.

I also noticed that the best place to grip the cups as you put them on or take them off is covered with the same thin material that's on the ear pads. It makes me think this will probably wear out fairly fast, but that's sort of a nit-picking detail.

I'm fairly new to the audio scene and don't pretend to be an expert, but hopefully this can give a wide audience an idea of what these headphones are like. I give them 4-stars for a satisfactory, but not exceptional, product. You are getting what you pay for, but in my opinion, not more.

I'll probably update this review once I've used them a bit more extensively.

Additional comments:

I've now owned these for nearly 4 months, and have used them quite a bit.

They aren't so great for using at my DJing jobs. While their mobility helps, they don't produce massive volume, and they don't isolate all that well. This makes it a bit hard to listen to songs in advance before including them in my set, with the music blasting from my system.

They are, however, unquestionably, the best flat-response audio I've ever heard in headphones. No range is neglected or favored. When I mentioned earlier that they make some songs more ""exciting"" than my 380 pros, I was hearing the crispness these songs bring to audio, particularly in the mids and trebles, where other headphones couldn't seem to be bothered. I was listening to some vocal-heavy music (ie Sam Smith) the other night on another pair, and was just feeling unsatisfied...then I switched to the 7506s, and suddenly the vocals came alive. Vibrant, deliciously crisp, presented on a silver platter. Where my 380 pros still make some dance beats and music that shines with the bass cranked up more punchy, the 7506s just can't be beat in showing you the music in its pure, raw form.

Another update:

These continue to shine as magnificent headphones. I continue to be more impressed the more I learn about audio. I'm going to bump my rating to 5 stars. Of the headphones I own, these are the most satisfying as far as sound is concerned. I do feel like the comfort could be better, but it's not drastic enough to deny that last star. They also, as I mentioned, aren't ideal for DJing, but since they aren't advertised/meant for such purposes, I won't hold this against them either.","Live up to a high standard, though imperfect"
5,8 people found this helpful. Was this review helpful to you?, February 13 2016,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I've owned these for just over 6 months now, and while I wanted to write a review the second I first listened to them, I decided to wait. That being said....
WOW. For the price, or even not for the price, these are the single best headphones not only that I've owned but that I've ever listened to. That includes the very high-end cans on sample at Brookstone, Best Buy, etc. Of course, I am not a seasoned audiophile but I know when something sounds good. These sound GREAT. There are pros and cons though:

Pros:
The sound. The glorious, clear, nuanced sound. Just amazing, and if you've always wondered how music is supposed to sound, these are your new headphones. There is a reason these are used in studios by professionals and have been for over 20 years (in which time, the design of the headphones has never changed!). There is no bias in the sound profile, just balance and clarity like nothing you've ever heard before.
The sound.
The sound.
Noise-cancellation. These are not actually designed for it. but given that they are pretty impressive. I usually have them driven pretty hard and turned up to a decent volume. but that's how they're meant to be used and they do not disappoint or let in anything you don't want to bother you.
Comfort. Very nice, don't grab my head too hard, I can wear them for an hour or more before giving my ears a short break.
The cord. I play guitar, and I can stand and move around without any worry because the cord is very long and allows a lot of freedom.
The price. I paid around $80 for these and they far outperform anything I've ever owned, which includes Beats by Dre and others.

Cons:
The cord. These are sit-at-home headphones. I mean, do as you please, but personally I wouldn't be walking around or using these as everyday headphones. At around 10' long and coiled, it isn't as convenient as some.
The bass. If you're a bass junkie, I'm sorry but you will be disappointed. These are meant to deliver a perfect sound profile, the one intended by the original producer. Even then, on dubstep songs and such, the bass falls flat. Not a big deal to me, even though I love bassy songs, because these are so impressive in other regards that I can deal with the lack of power. They do, however, have extremely quick, punchy, satisfying response throughout the audio range and that includes bass....they just lack the power of headphones like Beats and such which are designed for bass.

Overall, just get them. Worth every penny. I use them for studying, playing guitar, watching movies, listening to high-quality audio, etc. and they are always impressive to me. It is actually fun to listen to things with them because everything sounds so good! Everything you've heard on headphone forums and favorable reviews is true, they really are impressive.",Worth every penny. You will not be disappointed! Just know what you're buying....
6,7 people found this helpful. Was this review helpful to you?, September 26 2015,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I've been buying and using headphones for a very long time. All the way back to the Koss Pro 4A in the early 70s. I'll say right up front that I don't typically buy Sony products because, while their products are high quality and fully featured, they tend to be more expensive than competitors. I've been using and loving my Sennheiser HD 280 pro for over eight years, but when the ear pads finally disintegrated and the replacement turned out to be overly pricey I started searching for replacements.

I saw a video about headphones for pros on Lynda.com and it mentioned the 7506s. The speaker liked it for post production work because they flat and true which is what I wanted. To be honest, as good as the Sennheisers were I determined after using other cans that they were not flat at all and it was coloring the sound. Not a good thing for post work and another thing pushing me toward replacement.

Checking reviews for the Sony cans, it turns out that many consider them to be the gold standard for headphones and have for almost two decades. The volume of glowing reviews and the sub-C note price let me pull the trigger, and I am so glad that I did. After four days of constant use at work I will say that these are the best headphones I have ever owned. Yup. Call me a fanboy on this one. (And I'm rarely a fanboy on anything.)

On Thursday, I tuned to a friend at work and told him that I was hearing stuff I never heard before. Kinda blew my mind. That may sound cryptic but all I meant was that I could hear all the tonal ranges evenly. The HD 280 pros tend to punch up the high end a bunch and the low end a bit too. The Sonys are dead flat. Exactly what I wanted.

More good news.They are quite comfortable. They keep out the outside noise maybe a little bit better than the Sennheisers but without the vice-like grip they have on your head. The Sony fit is tight enough without being tedious. I wear them over seven hours each day while wearing eyeglasses and I could easily wear them for another seven. As they as comfortable as on-the-ear cans? No, but on-the-ear cans don't keep out noisy people in the room, of which we have a few at times.

If you're looking for good, accurate, true sounding headphones you cannot go wrong with these. If you want something bright and big bump and thump, these are not for you. Sound pros will know exactly what I'm talking about.",Are a sound pro? You should really check out these cans.
7,6 people found this helpful. Was this review helpful to you?, January 2 2016,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"In 1991 Sony introduced the ""Closed"" MDR7506 headphones to audio professionals. Impeccable neutrality, outstanding comfort, and timeless build quality soon made them an industry standard. Today is January 2, 2016. And yes, 25 years later they remain by far the go to headphones of audio pros everywhere. They were high resolution before there was high resolution, Hi Res. The Sony MDR7506 is a true classic. They are great for all genres of music but they will not fake it. If the source ain't good, then the source will not sound good. But if the source is good, then the sound will be just as good. Lead vocals and lead guitars will take their place at center stage. Everything will be in its place the way the artists and engineers wanted it. And everything will be heard. Great music comes into full bloom. Hallelujah!

If I only had two pairs of headphones for listening to music and watching movies at home one would be a Closed and the other an Open back headphone. Though I prefer the open to the closed ""sound "" in general there is a time and a place for both. And sometimes my ears just get stale and need a change. All open and no closed makes Butch have dull ears... For its vivid clarity, wide soundstage, and outstanding comfort my Open choice would be a pair of Sennheiser HD600 Open Back Professional headphones. Check! Nothing less than $400 is as good. For my closed headphone there is none as good as the Sony MDR 7506 for less than $150. Check! Not even the Audio-Technica ATH M50/50X. Yes, they can be a fun headphone to listen to. But they do not ever offer a full bloom due to their Bass bias. All equalization does is further degrade the source's sound. With neutral cans I decide if and where I want any bumps not someone else... At 10 Oz's the M50's are a full 2 Oz's heavier and over the long haul not as comfortable as the 7506's. Nor are they as durable. Don't get me wrong, I love the ATH M50's from time to time, but they are not the headphone the 7506's are. In addition to home use I would add that the 7506 are also very portable. The coiled cable has been designed so as not to want to get tangled up with itself like so many other coiled cables. These Sony's are fully engineered. Professional indeed. Very minimalist down to their flat black finish. Very Zen.",A few words for your ears.
8,3 people found this helpful. Was this review helpful to you?, November 30 2017,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"I am very impressed with this item. I bought two of these; I play guitar and my boyfriend plays bass and we both give them two big thumbs up. They arrived earlier than expected. The packaging was great. I got the feeling when I opened mine that I had something really special and it also shows me that Sony takes pride in this item - as well they should. I put them on and was amazed at how comfortable they are as compared to others that I have owned. They look well, and they move well. As far as performance; my expectations are far exceeded. The sound was terrific! I purchased these so that my we could play/practice without worrying about disturbing the neighbors. So glad I did as they have way exceeded my expectations. Love them!",WOW!
9,6 people found this helpful. Was this review helpful to you?, July 28 2015,Sony MDR7506 Professional Large Diaphragm Headphone,5.0 out of 5 stars,"The Sony MDR7506 headphones are so well balanced I'm blown away!! Sony still makes high quality products across the board IMO. I own 4 sets of Sony earbuds and I've tried at least 6 brands and Sony is the clear winner in the earbud department. So it doesn't surprise me that their headphones are the clear winner. I've owned several pair of over the ear headphones over the years including Bose, and the MDR7506 at 79 bucks blows away the competition. I use my MDR7506 to listen to classical music to Hard Rock, and they just ROCK! I'm no expert on headphones but I know what I like and I know what sounds realistic, and the MDR7506 are just awesome. Yes, these are over the ear headphones and all over the ear headphones all get warm, like is somebody talking about me warm? LOL. I'm not going to get all technical in this review, waste of time, but I recommend that you try a set of these Sony MDR7506 because you won't regret it and you'll be hooked.

Update 8/26/2015
I've had these for almost a month now and the drivers are all broken in, yes it takes time for the drivers reach perfection! The MDR7506 are so accurate, for a reason, as they are studio headphones to reproduce music as it was recorded and as the artist had intended. The MDR7506 were designed this way, and not to create ridiculous highs and thundering bass that distracts from the real sound. Once again I highly recommend headphones above the other players in the game. For you audiophiles that still use records on a turntable with a analog amplifiers, the MDR7506 are the headphones for you! Oh yeah! Also well made and durable. Thank you Sony!

Updated 9/2/15
FYI - I discovered the hard way that at the pivot and folding joint can pinch ones skin and draw blood. Keep your fingers and web between your thumb and fore finger away from this point while adjusting and just plane putting them on your head! See photo.",So well balanced I'm blown away!! For Audiophiles that like to hear it the way the artist intended! Updated 9/2/15
