,Comments,Date,Product,Ratings,Reviews,Title
0,137 people found this helpful. Was this review helpful to you?, August 8 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I had a pair from this headphone line in the past, and used them until they basically fell apart (one side stopped working, and the cushioning material for the ears eventually peeled away.) And yet after trying myriad other brands, I rate these as my personal best. After my first pair died (took several years of daily use), I went on a quest to try a bunch of different headphones. After wasting hundreds of dollars over the past couple years on everything from fancy $200 pairs, cheap Amazon-branded pairs, and plenty of random ones from places like Big Lots or Walmart, I finally just came back to these for a meager $15. There's simply no beating the combination of comfort (especially for people with glasses!), sound quality, and price. I work in front of a computer for hours at a time, and almost always have headphones (and eye glasses) on. I probably have a larger than average head shape too. Every single other pair I have tried ended up making my ears hurt before long, except this one. While the construction quality is decent, I do expect to run through a new pair every couple years, but at this price point, it's really hard to complain. In summary, I am so thankful these are back in my life.","By Far The Most Comfortable, Especially With Glasses"
1,60 people found this helpful. Was this review helpful to you?, January 6 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"These are great headphones for music and movies for the price. I have never owned a big-money pair of headphones & after buying cheap ones that I had to replace multiple times due to breakage, I decided to get these after a recommendation from a friend. After buying them for myself, I also bought them for each of my kids. They're great for average use... i've never been bothered by outside noise, they are comfortable, and the sound is of good quality. They also are much sturdier than the cheapie $10-$20 ones I've gotten before. (My kids haven't broken them, which is a minor miracle)

I do recommend getting a bag or carrying case for them (I use a Crown Royal bag:) it certainly helps protect them and they do seem vulnerable at the hinges where they collapse for storage.

The only thing my kid complains about is the wire is kind of short. I prefer it because the wire is nice and thick and never gets tangled. with my previous cheap ones, it was always the wires that were delicate & one or both ears would go out. These are so much sturdier. (I think he just finds them too short when he wants to sit in the recliner with his iPad on the table & watch his Minecraft. If you don't require your headphones to meet these specific and ridiculous needs, the length should be fine.)","Great headphones for average use, wires seem very sturdy & never get tangled"
2,23 people found this helpful. Was this review helpful to you?, January 9 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"When I first tried these on, I found them a bit uncomfortable. My over-ear phones are much more comfortable. But, I plugged these in and listened (I'm a guitar player and spend a lot of time listening to musical details. The sound was amazing! At first I thought I wouldn't like these, but the sound came out and I was blown away. I can't believe $15 headphones sound this good. I bought these as backups to my AT over-ears and wasn't expecting much but these are really really great. The only reason I didn't give five stars is because they are a tiny bit uncomfortable.",My over-ear phones are much more comfortable. But
3,10 people found this helpful. Was this review helpful to you?, September 5 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),1.0 out of 5 stars,I previously bought a pair of Amazon light weight headphones. Today the Sony headphones I ordered 2 days ago came. Price between the 2 almost the same. However that's where the similarity ends. The Sony headphones don't fit snug...slide all over...outside noise is barely muffled...the sound quality is not bad. But since they don't fit at all can't really appreciate the sound quality. They are going back tomorrow.,Amazon is superior by far.
4,4 people found this helpful. Was this review helpful to you?, January 24 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"These headphones are great! I'm not an audiophile, so I can't really tell you how the sound compares, but they sound fine to me. I was more impressed with how long they lasted. I took these on several flights, had them in my overstuffed bags, dropped them and generally abused them. Unlike all other headphones I've had (which generally last me 3-6 months), these lasted 2 years! They got caught in my work chair and the pin was bent when I stood up, otherwise I think they might still be going. Since I will be traveling in a few weeks, I've already decided to purchase the noice-cancelling Sony's for a bit more.
The downside to these headphones (and reason I gave them 4 instead of 5 stars) is that the cord is a bit long and would get stuck between chairs, desks, etc (which is what eventually led to their demise). The cord was different which was good because it didn't seem to get tangled so often but bad because I think that's also why they were constantly getting caught in things. Lastly, I like headphones to fit snugly, these were lighter weight (which I don't like as much) and weren't so snug-fitting. Probably better for people with larger heads.",Great Headphones! Lasted me 2 years!
5,11 people found this helpful. Was this review helpful to you?, December 23 2014,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I got these for $7.99 on a lightning deal. They are excellent for the price. I ordered two pair: one for my 3 year old and one as a travel pair of headphones. The sound quality is impressive for the price. These are on the ear headphones, not over the ear. So, passive noise isolation won't be as good. However, they are quite comfortable. I could easily wear these for a couple hours while watching a movie. The physical size of the headphones make them a good choice for children. Sure, they aren't brightly colored, but I'm willing to bet the sound quality and price are much better than you'd pay for a branded set of crappy headphones. Also, I was surprised at the quality of the cord. I was expecting a thin, cheap cord. It's actually fairly thick and tangle resistant. Only complaint I have -- I wish the cord connected at a single point, rather than running to each ear piece. But, again, for the price they're darn good quality.

Update: I've now used these headphones several times on the treadmill. I like them even more now. When running, you'll occasionally run into a set of headphones with a seriously flimsy cord. As you run, a flimsy cord will bounce and become seriously annoying. These don't do that at all. I love how the solid cord just hangs with minimal movement. Also, the ear pads will get a bit sweaty, but nothing a quick wipe won't rectify. I'll let you know how they hold up for exercise use.",Terrific Budget Headphones
6,4 people found this helpful. Was this review helpful to you?, June 17 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I purchased these to carry around, mainly to have something that isolates noice a bit more than EarPods, they do the job, they are comfortable (though if you have a bigger than average head they might not be as much) and the sound quality is ok (they do have a bass booster which helps not hearing external noises but its a hindrance if you are looking for sound quality). The material quality is also ok, I read a lot of reviews stating that these broke almost immediately, and though they are not sturdy or particularly well built they should last a good amount of time provided they are not mistreated. I give these five stars mainly because of the price.",they are comfortable (though if you have a bigger than average head ...
7,2 people found this helpful. Was this review helpful to you?, February 8 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"Arrived on time & in good / new condition. Sound quality is mediocre, but these are a heck of a lot better than dealing w/ the tears-inducing migraine that comes from headphones that squeeze my ears and jaw. They're not as comfortable as they claim to be, but markedly more comfortable than the Amazon Basics ones of similar appearance. If you're looking for something practical, and can handle a very short cord, like if you're on your laptop, these are for you. Wouldn't use them for exercise or movement of any sort. I'll probably buy them again, if they randomly short out on me. I'd say they're worth the $15 I paid, but if the price goes up, I won't buy them again. :) -Account holder's progeny","Decent, for the price. :)"
8,398 people found this helpful. Was this review helpful to you?, November 18 2014,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"WOW - Picked these up today after wearing the ZX100 for the last 3 years and wearing through the lining on the padding.

Sounds is incredible, rich bass, not 'deep' as Bose/Beats might sell you, just a solid, full, well balanced sound, much better than I expected from a $20 pair of phones. Looking at the cost difference between the '100's and these, the $5 is laughable.

Feel is fantastic, quality materials, folding pads is awesome and a thick cable with the right angle connector makes life easy. Tug to hard one way? Pressure gets pushed into the wire connection, not the actual plug which (one of my favorite, and most often utilized features of the 100s) so they won't snap on you.

Cost, well, if you can't shell out $20 for a decent pair of headphones it might be worth spending that money elsewhere.

Very happy, terrific product and price point. Blown away!",much better than I expected from a $20 pair of phones
9,2 people found this helpful. Was this review helpful to you?, September 11 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"These phones sound really nice, for being under $20. I have owned at least 30 different headphones since 1974, and these sound as good as any of the $100 Sennheisers I had back when Elton John's ""Rocket Man"" was new music. The power requirement for the voice coils in these phones is remarkably low: They sound great for listening to music on a cell phone or tablet, and you won't even have to crank the volume up to maximum. Some of the headphones I have owned recently don't work well with mobile devices, requiring more output power than the audio chip in a cell phone can provide - that won't be a problem with these Sony ZX-110 phones. They sound just fine on my Samsung Galaxy Tab S at 50% of max volume. Frequency response is very good for economy priced phones, with clear treble and adequate bass response to let you ""feel"" the drums and bass guitar. Soprano and contralto vocals sound nice and clear, without that ""muddy"" sound that cheap phones give that don't have enough high-frequency response. These phones fold up into a very small, compact footprint that is easy to store in a medium or large purse, or any briefcase, backpack, or laptop computer bag. The cord is 3 feet, and has a 90° angled plug. This cord length is great for use with a cell phone in a shirt pocket, although not really long enough for home use with a desktop computer. If you are going to use these phones to listen to music on a home stereo or desktop computer, you will need an extension cord, but these aren't terribly expensive.
COMFORT: Sony got this right: these phones grip your head just firmly enough to stay in place, without squeezing you to death. I have had a couple of Sony phones that were horrible in this respect, with way too much compression on an average sized head; that's not a problem with these phones. The ear pads are very comfortable, and they don't press hard enough on your earlobes to make you need to take your earrings off to use the phones.

SUMMARY: A Typical Sony economy-priced headphone with much better sound than you might have expected at this price point. Folds up very small for carrying in a purse or laptop computer bag, Very comfortable to wear for up to several hours.

PRODUCT RECOMMENDATION: HIGHLY RECOMMENDED","Typical Sony MDR headphones - very affordable price, sound great, comfortable to wear, excellent value for your money."
