,Comments,Date,Product,Ratings,Reviews,Title
0,431 people found this helpful. Was this review helpful to you?, September 18 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,5.0 out of 5 stars,"I was looking for wireless headphones for my work and seriously considered Sony 1000X vs. Bose QC 35. While I was watching so many reviews, I found Sony just updated the 1000X, so I jumped into WH 1000XM2! I tried on both 1000XM2 and Bose QC 35 and honestly think that both are great headphones. Sony 1000XM2 has more features and longer battery life so I am very content with my purchase.

#Features
The touchpad is not a new feature but it is worth mentioning since Bose does not have this feature. Swipe up or down to control the volume. Swipe right or left to change the music. It is very intuitive and easy. You can even press long to activate Siri. Double tap to stop music or take a phone call.
Also, you can cup the right ear and disable the noise canceling and listen to others.

You can check the battery level by the home screen of a smartphone. I have only seen even numbers such as 100%, 70%, and 50% (then I would charge so I have not seen low numbers because of the reason). Maybe the headphone cannot tell the battery level precisely.

#Bluetooth connection
Bluetooth connection is great. I can leave my phone and go to next room without breaking the connection. Switching the devices is not easy though. With Bose, you can connect two devices at the same time. However, with 1000XM2, you need to disconnect one device to use other device.

To switch the device (updated)
1. Go to setting. Bluetooth, then disconnect WH-1000XM2.
2. Go to the other device, hit setting, Bluetooth, then click to connect.

If you don't want to touch the device connected currently but wans to switch the device (for example, 1000XM2 is connected to iPad that is in your bag and you don't want to pull it out), you can
1. Turn off the 1000XM2
2. Turn on and keep pressing power button to activate bluetooth pairing.
3. Go to your device you want to connect. Hit setting, bluetooth, then connect to 1000XM2.

Honestly, I don't mind doing this but I wish we could connect two iOS devices at the same time.

#Noise canceling
Sony and Bose are both excellent noise cancelling (NC) headphones. While QC35 cannot turn off the NC, 1000XM2 can turn of NC. Previous 1000X had a problem with phone call where you cannot hear yourself (so you end up shouting). Sony has fixed this problem and now 1000XM2 let you hear your voice easily with voice focus mode. Making phone call is much easier now.

#Sony headphone connect app
This app allows you to change the setting of NC based on your activity. You can pre-set the level of NC + voice focus according to your activity (rest, walking, running, and transportation). For frequent fliers, it can adjust the pressure too. You can also change where the sound comes from. For example, you can set as if the sound comes from your back.

When I was using 1000XM2 in the office, I used voice focus mode. It was very interesting experience because I did not hear any noise from construction etc but I heard my coworkers voice. Voice is picked up from the mic so it is an interesting experience.

#Gorgeous look
It honestly looks fantastic. I usually pick the black color but I tried gold at this time. The case of headphone had two-tone color (gold in the middle). It looks great. Please look at attached pictures as it tells you more how nice it looks. The headphone has hinges so you can actually make it very small and put it into the case.

#Sound
I cannot speak too much about the sound because I am not a professional musician. However, in my opinion, it sounds absolutely nice. It sounds even better than Bose QC35 but it is just my opinion. With the connect app, you can also change the sound effect such as Arena, Club, Outdoor Stage, and Concert Hall. It is subjective so you might want to try it before you buy, but I am very much satisfied.

#Comfort
This is where BOSE QC35 (quiet comfort) comes into play. WH 1000XM2 is comfortable but I feel my ears are hot after using this for 1 hour. The pad is touching my ears with 1000XM2 whereas QC35 has deeper ear pad. QC35 is much more comfortable for me.

#Sturdy design
I know cracking was the problem with 1000X. So far, it has been OK but I will definitely give updates after using several months (hope nothing will happen). It looks very sturdy and does not make the clicking sound when I open the headphone.

So which one you should buy? I am very happy with 1000XM2 because it has many features and long battery life (30 hours!). However, you may want to try it on before you buy because BOSE is more comfortable.",The best wireless headphone in 2017
1,72 people found this helpful. Was this review helpful to you?, January 3 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,4.0 out of 5 stars,"These sound great noise cancelling now better than bose. The sound out of these headphones blows bose out of the water also. Good app for the headphones. You have to have them adjusted just right to be comfortable for long periods but once you find that sweet spot can wear for hours and hours and the sound is awesome out of the headphones. Hard to find replacement pads though.

1/18/2018

I just want to add something for amazon it would be alot better to see reviews from people that pay not a bunch of reviews from people that receive the product for free. I have been noticing alot more vine reviews and they are always high because duh they are receiving a free product this is a shady practice in my opinion. I want a real review of someone that is willing to come off 400.00 of their hard earned money then give a review.",These sound great noise cancelling now better than bose
2,286 people found this helpful. Was this review helpful to you?, September 23 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,5.0 out of 5 stars,"These headphones are one of my favourite things. They are so well built and are fully sound cancelling. I had the MDR1000x before this and decided to upgrade for the better battery life and app support. I’m going to list the pros and cons I’ve encountered so far and give some recommendations. FYI, I’ve never owned (but have tested) the QC35, beats solo and studio, and own the Senhiessers 550HD.

-Pros-
1) These are top notch in terms of noise cancelation and isolation. The mdr1000x were great and these are the same if not a step up. I could be mowing or trimming the lawn and if I close my eyes I’m in a totally different world. Can’t tell a machine is functioning in front of me.
2) Touchpad: this is such a cool feature. I’m an adoptee of new tech and have been loving it. Sometimes it doesn’t register my hand gestures but I mean it’s not the end of the world. Always registers the second time. The palm over to bring outside noise is super cool, but no one on the other end knows what’s going on. I’d be on a bus and talk to the driver and he’d think I’m on the phone and ignore me. But super cool nonetheless!
3) Battery life, 30-40 hours is Sony’s estimate I believe I’ve been getting very close to that as I go on walks and listen to music while studying overall super happy about it!
4) App is easy to use to pick between different general modes. Kinda cool. One con about this is I use tidal and the music centre only functions with Apple Music (I just use iOS and tidal. Dunno about Spotify or other platforms.
5) These headphones work great wirelessly and last long. But a great pro to them is when you connect the wires you get even better quality! Who knew that could be possible. Another pro is you could use the headphones when dead (without any of the extra bells and whistles) so having the wire on you is the equivalent to carrying another pair of headphones ;)

-Cons-
1) Potential chance of crack? I had the MDR 1000x for months and did not face the crack issues other have. But in my opinion, I totally agree with the video listed where the guy says the cracks are an easy con for the many pros and it’s something you should consider for yourself whether you care enough about that. Are there better speakers out there for the same price range? Yes. Do they have the same functions the Sony has? Not likely (touchpad particularly) is it worth its money? Yes!
2) The bag is the exact same and not very well made in my opinion. Nice that Sony puts it I but I mean you’ll likely want to get one yourself.
3) Connectivity not as (I’ve heard) easy as QC35 or others. Honestly, this isn’t a huge con but I listed it so you can have it in perspective. Do you want to connect to another device? Disconnect from the Bluetooth settings and connect to them on the other device. If the device is in your bag hold the power button to turn off, then continue to hold it after it turns on until it says pairing. I use 5 devices and this hasn’t been an issue for me.

This pair of headphones is well packaged and, in my humble opinion, well priced. You risk it having a small crack, I’ve never had, but for all the extras you get, it’s well worth it. Another thing is Sony did price it lower than the older model so it’s not like they’re charging extra for more functions. The pad sometimes doesn’t register stuff, but I think that’s more me getting used to it than it getting used to me. It's a give and take situation it does stuff for you but you have to learn to function with it and around its flaws.

A few things to improve on would be to have the headphones announce what they’re connected to rather than just staying connected. I believe this won’t be hard for Sony to add through the app, could be wrong, and then again it might not be something they want to do, to begin with. Would’ve loved to see USB type-C on this model. USB-C is the future would be great when small gadgets like this embrace that.

I’d recommend these to anyone who is looking to get a good quality headphone that is versatile with great sound cancelling and new technology. This is and will be for some time my daily driver for headphones.

Hope this helps some of you decide whether it’s a good fit for you — I’ll update this as time goes in regards to my experience with battery life, the infamous cracks and such.",Great headphone for the price - nothing like it on the market (other than MDR1000x)
3,81 people found this helpful. Was this review helpful to you?, January 9 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,1.0 out of 5 stars,"I have to say the sound and noise cancelling of this is pretty awesome.

Unfortunatley that's moot because after a month and a half of regular use the side of the headband cracked. Rendering it useless. Looked online and saw there are MANY people with the same problem and concerns. Someone from Sony even left a comment under a review on Amazon saying the issue has been looked at and ""measures had been taken"".

Contacted Sony about a repair / replace and was told that wouldn't happen. Even though it's their defective product. They are the ones who chose to use cheap plastic on 400 dollar headphones, I'm the one paying for it.

I'm never buying Sony again.",the sound and noise cancelling is very good. Broken headband from regular use (CHEAP PLASTIC)
4,19 people found this helpful. Was this review helpful to you?, April 1 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,4.0 out of 5 stars,"I'll keep it short. I read the reviews of the Sony WH1000XM2 and the Bose QuietComfort 35 II and could not decide which to choose, so I bought both. I will return the Sony and keep the Bose. Here are the pros and cons:

Sony:
+ Crisper highs and deeper bass (I can't see how anyone says the Bose model sounds better)
+ Better song navigation with the figure gestures on side of right headpiece
- When making phone calls, those on the other end hear more of your background noise than on the Bose (I tested by calling from a land line to a family member who used my Sonys)
- Heavy on the head and hurts to wear for long periods (this was a deal breaker for me)
- Finger navigation feature is too sensitive sometimes - easy to skip/rewind songs by accident.

Bose
+ Great noise cancellation, especially with no music (better than Sony's)
+ Light weight and definitely more comfortable for long periods
+ Best for phone calls (those on other end don't hear much background noise)
- Sound is missing crispness at high and low ends; overall sounds are a bit muffled (it would be great to get Sony's sound on these speakers). If music quality is your deal breaker, buy the Sonys for sure.

In the end, I couldn't get over the uncomfortable aspect of the Sonys. I really preferred the Sony sound, but didn't see myself wearing the Sonys for long periods of time. My primary reason for buying these was muffling office and plane engine noise for long periods of time, therefore comfort was a deal breaker. It also helps that I can take conference calls on these.",Returned these and kept the Bose QuietComfort 35 II
5,29 people found this helpful. Was this review helpful to you?, December 23 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,5.0 out of 5 stars,"I bought these headphones to replace my top-of-the-line Sony MDR-1RNC headphones, which have unbelievably great sound quality but they have been acting up lately (very frustrating). Let me first say that out of the box, the new 1000XM2 headphones had a little better noise cancelling than the MDR-1RNCs but the sound quality was not even close to what I was hoping for. The sound of these new headphones was really muddy with way to much mid-bass frequencies. But then I discovered the iPhone/iPad App for the WH1000XM2s which allows you to customize equalization settings (among other things). After reducing the level at 400 Hz (the muddy frequency range), increasing the levels for 1K, 2.5K, 6.3K, and 16K, and then increasing the level for clear bass (the lowest bass setting), I was able to get the nice V-shaped frequency response that make these headphones sound fantastic. No more mud, everything is crystal clear but not harsh, and the bass is really punchy without drowning out the mids and highs. It sounds great for all genres that I’ve tested (jazz, orchestral, pop, soundtrack, etc). I’ve attached an image of my equalization settings for anybody who wants to give what I did a try. Also, the Bluetooth connection works/sounds great with my iPad and iPhone and the battery seems to last a long time before needing to be recharged. So, these are now my go-to headphones for fun listening with unrivaled noise cancelling.",How to make these headphones sound great...
6,4 people found this helpful. Was this review helpful to you?, March 28 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,5.0 out of 5 stars,"I've been using these daily for a couple of months now so I could really provide a great review. I use these to block noise in loud data centers while on the phone and for listening to music. These replaced a set of Bose headphones that my wife claimed as her own. Overall I like these more than the Bose set and here's why.
Noise Cancelling - my Bose headset is an older set (it's 7 years old now) but the noise cancelling on these is every bit as good as these are for the noise in a data center. If you've never been in a data center, it's a constant cacophony of high speed fans with more 'background' noise than found in normal commercial aircraft. It's the ultimate test for noise cancelling. I put these on and the noise level was decreased dramatically just from the well padded ear cups. Then I turn it on. Blissful near silence. Sure, I can hear some of the ancillary noises, but for the first time I can hear the subtle beeping of computers doing their thing. Way cool.
Next, I fire up my music app of choice - Pandora. I have an eclectic taste in music - U2 to Beethoven, Collective Soul to Moby, and just about everything in between. Unlike the Bose, the overall sound response is crisp, clear, and balanced. The Bose kit seemed a little bass heavy to me. Music is reproduced without hiss, buzz, or other artifacts.
Excited by this, I head home and fire up my lossless music subscription and bring up a collection of Jazz greats. I can hear it all. Wood creaking as the artist shifts their seat. The soft 'clump' of valves. No hiss. And this is through the bluetooth connection, NOT through the included cable. Amazing.
Now, I'm not a crazy audiophile. I've been plagued with tinnitus since birth so much of the subtle points is lost on me simply because of the ringing BUT I've been able to hear things using this set of headphones from music that I've never heard before WHILE in a loud data center.
I've worn these constantly for 10+ hours and aside from a little warmth, they were extremely comfortable. Battery life is every bit of 20 hours with no need to recharge after two days of heavy use.
The app that you can use with these is pretty easy to use and has some unique features. It is able to detect your actions and adjust noise cancellations accordingly. If you are on the street perhaps you want to me more aware of your surroundings. If you are sitting in a chair perhaps you want to block out more noise. This system will detect and adapt automatically. It's pretty effective and actually detects things pretty well. Going for a walk reduced the cancellation levels while sitting in my office increased it. Using the other tools is likely more of a gimmick - different sound stages (arena, outdoors, etc) Meh - not much difference really. Being able to change the directionality of the sound is also fun to play with and is very effective, but I fail to see the real point of this. Other neat features are the ability to control the headset using 'gestures' - tap to pause, swipe to change volume or advance tracks, and cup to enhance conversation. These are all extremely effective and useful. The 'cupping' motion continues to block lower mhz sound (jet engines, etc) while enhancing the sound range of normal human voices. Short conversations are easy even without taking these off. Swiping quickly becomes second nature and is extremely effective.
Bottom line is this - after owning several of the Bose offerings and really linking them, this set does a better job of faithfully recreating the original intent of sound to your ears than the Bose set does. Bose headsets are WONDERFUL and some of the music I listen to does sound better coming from them (I'm looking at you, dubstep), much of the other music is cleaner coming from these. Noise cancelling is jaw droppingly effective. Battery life is phenomenal. Overall the sound quality and technical features built in to this edge out the Bose in an unofficial head to head comparison.",Better sound quality than Bose
7,15 people found this helpful. Was this review helpful to you?, October 22 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,1.0 out of 5 stars,"Just a great pair of headphones with a superb sound quality. Well done Sony.

Update: well yes great sound quality, but after 5 months, same problem as previous model, mine got broken as usual at the headband.According to Sony, this is ""physical damage"".. Now I took good care of them and put them always in the original case... Omg Sony... What a disaster. Exactly today I was considering to pre-order the new camera Sony A73.... Well I might think twice after this treatment.",Bad
8,4 people found this helpful. Was this review helpful to you?, February 22 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,2.0 out of 5 stars,"After hours of research on product reviews, I bought this pair of cans. When it arrived, I loved how it looked, felt and sounded. Then I noticed the ONLY ONE yet CRITICAL problem shortly. Whenever I move my head and there is little pressure on my left side of head, there is a squeaky sound and it is annoying. Especially, since you are isolated from noise from surrounding environment thanks to superb noise cancelling function, this squeaky noise from right inside your left cup sounds emphasized. I love the first impression of this product so I am returning back to get a replacement hoping that I have received a defective one.

I will definitely update this review after I receive the replacement product.

UPDATE 1 : I am still waiting for the replacement product to arrive. However, I found another issue meanwhile. When it is connected via its supplied audio cable, I only hear music via left cup only. It leads me to the conclusion that I have received a defective one. I just hope that next one will not have these issues.

UPDATE 2 : Thanks to the greatest Amazon return policy, I received the replacement within one day after filing a claim.

Firstly, this annoying squeaky sound inside the cup still exists. This replacement pair squeaks less than the first one to be honest, however, the problem still remains. If SONY reads this, I have a theory why this happens. I think the speaker cone works like a suction cup or plunger creating the crumbling sound from this flimsy speaker cone material whenever the cup is being pushed toward. Perhaps, few invisible tiny bits of vent holes can prevent this issue. I don't know how it will affect the noise isolation. Please, look into it.

Secondly, when it is connected via its audio cable, it works as advertised. Problem solved. Hooray~.

Lastly, I think this may be a mere software or phone specific (Samsung Galaxy S5) issue. Whenever I change the sound priority option, the headphone turns off and has to be reconnected. I hope this can be fixed by any future update.

I think this is a good pair of cans with great sound, superb noise cancelling and lots of useful functions. Yet, I think its craftsmanship falls a bit short as a premium headphone. Thus my initial 2 star rating remains the same. I am still thinking whether I should keep this or try something else such as Bose QC35. I guess I will find out within Amazon's return grace period.",Feedback after the first one failed then received the replacement.
9,5 people found this helpful. Was this review helpful to you?, January 6 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,4.0 out of 5 stars,"Great great quality of sound! This unit comes with diverse product features that can be interpreted as good value from a consumer's perspective.
HOWEVER, no way to listen to music more than an hour because TOO heavy and the ear cups were somewhat smaller than mine (Don't think that my ears are far beyond average; mines are smaller than average). Too heavy, too tight mean very uncomfortable, although sound was the best one I've tried so far. It ended with returning it, thereby.",Great sound but too heavy/too tight; hurts my ears!
,Comments,Date,Product,Ratings,Reviews,Title
0,6 people found this helpful. Was this review helpful to you?, February 13 2018,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,3.0 out of 5 stars,"Easily the best sounding bluetooth wireless in the price range. However, they just aren't as comfortable as Bose QuietComfort which is a huge bummer. My ears fatigue from the pressure and if headphones aren't comfortable, you don't wear them. It won't matter if they sound better than other headphones. I can wear my Bose all day. I can wear my Sony's for about two to three hours before my ears tire from the pressure and uncomfortable ear pads. You will have to decide what's more important to you: comfort or best sound.","Amazing, but..."
1,91 people found this helpful. Was this review helpful to you?, December 20 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,3.0 out of 5 stars,"OK, my personal comparison of the Sony WH-1000Xm2 and the Bose Quietcomfort 35 II is complete. After reading all the reviews, the Sony seemed to win out, but with Amazon's generous return policy, I purchased both and did a several hour comparison yesterday. Both are great, but here's what pushed me over the edge for Bose.

1. Sound. I am not an audiophile so the terms I use in this section to describe what I experienced may be technically incorrect terms, so bear with me. The Bose sound is amazing. It is crisp and clean and full. I can hear so much more in the same music I have been listening to for years. It's hard to explain but the Sony seemed compressed while the Bose feels full. The highs are better on the Bose and the there is separation in the music. The bass on the Sony seems louder, but not crisp and clean like it does on the Bose. The Sony sound is very good but compressed and almost muddy compared to the Bose. I know reviews say the Sony sounds better, but I just don't hear it that way. I found myself cutting my Sony tests short so I could go back to the Bose.

2. Comfort. The Bose is lighter and more comfortable for me. The Sony felt heavy in comparison.

Every other feature became unimportant to me after hearing the sound and feeling the comfort. Both eliminated noise and did everything else fine.

Nothing against the Sony WH-1000Xm2 - it is a great product, but for me I'm keeping the Bose and sending back the Sony's.",My Personal Comparison: Sony vs Bose
2,14 people found this helpful. Was this review helpful to you?, September 22 2017,Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless...,5.0 out of 5 stars,After spending a week with these headphones all i can is wow. There very comfortable with plus like leather. And the Noise cancelation with the Sony app is spot on either when I start walking out my apt or sitting on the bus the headphones with the app adjust noise canceling levels accordingly. Not sure about the headband cracking since I haven't had them that long but they seem fine. I'm very happy with my purchase,Happy Guy In City of Sin
