,Comments,Date,Product,Ratings,Reviews,Title
0,11 people found this helpful. Was this review helpful to you?, April 8 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Great earbuds that I have been using now for 5-6 years. This is my 4th or 5th pair of these headphones. I constantly lose or break my headphones from daily use and bringing them to the gym. I have found that these are a great cheap pair of headphones that sound good for most daily listening. They do not block out any noise, but they play music very clearly and without any distortion. They do not fall out of my ears at all while running.

The different color styles are a nice added bonus.",Best cheap pair of headphones I have ever used
1,14 people found this helpful. Was this review helpful to you?, April 29 2017,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,"Prior to this, I purchased the Sony MDR-E828LP Fontopia Earbuds for use with a small mp3 player I use while weightlifting. They were cheap and had good enough sound that I purchased them on numerous occasions over the years as each pair eventually became destroyed by sweat. I was disappointed to find that they were discontinued and purchased these ear buds with the expectation that they would be ""pretty much the same"". They're not, they have no discernable base sound. That may be fine if your using these to watch TV through a device or prefer ""the transistor radio sound"" but for my needs they are useless. Now I suppose I'll have to dredge through many pages and reviews to find something that suits my requirements (cheap, decent volume, reasonable sound).

EDIT: Based upon another review of these earbuds with a similar perspective to mine, I purchased the Edifier H180 earbuds. A little more expensive but much better sound IMO.",Not for me
2,7 people found this helpful. Was this review helpful to you?, July 9 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I bought these 2 years ago after my first pair from purchased from Walmart probably 5+ years ago now bit the dust. I hate the headphones that go in the ear and I dislike the look of headphones that go over the ear. These are the only headphones I'll tolerate but stores no longer sell them. Thank you amazon! These have a 90 degree angle at the headphone jack which means I don't end up with exposed wires or sound in just one ear quite so fast. The first pair lasted me all of high school although I wasn't using them daily. The next pair has lasted me 2 years of daily use in college and now are in my pocket all day everyday at work. Which is how they ended up going through the washer and dryer. Twice. 2 years later, these still work great, no exposed wires and the only reason i'm replacing them is because I was careless and after the second wash and dry cycle, the sound on the right side occasionally goes out. My bad. Today I'll be purchasing my 3rd and 4th pairs and I will continue to purchase as long as these continue to be made.",You can't go wrong with these
3,6 people found this helpful. Was this review helpful to you?, July 16 2016,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,"These headphones are very person specific, they fit me perfectly fine and the sound quality was pretty good. My girlfriend however was a different story. After attempting to use the headphones multiple times I was repeatedly told that they were falling out of her ears and the bass quality isn't very good. They are also shorter than the previous Sony design which makes them ride ""strangely"" in your ear canal and make them more difficult to take out of your ear quickly without losing your grasp on them.

Coming from someone who doesn't deal with super heavy bass music I thought the headphones performed quite well for the price. However if you're looking for headphones with supreme audio and very heavy bass you might want to look elsewhere. For the price however they are well constructed and would be a good fit to any ipod, mp3 player, or even cell phone because they are compact and can go anywhere. The overall cable design is well done, and it easily provides enough length to run up your shirt or hoodie if you desire your headphones to be discreet. Are they going to be for listening to music for hours on end with supreme quality? No, probably not, but will they get the job done? Sure. If you're looking for cheap head phones with a custom color then these will probably suit you.","Not bad, Not Great"
4,5 people found this helpful. Was this review helpful to you?, June 4 2017,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,"These are definitely a hit or miss type of earbuds. I had a pair of these for about 4 years until I dropped them while on a run and the buds fell off entirely. They fit my ears so well that I just bought another pair. Although, a lot of my friends who have used these have often told me they don't fit their ears very well. My ears tend to not fit the general earbud size, so these fit mine very nicely. But if your ears often fit the stick-in earbuds (like the ones SkullCandy sells), these probably will not fit as well. If your ears are like mine and can't keep those earbuds in generally, these will fit nicely.",so these fit mine very nicely. But if your ears often fit the stick-in ...
5,6 people found this helpful. Was this review helpful to you?, January 18 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"My love for these ear buds is a true love. I have been buying these exact ear buds for years now. The first time, I bought them because the ear buds that came with my iPod Classic died and I wanted something affordable but good quality. I bought them for about $10 at some local store and fell in love. They have a great length to them and are long lasting. Honestly, the reason why I've bought so many of these over the years isn't that they break - it's because I end up losing them on public transportation or among my collection of things. This style of headphones has lasted with me over the years and I know that the moment I lose (not break) the ones I currentlly have, I'll buy another pair.

Pros:
- Long cord that makes it easy for you to comfortably place your phone in your front or back pocket while listening to music. Also - great length for when you want to rest your phone on the treadmill stand while running.
- Durable - can handle more abuse than any product should be able to withstand.
- Decent sound quality. I'm no audiophile - I just want to be able to hear my music. It plays classical well enough to hear the flutes and it's decent for when you have a lot of bass.
- Price - for 10 bucks or less you can't go wrong.
- Portable - small headphones that are easy to keep with you everywhere.

Overall, I definitely recommend these headphones if you're looking for some decent headphones for a great price. Perfect for the person who takes public transit, runs, or just lives an active lifestyle.",My favorite headphones - hands down.
6,One person found this helpful. Was this review helpful to you?, January 5 2018,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,"After listening to a bunch of different earbuds I have, I can put them into 2 categories: Ones that sound like music, and ones that sound like music is coming out of a tin can. These, unfortunately, do not sound like music. They are ""right at the lip"" of the tin can, but, yes, still ""in"" the tin can. I bought the Sennheiser MX365's at the same time as these, and there is no comparison as to the sound quality. I have another pair of Sennheiser buds, the MX271, and both are exceptional in sound. I have a couple pairs of old walkman buds that also have a very similar sound to these Sony's. I have a cheap pair of JBL's (no model #) that sound better than the Sony's, but tonally not very well balanced and well below the quality of the Sennheisers. Do yourself a favor, and spend just a few dollars more for a whole lot better experience and buy some Sennheisers.",Mediocre sound
7,One person found this helpful. Was this review helpful to you?, May 30 2017,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,"A super easy and cheap replacement for my last pair. I'm not an audiophile and I' didn't want to pay a ton for watching movies on my phone. I'm also not someone that buys into name brands like Beats just because they're trendy. I needed something simple that wasn't made by a no-name company that may or may not exist in a year and these fit the bill. A great cheap alternative to more expensive options from a company you can at least immediately recognize so you don't have to worry about what corners were cut.

That being said, the sound quality is fine and even bordering on ""good"". The sound is about 4 stars for the price you pay. They look just like the pictures and the blue that I got are nice and subtle but bold at the same time. I hear a weird ""click"" sound every once in a while when I move around which I believe is coming from the headphones... or I'm going crazy only while wearing the earpieces. I'm waiting for them to tell me which it is. Until then, a perfect 4 star product that I'd gladly pay again to save a fortune.",Just right for the price
8,2 people found this helpful. Was this review helpful to you?, January 8 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I use my phone almost exclusively via earphone, so anytime I'm around others I at least have phones with me. I use these other than a headphone as I only read the phone rather than call, etc.. In other words I don't need the ""call, dial, etc"" features typically.. only listening.
Due to low vision, my phone has a text-to-voice app which most wouldn't use, but it makes the phone accessible for me. I also follow podcasts and audio books a fair amount and don't like bothering others.

I find that these phones have the following advantages:
1. Inexpensive, so if I lose it or it breaks or whatever, it's a minor issue
2. Rugged.. I don't baby them and them. Once the part holding the pads snapped out of the hole and had to be pushed back on
3 .I LOVE the ""handing"" rather than the ""in ear"" type.. Much more comfortable over longer periods, adequately loud, yet don't block outside sound.. I don't like to ""sound bubble"" myself
4. Cord is long enough for me to comfortably put my phone in my pants and run the line up my shirt to my ears.
5. Sound is decent for an earphone of this price. At higher prices, I'd have to make a decision
I am not saying this is a perfect item, but darn good for the price. I keep a spare in case I lose or break it. I definitely would buy it again.","Good, Inexpensive, ""out-of-ear"".. what else?"
9,2 people found this helpful. Was this review helpful to you?, July 29 2015,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,"This will be a first impression review of 3 Sony earbuds bought at the same time:
*** MDRE9LP (the Ipod type that only sits inside the outer part of the ear)
**** MDR-EX37B (black body insertion type)
***** MDR-EX25LP (tiny unit that goes entirely into the ear)

All arrived in the typical over-engineered packaging that you can see that the designer is the only one that knows how to open without destroying the packaging. I've yet to figure out why.

Background:
My wife uses earbuds all day, home or work. Connecting to her BLU Selfie phone, her HP Laptop, her Toshiba Chromebook and her various Samsung tablets. She goes through them quickly, but we've had bad results from buying cheap buds, especially the Panasonic RPHJE120 line, which we bought 5 different colors and are all in a drawer because they don't align easily in the ear and have low output volume and very low bass... unacceptable even though they are Amazon's #1 Best Seller. She prefered to tape together some of her other broken earbuds and limp along with those instead. Her favorites to date have been the nice earbuds that came with her BLU phone and some very old ones that came with an Ipod she seldom uses anymore, but both of those are held together with scotch tape and come apart easily.

Soooo, I decided to buy one each of some Sony units to see which she liked. We both tested each using the same song at the same volume out of the phone.

She likes the EX37B ones the best (first quick use). These were priced at $13.99 and are the standard kind of L configuration. I like that they have a rugged appearance and a very good stress relief so the wires are not so likely to get damaged when she yanks them out or they get snagged on something as she rushes around while using them. To me (refined pitch perfect audiophile ears), they are a little distorted and loud, but have tremendous bass response.

Second she liked the tiny EX25LP. THEY WERE MY FAVORITE BY FAR! These were priced $14.99 and are little egg-like things that fall completely in the ear with only the thin wire coming out. My concern with these was that there is no stress relief for the wires at all, but upon trying them, we both remarked how easily they slide exactly into the right place in our ears, no alignment needed and they come out VERY easy... but do not FALL out on their own. They fit perfectly and have a very good sound, but not a huge bass note like the EX37B and our BLU phone buds.

Lastly she didn't like the MDRE9LP units that just are like little speakers that do not go into the ear canal, like so many you see and exactly like the Ipod buds she likes so much. These are hard to place properly in the ear and don't have the volume or bass quality of the other two. They are the cheaper of the trio at $8.99 and I don't see these being used unless it's a choice between those and the Panasonics.

I will UPDATE this review as problems or wonders happen. Stay tuned.",Sony Comparison
