,Date,How Helpful,Review Contents,Score,Title
0,"on July 16, 2017","
      1,215 people found this helpful.
    ","Video review: Yes, they work with glasses!Decent bang for your buck. If you listen closely there's a bit of 'fuzz' noise, but that is drowned out once the music/video starts playing.These are the BEST headphones I've tested (and I've tested a lot) when it comes to latency--that is there's no delay when viewing a video on my iPhone and the audio that's playing.Note: There's quite a delay when pressing Siri. Like a good 3-4 seconds before she's 'activated.'",5.0 out of 5 stars,"Video review: Awesome bang for your buck. Folds up compact, decent quality, and they look awesome."
1,"on May 27, 2017","
      882 people found this helpful.
    ","Pros: comfortable on my large head. No headphone has ever covered my ears without hard places or sweaty or too tight. These are good for hours2. Battery seems to last many hours. Lost track3. Pairs easily with my moto  G 4 phone and also a BT transmitter connected to my Chrome TV dongle.  Easily xfer back and forth4. Clean, rich sound.  Nice break from my ear buds.5. Build quality acceptable for this price.  Soft earpads and padded cross support.  Buttons gave solid response.  Ear cups are flat enough to lay head on pillow to watch TV.6. Adjustable enough to find perfect comfort position.7. Good volume and surround and noise rejectionCons: none.  We'll see how they hold up to long daily useUpdate 9/30/2017  I wear these for several hours each day.  Holding up well.  Battery still holds good long charge.  I added moleskin to the earpads to make them a little more comfortable.  Ear holes could be a tad bigger for my head and ears.  Overall still the best headphones I have owned.",5.0 out of 5 stars,Wear them Daily
2,"on August 31, 2017","
      266 people found this helpful.
    ",Fantastic head phones! They stay charged FOREVER! I had them fully charged and used them for an hour on average 6 times a week and did not need to charge them again for a month! The only complaints I have is when doing certain exercises they tend to slide off my head a little so I have to adjust them a few times.,5.0 out of 5 stars,Great purchase
3,"on March 20, 2017","
      706 people found this helpful.
    ","The Mic doesn't work properly. Others can barely hear my voice.Update 04/06/2017:Customer service did pretty good job and fast, by contacting me about the issue I had. They even re-order a new one for me, now everything is work perfect as I expected. Thank you and keep up the Good work.",5.0 out of 5 stars,Mic doesn't work
4,"on May 5, 2017","
      501 people found this helpful.
    ",My wife took over my $300 head phones so I needed to find something that was ok and won't break the bank. These headphones sound just as good as my $300 set for the most part. They aren't as strong in the bass but they still hold their own as far as I'm concerned.They are very comfortable over my ears and are easly adjustable also the battery seems to last long enough for me before I need to recharge.They are not noise canceling but do block out enough outside sound that I can forget the world around me and enjoy my music.Now the only problem I have is she want's these and says I can have my old headphones back....go figure ;),5.0 out of 5 stars,great headphones for the price
5,"on February 24, 2017","
      719 people found this helpful.
    ","I've really enjoyed these MPow Bluetooth Headphones, especially for the price.  At an entry level price, you get good sound and long battery life.  It doesn't have the really deep bass like some other headphones do, but they offer decent balanced sound.  If you wear them for more than an hour, it could start to hurt your ears if you have larger ears.  If you use the bluetooth feature, make sure you either turn your headphones or phone volume all the way up to maximize your volume.  With one turned all the way up then you can control the volume with the other device.They pair really fast with an iPhone 6S Plus and they have audio cues to let you know what mode the headphones are in.Making a call was clear, but having my voice muffled by the over-the-ear style headphones isn't ideal for me, so I probably wouldn't use them for long calls.While they don't have active noise cancellation, they do a good job at keeping background noise out because of the style.",4.0 out of 5 stars,Great Sound for Budget Headphones
6,"on January 29, 2017","
      601 people found this helpful.
    ","Need a nice value bluetooth headphones with durability, good sound quality, & can be wireless OR wired? This MPOW headphone is it!*Unit Operational Test*This is a pretty simple unit to test. I started with testing fitment / adjustment to my head using the sliders (stainless steel sliders, nicely done!) while also testing the ability for folding the headphones (worked great, very solid feeling). The memory foam ear cushions and along the inside of the headphone band where the top of your head will touch feel very comfortable with good spring in the foam. It is an attractive set of headphones, good use of contrast red, silver, and black. The device is touted to NOT be active noise canceling so we'll test passive noise reduction with the over-the-ears cushions.The device has user controls on one side (power, volume up, volume down, track forward, track reverse, play / pause) on the right-ear side. My Test: 1) Turn on the Headphones ... you'll heard a clear voice 'Power On' message. 2) Turn on Bluetooth on your phone and pair the MPOW headphones / connect. 3) Start up your preferred music or audio smartphone app. 4) Operate the headphones (connected and streaming from your BT-enabled phone) for 10 hours continuous streaming and wired mode (using the supplied 3.5mm audio cable) along with conducting a test phone call. Then power off the headphones.I used my primary phone, a new Nexus 6P as my initial test. I turned on the headphones (the headphones provide an initial""powering on"" along withe a ""not paired"" audio cue), then paired the device and connected by phone using Bluetooth (yet another audio cue ""phone 1 connected""). I next started up one of the music apps. Eureka, it works!. Sound quality is quite good especially at this price (little emphasis in the mid-band imo). I can confirm no active noise cancellation but with the nature of the ear cushions I did experience reduce ambient noise when the headphones were on and in use. Sound can get LOUD but yet clear (no distortion nor crackling), which is nice to see. You won't get thumping base or highs, but that's to be expected.I next disconnected from bluetooth and attempted to test wired connection using the supplied 3.5mm audio cable that was supplied by MPOW to connect to my phone's headphone jack. The MPOW worked well in wired mode! Very handle to have both wired and wireless modes. I lastly powered off the headphones (nice touch for an audio ""powered off"" confirmation cue).My next test was to make 2 phone calls (one to my home landline phone and one to my cellular voicemail). Calls were very clear and quite loud (with the headphone volume turned all the way up), and everyone could hear me fine using the built-in mic. This test completed successfully as well.*Recharging*The MPOW Bluetooth Headphones offers built-in rechargable battery (420 mAH) that is rated to last up to 13 hours of continuous music time or 15 hours of talking time. I've done a test with the headphones running while streaming music using bluetooth, my test ended after 10 hours and it was still running! That's more than enough run-time for me.I tested recharging as well using the micro-usb port (found on the same side as the user controls). You'll see a red led light come on.. It took me several hours for a full recharge after using for 10 hours straight in my music playback test.*Build Quality*Very solidly built device. Not in the same league materials-wise as Bose but also not in the same price range. Good use of sturdy plastics, memory foam as the ear cushion, stainless steel for the adjustable sliders. The unit's folding capability also worked well, very solid feeling along the hinges. Good fit and finish overall.*Conclusion*This MPOW Bluetooth Headphones Over Ear delivers in what they said this device could do. It connects seamlessly to your BT-enabled phone and can play streamed audio but also can accept a wired connection (no battery charge needed in wired mode!), the headphone design is foldable (great for travel & storage in general). It's a solidly-built and comfortable-to-wear device. Mpow offers a 45-day money back guarantee and a 18-month worry-free guarantee as well (I've not yet needed to take advantage on the other Mpow items I've bought in the past, all are working great). I would happily recommend these headphones to friends and family, especially for the value & flexibility to use in wireless or wired mode.Mpow Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/ Built-in Mic and Wired Mode for PC/ Cell Phones/ TV",5.0 out of 5 stars,Very nice value for bluetooth headphones (foldable / wired AND wireless / good build quality)
7,"on February 5, 2018","
      59 people found this helpful.
    ","Amazon reviews used to be helpful; I'm learning to start tempering them with a good dose of skepticism.  Apparently terms like ""fantastic"", ""amazing"", and ""phenomenal"" are used loosely and to cover a wide range of very average products.  First off, FOR THE MONEY these are decent headphones.  They aren't anywhere close to better headphones in sound quality or build quality, but they aren't close to the price either.My first and main issue with them is that there is noticeable lag between the show and the sound through these headphones.  Any lag in sound while watching a show makes them unusable in my opinion.  For music, not a big deal at all of course.Second, the sound through these headphones is very average.  There is no deep bass; I've used much smaller headphones (not over ear, and not earbuds) that have MUCH better low range.  I have a pair of over ear headphones I purchased on Amazon for under $100 that have fantastic (truly fantastic, not fantastic for $35) sound, clarity, and low range.  There is some noticeable fuzz/static while listening to shows, though not enough that it really bothers me.Let's stop giving 5 star, better than my Bose (not a fanboy), glowing reviews to average products.  It doesn't help anyone who needs honest opinions about products.Lastly, mine only came with an audio cable and a USB cable; it did not include a power adapter, which it sounded like it should from the manual when it tells me to insert the charger into a standard outlet.For $35, this is an OK set of headphones.  I wouldn't buy them again if the lag issue during shows is normal.",3.0 out of 5 stars,"Lag when using these to watch shows, average sound"
8,"on August 30, 2017","
      157 people found this helpful.
    ","I waited over a month to write this review because I thought no way could these headphones actually be this good for the price.  But I use them all day everyday and I have never been more impressed with headphones under >$50... I have sensitive ears with headphones and am super picky but these are so comfortable I can sleep in them.  Noise reduction is great when something is playing, pretty crummy though when there's no audio. Fast charge, easy to pair Bluetooth or wire jack, play/pause and fwd/rwd buttons are handy.  Overall definitely worth the buy, highly recommend.",5.0 out of 5 stars,$30 is CHEAP for five stars *glory hands*
9,"on October 13, 2017","
      55 people found this helpful.
    ","As a certified audio professional who mainly listens to and composes rock music, I can say that at this price point you are not going to get Sennheiser, Bose or Beats audio quality out-of-the-box. However, for the price these are useable headphones that are more than capable of providing decent audio quality (once the right adjustments are made). They require a bit of frequency gain reduction between 60-250Hz to reduce boom and a boost at around 16kHz to establish clarity. Once you’ve done that you’ll have a more balanced sound from these headphones.The bluetooth volume controls, and battery status bar indicators of these headphones are natively supported on Android (but not on macOS.) In other words when you adjust the volume on your headphones it will directly adjust the volume control on your Android device. On the Mac the headphone’s volume is independent of macOS. Play/Pause and Skip buttons work natively on both platforms.There are no latency issues when watching video. Lips move in sync with audio.The MPOW 059 supports the SBC audio codec exclusively, which means no AAC or AptX is present. It would have been great to see support for AAC seeing as it is a superior codec to SBC but nonetheless sound quality is reasonable.macOS users will need to download the “Hardware IO Tools for Xcode” from Apple’s developer page in order to get the “Bluetooth Explorer” application. This application will allow you to increase the bitpool value from its default value of 40 to 53. This will dramatically improve the audio quality of these headphones and any other bluetooth headphones that rely solely on the SBC codec. For those who want specifics: a bit pool value of 53 is equal to a bitrate of 325 kbps. SBC at 325 kbps is the equivalent of MP3 at 256 kbps. When the you’ve downloaded “Hardware IO Tools for Xcode”  and have opened the Bluetooth Explorer app you will see the app’s name in your menubar. Go to “Tools > Audio Options” or “Command + Shift + A”. This will bring up the window for you to edit the SBC audio settings. Under “SBC Codec Options” Set all bitpool values to 53 and close the window. This will ensure that the audio quality remains optimal. Close the window and re-connect your Bluetooth headphones.Build quality seems reasonable, hinges are reinforced with metal. Only time will demonstrate the endurance of these headphones but superficially speaking the headphones appear to be quite sturdy. The ear-cups and headband are made of a soft synthetic leather which provides initial comfort but they are a bit shallow in depth and can place a bit of pressure on the ears when the headset is worn for an extended period of time. Battery life is reasonable. Accessories include a micro-usb cable for charging and a 3.5 mm audio cable which is handy for more critical listening and for events in which the battery has lost its charge. The velvet-like pouch is a great inclusion and provides protection against dust and scratches. These headphones are definitely worth the price and I doubt you’ll find better at this price point.",4.0 out of 5 stars,Great Pair of Bluetooth Headphones for the Price
10,"on October 26, 2017","
      23 people found this helpful.
    ","Really great headphones for the price! I had a pair of $60 headphones & I honestly prefer these. They were specifically bass heavy headphones but ended up being muffly sounding so I bought these instead & I can honestly say that the Mpow headphones are better overall, they are very crisp and clear BUT they do not have heavy bass at all. I listen to a lot of bass heavy dubstep & these headphones do not have strong bass in my opinion whatsoever. But on a plus note, as I said, the sound is very crisp & clear & the volume does get decently loud. If your phone/device is at full volume the headphones can still go louder which is great. Kind of wish it had a hard case instead of the sack but that’s not really a big deal. Super comfortable on your head, super soft pads! Also, these headphones are super simple to operate & connect to devices. I would recommend these for sure!",4.0 out of 5 stars,Great Quality For The Price
11,"on January 26, 2018","
      18 people found this helpful.
    ","I really liked these Headphones, the sound was good, the comfort was there, but here it is 2 months past being able to return them and they dont work.  I used them last night without issue, came in this morning charged them up like I always do before using them and now they will not turn on.  The red light does not come on when I try to charge them.  Now they will not work as Bluetooth headphones which is why I bought them.  I guess I can reach out to the company for a warranty repair.  Which is what I will probably do, but if these things only last a couple months then they will only get a 1 start review from me.Update:  I sent an e-mail about my issue and they said to mail the headphones back and that once they receive them they will ship back a new pair and pay me for shipping.  Today I received a brand new pair of headphones that work great.  Thank you very much, review has been updated to reflect their customer service, I will update in a couple months if these things are still working and I just got a bad pair.Thanks MPOW!!",5.0 out of 5 stars,Bluetooth stopped working after only a couple months - Received replacement promptly.
12,"on July 22, 2017","
      155 people found this helpful.
    ","I've had them for a week now and have used them just about everyday, I think I've got a good handle on them. These headphones aren't the worst I've ever used but they definitely aren't the best. I've got a pretty big head and they are able to be adjusted to fit my big dome quite comfortably. They feel like they're decently made. Some headphones that are this style feel like they'll break in half when you put them over your head, luckily these don't feel that flimsy - but I still don't want to toss them around too much.I wear them in 2 situations, 1 in which they perform exceptionally and another where they leave some to be desired. Situation 1 - around the house after work when I listen to podcasts, the perform very well. The voice of the podcasters are clear and rich. The ability to leave my phone stationary charging up and still use headphones is clutch. Situation 2 - at the gym, listening to music. The bass boost in these headphones is too much for my musical interests - mostly metal music. The low end of these headphones tends to muddy the guitars and midrange sounds. If you listen to EDM or something similar they tend to sound better with this style of music. If you listen to heavy metal, I'd pass on these. My last complaint is that these headphones keep my head hot while I'm at the gym because the ear coverings are so large. I'll get so hot that I'll have to take them off and wipe off my disgustingly sweaty head. So there's that.What else is included? There's a carrying bag that's made from a similar material as the Crown Royal bags, if you're familiar with those. There's a micro-USB cable and a 3.5mm audio cable, both about 4 feet long.I included a dollar in my pictures for scale.**UPDATE**After my review I was contacted by customer support regarding my displeasure with the headphones. They offered 3 potential solutions:1) send a different set of the same model,2) a similar model they suggested,3) or offered to send me a model of my choosing.I know some people like these poofy headphones but they've never impressed me so I went with option 3 and chose the MPOW Cheetah headphones and have been really impressed with them. I'd give them a solid 7/10 on audio quality. There are certainly limitations regarding audio quality when it comes to ear bud style headphones but these definitely play heavy metal in an extremely satisfactory way. Not too bassy, pretty clear highs and mids.I like that I'm able to turn the volume up beyond what my phone suggests because c'mon, there's a reason I can't hear in the first place (listening to my headphones too loud...#cantstopwontstop). The buttons feel solid and have already taken quite a bit of use, because I'm always skipping songs. I think everybody does though, so I'm good there. The only thing that's a little counterintuitive, at least to me, regarding the buttons is that to change to the next song you have to click the volume down button. That just takes some getting used to but is hardly a negative.Like most ear buds, after extended use they start to cause some discomfort in the ear. But that's not a negative as much as it's an indication to rejoin the rest of the world. If anything it's a feature.Overall I've been very impressed with the MPOW Cheetahs, I'd give them 5/5. I stopped using the original headphones entirely, actually. The battery lasts a couple of days before needing to be recharged, though, to be honest I'll usually proactively charge it after 3 or 4 days.It's been a while since I got these so I can't remember if it came with a micro-USB cable or not, I don't seem to have an extra anywhere though. Honestly I'm glad, I've got so many already I'm glad I don't have another. But it is a micro-USB slot.TL:DR Anyway, to wrap this up: I do not recommend the MPOW poofy over ear headphones initially reviewed. I highly recommend the MPOW Cheetahs, though, 5/5.",3.0 out of 5 stars,Decent
13,"on July 28, 2017","
      14 people found this helpful.
    ","Truck Driver. I bought these to be able listen to audio books etc. while driving my big rig. Love being able to answer phone at the touch of a button. Pleasant female voice says ""you have an incoming call"" while media is on. Noice cancellation is great. Everyone hears me well through the invisible mike. Comfortable. Well constructed. Loud. And has a cord jack so my wife can quickly use them on her iPhone when she rides along without pairing to blue tooth. Excellent product.",5.0 out of 5 stars,Truckers Choice for talk and media
14,"on September 6, 2017","
      18 people found this helpful.
    ","Birthday gift for our 19 year old son who keeps either breaking the headphones or they crap out on him after a few months. He LOVES the bluetooth and that they are over the ear.....as do I. They fold up as well, although he hardly ever takes the time to do so during the few hours that he actually doesn't have them on. One of the main reasons I purchased this kind had to do with wanting him not to have them shoved INSIDE his ears for these long periods of time. So...win/win here! They seem to be holding up to him so far which says a lot actually lol.Thank You!!",5.0 out of 5 stars,Mom and Teen approved!!
15,"on May 1, 2017","
      11 people found this helpful.
    ","I've only had these for an afternoon but I already love them. I have a large head and certain headphones pressing into my ears or scalp cause migraines. So far, these have felt very comfortable and the sound quality is excellent. I was able to easily pair them with my Nexus 5. I'm still figuring out how to pair them with my Asus Chromebook. They are circumaural (cover the ear completely) and build quality seems good for the price.  I bought these to replace a pair of wireless sennheiser RD160s that stopped working. I will update this review if these give me trouble after I get more use out of them but I am already impressed with them, given the price.",5.0 out of 5 stars,love them so far
16,"on July 13, 2017","
      10 people found this helpful.
    ","For what they cost, these do a pretty good job. The sound quality is fine but not great (these are by no stretch of the imagination Bose headphones!), and they occasionally cut out for a moment here and there when on bluetooth mode. I use them for commuting on public transportation, and it's really nice not to have to deal with tangling cords with my bag, etc.. I also use them occasionally at my desk at work, and was worried about sound carrying over as some folks have mentioned, but I asked my officemates and no one could hear anything. I think as long as the cup is well fitted around your ear, no sound should come out. They're definitely large and in charge, but I prefer over-ear to on-ear, so that's what you get. They've held a charge amazingly well so far--I've used them off and on for over a month now and haven't yet had to charge them after their initial charge. The buttons are a little cheap feeling, and the voice confirmation of settings (power on, power off, etc.) drive me nuts, but overall they're decent enough and do the job.",4.0 out of 5 stars,Pretty decent for commuting.
17,"on August 2, 2017","
      8 people found this helpful.
    ",I received the item in a timely fashion. I unpacked it and read the user manual. Then I charged it. The red light came on and in a couple of minutes it went out. I thought maybe it had been charged and was still holding the charge. I was able to pair it with my iPad. I listened to two tunes and then a full half hour of a britcom on YouTube. Then the battery was done. I recharged it and had a similar experience. I just returned it for a refund. Be advised that you may or may not get one that works.The company contacted me and said they would like to send me a replacement. I received the replacement and charged it. It took about 3.5 to 4 hours to charge. I then paired it with my iPad. I listened to some of my music about two CDs worth. I then watched about three of my favorite Britcoms on you tube. The audio quality was outstanding. I listened to music or watched you tube tv shows and some music tutorials for the next week and a half. I even had them on for 7.5 hours one day. I planned to wait until they needed charging before i wrote the review. They are still going strong. The fit is good and very comfortable. Now about the sound. I already said that it was outstanding.  I compared them to my Sennheiser cable head set. I honestly could not tell the difference. I then compared them to Bose wireless there was a very slight difference but not much. Overall they are extremely good. If you have trouble with them contact the company and see what they can do. I love them and could not be happierRon,5.0 out of 5 stars,Replacement works great
18,"on August 26, 2017","
      12 people found this helpful.
    ",Broke after just four months Poor Mechanical  Design...Okay  they sent me a replacement free of charge... I have no other recourse but to give them 5 stars for customer service....it may have been just a fluke that they broke the first time... thank you MpowBuy the way the sound quality is real good...,5.0 out of 5 stars,Customer service superb....
19,"on July 9, 2017","
      15 people found this helpful.
    ","This is my second pair of over the ear Bluetooth headsets. I was looking for a comfortable fit with decent sound. Soft padding for ears and padding for top of the head comfort. My last over the ear headset would get uncomfortable after about 30 min.These met every aspect I was looking for. The sound quality for over the ear Bluetooth headphones really are above average for this price range in my opinion. Battery longetivity is superb for the amount of sound streaming for both speakers. Bluetooth  paring has been one of the best of any Bluetooth, device I've ever had the pleasure of oning. It can be paired with multible devices simultaneously. I have it paired with my 2011 iMac  🖥 , also my iPad Air 2, and iPhone 7 plus, with no connectivity issues. Can be hard wired to any device with cable provided, if battery power is lost. Control sound, pause or track both play, and reverse from the right side of the headset. I have'nt had the opportunity to use the microphone for phone conversations. I purchased them for music, nice feature in the future if I use it I will update my review. I don't dote on sound, as long as it's streaming clear sounding music I'm content 😌. The Mpow Bluetooth met every expectation I was looking for and more. Extremely Happy with My Purchase!",5.0 out of 5 stars,Extreamly Happy with My Bluetooth Headset!
20,"on May 17, 2017","
      55 people found this helpful.
    ","These headphones are actually a little bit better than I thought when I decided to buy a pair. I wanted better quality in terms of hearing audio, but I'm not exactly someone who listens to music with devices all the time. This seemed to be the best choice, and I do think it's worth it. In terms of audio, it does sound crisp and clear...but at the same time can rock-out if you want to hear it full volume. The only real problem is one of the good features that it has, if you like to wear headphones for a long period of time it will feel slightly uncomfortable over the ears. But that gives superior sound, almost to the point where you could tune-out others around you.",4.0 out of 5 stars,Superior Quality
