,Date,How Helpful,Review Contents,Score,Title
0,"on December 16, 2017","
      57 people found this helpful.
    ","Left my old lightweight folding headphones on a plane, so decided to try these, my first Bluetooth pair.  Initial reaction is they are great, no real complaints for a headset at this price point.They are reasonably lightweight, adjust properly to fit my head, the earmuffs cover my ears fairly comfortably and give very good outside noise attenuation. Like all over-the-ear headsets, you have to put up with the pressure and the need to occasionally shift things to relieve an uncomfortable spot.Can't complain about the sound.  At age 79 I don't have ""audiophile ears"" any more and can't accurately judge high frequency response, but for me the overall sound is clean & very well balanced.  Vocals come through clearly, bass is just right to my taste (79 year olds don't go for vibrate your skull bass).  Max volume on Bluetooth exhibits a little distortion but that is a level well over what I would listen at.  Mid volume is just right.  This is all on Bluetooth, I haven't tried them driven via direct plug-in from a known clean source with more power.Bluetooth performance is impressive.  They paired quickly with my iPhone,and range is outstanding, I left the phone on our dining room table and walked throughout the house with only a hint of dropout at the most distant room, which was about 35-40 feet and through 3 interior walls.Physical construction appears good if not super-rugged, but after all they have to be lightweight.  They fold into a nice package & a cloth bag is provided, along with the charger & a direct-connect audio cable.  Charging is standard 5V viat the flat micro USB connector now common on most cellphones, so you may not have to carry an extra cable when traveling.  No experience yet on battery life.If there is any real ""con"" to mention, it's that I can see wearing them around in public might not be the fashion statement you want to project; they're pretty bulky looking & I'm not keen on the red trim, which draws even more attention.  On the other hand, so what?",4.0 out of 5 stars,"Good Sound & Noise Attenuation, Great Bluetooth Performance, Good Value"
1,"on January 7, 2018","
      62 people found this helpful.
    ","Just received these, but after the first few hours of ownership I am impressed. For the price I expected really poor build quality and overly bassy sound that's trying to cover up crummy mids and highs. I know reviews are good for these and it's predecessor, yet I somehow didn't believe them. Colour me surprised!Comfortable and light with medium clamping force. I wear glasses and they feel decent, although I'll probably stretch em out a tad.Sound isn't flat (sorry audiophiles). Great signature imo- not overly harsh in any regard, but juuust right. Metallica and Fleetwood Mac both sound fantastic!",5.0 out of 5 stars,Colour me surprised. Great headphones!
2,"on November 18, 2017","
      98 people found this helpful.
    ","WOW! Was not expecting these to produce very good audio quality, but man was I wrong. The audio is honestly comparable to MUCH higher quality headphones. When I first paired them and played music, it sounded almost like my Sony Producer headphones. I've tried comparing the two and have found very minor differences. The sound on these is very crisp and, while they are not noise-cancelling, they do a very good job at drowning out ambient noise. I work in an open office and, while playing music, these headphones always drown out the constant bustle of the office. They are also super comfortable allowing me to wear them for extended periods of time.The only downside is the built in microphone. It's basically garbage. Yeah, it works, but it doesn't work well. If you buy these, don't expect to use them for talking because the mic is just not very good quality.All-in-all, these are, in my opinion, the BEST bang-for-your-buck you can get for a pair of headphones. They're stylish, comfortable, and provide superior audio quality of >= $200 headphones. If you're looking for a pair of headphones, but don't want to break the bank, GET THESE!",5.0 out of 5 stars,"AMAZING Audio quality and EXTREMELY comfortable, but don't expect to use the microphone."
3,"on November 20, 2017","
      28 people found this helpful.
    ","I got these as a surprise for my boyfriend because his favorite (more expensive) ones had recently broken. I'd checked out the earlier version of these, but decided to get this model, as it is only a few dollars more. He's had a pair of Bose noise canceling headphones as well as Senheiser, so I was a little apprehensive about how he would feel about the sound quality. Fortunately, he loves them! He's super happy about the look, the sound quality, and the competitive pricing.",5.0 out of 5 stars,Great price! Great sound! Great product!
4,"on January 4, 2018","
      50 people found this helpful.
    ","This is a review from NerdTechy. Sometimes you need an extra boost from your audio gear without sacrificing style, durability or convenience. However, finding a pair of headphones that can successfully bridge the gap between looking cool and delivering quality sound is no easy task. There are hundreds of listening options on the market and each one comes with its own design and unique features. Even though there are plenty of quality choices in audio gear, matching the right device to your specific needs is integral to long-term satisfaction. Whether you’re someone who produces music, or the kind of person who just has a very sensitive ear when it comes to sound quality, it pays to be picky when choosing your headphones.In this review I'm going to be taking an in-depth look at the Mpow H1 Bluetooth Headphones. I'm going to be checking out the design, comfort, special features and sound quality in order to give you a fully-comprehensive idea of just what these headphones can really do.First ImpressionsAt first glance we thought that Mpow H1 Headphones had an intense, edgy look with some very cozy looking earpieces. The headband was covered in red and black leather that had some really intricate stitching along the edges, and the plastic earpieces were black with a thin red trim. We liked the color scheme, but thought that, for some, it might be a little intense. We would have liked to see a lighter, more relaxed color choice, just to make the H1 more versatile in their style.The ear cushions were surprisingly thick and lightweight. Just from looking at the cushions we could tell they would easily block out environmental noise, while also being comfortable enough to wear for long periods of time. This is crucial, especially if you’re the kind of person who may want to wear these headphones during a long workday, or in a situation that requires you to be plugged in for a few hours or moreThe Mpow H1 is also lighter than some of its predecessors like the Mpow 059. They weigh in at just 7.5 ounces and measure 6.5 x 5.9 inches, making them the kind of device you truly can wear all day. They are big enough to notice you have them on, but aren’t going to put your neck under any strain while you use them.Both earpieces are adjustable as well as foldable, and are fastened to the leather headband with plastic sliders on a sturdy gunmetal black connector. It’s pretty easy to find the right fit, and we found that once we adjusted them, they stayed snug.On the left earpiece we found the Mpow logo printed in sleek, red lettering, and on the right we found a play and pause button, as well as skip forward and skip backward buttons. We were also able to locate a line in jack and a small opening for a microphoneThe headphones are a true wireless model and connect to smartphones and tablets via Bluetooth 4.1. We were pretty pleased to see that the only wires on the unit were hidden by the leather, and were almost not even noticeable when we took it out of the box.In our opinion, these headphones aren’t best suited for those with very active lifestyles or people who may want a portable listening device to throw in their gym bag. They’re on the larger side and, while they are adjustable, they seem like they could easily slide off during a hard workout. That being said, their larger size and thick ear cushions did make us think that they were comfortable enough to wear around the house or in an office for long periods of time. The bigger size of the earpieces also gave us some pretty high hopes for the sound quality.Our initial feeling is that the Mpow H1 would be best used by busy professionals, musicians or those who are looking for a fully-immersive listening experience. Just be sure to note that the H1 is mainly going to deliver comfort and audio-quality over convenience and portability.Features and AccessoriesWhen you open the box to the Mpow H1 you’ll find some basic accessories. You’ll get the headphones themselves, a 3.5mm audio cable, a USB charging cable, a carrying bag and the user manual. It doesn’t seem like much, but these accessories are actually pretty nifty. By including the 3.5mm cable, it tipped us off to the fact that these headphones could also be used in a home audio system if need be or as a wired device for a smartphone or tablet. The carrying bag was made of soft, protective material and is strong enough to protect the headphones if you choose to take them traveling or to work. While there aren’t a lot of dazzling accessories included in the box, the H1 does have some cool features.First and foremost, they are completely wireless and you can synch them to any Bluetooth enabled device with Bluetooth 4.1. This includes phones, tablets, laptops and even Bluetooth enabled televisions. We were especially pleased to find that there were absolutely no loose wires coming off of the headphones, unlike some other similar wireless headphones. The wires we did see were neatly tucked under the leather of the headband, and didn’t create a distraction while we used the H1.The H1 also allows you to take calls totally hands free. With the built-in microphone, all you have to do to answer an incoming call is use the buttons on the right earpiece, and do the same when you’re ready to end the call. The music will automatically stop when you answer a call, and resume when you hang up. We found the clarity during calls to be clear, and the Bluetooth connection held up extremely well with almost no interruptions. However, this feature is only available when the H1 is being used in wireless mode. While using the auxiliary cable, you won’t able to take calls.The headphones also had a very impressive battery life. From a three hour charge, the H1 will yield fifteen hours of either play or talk time. Also with the included auxiliary cable, we found that you could continue to use them as a wired device, even if the battery is completely drained. We found this to be a very useful feature, especially for those that may find themselves traveling for long periods of time.Sound QualityThe sound capabilities of the H1 are probably the biggest selling point of this piece of audio gear. The 40mm stereo driver and the thick over-the-ear pads made for a truly private listening experience that blocked out almost all background noise. The ear pads were excellent for noise-canceling because of both the fit and the material, and we started to feel the overall experience was less inhibited by the large size. Once we turned them on and started listening, we knew why they had to be on the bigger side.The bass was impressive and came through very clearly during play, and even speaking voices in things like audiobooks and podcasts came in crisp and clear. While the bass was outstanding, it’s not the kind of feel you might expect from a home speaker or subwoofer. Since these are still only a pair of headphones, the sound was limited to the size of the 40mm drivers. However, for a pair of headphones, the power and quality still blew us away.One thing we did notice was that, at high volumes, there was a slight vibration in the earpieces. It wasn’t a huge problem, but was definitely noticeable enough to be a little distracting at certain times.The H1 performed well at both low and high volumes, and while playing a variety of different types of audio. We found the sound to be evenly balanced and that the H1 made for a fully immersive listening experience.Final ThoughtsOverall, we really liked the Mpow H1 Bluetooth Headphones, but felt that they were more for those who were concerned with sound quality over convenience and portability. They are on the bigger side and cover the entire ear, but the foldable earpieces did make them somewhat easy to transport if necessary. We also thought the leather around the headband was a good way to bridge the gap between style and quality.The fact that they are truly wireless, lightweight and comfortable were also huge selling points, and we were also impressed with the crystal-clear Bluetooth signal. The option to plug in the included auxiliary cable was also a big bonus because it made the headphones usable even when they ran out of battery.Above all else, the sound quality is the most attractive part of the H1. For a personal listening device, we were really impressed with the fullness and noise-canceling capabilities of each earpiece. The H1 is not a pair of headphones for those looking for a personal listening device to wear during strenuous activity, but is definitely a good choice for someone traveling who is also in need of high-quality sound in an affordable package.",5.0 out of 5 stars,MPOW H1 Review
5,"on February 5, 2018","
      10 people found this helpful.
    ","I am (so far) surprised with these headphones considering the price.  I will first say that I’ve never owned over-ear headphones before so maybe my expectations are lower than someone that’s had some Bose or Beats. That said these are great for what I’m using them for. Music sounds great, bass hits hard and mids/highs are perfect for the metal and old school hip hop I like.I work in an open office (loud) environment and am up and down and walking around all day. I was tired of having to remove my old headphones every time I got up plus when on conference calls it was often difficult to hear with all the background noise. Problem solved with the Mpow set! I listen to music at least 5 hrs/day plus an hour or 2 of calls. On a full charge they last 4 days, takes about 3 hrs to charge full from dead. 30 mins of charge from dead gets me 1.5 days.Microphone works well, listeners tell me they hear a bit more background noise but not anything hugely noticeable. Bluetooth works great!! I walk 30-40 ft down the hall and into other rooms/offices and no connection issues-sheetrock and metal framed building. Re-connects automatically soon as I get back in range.Very comfortable on my head, firm sliding size adjustment-don’t have to constantly re-adjust during the day. For $35 you can’t lose. Great bang for your buck!",5.0 out of 5 stars,Bluetooth works up to 40ft away! Great value
6,"on November 18, 2017","
      20 people found this helpful.
    ",Though they may not be true Bose cancelling headphones they sure do sound like them. The bass is awesome and the music is crisp. They connect immediately to your phone or tablet and they are loud as f. Amazing headphones i hope they last as long as possible. Will add a follow up review after a month of using.Follow upYou'd be hard-pressed to find better sounding headphones than these. These headphones are the best that I've ever owned so far. They have work well for me and are very very loud. Don't have these on while driving. Thank you kind officer for the ticket.,5.0 out of 5 stars,Bang for the buck
7,"on December 29, 2017","
      23 people found this helpful.
    ","I like these but they don't fold the same as the older H1 models. They don't fit in the suggested case due to the 2 pieces that point out when folded so I'm returning the case. I almost returned the headphones instead to get the older model, but I need the headphones first. I bought these to tune out my coworkers.I am using them now at a comfortable volume and it's great. They're very soft and comfortable, charges in 2-3 hours (doesn't come with a wall charger so I need to charge them through computer via the provided USB cord), and pretty easy to sync up with your phone. I wish there were separate volume and track buttons though. Sometimes I'm trying to do one and the other happens due to poor reaction time. But once you get the hang of it it's okay. The cloth case it comes with fits the headphones REALLY SNUG, almost annoying to put them in. But that doesn't detract the quality of the headphones.Mpow Headphone Case for Mpow 059/ Mpow H1/H2/H5/Thor and More Foldable Headphones of Other Brands, Storage Bag Travel Carrying Case for Headphones Foldable, Over-Ear/ On-Ear",4.0 out of 5 stars,I like these but they don't fold the same as the ...
8,"on February 16, 2018","
      12 people found this helpful.
    ","I have to say that I really wanted to like these, and in some ways they are fantastic, but there are just a few drawbacks I can't get past.Pros: For starters, the sound quality is VERY good.  If you are after great sound at a cheap price and that's all that matters, these are pretty great.  They are also pretty comfortable; not as comfortable as my sennheiser's, but lets be fair...those cost over triple the price.  The earpads fit completely over my ears (just barely) but enough that they were reasonably comfortable for the 30-60 minute listening sessions I typically use them for.  Bluetooth range seemed good, pairing was easy, and I only had one or two random cutouts.  The mic was also passable, but not great.Cons:I only had two major issues with this headset.  The first is the size.  It's hard to tell from the product pictures, but these stick WAY out from you head, much more than it appears.  I don't know if it is a result of the design or what, but they appear enormous when (laterally) when worn on the head.  So much so that I'm not entirely comfortable wearing them outside the house.  This is subjective, but a problem for me.  The other big problem and the deal breaker for me, is the buttons.  Mpow only used 3 buttons on this model, which means many buttons pull double duty.  The worst of which is the power button.  The power button is also the pairing button.  This is not new, my other Mpow products use the power button as the pairing button too, but this set works differently.  With this pair, holding the power button (when off) turns the headset on...and continuing to hold it enters pairing mode.  This is pretty standard.  The problem is turning them OFF.  When already on, if you hold the power button in, it enters pairing mode AGAIN, and you have to hold the power button AGAIN to turn it off.  With my other pairs, the headset is intelligent enough to know that when the headset is already on, if you hold the power button in you want to turn it off.  There is no entering pairing mode twice and holding the power button twice.  This was so annoying to me and so frustrating that I'm probably returning these.  It's just too annoying to have to enter pairing mode every time before turning the headset off; a major design flaw.In conclusion, I really wanted to like this headset, and in a lot of ways its pretty great, but the bulky size and the obnoxious power button were too much for me.  If you can look past those flaws then you have a great sound pair of headphones waiting for you.**UPDATE** (added 2 stars)After reading my review, the seller contacted me letting me know that they were sorry to hear that I was unsatisfied with their product.  I informed them that I appreciated their concern, but had already returned the headphones.  They actually offered and sent to me a different version (the 059 bluetooth headphones) to see if I preferred those at no cost!!  Incredible customer service, and honestly...a company that stands behind their products with customer service like that deserves 5 stars.  It definitely seems that if you have an issue the seller will do whatever they can do to make it right!",5.0 out of 5 stars,"So close, but not quite"
9,"on February 16, 2018","
      6 people found this helpful.
    ","Overall I really like these headphones.  They are very large ""studio"" headphones which I actually like.  I find the sound superior.  The cushions are super silky soft.  The battery life is awesome, I've warn them for 3 days at work without charging (turning off at night).The buttons do take a bit to get used to.  Make sure you read the manual to understand them.  The power button is tricky, but once you get the hang of how it works it's fine.  For example when turning off it will verbally announce ""disconnected"", ""pairing"", ""power off"".  It's important NOT to let off until it toggles to the command you want (hold through all 3 announcements & let off after ""power off"" to turn off).",5.0 out of 5 stars,Buttons
