,Date,How Helpful,Review Contents,Score,Title
0,"on May 24, 2016","
      20 people found this helpful.
    ","The Pros: Excellent wireless headphones. -- We needed wireless headphone for watching TV at night without disturbing the neighbors in our duplex.  We needed the base to plug into the audio out of our TV, which wasn't easy to find as most wireless headphones are now Bluetooth.  Found these here on Amazon and are very happy with them - bought the base which comes with one headphone and one other matching headphone.  They are very comfortable to wear and their audio quality is excellent. You can adjust reception to get the optimal sound quality. They also have a considerable range. Put the TV on a music channel and walked around with the headphones to determine their range. Across the house, out in the garage, going to the mailbox, out in the back yard - they never lost the signal or faded in and out and the sound quality never varied. Granted, we live in duplex on about a quarter acre of land, so with bigger homes and yards, their performance may not be as good as we've experienced.Only One Con: the headphones eat through batteries, which cost them one star. They take two AAA batteries - neatly nestled and hidden behind one of the ear cushions and are very easy to change. Fortunately we have plenty of Eneloop rechargeable AAA batteries which are the best rechargeables. (See my review on Eneloop batteries which got 5 stars)I think anyone would be completely satisfied with these wireless headphones as long as you have rechargeable batteries to go with them.",4.0 out of 5 stars,Excellent wireless headphones in all ways except they go through the batteries quickly.
1,"on January 25, 2016","
      15 people found this helpful.
    ","I can understand dialog now! Before we got these headphones, we had trouble hearing scenes with speaking, especially anything with an accent. That includes the great British costume dramas, like Downton Abbey. Now we can hear all the details without cranking up the TV. We also get the benefit of stereo effects that were missed with the previous sound system.  Pros: Huge improvement over TV speakers and medium grade external sound systems. Great for walking around and still being able to hear the news, music or other audio. Comfortable. You only need one charger base for 2 sets of headphones, if you don't mind rotating them occasionally. Long charge life - about 4 hours. Cons: Minor static and other FM radio tuning sounds depending upon where you sit and the proximity to the TV. There will be a REALLY LOUD STATIC BURST when the TV signal is interrupted for 30 seconds. Switch them off if you pause your program!  Summary: I recommend them. They are the best I've had. Worth the money.",4.0 out of 5 stars,"Good, but not perfect. The best I've used. Recommended."
2,"on December 8, 2017","
      3 people found this helpful.
    ","My HDR120 headset failed after almost 5 years of use when the integrated on/off switch died (it wasn't the rechargeable batteries).  I am surprised to see that the technology has not changed at all on the home entertainment wireless headsets in the last 5 years and the new unit works just the same as the old one with the old transmitter.  However, if you designed a great product to start with then there will be no need to change much over the years.",5.0 out of 5 stars,Additional wireless headset
3,"on December 14, 2017","
      2 people found this helpful.
    ","Best headset for general use, great reach, much better than headsets that costs 5x more, can go outside to dumpster&back and still hear the TV through several walls (with static but still). Also very affordable. Have had four of these for many years. Buy extra ear cups in advance, will wear out after years of daily use. Last long on each charge, does not shut out noise in environment but never gets sweaty and is very light, in contrast to more expensive over the ear head phones. Sound quality perfectly fine for 95% of all general TV watching. Have bought many more expensive HiFi headsets through the years but still use these for 95% of all TV watching because of comfort, reach etc.",4.0 out of 5 stars,Great general use headphones for TV! Best I ever had.
4,"on June 28, 2016","
      5 people found this helpful.
    ","I can't live without these headphones. I have one hooked up to the TV so I can 'watch' when I'm busy doing stuff like cleaning or gardening. I don't actually have to see many of the shows I watch, just need to hear. works great with any tv or DVR box. And you can turn off the sound on the tv in case your hard of hearing like me, and don't want your tv blasting to the neighbors. Great product.",5.0 out of 5 stars,Can't live without
5,"on February 14, 2018",,"these headphones are the best iv ever used & the price can't be beat!! Cuz these head sets WORK!!! Unlike cheaper brands. I see that some others don't like the  tuning knob on the back of the head phones  but u have to look at it in a different light,,yes the tuning wheel can get hit by accident giving you a slight static but only takes a split second to put it back in tune & that's my point unlike other RF head sets this set has a tuning wheel that lets u tune your headset to the  perfect frequency  & they sound dam good & for me in my home they have a EZ 60 foot range a 100times better then my Bluetooth. For home use u can't do better with out spending a $100 more & it's nice that I can have as many headsets as u want hooked up automatically to the same receiver just turn them on & they work & they hold a charge like nothing iv ever seen B4  u can use any 3 AAA u want but I use rechargeable & they last an EZ 24hrs of  continuous play before they need to be recharged. I paid $59 for my 1st setup head set & transmitter then I got 2 more head sets for my wife & kid. A year & a half later still the best money iv ever spent",5.0 out of 5 stars,"Durable,,long lasting charge,, long range,, excellent price!! What more can I say"
6,"on August 11, 2014","
      4 people found this helpful.
    ","This additional headset works great with the base and headset I purchased previously.  Overall I'm satisfied with the system for listening to TV using a mini-computer and big-screen TV display.  I tried bluetooth devices, but that method of radio transmission adds noticeable delay to the audio, so the sound does not match the picture.  I suspect any bluetooth solution will not work with video for that reason.These Sennheiser products are very good - others have mentioned that the base transmitter shuts off when there is no sound for a minute or two, creating noise in the headsets.  That is true, but unless your headset volume is rather high, the noise you hear in the headset is not too objectionable (in my opinion).  With only one charging base you would need to either swap headsets back and forth to keep both charged, or else use standard batteries instead of chargeable ones.  I built a couple of charging stations that are attached as hangers on the back of our side tables so charging is not a problem.The only reason I gave less than 5 stars is that there is some very brief static now and then.  Adjusting the tuning dial will usually clear it up, and for our purposes it is not much of a problem.  Our base transmitter is about 30 feet from the normal listening location, in a closet with all the A/V and internet equipment.  This static may be caused by interference from these or other devices in our home, so your experience may be different.",4.0 out of 5 stars,Works with TV video where Bluetooth will not
7,"on May 11, 2017","
      2 people found this helpful.
    ","I have three of these. Love them. can use them all over the house. Line of sight not required. My only complaint is that they time out after a few minutes of no sound from the TV and they produce a really loud ""static"" white noise. Would be nice if the vendor could find some way for them to simply mute or turn off sound output at that point.",5.0 out of 5 stars,Love them. can use them all over the house
8,"on July 23, 2013","
      3 people found this helpful.
    ","I am in an apartment, for the first time in many years. Time moves forward. Our society has not. Ill mannered live out lout neighborsforced me to look for headphones. Nothing is easy anymore either. This is the third brand I have bought. Already promptly returned Sony, too heavy. TV Ears, too complicated. When I did get them to work, I was suppose to do a work around to get the tv out of my Roku and DVD player. The main thing is I was forced to buy a Vizio TV while in KS. This tv only has an optical/audio combination port. Sony hooked up right away. So that was great. Using them for 4 days was not. The weight, is a literal headache. Thought I had solved that with TV Ears. Less than 2 days my ears were killing me. The ""buds"" themselves are a hard foam. Painful. This was my last hope, and I thought I would have to do a work around with an audio box. I know more and have spent more time than a consumer should have to in order to get what you want/need. These hooked up in less than 5 minues they have a converted in the package to go with RCA style audio out. I am a happy camper. Because of this journey, I felt compelled to try and save others. What I needed is not really talked about at any of the individual companies.",5.0 out of 5 stars,This is the one!
9,"on May 27, 2015","
      6 people found this helpful.
    ","The first one I got croaked after a short time. I sent it back to the repair facility in Haverhill, Mass. and had it, or a refurbished replacement, back in record time. There was no explanation given as to what had been wrong with the first one and they didn't say if what they sent me was new or refurbished. Also, it came with only a 90 day warranty when I had most of a year left on the original one. Nonetheless, it works great and not only allows improved volume but also clears up a great deal of garble. The email and phone exchanges with the Sennheiser customer service department was nothing short of extraordinary!",5.0 out of 5 stars,it works great and not only allows improved volume but also clears ...
