,Date,How Helpful,Review Contents,Score,Title
0,"on December 5, 2013","
      325 people found this helpful.
    ","For starters, I do not write reviews so this will be relatively short and definitely to the point. All of the other reviews posted will tell you just about everything you may want to know and enough to make you wary about purchasing this. I wanted to share my experience to dispel the fears of anyone who is on the fence as to whether this is what it claims to be. 100%, it is precisely what it claims to be. I do not garden (I am in my early 30's so maybe that will change in a few decades at which point I will submit an updated review), I do not have hearing deficiency, my aging grandmother does not live with me who requires louder volume while watching Antiques Roadshow while everyone else watches in misery at normal people volume, I do not try to listen to music while down the street at my neighbor's house four blocks away. I live in a larger than average home with every wifi entertainment/streaming gadget known to man. I watch movies and shows at high volume, and don't want to disturb the family during late hours, etc. through my surround sound. My requirements for a wireless headset are as follows:1) ZERO interference, static, or ""hiss"", or lag time between sound and screen2) REASONABLE distance without losing signal (I think 50 ft from your TV is quite reasonable)3) PERFECT no loss sound and deep bass as I expect from a quality surround sound system while watching a movieThis headset meets all 3 requisite criteria. You can stop reading. Really.Ok, apparently you need more, due diligence = happiness I suppose. I have purchased 2 wireless RF headsets (as a reminder, this is not an RF headset) in the past from Amazon. With RF, you will ALWAYS have static. It is a fact of life, the end. No matter how much you spend on an RF headset, you will have interference and the constant ""hiss"". Trust me, I know, THE END. Yes, there will be one guy who responds to this review saying that his magical RF headset has no interference. Ok, buy that one. This review is not for you. Stop reading now. This review is for the guys/gals who research until their eyes bleed to ensure that the product they are purchasing is top quality. I can walk the entirety of my home listening to movies at full blast through the headsets with 100% ZERO interference (yes, I have a wife and child who prefer not to have R rated movies blaring at max volume while they are sleeping, which I why I bought this product). I stream from a Roku and Boxee Box (the greatest invention ever/cannot BELIEVE they no longer make this, I bought three (yes, literally 3) just in case Boxee 1 and 2 died and they are no longer available in the universe) with the base of the headset sitting right next to them and IT DOES NOT impact the wifi strength or streaming quality (Note: I do not have a crappy wifi router, I have a ASUS RT-AC66U Dual-Band Wireless-AC1750 Gigabit Router because I am serious about home networking/streaming/NAS. If you have a crappy wifi router, I cannot help you. Likewise, if you prefer to listen to your music/movies with your headphones on with your head in a microwave and complain that there is interference, I cannot help you. This review is not for you. Stop reading now.).To dispel one of the common cons other reviewers have cited. ""The buttons on the headset are SOOOOOOOO confusing. I wish they had a volume wheel instead of buttons for my clumsy fingers!!!!"" RIDICULOUS. The reason why they have buttons is because the geniuses at Sennheiser are smarter than you. You bump a volume wheel with your hand/pillow/whatever by accident and you can go deaf, particularly if you let your kids use it (I hate kids shows so I let the little guy use them when he is watching that stuff, sue me). The buttons are perfect. It goes like this: big one = more volume, then power, then smallest button = less volume. I mastered this in less than a few hours of use. You won't use the other two buttons as they will always be on (surround sound and bass boost), so you are literally dealing with big button = loud, tiny button = not loud. I know, this is A LOT to ask.For the manufacturer (NOT THE READERS), this is a nearly perfect product. One suggestion is to make the headphones expandable/retractable, which is usually a default for high quality headsets. By expandable/retractable, I mean add a slider to each side of the headsets just in case there are people with abnormally large or small heads so they can get the perfect fit. The headset fits me perfectly, but they would not work perfectly for a youth or large headed folk. Just looking out. Expand that target market. Another suggestion for the clumsy fingered people is putting a tactile raised dot on the power button to distinguish it clearly for those who cannot master big button vs. small button.I hope this helps.",5.0 out of 5 stars,This is what you are looking for. Period.
1,"on November 27, 2017","
      10 people found this helpful.
    ","Over 4 years since originally purchased, they still look, work & sound like when they were new and priced at ~$300.Very high quality sound in all ranges. Highs are crisp, mids clear, lows low.No distortion.The fit, is comfortable.These are a bargain.I can walk around home & onto patio and no dropouts.You get what you pay for. Take good care of them, they will continue to last.My original high Q wired headphones, lasted over 30 years.I'm not a throwaway person.I'd buy these again.Watch at weatherwar101 dot come, Texas' Hurricane Harvey. ALL man made weather.",5.0 out of 5 stars,"Updated review, still are AAA+++"
2,"on September 26, 2016","
      9 people found this helpful.
    ","I bought this to replace a refurbished RS -120 set that I had bought previously.  I'm less satisfied with this set than with that one on two counts.  First, with the RE-120, all I had to do was remove it from the dock to enable it to work; with the more expensive RS-170, I have to turn on a button at the base and one on the head set.  And second, the five controls on the headset are indistinguishable to the touch so that the headset has to be removed from one's head in order to find the sought-after control.  Also, I cannot discern any improvement in sound quality with this set vs. the far less expensive RS-120, although I'm well please with it on both sets.  If I were starting over, knowing what I know now, I would definitely buy the RS -120 set, which is now priced at only about $55 ($30 less than I paid for a refurbished set four years ago).",3.0 out of 5 stars,I'm less satisfied with this set than with that one on at ...
3,"on November 16, 2014","
      10 people found this helpful.
    ","The poor husband must be going deaf because at the levels the television had to be for him to hear properly, it was too loud for me and that's when we knew it was time to get him some headphones. For the record, I already own the RF version of these Sennheiser headphones, but they were in storage, so I decided to gamble with these being more expensive and get them for his birthday. They are worth every extra penny! The sound coming out of these is EXCELLENT! We have a DirecTV genie, just be sure to hook the RCA cables directly from your digital box, not from the TV, and you will have sound that is simply amazing. I haven't heard sound this good outside of an IMAX theater. He's using these every single day and the cradle recharger is simply too easy! If you're debating between these and the cheaper RF version, GET THESE! As I said before, worth every penny and we couldn't be happier. Now, I'm looking to expand an extra headset for me. I think this base will support up to four.FYI: It is a SHAME these magnificent headphones are getting some bad reviews because people can't figure out how to hook them up. Everyone's setup is a little different and the quality of the sound you get from your source will differ, but if you have a digital box (like Tivo, DirecTV genie or anything like a cable or satellite box) setup is pretty easy. Just remember, avoid those headphone jacks on the tv, if possible and instead, look for RCA (white/red) ""OUTPUT""s on your digital box. Think about like this - you are sending sound ""Out"" of the box and into the headphones base. If you're forced to use the headphone jack on your television, the sound will not be as good. If you're using these without a cable or satellite box, I can't help.Don't dismiss these headphones because some people couldn't set them up. If you have a digital box, like cable or satellite, don't miss out on this sound experience. These are phenomenal headphones and I don't throw that word around. I've written hundreds of reviews and less than 5 electronic items have ever received such raving from me. These are worth the money and worth the time to get them hooked up. I'm not even wasting money or time installing surround speakers in my new living room. I will never be able to replicate and get sound this good right on the ears. If you get these set up correctly with a good source (like digital satellite or cable signal) you're golden!",5.0 out of 5 stars,EXCELLENT SOUND!
4,"on March 20, 2012","
      306 people found this helpful.
    ","First off let me say that I thought long and hard before deciding to spend $280 on headphones. I can't hear as clearly as I once could. Even with the sound turned up, I sometimes have trouble understanding what is being said. My wife has no trouble hearing the TV so we are constantly at odds on how loud to keep the volume. If she is reading a book in another room she is always asking me to turn the TV down. So I decided headphones were more practical and less expensive than a surround sound system that would have provided a speaker close to me. I figured good set of headphones should make the sound more understandable. I plan to use these for TV, DVDs and CDs played through my DVD player.I did a lot of comparison of brands and models before deciding. Ultimately the key deciding points to my choosing the Sennheiser RS170  were (in order of importance to me): 4-1/2 star rating by consumers, digital audio transmission, closed back on earphones, charging/storage stand, reported performance, number of years this model has been sold, well rated high & mid-range sound, frequency response 18Hz - 21,000 Hz,  simulated Surround Sound, ability to add on another headphone set if my wife ever needs a set, quality appearance, battery life up to 24 hours.Quality: The 4-1/2 star rating on the RS170 on Amazon was the highest rating of all the brands and models of headphones that Amazon sold during March 2012.Price: I paid $279.95 on Amazon mid March 2012. I looked up the price history of RS170 by googling ""price history of RS170""  then I clicked on the link to ""Sennheiser RS 170 Prices (headphones) - CNET Marketplace"" then clicked on ""Price History"" and found if I would be willing to wait until October - December I could probably buy them for considerable less but I wanted to use them during spring / summer of 2012 so I paid ""through the nose"" .Brand: I choose Sennheiser because they seemed like the best value and selection for the money. They also make studio-quality headphones so I figured the wireless models might be engineered well. Most reviewers gave the brand high marks for performance, appearance, durability and use.Features: I compared the RS170 ($279.95) to the RS160 ($199.95) and the RS180 ($329.95) on Amazon plus I looked at the specs on the Sennheiser website at [...] All three models use 2.4 GHz digital 'Kleer' wireless technology which is reportedly superior to the brands and models that use 900 MHz analog RF technology which is more susceptible to hiss, noise, and interference. I preferred the convenience of having a charging /storage stand that comes with the RS170 and RS180 over the plug-in charging on the RS160.  I preferred the closed-back earphone design of the RS160 and RS170 over the open-back design of the RS180 because the open-back design would allow an 'echo effect' from the 'lag-time' sound if my wife had the TV speakers turned up. The RS170 was the only model of the three with selectable simulated Surround Sound and Bass Boost. So the $80 up-charge from the RS160 to the RS170 got me the 'easy charge' cradle and docking station with function indicator LEDs, 1/4 inch and RCA adapters in case I would ever need them in lieu of the 3.5mm jack, up to 200 feet more transmitting distance, 4 dB more Sound Pressure Level (perceived loudness), simulated Surround Sound and Bass Boost controlled at the transmitter or at the headset.Shipping: Yesterday I received my headphones (only took 4 days using Amazon Super Saver Shipping - yeah!). Both the shipping carton and the headphone box inside were in pristine condition. Like a kid with a new toy, I had to try them out right away. Since the rechargeable batteries take up to 16 hours to for initial charge (mine only took 8), I put in 2 AAA Alkaline batteries (one per headphone). Connecting the transmitter up was easy - I have a ""line-out"" 3.5mm jack on the TV so I just used the jumper that came in the package that had the 3.5mm jack on both ends. The transmitter/charging stand has 4 LEDs - orange shows when headphones are charging, blue to choose surround sound on/off, another blue one to choose Bass Boost on/off, and green to choose transmitter on/off. The headset right earphone has buttons for headphone on/off, volume up/down, bass boost on/off and surround sound on/off. I am sure that with practice that I'll be able to ""feel"" where these buttons are so I won't have to take the headset off to adjust these controls. The headset is well padded and comfortable although as some others have pointed out I can see where these ""earmuffs"" might be a little warm with extended wear.Performance: Now comes the really cool part...the sound quality is amazing. I have never been so impressed with any product I have purchased. The stereo separation is noticeable distinct and really enhances the enjoyment of listening. I can't hear any hiss, background noise or cut-out. The voices are clear and seem to be louder than the background sounds so the words are easy to understand. My acid test for how well these headphones performed was to try a DVD called ""The Devil's Own"" where Brad Pit plays a character with a heavy Irish brogue. The first time I watched it using the TV speakers I had to strain to understand his dialog but when I watched it again using the headphones he was easy to understand. The engineering that has gone into these headphones is really impressive with the way they handle voices, background sound and separation.Surround Sound: The simulated surround sound isn't that impressive. It does add a bit more depth to the sound but nothing like having real surround sound. I'm sure it is limited by only having one speaker per earphone. True surround sound would need two sound sources per earphone plus some fancy separation engineering. I'll probably use this feature for some of our 5.1 DTS stereo DVDs and music CDs.Bass Boost: This works pretty well. It isn't overwhelming but adds richer bass to the sound without taking away from the clarity of the spoken words. I'll probably use this feature for some TV show,  5.1 DTS stereo DVDs and music CDs.",5.0 out of 5 stars,Amazing sound
5,"on May 13, 2016","
      3 people found this helpful.
    ","I have owned these headphones since August, 2014. They are easy to use, and the sound quality is excellent. Prior to owning them, I tried out some $20 wireless headphones from a local drugstore which did not work at all, and I also did a jury-rigged setup with a very long, trip-hazard cable linking some headphones I owned to my TiVo. Never again. Both were a disaster.This system is absolutely wonderful for two reasons:First, I have weird hearing issues in that when I am trying to sleep, every little sound bugs me and I seem to hear even a conversation in the next room far more clearly than I have any desire to do, but when listening to TV, I can't understand 75% of what the actors are saying without captions. Go figure. With these headphones, no more problem. All dialog is clear as a bell.Second, I no longer have to drive my husband crazy blaring the TV in order to adequately hear the actors speaking. By the same token, if my husband is watching a program on TV that I'm not at all interested in, I don't have to be subjected to listening to that either.It's win-win.I will say that I was not myself techie enough to install these headphones. My husband is an IT guy and he had to do it for me. So that's one downside for the customer who struggles with techie installations. Other than that, all is great.",5.0 out of 5 stars,Wonderful product
6,"on November 29, 2014","
      4 people found this helpful.
    ","I agree completely with the 'button' issue on the Sennheiser RS 170's.  Considering the cost, one wonders why the engineers didn't put any more effort into the design of this critical area.  Other than that single issue, the sound and comfort are superb, they are a good improvement over my previous low-end set and well worth the investment.  In my case, I have a high-frequency hearing loss and these have helped greatly, especially with shows that are heavily accented e.g., English, Irish etc.  The reason I gave 4 starts rather than 5 is that I don't think I should have to modify a product (in this price range) after I purchase it.Resolving the button issue is a quick fix:  Using two-part clear epoxy, place a small dot (just enough to cover the raised icon) on the headsets 'ON/OFF' button located between the volume UP and DOWN buttons.  After placing the dot, turn the headphones so that the 'dot' is facing down and subject to the pull of gravity.  This causes the epoxy dot to take on a raised posture.  Allow it to dry in that position.  Now, when you reach up to adjust the volume, your finger easily locates the raised dot and it's then intuitive that the volume UP and DOWN buttons are on either side of it.Additional comments:Headsets which are used for watching TV could greatly benefit from a MUTE button to avoid commercials.  This would be more effective than constantly adjusting the volume.  On these headphones (with no mute button), the ON/OFF button can be used to quickly turn the headset on and off.  Although there's a slight audio lag when turning them back on, it functions almost as well as a mute button.When the headphones are in use, the base transmitter's ON/OFF button contains a flashing green light that can be annoying depending on the transmitters location.  (For some reason, the engineers felt is was important that the user knows that the headphones are receiving a signal and need to be reminded of that fact every few seconds).  To remedy this, place a small piece of black electrical tape over the ON/OFF button.  The tape won't interfere with the buttons function and it blocks the light.",4.0 out of 5 stars,Excellent sound - Volume button 'fix' is easy
7,"on February 21, 2018",,"I was hesitant to purchase these due to the various degrees in ratings and because there is an updated version, RS175. Apparently the updated version seems to be inferior and lacking luster in the eyes of most reviewers so I looked elsewhere. Being optimistic, I bought these anyway and I’m glad I did! As a student who studies late at night, NETFLIX and other visual streaming services are pertinent to keeping me focused and on track. Background noise is a MUST when coffee isn’t cutting it. Headphones are also necessary since my wife is a very light sleeper and could hear a moth fart. The RS170’s are nice and light, almost too light to the point that I thought they felt cheap when first unboxing them. They’ve proven to be light enough so they don’t weigh down your head and neck during extended use, but have excellent sound production. They also aren’t too tight on my head, keeping headaches at bay. That being said, the slightest head turning gestures seem to open gaps between my ears and the headphones and allow for ambient noise to protrude. Perhaps I’m being too picky considering my opinions are coming from comparing surround sound isolating gamer headphones... The Surround Sound Simulator and Dynamic Bass Boost features add surprising depth and much needed quality to inhance the listening experience with a strong stereo image. I have yet to notice if using both said features will drain the battery faster than without activating them. Another gripe of mine is that in order to use the headphones, you must turn on the receiver as well as the headphones. When ready to charge/stow the headphones on their receiver/charging dock, you then have to turn off both receiver and headphones. This seems like unnecessary steps for something that could easily be automated with removal and attach gestures via connectivity. Lastly, I’m not entirely thrilled that the only port available for input on the transmitter is auxiliary. For my current setup it doesn’t matter and didn’t sway me from purchasing these, but it is very limited. The accessory box that comes with the headphones does include an RCA male to auxiliary female adapter, as well as the auxiliary cable with double male ends. I fear that I might have to keep this limitation in consideration when looking to upgrade my study area setup. Wrapping things up, all in all I haven’t had any issues with the signal cutting out, charging failures, or concern about quality of sound produced. Just a few slight issues that are worth considering when looking to purchase this product.",3.0 out of 5 stars,"Overall exceptional product, minor gripes from an audiophile"
8,"on August 24, 2016","
      One person found this helpful.
    ","I had an older set of Senheiser wireless headphones for last several years. My wife goes to bed early and needs total silence. Bizarre as she can fall sound asleep on the couch while watching The Expendables in surround sound... (I disgress). The older headphones had RF noise andsometimes I had to keep my head in a certain spot to hear clearly. The static was sometimes terrible to deal with!These new phones are substantially better so here's the good, bad, and ugly:Good- They are very comfortable to wear even when wearing glasses. They fit snug and outside noise is at a minimum! For headphones not advertised as ""noise cancelling"" they do a great job! Sound quality and simulated surround sound features work well and these suckers sound fantastic. NO STATIC YEA!!! The battery seems to have a very long lifespan too!Bad- They don't actually cut in and out but if there is silence in what you are watching they seem to sense it and go into hibernation mode. (best way to describe it). You don't lose the signal or any audio but there's a definite slight click as it pops in and out of this mode.I got used to it quickly though...Ugly- Initial link up when newly powering on can be tricky. Hitting the buttons seems very hit and miss. What buttons work today doesn't always work the next day. THE BUTTONS ARE HORRID TO OPERATE ON THE RIGHT HEADPHONE. The buttons (5 in all) are in a row and unless you have the touch of a brain surgeon you have to constantly take them off to adjust volume, on/off, surround, and mute features.. Old ones had better functionality in this respect.Overall I love them and will keep for a very long time!",5.0 out of 5 stars,The static was sometimes terrible to deal with
9,"on October 6, 2016","
      One person found this helpful.
    ","I'm a big movie fan and I love these headphones. I tried other sets before this one and I had to return the due to noise/interference.  Sound quality is superb without noise/interference or lag on this Sennheiser RS 170. I can walk all around the house, and I don't have any interference until I get to the master room, on the other side of the house, 5 or so walls away. These are very comfortable and I can wear them for hours without any discomfort, which is important when watching movies or streaming and entire seasons of a favorite show without getting everyone in the house complaining. Battery life is also great, as the phone recharge every time they rest on the stand.  The only minor gripe with these are the controls. While watching a movie in low light, it is not easy to identify the which bottom is which. It's a small thing considering everything else these headphones do right for me. If you are a big movie fan looking for way to watch your favorite shows or movie with great quality sound, comfortable, and in private, this set is for you if you can afford the price. The price is easier to digest once you realize you are basically getting a private surround sound in a small package. Great product and I would buy again if I ever need a new set.",5.0 out of 5 stars,A must for private listening of your favorite movies or seasons of your favorite TV shows without noise/interference or lag.
