,Date,How Helpful,Review Contents,Score,Title
0,"on August 6, 2017","
      5 people found this helpful.
    ","I'm using it for a quiet, cable hassle-free guitar practice and they are amazing! Nowadays most other wireless headphones are digital, and conversion to digital and back adds significant latency. These, being analog RF, don't suffer from this problem. The latency is effectively zero!I've combined them with a wireless guitar system (line6 G10) to get a fully wireless setup. Sometimes I switch back and forth between playing through my amp's speaker and the headphones. Its funny to hear a latency when I step a few meters from the amp (each meter of distance adds about 3 ms of latency due to the speed of sound), but have a latency-free experience when wearing headphones.Note: due to them being analog, sometimes they produce a faint hiss, but if your input signal is high enough you'll barely hear it. You may need to adjust the levels of input and the volume or try switching channels to achieve best results.",5.0 out of 5 stars,Great for a quiet electric guitar practice
1,"on August 16, 2017","
      One person found this helpful.
    ","got these for my husband so he can watch tv during baby's naptime.  we have to plug/unplug our soundbar because our older television has just the one audio port.very good quality sound, blocks out background noise almost completelyvery comfortable to wearnice looking unit so we didn't need to hide the charging base",5.0 out of 5 stars,got these for my husband so he canwatch tv during baby's naptime
2,"on November 12, 2017",,IT HAS TERRIFIC SOUND QUALITY WITH EASY CONTROLS. THE ONLY PROBLEM I HAD WITH IT IS THERE WAS DIFFICULTY WITH THE BASE UNIT PEELING THE CHROME OFF OF ONE SIDE WHICH THEN CORRODED TO THE POINT WHERE THE HEADPHONE COULD RARELY GET A GOOD CONNECTION TO CHARGE TO CHARGE ITSELF. I TRIED TO PURCHASE A REPLACEMENT BASE BUT THE COMPANY STATED THEY DO NOT HAVE REPLACEMENTS FOR ANY OF THEIR EQUIPMENT ERGO THE CUSTOMER IS FORCED TO PURCHASE A NEW UNIT AT AN EXORBITANT COST. BEST TO PURCHASE FROM ANOTHER MANUFACTURER.,5.0 out of 5 stars,IT HAS TERRIFIC SOUND QUALITY WITH EASY CONTROLS
3,"on January 30, 2018",,Work great. Purchased for my parents so when we were at the cottage together they could watch tv without us having to listen to the TV full blast. They love how comfortable they are and they can hear clearer than they can with the tv volume. I would recommend them to anyone.,5.0 out of 5 stars,Great headphones
4,"on March 26, 2017","
      4 people found this helpful.
    ","We had purchased a similar pair (RS 118) of wireless headphones for my mother-in-law in Germany, so I had some experience with this line of headphones.  First off, the sound is really good.  Clean highs, good bass, and the semi-open back doesn't block out all the ambient noise, although it's still difficult to carry on a real conversation with the headphones on.  Second, the headset is very comfortable, although the cushion is uncomfortable if my hearing aid is still on.  I like the fact that placing the headset back on the stand automatically recharges the batteries - no separate charging device or connection is needed.  Third, setup is very easy, although I had some problems with a connection: we have all the sound running through a home entertainment receiver, with the TV connected via HDMI.  The receiver had to be set to pass the audio through to the TV, instead of 'passing it through' internally only, and the only audio output connections were on the TV.  The result was severe echo that could only be solved by resettting the audio delay for each input: cable, DVR, streaming, or DVD.  Not good.  In the end, I purchased an audio splitter that is capable of separating out the audio signal from the receiver before it gets to the TV.  Works well, but it's yet another device in the mare's nest of wires behind the entertainment center.  That said, none of this is Sennheiser's problem or fault.Bottom line: for the money, these wireless headphones can't be beat.",4.0 out of 5 stars,"Comfortable, good sound, easy setup"
5,"on March 17, 2018",,I use to watch TV from about 18 feet away in a straight line and they work fine with good sound quality.  In a 2 hour sitting I will normally a little interference 2 to 4 time for about 1/2 of a second.  Overall pretty good headset.,3.0 out of 5 stars,Sennheiser RS 135 Wireless Headphone System work pretty well
6,"on February 3, 2018",,The reception from the base to the headset has to be tuned in and the sound is awful. Lots of static no matter where you find a signal. I had to provide my own cable splitter to plug in the RCA cables to the back of the TV. The best set I've found is from Insignia at best buy. Right off the shelf. The headset is connected to the base via bluetooth with no tuning needed and they sound great.,2.0 out of 5 stars,Losey Reception
7,"on December 4, 2016","
      2 people found this helpful.
    ",Great sound. Very clear and light weight.,5.0 out of 5 stars,Five Stars
8,"on September 11, 2017","
      One person found this helpful.
    ",This Replaced my 120 after 4 years of heavy use and the stand died. This thing is great backwards compatible with older headsets.,5.0 out of 5 stars,Good stereo sound
9,"on July 18, 2017","
      One person found this helpful.
    ",I hear all the dialog now. I love them and my wife loves them more.,5.0 out of 5 stars,I love them and my wife loves them more
10,"on November 2, 2017",,"These are great headphones.  Very comfortable, good sound quality, and the range is good.",5.0 out of 5 stars,Five Stars
11,"on April 6, 2018",,"Great product for the price.  Don't bump the lower dial on the headphones...lose your signal!  And, when not using headphones (paused tv)...be sure to turn off!  The static is unnerving!",4.0 out of 5 stars,Great product for the price
