,Date,How Helpful,Review Contents,Score,Title
0,"on September 29, 2016","
      18 people found this helpful.
    ","I like my Urbanite XLs a lot. I love the sound. They're very comfortable for long listening periods. The battery lasts long enough that I am rarely concerned about it losing charge on me - I think I charge them once or twice a week with daily usage. Connecting and disconnecting from sources just works and is mostly effortless. Phone calls work really well considering you can't see a microphone (there is a little hole on the right ear cup to indicate a likely position). In a pinch, the 3 foot mini to mini cable works as advertised.That's the good and it shouldn't be overlooked. These are excellent headphones.Now the less good.- Touch based controls on the right ear cup are exactly where I go to grab these things often resulting in music starting to blare from whatever source I was connected to at the time or the last number I called to be dialed. This is my absolute biggest gripe with these.- The headphones are nicely compact when folded up, but that leaves 4 sharp metal edges exposed so I almost never fold them (except to show people you can).- The user-replaceable ear pads are too easy to accidentally tug off then take 5 minutes of concentrated effort to put back on. I actually lost one while walking, holding the headphones by the band. Replacements are easy to come by and only take 5 minutes of concentrated effort to put on.One even more minor gripe:- These do not come with a case (!) but instead have a little baggy you can use to... I don't know, wipe away the tears after losing an ear pad?",3.0 out of 5 stars,"I like my Urbanite XLs a lot, but..."
1,"on August 18, 2016","
      17 people found this helpful.
    ","I love Sennheisers and have had 6 or 7 wired versions.  I wanted to try the Bluetooth versions so bought the Urbanite XLs and used them for a bit. After most recently coming from open back Sennheisers like the HD598 I found the soundstage on the Urbanite very constricting and the band and cups were uncomfortable for me (and they were noticeably heavy).  The sound was a bit 'muddy' compared to what I was used to, perhaps this was the focus on the bass to cater to the Beats crowd.  I also didn't like the slider touch control on the cup, volume up and down was too difficult to control.  I returned them and splurged for the Momentum 2 wireless which I find I like better w/ a better feel on the head/ears and an 'airier' less bass heavy sound, the Momentums are also lighter on my head.  Amazon was as cool as ever w/ their return policy.",2.0 out of 5 stars,"Tried to like 'em, but moved up to the Momentum 2 wireless; still a Sennheiser fan"
2,"on January 31, 2017","
      3 people found this helpful.
    ","1. Headphones are smaller than HD600 series so they won't go snuggly around ears as HD600 does.2. Pads are very easy to remove, so you should be careful if you wear them around your neck from time to time (pads can fall off).Apart from this headphones connect and work well with different Bluetooth devices (phones, laptops). Sound is quite good.New:3. When you remove headphones without turning them off they sometimes make phone to redial last number. In short this touch interface suxx.4. When you wear a hoodie it sometimes causes touch interface on headphones to do stuff as well.AVOID.",1.0 out of 5 stars,Pads are very easy to remove
3,"on March 21, 2017","
      2 people found this helpful.
    ","High quality headphones!Pros: These appear to be very high quality. The headband is padded. The touch controls are a bit touchy but like anything, you just need to adapt and they will become second nature. They look really nice.  They are very comfortable.Cons: I could not seem to get the sound balanced. Without an equalizer they were not bass heavy but they seemed muffled. With an equalizer the highs never seemed to have clarity, almost as if the headset was faulty.Verdict: I returned them as I did not like the sound.Why four stars? Maybe they were faulty.",4.0 out of 5 stars,High quality
4,"on December 13, 2016","
      2 people found this helpful.
    ","I have had these headphones for almost a month so far and they continue to impress me.Comfort - The earpads sit nicely over my ears and don't cause any discomfort over long periods of wearing them which is important since I use these for my work. The only point where it becomes uncomfortable is if I wear them around my neck, but it's only uncomfortable when they're collapsed to the size of my head. Unfortunately I have to readjust them if I want to wear them around my neck and then put them back on my head. But that's pretty minor.Sound quality - These are honestly the best headphones I've ever heard. They rival some of the expensive speakers my housemate has (apples and oranges though). The lows are impressive, the mids are crisp and the highs are very detailed with only a hint of sibilance.Bluetooth - This was the main reason I bought these headphones since I was sick of throttling myself when I stood up at my desk at work, the Bluetooth is almost flawless. There's no discernible loss of sound quality over Bluetooth and it doesn't drop out.The dual device pairing is awesome too, I have these connected to my phone and my work computer and when there's a lull in audio typing, I can switch to listening to music on my phone. There are occasional lag issues from my computer but that's possibly my Bluetooth adapter or the computer itself as my phone never has those problems.Value for money - Given these are up to $600 and I've never seen them below $400 in Australia and I got them for $220 including shipping here on Amazon, I'm pretty satisfied with what I got for what I paid.I've never used a better pair of headphones and they continue to blow my mind with the amazing sound quality over Bluetooth.",5.0 out of 5 stars,Excellent pair of headphones with not much to fault
5,"on June 18, 2017","
      3 people found this helpful.
    ","I'm surprised how dissatisfied I am with this product given its relatively high ratings - maybe I got a lemon, but the problems seem integral to the design. Difficult to use, volume control inoperable, pads that pop off when you look at them, are really easy to lose, and then are quite difficult to reinstall. Has something changed with the manufacturing that has harmed the quality? I accidentally left them on the airplane and when the airline called to let me know, I said, ""Don't bother sending them to me, they aren't worth the effort.""",1.0 out of 5 stars,"Bad design, frustrating to use"
6,"on April 27, 2016","
      2 people found this helpful.
    ","Best over ear wireless headphone on the market. I have tried numerous brands of headphones and these definitely deliver crisp sound and deep bass that doesn't overpower the clarity of music. These are perfect for any style of music and overall are a well balanced headphone. The touch control on the side is a very clever concept but can take a while to get use to, but once you get the hang of it you will love the feature. The sound isn't as loud as I expected but if you connect via wired connection you can get the extra sound boost to increase loudness. I will also note that I have a large head so it is hard to find headphones that are comfortable to wear for long periods of time and so far these win in the comfort category. For the price you really get a great pair of feature packed headphones",5.0 out of 5 stars,Look no further for great headphones
7,"on November 3, 2016","
      One person found this helpful.
    ","I love these. Simple as that. Now, having said that. I'm not a new guy to bluetooth headphones. These sound great. They are large on your head and feel very, very solid. The build quality is just insane. To be fair, these aren't as good as my Sennheiser HD598. But for the value and practicality, they probably are better. These are more of a usable headphone. I've bought many. bluetooth cans. To list a few, Bluedio Air, August EP650, Avantree Audition, Bluedio R+ (love these as well. strong competitor to these in my opinion.). Yet these just exceed all of them. Problem is the money. My Bluedio R cost me 80$. The August Ep650 was ONLY 50$. Less than half of what I paid for my Urbanites. My recommendation? If you're willing to pay more, sennheiser all the way. If not? I'm afraid I have to vote the August Ep650.",4.0 out of 5 stars,"Great pair, but it comes at a price. Literally."
8,"on December 19, 2015",,"I had ordered a set of Beats Studio Wireless headphones and found them to be uncomfortable and with a flawed Bluetooth which caused them to lose their connection constantly. I came to Amazon and ordered these as a replacement. Not only are they less expensive but they are better all around. The cans move up and down smoothly and not by notches so they achieve a custom fit. The touch/swipe control pad functions perfectly. There are no hidden buttons all over the place. The swipe pad on the right does everything. I find that its sensitivity is just right. These do not have active noise reduction but they fit and seal so well that they don't need it. Because of this, the slight hiss of ANR is absent. It's just music. Whether I'm listening to an orchestra, Norteño, Reggaetón or bagpipes, the sound is amazing and rich with nothing missing or overdriven. Battery life is beyond excellent. The headband is padded just right so it is comfortable. These should have been my first choice because they are outstanding.",5.0 out of 5 stars,Best I Have Owned!
9,"on June 30, 2017","
      One person found this helpful.
    ","The sound quality and bluetooth functionality is nice, no complaints. But, and as many reviews have noted - THE EAR PADS FALL OFF WAY TOO EASILY! And, they take minutes of concentrated effort to put back on. Really quite a nuisance and a time burner -- especially to the point of me feeling the need to write this review.I always keep them in the case provided and move them gently from place to place -- and they still happen to fall off. So, if you buy these headphones, expect with high certainty they'll fall off for you too.I haven't tried using a hard casing for the headphones.... that could work.",4.0 out of 5 stars,"Earpads will fall off for you, too!"
