,Date,How Helpful,Review Contents,Score,Title
0,"on December 23, 2016","
      281 people found this helpful.
    ","First let me say that I suffer a serious hearing loss which makes it difficult to watch television with my wife because I have to have the volume up so loud and even then I can't hear everything.  I have had two sets of sennheiser RS 120's for a few years now and loved them.  My wife wanted to get me these for Christmas this year because they were apparently capable of surround sound. Now I'm not an audiophile but I will try to point out some pro's and con's here.The 175's are an over the ear fit as opposed to the 120's being an on the ear fit.  The 175's fit much tighter which is very nice when up and moving about yet the tight fit makes it difficult to hear when my wife is speaking to me during a show which she does quite often.  I'll let you decide if that's is a pro or a con.  The 120's were loose enough that I could hear her speak even though I still had to remove the headset to understand her.  The looseness had a downside though in that if I went to the fridge for a drink or snack and bent down the headset fell off.  Not so with the 175's.  Both sets have excellent sound reproduction even though the 120's are analog.  The 175's can be digital or analog which can be decided by a switch on the back of the transmitter.  You have the option of connecting to the sound source by optical cable or 3.5 jack which in my case required a y adapter converting to RCA jacks.  I was amazed to find that there is a very noticeable difference between digital and analog, digital being the best by far.  With the digital you don't hear any static or interference noises in non-dialog or silent spots.  At least I couldn't hear any and my wife said in her words ""this is fantastic"".sound with the 175's:You can switch between regular stereo, low SRS, and High SRS by clicking a button on the side of the headset.  This can also be controlled at the transmitter.  There is a very noticeable difference between each setting.  I have noticed that on low SRS the background recordings seem to be moved back and reduced in volume while the main dialog remains at regular volume.  Ever had one of those instances where the main character is talking in a whisper voice, which seems to be in vogue these days, and is suddenly overrun by the background noise, which also seems to be a problem these days.  Well, low SRS helps to overcome that problem for me.  I can hear the dialog very clearly and if you've lived for a while having to constantly asked ""what did he/she say?""  then you can really appreciate that fact.In High SRS there is a distinct surround sound quality.  I've never been able to experience this before due to my hearing loss so to me it is awesome.  I love Paul Simons music, especially ""Graceland"", ""father and daughter"" and ""late in the evening"".  I just thought I liked them before but after listening to them through the 175's I have heard notes and instruments that I didn't realize were there. Now I love the songs.  Having discovered that I went back and watched a couple of my favorite movies and discovered background sounds that I had been missing and they add so much more to the entertainment value.  Keep in mind that I have experienced all this with the 120's also and there is a large difference.continued pros sound aside:I like that the controls are on the side of the 175 headset because I often recline when watching television and this keeps the controls from contacting anything and changing the settings unintentionally.This was a problem with the 120 sets because the controls were behind the headset.The 175 set, to me, is much more comfortable because of the padding and because possibly of the tighter fit which keeps them in place verses the loose fit of the 120 set.cons (maybe):The 175 set is only capable of employing two headsets.The 120 can employ several at one time.  I'm not sure how many but certainly more than four because I have that many headsets.The 120 has an option of three channels selectable on the transmitter and the headset which means you can use more than one in a household without interfering with each other.  This is the situation at my house.  I have one set in the bedroom and one in the living room and we can use them separately on separate channels at the same time.  My grandkids love the headsets so this settles a problem when they come to visit and want cartoons while I want news.The 175 has only one channel so this setup would probably not be possible.The 175 power button has to be held down for about three seconds to activate while the 120 has a slide switch.  The 175 has a very slight delay between activation and transmitter connection.  The 120 is instant.  This caused a rather humorous incident early on.  My wife was watching a movie on Netflix and I picked up the headset, turned it on, placed it on my head and thought I was waiting on a connection when in reality I was in a very quite point in the movie just before an explosion and massive gunfire.  I was on my way to my recliner when all hell broke loose and it was so realistic I almost wet my pants and overran the recliner.  It was apparently the highlight of my wife's day.  She still laughs about it.  Her lack of concern about my bruised shins and ego aside...after the fact it was funny.I know this was lengthy but I hope it helps someone in my situation to make an informed decision.In  short I would never had purchased the 175's for myself due to the cost because I wouldn't have believed they would make this much difference.  Now that I've experienced them I would buy them in a heartbeat.Now a word about sennheiser's customer service.  I had a situation early on where I lost the optical connection with my TV.  I was quick to blame the new headset simply because they were new.  I sent an email to sennheiser  in hopes they could find a solution before I had to send the set back.  I had a return mail in about 45 minutes telling me what to do.  Turns out the problem was with the television and not the sennheiser transmitter.  Quick response, great customer service.",5.0 out of 5 stars,These are fantastic but I'm not retiring my 120's.
1,"on May 30, 2015","
      377 people found this helpful.
    ","I originally started shopping for wireless headphones to find something better than the so-called TV ears that a member of my immediate family who suffers from hearing loss had been using with some success. This inevitably brought me to the fine line of quality wireless headphones available from the German company Sennheiser and I had first thought about purchasing a just recently discontinued RS 170 or RS 180 model without an optical connection – analog only (As of 05/30/2015, the RS 180 was still only $199.99 at Crutchfield online with free shipping and 60-day returns). But then why spend about $200.00 on technology that is essentially 12 to 14 years old when the absolutely latest thing from Sennheiser (models RS 165, RS 175, RS 185 and RS 195) is available for just a little bit more?Out of this latest line of Sennheiser wireless headphones with a two-year warranty it is this model – the closed-back RS 175 – that I eventually ended up purchasing from Crutchfield online. Pricing was exactly the same as it is here on Amazon.com ($279.95). However, by using my Discover card (5% rebate through Shop Discover online and 90-day price match guarantee - lowest price seen 2 weeks later was $233.97) I was able to ultimately get my pair of brand new headphones for only $219.97 with free shipping, no sales tax and 60-day returns.I agree with CNET.com and their excellent review of the Sennheiser RS 175 that it is this specific model that gives you the most bang for your buck; it is the most cost-effective model in this product line. There is a big difference in moving from the RS 165 to the RS 175 in that the transmission distance of the RS 165 is only rated at about 90 feet while the RS 175 and other models are still functional at a distance of about 300 feet. The RS 175 also adds a low/high surround sound capability which the RS 165 (bass boost feature only) does not have.The differences in moving to a pricier model beyond the RS 175 are not that significant, in my opinion. Whether the open-back (not as sound isolating) RS 185 with the addition of manual/automatic level control features (MLC/ALC) and a balance control located on the headset is worth an additional $90.00 premium (best current price of about $370.00) above the RS 175 is something that only you can decide.At a cost of about $170.00 more than the RS 175, the top-of-the-line RS 195 closed-back model includes all of the aforementioned features of the RS 185 and adds 7 presets to tailor sound to individual hearing requirements as well as separate “speech” and “music” modes.Initial setup of these RS 175 headphones was extremely simple. The most time-consuming step was waiting for the batteries located in the two headphone ear-cups to complete their initial charging process which takes about 18 hours; subsequent full recharging of the headphones should only take about 8 hours. The operating time with fully charged headphones is claimed to be up to 18 hours until recharging is required. Both analog and optical/digital connection options are available. You can choose to use both connections (say for a TV and a stereo system) and then toggle between the two at your leisure using the sliding switch provided for this purpose on the back of the headphone transmitter.So far I have only opted to connect my television via the included 1.5 m long optical cable (don’t forget to remove both clear protective plastic end caps before using) and the optical input on the headphone transmitter which ensures optimum performance. If the cable is too short for your needs, you can always subsequently purchase a 3 m long cable like I did for about $10.00 (AmazonBasics Digital Optical Audio Toslink Cable - 9.8 Feet [3 Meters] - see my review). Note that the appropriate output on the back of your TV or other device may not be labelled as an optical output: Mine is actually called the digital audio output, but it is definitely what is needed to make the proper connection. The unique shape of the optical connector (it really can only fit in one place) will help you figure out just where it needs to go, assuming that you have an appropriate output available and don’t need to make an analog connection. If you do make an optical/digital audio connection to your TV, be sure to go into the appropriate settings menu before first using the headphones to set the optical/digital audio output mode to PCM (pulse-code modulation). Don’t leave it on automatic or some other setting. This is specifically required in the 15-language Sennheiser instruction manual on CD that comes with the headphones!As far as the user experience itself is concerned, these comfortable headphones with the easily adjustable headband are just what I was looking for. The member of my family who is hard of hearing has noticed a day and night difference in his ability to not only hear, but more importantly distinguish and understand speech when using these wonderfully isolating closed-back headphones. There is virtually no sound leakage in or out. He remains happily occupied in his own little world watching TV while now being able to understand essentially everything. This was not the case with the previously mentioned TV ears that cost less than $100.00 when purchased. Other people in the same room can simultaneously watch the TV in the usual manner – without headphones. Everybody’s happy.The quality of the sound that emanates from these headphones when using an optical connection is truly amazing! There is absolutely no hissing or other distracting sound – only that which needs to be heard and nothing more. The bass boost setting is quite useful for music and can be activated on-the fly when needed by using the touch controls located on the outside of the right ear-cup (bass boost, surround sound, volume +/-) near where the on/off button for the headphones is found. The surround sound setting (off, low and high available) does create a more immersive sound experience when activated; I personally prefer the low setting and usually have the headphones set in this manner when I use them. Additional bass boost and surround sound controls, each with a separate indicator light that glows green when activated, are also found on the front of the headphone transmitter upon which the headphones are placed when not in use and for recharging. The transmission distance with these headphones is excellent: I am able to walk anywhere throughout my 1600 square foot ranch home without any signal loss whatsoever; the same holds true when I am in either my front or back yards.I have the headphone transmitter base located near my Roku 3 in the living room and there is absolutely no interference when streaming and simultaneously using the Sennheiser headphones. However, I should note that I have my Roku 3 set to stream at 5.0 GHz on my dual-band AC router. There may or may not be a problem if your WiFi network with connected devices located near the Sennheiser transmitter is set to function in the 2.4 to 2.8 GHz range which is used by the headphones. You’ll just have to try it and see what happens. If necessary, appropriate device relocation - a greater distance of separation - should resolve any difficulties.Overall my hearing-impaired family member and I have been exceedingly pleased with our listening experience when using these Sennheiser RS 175, closed-back, wireless headphones of impressive quality. If you too would like to experience a most enjoyable, crystal-clear earful when partaking of diverse auditory pleasures during your leisure time, I can recommend them most highly and without any reservations whatsoever.",5.0 out of 5 stars,An ear-opening experience whether or not you are hearing impaired
2,"on March 7, 2015","
      154 people found this helpful.
    ","I bought these to replace a pair of Sony MDR RF-6000s and use them mostly for TV/Movies.  The Sonys cut out and picked up lots of interference from wifi and other 2.4ghz traffic (I live in a city environment with easily 25 wifi networks in range).  Overall, they've been great and are well worth the money.Signal:So far, the Sennheisers have been flawless with no dropouts or signal loss.  As above, I live in a pretty interference-heavy environment.  Haven't really range tested them, but they'll easily go into the next room with no problem.Sound Quality:I played around with the bass boost and surround, but find things sound best with all that off.  There's no shortage of bass and sound quality is full and on par with any high-end headphone from Bose, Sennheiser, or Sony.  There's a slight signal delay, though that's only perceptible when the audio is also playing through speakers, and I'd expect that from any RF headphones.Batteries:I haven't tested the battery life yet (had them on a couple hours and no issues).  They use rechargeable AAA batteries, which allows for the use of standard AAAs if the rechargeable ones die.  Each earcup has a battery, accessible by twisting/unlocking the pad.  That evens out the weight, but adds a step to change batteries.Cradle/Transponder:It's a pretty sleek looking stand, both with the phones on and off.  Takes a little bit of practice to get them on and off just right, but nothing too difficult.Comfort:They're a pretty tight fit, which is good for keeping them on while moving around, though maybe not the best for all-day listening.  All considered, no complaints about comfort.  My only long-term concern would be the foam pads on the headband - foam tends to wear and these don't look replaceable.  The headband is a standard adjustable model, though a bit thicker than some others due to the larger size and weight of the electronics/batteries.  The Sonys had a band that turned them on automatically when you put them on (and then beeped annoyingly if there was no signal).  These use a button for on/off, which is slightly less convenient but more durable and reliable long term.  You have to hold the button for a few secs, so they aren't prone to accidentally being turned off.In all, these are a good buy and decent balance between price and quality with no significant flaws.  My main driver is signal quality in a high-interference environment, and these have certainly solved that so far.  Also, the packaging and instructions were easy and clearly well thought out.  That's often an afterthought, but a bad experience there can set the tone for the product long term.  Nice work, Sennheiser.UPDATE: 10 Months in, and these are still going strong.  Battery life is still excellent - I've had a few ""marathon"" sessions (use these for TV) and they've yet to run out.  Often, I get lazy and don't throw them back on the charger after an evening of TV and they're still good to go the next time.  In our old place, I finally found where the signal would cut out - in the basement three floors down.  Our new house is lath and plaster, which is murder on all kinds of wireless signals, and they're good for about one floor in either direction and probably 70-80 ft from the base station.  Unless you live with lath & plaster (and you'll know if you do) or in a stone castle, I can't imagine a scenario where you wouldn't have whole-house roaming.  Still never had even a blip of interference, despite a neighborhood of wireless routers screaming at high volume in 2.4ghz.",5.0 out of 5 stars,Great Wireless Headphones
3,"on December 8, 2015","
      46 people found this helpful.
    ","After much research, I finally pulled the trigger on 11/22/15 and ordered the top rated Sennheiser RS 175 Headphones over the ear phoneswith  Amazon Prime for $245, with no added tax or shipping costs. These were essential for domestic tranquility with others in the house because my new SAMSUNG 4K UHDTV and Soundbar system speaker bass which you could hear all over the house even with a low volume setting of 10.  These got as low as $199  for Black Friday, but I still got a good price on them.General Comments:As far as the hookup to my Samsung UN65JS8500 (see my Amazon review)......a couple of things your should know that took me about an hour to figure out which might save you some time and pain. First,  I already had a Samsung Soundbar on the 4K UHDTV which ran off the single optical out from the one-connect mini box.  These headphones are not Bluetooth but have their own wireless frequency transmitter direct to your headphones up to 100 meters away depending on your walls. You don't have to pair them up with the UHDTV and you can get a second pair of them for a viewing companion. They are great phones but you need to set them up special on this Samsung:1. Split the Optical out into 2 cables if you have a soundbar. Get the Toslink Digital Optical Audio Splitter 1x3...1 input to 3 possible output devices. The VHD-TS1X3 will cost you around $25 on Prime or at stores like Fry's. Also purchase a 1 meter optical cable from your one-connect mini box to the splitter input port for about $10, Then you will have A, B, or C output ports and supplied cables from the splitter to your soundbar, headphones, and one additional device if you need it.2. On the Samsung Menu Sound Option. Very important, as it took me an hour to figure out what settings to use as my first hookup with the headphones was dead silent and there was nobody to help me at Samsung or Sennheiser:a. Sound Mode: Up to you, but I like ""Movie"" for the better base in most movies and 4K series on Prime or Netflix.b. TV Speaker: Stay with SoundBar (if you have one) or TV speakers....not Bluetooth, or Optical Out options.c. Additional Settings: HDMI Out:.....set to PCM and Audio Format: also set to PCM. Headphones require PCM format on UHDTV.Once you do this, the headphones and the soundbar will both send out fantastic audio simultaneously......so you must mute the soundbar (or regular TV speakers) to eliminate any echo effect time delays....but fiber optic is so fast you should not hear any. My Audio delay is set to 100 ms with my HD Audio: OFF. You may need to play with these depending on your speaker/Soundbar setup.PROS:1. Great sound fidelity and reproduction.  No noise once you put them on.  You hear voices and stereo sound effects you can't hear fromstandard UHDTV speakers or soundbars which adds to your viewing experience.2.  I can take them to any room in the house within 30 feet upstairs or downstairs and not miss a sound.  No sound dropouts anywhere,even the garage, bathroom, or outside.3.  Fairly easy to setup once you have your optical cable or stereo audio cable setup and your sound source menu options setup properlyfor the Sennheiser.4.  Nice to have the transmitter post nearby to charge the headphones when not in use and red/green charging indicator status.5. Good reference CD.  I suggest you print out the entire 32 page instruction manual before you start the setup or view the PDF.  You can still read every page if you double up to print 2 pages per sheet for 16 pages with landscape format.  It will take you 10 minutes to read it.6.  Nice to confirm your current BASS BOOST or SURROUND SOUND setting lights on the transmitter post if within view.7.  I am still experimenting with BASS and Surround Sound settings Hi and Low for movies, normal shows, and music channels.  So far, I like the just the extra BASS BOOST setting for movies.  You need to experiment for yourself.CONS:1.  Headphone batteries:  Swap out the supplied AAA batteries with the Energizer AAA rechargeable batteries, which charge up much faster and last a lot longer than the German supplied ""ReCyko"" batteries. You need 1 battery in for the left and right side headphone. Volume controls, + or -, base high/low, and surround sound buttons are on the right side headphone, which take a while to get use to. Don't use your remote or you will unmute your soundbar or TV speakers and alert others in your house and defeat your headphone privacy.2.  All controls on the right earphone.  Very nice if you are right-handed or ok with your right hand if left-handed.  The other problem is that the 4 main quadrants of the control circle:  BASS,  SURROUND SOUND,  VOL -, and VOL +, are basically on a flat surface, and  unless you have a mutant eye or good tactile feel on your right thumb, you really can't feel which control is which.  The first few days, I had to take off my headphones multiple times to see which control I was touching.  Problem solved:  I got some 3/8"" round soft felt tabs with a stick-on side on each control.  The BASS and SURROUND tabs are a little thicker than the sound control tabs, so I could feel, where I was on the control circle.  All I had to remember was the BASS was to the left of the SURROUND control and that VOL - was to the left of VOL +.  Sennheiser should improve this ergonomic problem with future models.3.  Break-in pain.  I have only had these headphones about 2 weeks, and even with the padding around the ears and on the top of my head, there is definitely a dull throbbing pain around my ears once I remove the headphones after about an hour of viewing.  There is  no way to adjust the tightness of these phones on the sides of your head.  However, as others have suggested, it might take a month or so of normal use to loosen them up...or maybe you can stretch them out over a large wooden block when not in use.I may change my 4* rating to 5* in a future review update if the pain issue resolves itself or my head shrinks.  We'll see.",4.0 out of 5 stars,Very Happy with this Addition to my 4K Samsung System with a few Suggestions
4,"on February 15, 2017","
      7 people found this helpful.
    ","I'm a musician with a home studio.  With several sets of headphones all getting old, I decided to invest in some new ones. I've had good luck with Sennheiser in the past so I wanted to check out what they were currently offering. After reading lots of reviews, I decided to give these rs175 rf's a try. I was a little leery of them being wireless but trusting in the Sennheiser name, bought them anyway. I wanted them for general recording and playback.Pros: Excellent sound... flat, uncolored. Clear detailed, etc. All the qualities I've come to expect from Sennheiser.  Wireless setup was virtually nothing... plug in the base where you'd plug in the headphones and you're done. Turn on the headphones and start listening. The stand serves as the charging station and placing the headphones on it is straightforward and secure... not clumsy at all. I have a fairly large head with proportional sized ears... (size xxl hat). The ear pads fit completely over my ears and completely seal very nicely around them.  You won't be bothered by outside sounds, nor will your spouse be bothered by what you're listening to.  A quick check of the range shows I can go anywhere in my average size home without losing the signal. (I didn't try going outside).Cons: The only negative is that there is a bit of latency. If you use them for listening to music or even tv, you won't notice it... but if you turn on speakers at the same time and listen to both, you'll notice a very slight lag in the headphones.Bottom line: these are excellent headphones, quality of build and quality of sound are both first rate. But if that latency is an issue, you probably shouldn't be looking at wireless anyway (I suspect this occurs on any wireless system).",5.0 out of 5 stars,Great sounding wireless headphones...
5,"on December 30, 2017","
      4 people found this helpful.
    ","I got a newer Samsung TV (2016) and it only had optical out for audio.  Tried to keep my old Sennheiser running with a Orei DA34X Optical to Audio RCA jack converter.  Mistake, if you are still at the decision point just go straight to these.  The Orei’s Would run for 20 minutes, go mute, and I had to power cycle them to get the audio back.  The optical input here directly to the headset base seems very solid. Right now this is the lowest end Sennheiser that takes an optical input.  Haven’t owned them long but I’m pretty sure they will be very stable in terms of providing good audio for hours at a time.  I have a sound bar that wants optical too.  An Optical splitter might be good but I don’t know if there is an optical splitter.  Two other comments about the product.  The sound is very good, especially for spoken dialog.  Some have commented about the on/off switch.  With the old Sennheiser it was easy to know whether the headset was on or off.  Be patient with the power on for these.  It takes a few seconds after you hit the button for them to power up.  Once they are on a quick hit of the on button will mute them and another quick hit will restore the sound without turning off the base station.  Update, connecting to comcast worked great for these.  Want to mention something I ran into so that others can avoid.  I have a 2016 Samsung 9000 level tv.  When I went to Amazon using the tv remote the green lite on the front of the sennheiser started blinking.  The green light blinking means the Sennheiser base station isn’t talking to the tv.  I was confused because the sennheiser worked great with comcast.  in the Samsung settings -> Sound -> Expert settings my default for HDMI Audio Format was PCM which is good.  BUT! The Audio Format below that has to be PCM also and it’s default was Dolby Digital.  When I set Audio Format to PCM also Amazon, Netflix, and YouTube started putting sound through the Sennheiser.",4.0 out of 5 stars,"RS 175 Optical Input Discussion, Samsung/amazon only audio problem"
6,"on September 23, 2016","
      9 people found this helpful.
    ","Outstanding sound, would have given this 5 stars if it had a control for the treble as well as the base. I have read many reviews complaining about aThe lack of a charging system if you purchase a 2nd set of these headphones. The price difference between buying the whole system and buying just the headphones is $20. If you want two headsets, buy two complete systems, only attach one base to the audio sorce and use the 2nd base as a charger. No shuffling headsets on one base or switching out batteries and you have a spare base if anything goes wrong with the main one. Works like a charm and the convenience of two chargers is well worth the $20.",4.0 out of 5 stars,Buy two complete systems if you want two headsets
7,"on December 11, 2016","
      6 people found this helpful.
    ","Wireless:When sitting at my desk near the transmitter the signal is clear. However after I step out of my room about 15ft there is a lot of interference and I can no longer listen to a song/podcast properly until I return within range. I should mention that I live in an apartment complex and it may or may not be a factor.2 inputs Analog & Digital:I picked the rs 175 because it has two inputs, unlike the rs 165 which only had analog. I initially planned to use the analog 3.5mm input for my computer and the digital input for my T.V. and just flip the switch on the dock when I want to watch T.V./Computer. However the analog input consistently introduced an annoying flat lining noise and was unusable. I tried it with my desktop, several different phones and my laptop and the same noise was introduced with each device. Luckily the digital optical worked well and is very clear compared to the analog input. So as a result in order for me to switch back and forth between tv/computer I have to unplug/re-plug the digital opt from each device.Comfort:When I first tried on these headphones there is some pressure on jawline and on the top of my head. I like to transition from youtube to playing games to watching T.V./Movies so I was using these headphones for long periods of time. After 3-4 hours it became uncomfortable/sore. I would have to take the headphones off and take a break.Sound:I am by no means an audiophile/expert, but I am going to try my best to describe the sound. I’ve listen to podcasts, hip-hop, edm, and music with strong vocals. I’ve also watched a couple movies and binge watched some anime with these headphones. Overall I would describe the sound as very upfront, powerful, and clear. For me personally, I thought it was a bit overwhelming and didn’t like the sound. The best way I can describe it, the audio sounded very in my face, it felt suffocating and sometimes gave me a head ache.  Every sound instrument, beat, and vocal sounded like it was 5ft  away from me and in a way sounded artificial. I don’t know if this is the correct term but I believe what I am describing is a lack of depth. I also tried testing out the bass boost and surround options a couple times but didn’t test them for long periods because I thought the audio sounded better overall without these settings on. I just want to say that sound can be very subjective in terms of what people like and although I may not have like the way these headphones sounded you just might.Battery & Charging Dock:The battery life was never an issue and I loved the charging station. I never really felt like I had to actually ""charge"" these headphones, every time I was done using them I felt as if I was simply putting them away. I usually just lay my headphones down on my desk but I always worry they might get scratched or banged up so the dock was nice and really convenient. The only problem I had was with the initial charge time. As soon as I got the headphones I wanted to try them out immediately, but they require an initial 16 hour charge time. I was trying to keep myself busy and take my mind off them but I would find myself checking back every couple of hours for the green light.",3.0 out of 5 stars,"I really like these headphones they look awesome on my desk, but they didn’t quiet perform like I expected them to."
8,"on June 22, 2015","
      7 people found this helpful.
    ","These work great.  I have them in my home office and in my living room.  Pricey?  Yes, but absolutely worth it!  In the living room, I have connected the base station to the audio output on my TV.  (You will have to purchase an inexpensive RCA male to 3.5 mm female convert to do this.)  You can also plug directly into the headphone jack (most TVs have one), but you will probably lose the sound from the TV speakers.  With my set up, I can get sound from the TV speakers at the same time as the headphones.  This is great, because my wife likes the sound lower.  The range is fabulous because the signal is not blocked by walls, interior or exterior.  In fact, I keep mine in a closed cabinet!  Also, these headphones use rechargeable AAA batteries.  Some Sennheiser products use a proprietary rechargeable battery.  These are expensive to replace and seem to have a shorter run time than ordinary AAA's.  Whenever I purchase battery powered electronics, I try to buy products that use standard battery sizes (e.g., AA or AAA) rather than proprietary products, which are always pricey!I find the headphones to be very comfortable.  The sound is fine too whether it comes from TV, DVD, VCR.  That includes music as well.  Maybe not theater quality, but the product has 2 surround sound settings (3 if you include ""Off""!) and a bass booster.  And there is plenty of volume.  (If you need more volume, then use the headphone jack.  This will allow you to increase the volume by increasing the volume on the TV in addition to the volume on the headphones.  Nice, if you need that much volume.)I find the headphones to be comfortable.  The control buttons on the right hand headset are a bit tricky to operate by feel, but you can always take them off to make an adjustment.  With a little time, I can now access the controls by touch, so give it a chance.  You know, I might even by a third pair for the bedroom!",5.0 out of 5 stars,EXCELLENT CORDLESS HEADPHONES!
9,"on February 20, 2017","
      7 people found this helpful.
    ","This unit was a cinch to hook up. The headphones fit snug to my head and seals in sound perfectly but not very comfortable to wear. I find that I need to take frequent breaks removing the headphones as it feels like a vice on my head. Perhaps that's a trade off I can live with. The sound caps at a reasonable level and I love the surround sound feature. It really does take 16 hours for the initial charge and I suggest you don't skimp on this as you will notice shorter battery times later. The headphones are strong/sturdy with the accompanying weight. It comes with a digital optical cord but I highly recommend purchasing a longer cord if your unit is placed away from your TV or cable-box. Sennheiser makes solid, great sounding audio products that's on par with highend industry standards. The only reason that I did not give a five rating is the lack of comfort and that a AAA battery is needed for each headphone. I will continue testing these and update this review in a few weeks.",4.0 out of 5 stars,The headphones fit snug to my head and seals in sound perfectly but not very comfortable to wear
