,Date,How Helpful,Review Contents,Score,Title
0,"on August 19, 2015","
      111 people found this helpful.
    ","I have owned many headsets over the years, usually top of the line Sony's, Sennheiser's, etc.  This is the best sound, I have ever heard.  I was a little skeptical at first, because Sennheiser, has not been known for it's great bass sound.  But these are not your Daddy's Sennheiser's.  I'm 79 years of age, and these babies are, MINE!Follow Up:  About 6 months after purchase the headphones started cutting in and out.  The location of the base is about 10 to 12 feet in front of me.I have tried moving the base.  Changing the re-charging batteries, switching to regular batteries, adjusting the volume on my TV, opening and closing them around my ears.  Nothing works.  The earphones haven't been abused, I am elderly and use them every evening for about two hours. Then they go back on the cradle.  For over two hundred dollars, they should last more than a year, wouldn't you think?",2.0 out of 5 stars,I should have waited before writing review
1,"on June 14, 2015","
      39 people found this helpful.
    ","I went with the RS 165 RF because of my frustration with the competitor's TV Ears remote headphones.  I had two sets of TV Ears and both of them broke and fell apart in less than one year or usage.  I wanted a more durable and reliable product so I went with the RS 165 RF.The RS 165 RS headphones not only continue to perform well after 7 weeks of use but have actually exceeded my expectations.  The sound quality is vastly superior to lower cost competitors such as TV Ears.  They appear to be solidly built and I expect that they will be very durable but the trade off is that they are just very slightly heavy and block out environmental noise so I have to take them off to hear what is going on in the room around me.  That is both a bane and a blessing at the same time.The instructions could be better.  One other reviewer complained that he couldn't get them to turn on. That could be because there is a universal power switch symbol on the charging station that looks like a power switch but is actually just a power indicator.  In my opinion, the designers should have used some other symbol (perhaps a lightning bolt symbol) for this indicator.  I shared the other reviewer's difficulty until I discovered that the real power switch is on the headphones themselves.  The power switch is rather small and not obvious.  Once I figured this out, everything worked well and I am very pleased with the product.  The only reason that I didn't give it a 5 Star rating is because of the poor instructions on how to turn on the phones.  I would recommend this product to those consumers that want a more durable and higher quality product than TV Ears.",4.0 out of 5 stars,The sound quality is vastly superior to lower cost competitors such as TV Ears
2,"on May 13, 2017","
      5 people found this helpful.
    ","Negative1) These wireless headphones, Sennheiser RS 165 RF, Totally block out someone trying to talk to you. Totally frustrating my wife!!2) They are also Hot on my ears after wearing them for awhile!3) The adjustable head band is made is just like my old Sennheiser  RS 120. After 3 1/2 years, the plastic areas that hold the spring steel band in place, started breaking. I first glued these 4 areas, then Duct Tapped them when they cracked again,  to be able to wear the headset.4) The sound input jack is a single,  3.5 mm stereo jack. In order to hook this headset into my Dennon AV Receiver, I had to buy a Y adapter to convert this hookup to dual left/right RCA plugs, something to be aware of!5) The power button is flush and hard to find while you're wearing these, also you have to hold the button down for 2 seconds. It doesn't instantly power up!Positives The sound quality is excelent, Cristal clear voices and no background static. Decent music quality with reasonable bass levels. Even with the Bass boost selected, it's not a Strong thumping bass, better for your eardrums, since they seal tightly around your ears!  Except for the Hot ears, these are fairly comfortable.* Bottom line, for me, I don't like the almost total isolation these headphones have. Even with the sound turned off, I can barely hear people around me and,  how hot my ears get after wearing them a while! Also I'm guessing the adjustable  headband will break after about 3 1/2 years since it's stress points are made exactly like my old RS 120! For the price, that's totally unacceptable!I'm selling these and  buying a replacement for my old set, Sennheiser RS 120. ($59.98) They don't sound quite as good, but much more comfortable and less isolated, AND MUCH less expensive than the current price for these.  Wow! The RS 165 today is $219.00!",3.0 out of 5 stars,TOTALLY blocks out anyone trying to talk to you!
3,"on September 26, 2016","
      5 people found this helpful.
    ","After almost 20 years of use, I had to replace an early Sennheiser model that was closer to the RS line of headphones.  I tried the Newer RS 120, deciding I didn't need the surround sound function, but it was over ear, which I didn't like.  Researched and choose these headphone based on reviews and features.  Price was fine.  I like this headphones much better than my original ones.  The cup of the earphone fits nicer and the sound is great.  I mostly use it for TV and Movie watching when house need to be quiet.  I've listed to some streaming music with them and the sound is pretty good.  Distance is ok, within sight, I've tried to walk outside, but once I'm away from the closest window, I loose the signal.  I was just testing, I don't really care to walk around outside with my headphones anyway, but within the house I can go just about anywhere.  I don't use the bass boost for TV or movies, I might turn it on when listening to music, but that's about it.  It ok, but I've heard better bass boost. It more like a low shelf boost than others.One other thing I like;  My hearing is going and I find myself reading the subtitles more and leaving them on.  Some older movies I stream don't have subtitles and these headphone make it so I don't miss them. I can hear dialog clearly.",4.0 out of 5 stars,Great set of Wireless headphones
4,"on May 11, 2015","
      21 people found this helpful.
    ","I do transcription for a living and need good reliable headphones in order to do my job.  The quality of the sound is excellent, absolutely no background noise.  They do have to stay at least a couple feet from my wireless router otherwise I get a little feedback and I do receive a little bit of interference during a thunderstorm.I am sold on Sennheiser products.  I have other systems in my house and receive the same excellent quality for all.  I would highly recommend them.",5.0 out of 5 stars,I love Sennheiser!
5,"on January 14, 2016","
      4 people found this helpful.
    ","I have had the older RS120 on our bedroom TV for years, but moved them to the gym so I could hear the TV above the treadmill. I have one good ear. I picked these as the replacement for the bedroom TV.  I had no need for fancy features so this would be as good or better than the ""just fine"" old RS120. I was delighted once the night-long required wait for the initial battery charge was completed. The sound is outstanding, even for my ""bad"" ear. They are very comfortable. Volume and tone are great. My only minor complaint is that they give you four or five international wall charger adapter plugs that no one in the US needs. No one travels with this rig unless they still use a steamer trunk. A waste of product and money. I tossed them in the garbage. YET they do NOT give you the 3.5 miniature phono plug to RCA male plugs conversion cord that most of us need, or at least many of us. Dumb!  Happily, I have had a drawer full of old stereo cable stuff and I actually found one  These should be included, and skip the useless international outlet adapters",5.0 out of 5 stars,"Music to My One Good Ear (and for the Bad One, as well)"
6,"on January 17, 2016","
      5 people found this helpful.
    ","I had hoped to find something similar at a lesser price but settled on these and am quite happy with them.  The RF design is trouble proof and the range is excellent.  The charge tower is simple and convenient.  They are more comfortable than I expected, not too tight and sit well.  I will not comment on the sound quality other than to speculate that any closed back design suffers flaws but my objective was to block out external noise, as such these sound good to me as long as you don't saturate them with too much low frequency bass.  I expect the open back 180 series sounds better but can't achieve the isolation these do.  In any case I find them high quality, convenient and comfortable.  Note that these 165s only have a single RCA jack input, no digital optical, but that was all I required.",4.0 out of 5 stars,"They Deliver on Build Quality, Convenience, Comfort and Range."
7,"on July 28, 2016","
      3 people found this helpful.
    ","I needed  a set of headphones to use exclusively with the television.  Either it’s late night and I can’t turn up the sound for fear of waking someone, or there was a lot of other noise in the house and  I had to turn it up to hear all the dialogue clearly.The connection that I used was TV digital audio out -> D/A Converter -> dedicated headphones. My current analog output goes to an amplifier for running through the big stereo speakers and I wanted to keep the two independent. Originally, someone recommended that I buy a Bluetooth transmitter and then buy a pair of Bluetooth headphones where there are more options. I tried this but the Bluetooth adapter wouldn’t connect to the headphones, and when I tried the headphones, they didn’t Isolate very well and the sound was mediocre. Plus this rig was more money than the Sennheisers. So I sent that stuff back and bought the Sennheisers.My main concern was the quality of sound. I heard some wireless headphones many years ago and they sounded like crap. Like AM radio with all the hiss, etc. I own several pairs of headphones for music listening and some of them exceed $1000 in price. So I’m pretty picky and my expectations were high.Do these sound like really expensive headphones? No. but they sound pretty darn good and there was ZERO background noise. I could hear all the low level details, and on one movie there were low level background noises that I actually thought for a moment were coming from my kitchen. My main complaint about the sound is that the top end is rolled off slightly so it doesn’t show the details with cymbals or other high frequency sounds. This would be a deal killer for me if they were for music, but for television and movies it’s not a big deal.I find the comfort to be very good. I think my head is pretty average sized and they fit well. They isolate external noises pretty well also. Some have complained that the headband could use a little more padding but I don’t have a problem with it.Two minor annoyances…First, Sennheiser should have included an RCA to mini cable. This will be used more than a mini-to-mini connection (in which they include a cable) but RCA to Mini cables can be bought for less than $1 in bulk. There is no good reason why Sennheiser couldn’t have included this. The other issue is the ergonomics of the volume up/down buttons.  I’m not blind so Braille isn’t really my thing. The raised “+” and “-“ on the headset take some getting used to. A competent human factors team could have come up with a design that’s more intuitive.I didn’t find the bass boost to be of much value. I don’t think the headphones are bass deficient, and the effect of the boost is a little unnatural. You don’t need it. A better approach would have been to make it a “loudness” button which along with a little bass would boost the highs a little also. Loudness is beneficial at lower listening levels if it’s implemented properly.I thought it was a nice choice for Sennheiser to use rechargeable AAA batteries in the headset. I hate when companies use some obscure battery that’s hard to replace. This isn’t the case here. Also the manual recommends an initial charge of something like 14hrs. (going from memory) But I just pulled the batteries out and put them in my other battery charger for 2 hours and they were fully charged, so I could use the headset the same evening.  I have yet to run these down mid viewing, including watching television for 6+ hours.So although not perfect, this headset is still a really solid 4 star recommendation.",4.0 out of 5 stars,For TV audio....You can't go wrong
8,"on July 21, 2016","
      9 people found this helpful.
    ","I was saving up for the RS 195 and further study convinced me the only differencewas fake surround sound and an optical input.  I can do without those!  I should havepaid further attention to the specs.The 165 has one third the range of the higher priced models.  It says that clearly onthe pages of the full sized (Firefox on the PC), but not so clear on the smart phoneapp.  My bad.  I'll keep them as they work fine in the listening area and even into thecan.  If I head  toward my man cave, I only get down the 3 steps into the lower areaof the house and this is 35 feet from the base!  To be fair, the specs say 100 feet""Line of Sight"".  My 35 feet is through about 4 walls and the washer/dryer when Iturn and look back from the drop out area.  I suspect others having trouble 15 feetaway have the unit very near a router or other transmitting device.  My WiFi is inthe other end of the house.  In my shop about 50 feet distant, I can sorta get a signalif I hold my mouth right, but I've never been very good at that.  They're relegated tothe living room....The good:  They fit great and are comfortable.  Compared to my old HDR 120's a worldof difference.  They stay on my head and do not tend to fall into the commode, forinstance.  That was always annoying with the 120's.  Noise is blocked out as I desired.the wife can yell at the cat or talk on the phone without annoying Mozart or the TV.Sound is clear, uncolored and pleasant.  There is amply volume available (much morethan you'll safely use).  The Bass Boost ads very subtle body to the sound withoutbeing over powering.I connect to the analog audio out of the Dish receiver and with a switch also to thestereo receiver recorder ouputs.  It takes adapters to do this.  If you are connectingto an earphone level output, you are on your own.  At line level, they work great.",4.0 out of 5 stars,Warning! Much less range than the higher priced units.
9,"on March 11, 2017","
      3 people found this helpful.
    ",I'm 65 yrs old and wear older hearing aids for mod - severe hearing loss.  I've used Sony's headphones for about 3 years and neither of the 2 pairs lasted much over a year.  The ear ups on then Sony phones were pretty shallow and allowed the speaker casings to touch my hearing aids causing a lot of quality issues.  I bought the Sennheiser RS165 RF for only a few dollars more as a replacement. What I've experienced is1.  The ear cups are deeper and comfortable (solves feedback and distortion issues).2.  I've gained an in set volume control (super convenient and produces a higher volume than Sony)3.  A base boost button on the head set (great for when you want to amp up the bass a touch)4.  The overall quality has been vastly improved for this first month I've been using themI've seen a couple of folks complain about the headset being a little difficult to get back on the base/recharger.  I haven't been able to find a set that will take itself off your head and remount it on the charger perfectly every time.  These shaky 65 year old hands manage this task very well.,5.0 out of 5 stars,Great product at this price
