,Date,How Helpful,Review Contents,Score,Title
0,"on January 3, 2017","
      4 people found this helpful.
    ","I upgraded to these from the RS 140's that I purchased over 10 years ago.  Technology has definitely changed for the better.  Definitely set these up using the optical (Toslink) connection so you are getting digital sound.  The frequency response is quite amazing, the quiet parts are dead silent no hiss no hum like on analog TV headphones.  With the bass boost the sound is thunderous!  Range is not quite as far as I would have expected but then again I'm moving from room to room and not within direct line of sight to the transmitter...none the less from one end of the house to the other with few drop outs.  I also bought the HDR 175 Accessory headphone and was concerned about being able to charge only one headphone at a time...so far has not been a problem the charges seem to last a long time (many days) and just rotate the headphones on the charger.  Still order Panasonic Eneloop rechargeable batteries just in case...they are the best longest lasting rechargables available...be sure to check these out.",5.0 out of 5 stars,Technology has definitely changed for the better. Definitely set these up using the optical (Toslink) ...
1,"on February 21, 2018","
      One person found this helpful.
    ","Let's see...16hr battery life, a rechargeable station, and I swear they have some noise-cancelling technology despite what Sennheiser says.  I can wear these all day long.  They are comfortable, the controls are easy to reach and are notched so you can feel them, and they provide solid sound.  I can't speak about the quality of the sound other than to say the bass is there, the treble is there, and I have zero complaints about sound.The headset has some nice padding on top to prevent headaches or strains on your head.  The earcups are padded and cover the entire ear.I took off one star only because it is VERY easy to snap the plastic notches that hold the earcups in place when replacing batteries.  However, there are three of those plastic notches so breaking one won't result in a loose earcup.These headphones are so good, I bought a second set just to have one set charging while I wear the other set.Also, Sennheiser says you can't mix and match these headsets and wireless receivers.  The HDR175 only works with the RF175 and not other units.  Be careful when you're shopping.",4.0 out of 5 stars,The all-day wireless headphones
2,"on May 20, 2017","
      3 people found this helpful.
    ","We have downsized our living quarters temporarily and loud sound is not an option. I purchased these headphones to replace our stereo system for the time being. They replace a 5.1 surround system that has served us faithfully for years. I have to say the sound quality, ease-of-use, and overall end result has been a surprise and a blessing. It has taken a bit of mucking around in the tv/ device/ headphone settings to get the overall stereo effect as accurate as we could, but that was expected. The Bass is rich and relatively tight, the mids are clear, and the high end is superb. We get sound all the way out to the kitchen 30ft away with no problem (yes, snack runs during commercials). I purchased a second pair of headphones for my wife and we have been loving them.",5.0 out of 5 stars,We have downsized our living quarters temporarily and loud sound ...
3,"on August 19, 2017","
      One person found this helpful.
    ","Recently purchased two units so that I can enjoy movies late night without waking anyone up. Out of the box once I turned one on it didn't register any sound right away. However, upon further inspection I suspect that it was searching for a channel so don't be discouraged if it doesn't have any sound right away. It is well constructed and sturdy.Pros:-Nice sleek design.-Buttons easily accessible on the headset.-ComfortableCons:-uses AAA batteries( and even I don't think this is a huge issue)-can only charge one headset at a time unless you buy another receiver.",5.0 out of 5 stars,Recently purchased two units so that I can enjoy movies late night without waking anyone up
4,"on January 20, 2018","
      One person found this helpful.
    ","These are great headphones for use with music: I'm using them for watching movies.  They're not surround but they have tremendous bass response and clear mid range and treble response as well.  I like the ability to control the volume right from the headset, control the surround mode, and bass-boost, and with the 2nd set of headphones that works from the main unit I can have a guest wear a headset as well.  Great for late night movie watching when you don;'t want to disturb the neighbors.",5.0 out of 5 stars,These are great headphones for use with music
5,"on September 24, 2017","
      One person found this helpful.
    ","I bought these accessory headphones for my wife. I liked the original set that came with the Sennheiser 175 transmitter, and wanted my wife to be able to enjoy the sound they produce, especially for movies streamed on TV. These are a duplicate of the same headphones that come with the 175 set of headphones and a transmitter. They are great!The single transmitter supports 2 sets of headphones without loss of sound quality to either set.If you have difficulty hearing the dialogue when you play movies, this seems to be the perfect solution. 5 STARS in my opinion.",5.0 out of 5 stars,I liked the original set that came with the Sennheiser 175 ...
6,"on April 7, 2018",,"LOVE these.  I had one pair for my husband, who needs the TV louder than me and who stays up later than me.  But when we would watch some of the British shows, Masterpiece and the like, I missed some of the dialogue or didn't understand accents and slang.  When I used his headphones, I could hear everything so much clearer.  Like going from analog TV to HD digital, you can see so much more detail.  This was the audio equivalent for me.  So we got another set of headphones that worked with the same transceiver he used.  Now we can both wear headphones whenever we like.  Sometimes just him, sometimes just me, and many times both of us are wearing them.  We connected the transceiver to the digital optical out jack on the TV, so we can use the headphones for our live OTA TV, the Firestick streaming TV, and the DVD player audio. Definitely worth the money, we did get them on sale.",5.0 out of 5 stars,No more blaring TV sound!
7,"on February 17, 2017","
      3 people found this helpful.
    ","My husband and I were having hearing problems and could not hear the British shows plus some American stations.  One American station, I had to try to lip read as the back ground noise interfered with the words.  The Sennheiser head phones have solved our dilemma. We can now hear every show and the sound is excellent.  We are both very pleased with this purchase and have already recommend the Sennheiser head phones to others.  I can honestly give this product a 5 star.",5.0 out of 5 stars,We can now hear every show and the sound is excellent. We are both very pleased with this purchase ...
8,"on January 27, 2018",,"A second set of headphones for the Sennheiser 175. They are interchangeable with the pair that come with the transmitter/charger.  You can only charge one pair at a time, so you need to keep track of which ones have been recently charged.  They seem to last 2 or 3 days after charging, depending on how much you use them.  A small gripe, and why I didn't give them 5 stars, is that there's no way to check the remaining charge without putting them back on the charger.  They do give you warning beeps if the charge is getting low, but I'd like to be able to check myself.  When removing them from the charger, it tells you, by 1 to 4 flashes of an LED, how much charge they have, but I'd love to be able to check from my easy chair.  See my review of the main Sennheiser HDR 175 set for pros and cons of full ear enclosure.",4.0 out of 5 stars,Sound is great.  Needs to be used with the HDR 175 charger/transmitter.  Fully encloses your ears.
9,"on February 5, 2018",,"Disappointed. Going on my 3rd set. First Pair worked 2 weeks before hiss sound starts, second pair for one day. If I hadn’t tossed my first orig. packaging, I’d hav given up by now. Going to try 3rd pair. Unhapppy but when they work, they do  sound great -but there appear to be a lot of lemons as I got 2 in a row. I”m hoping the 3rd times a charm. Went to Sennheiser.com and saw people writing in with same issue and Hiss should not be happening.",2.0 out of 5 stars,Beware of lemons - save your packaging for a full month to make sure you don’t have One!
