,Date,How Helpful,Review Contents,Score,Title
0,"on March 20, 2017","
      121 people found this helpful.
    ","I purchased these from a Seller in HK through ebay. Paid more for this. I already have the Urbanite Xl, bluetooth. These have a very similar sound signature as the Urbanites.Here are things I liked about it1) APT-X no lag when watching movies / playing games.2) Very good sound. I have the HD 600 that I use at home for music. This sounds just as clear as them. I have a lossless track of Katie Melua & Eva Cassidy singing What a wonderful world. Most headphones tend to muddy the voices to the point where you are guessing who is singing what. Not this one, you can clearly make out the difference between the two through these.3) These headphones are much brighter than the HD 600's, they have a foot tapping liveliness that is easy to love.4) Bass extension, the bass guitar riffs sound real on these to my untrained ears. Close enough to the real thing, (I play the bass). Listening to a track like Carousel by Melanie Martinez, where other bass heavy headphones like Beats Studio starts to distort, this plays with authority and clarity. These are no where near as bass heavy as most other gen - next headphones out there, but they are not bass shy either. When they do play bass, they do it well.5) I flew to Ireland and got stuck in a long lay over situation. The net duration was 28 hours including layover. This paired with a tablet, lasted me the entire time. I had to charge the Tablet 5 times during the trip, this one was still going strong when I finally switched off. The LiPo batteries are awesome.What I dont like1) These are on ear for me. I admit I am 6'1 and have elephant ears. Still I have no idea why Sennheiser cant build a HD 600 sized bluetooth headphone ?I purchased the Brainwavez hybrid headphone pads and they fit right and go over the ears, but that needed some electrical tape to happen and killed the looks of the headphone.I have this exact same issue with my Urbanite XL as well. Its more like an Urbanite M, not XL.2) Bluetooth range its good enough for 15-20 feet, LOS, after that it cuts out. It most likely will not be a problem for anyone, but my $ 15 kinivo bluetooth headphones from Amazon has 3x the range, not sure why sennheiser cant do this ? This is not a deal breaker for me, but it bothered me that a $ 15 headphone can beat this in range.3) The headband doesnt have any real cushioning to it. Its better than urbanite but barely so. After a few hours of extended listening, the top of my head starts to hurt. I fixed this with an add on pad, but that makes this look really bad.4) The noise cancelling is a an experiment in compromise, I think its set at a mid point between complete isolation and zero noise cancelling. I think that is because complete isolation causes some people to have a perceived headache/ear ache. I have spent hours in the shooting range for the Marines before and I have used the BHP, (Ballistic Hearing Protection). They are really foam based ear plugs with a fancy name. Anyway, zero ambient noise does not bother me.So for guys like me, I wish there was a more aggressive noise cancellation. Maybe a three level adjustable noise cancellation with the final level set aggressively.At +/- $150.00, these are great. But if noise cancellation is the only thing you need and sound quality is as important to you as the current drought in Nigeria, I would recommend the Bose headphones. Otherwise, these are quite awesome and slightly better sounding than the Urbanite XL.",4.0 out of 5 stars,Great but not for large ears
1,"on April 10, 2017","
      150 people found this helpful.
    ","When these were announced at CES (2017) I was really excited. I had been contemplating taking the dive and buying significantly higher quality headphones than the cheapo ones I usually tend to buy. I figured these would be a decent compromise between the expensive $350+ headphones that dominate the ""best"" Bluetooth with active noise cancellation that you can buy and the extremely cheapo sub-$100 Bluetooth headphones. They took a good 3 weeks or so to ship, but that will likely improve when there is more stock readily available.First thoughts were that the packaging was very well done and Amazon also did a good job of choosing a box with filler that didn't allow it to shift all over the place. Inside the packaging it is bare-bones, just the headphones, cable, cheap bag carrying case, and some leaflets. While they are plastic, they did not feel cheap. Obviously that is an opinion and I think that quality plastic can be great in some scenarios, just like metal can be in other scenarios... So your mileage may vary.I paired these up with a OnePlus 3 (no aptX) and oh boy, what sound. Honestly, listening to music on these was a revelation much like the first time I hooked up a surround sound system to my TV. Coming from cheap headphones that ""work"" you don't realize how much you are missing from the music you listen too. The sound is super crisp and vibrant. I could hear extra detail from the instruments that I didn't before on much cheaper Bluetooth headphones. I feel like the bass was there, but not overbearing. I am not a bass head, so people wanting super saturated base probably should look elsewhere, in my opinion.Now for the bad. I have a big head. I am the sort of person that dies a little inside when you look at a hat and it says ""one size fits all"". Liars. haha. I ought to have listened to some of the other reviews that I had read stating these were not rainbows and butterflies on large heads. The biggest issue are the size of the ear cups. For anyone with adult sized ears these will likely be closer to ON ear as opposed to OVER ear. The material is nice and soft (a faux leather of some sort), but with it all on my ears, it got roasty pretty quick. On that same vein, I feel like because of the size of my head, they didn't quite fit comfortably and would get a little uncomfortable on the top of my head and to a lesser degree my ears after wearing them for a while.I will be honest, I did not test the Active Noise Cancellation (ANC) much. It seemed like they did a decent job killing general ambient noise, but I don't really have anything to compare them against as a reference for ""WOW these are amazing"" levels of ANC. Honestly, for half the cost of the ""Golden Standard"" of ANC (Bose QC35) you can't expect it to be earthshattering. I will say that the ""white-noise"" that some older ANC headsets has is virtually non-existent, which is nice.I don't want to discourage people with smaller heads from these. The sound you get is awesome and you get the bonus of great battery life and ANC in an exceptionally reasonable price. I would give it 3.5 stars if I could, but I want to be sure that people with bigger heads think twice before they buy these. Maybe I just have a sensitive large head and other people wouldn't find my qualms an issue, but I want to put out the word regardless. I ended up returning them and am back to researching a decent set of headphones that won't cost me a kidney, but will cover my big head and ears.TLDR:Pros+ Quality plastic construction (yes, plastic and quality can be in the same sentence)+ Great sound, super crisp and vibrant, bass not overbearing+ No sound bleed (at volume levels that won't make you deaf)+ Great battery lifeCons- Marketed as OVER ear, really actually ON ear- Uncomfortable on larger sized heads- Ear cups, though comfortable, warm up quickly as they are on your ear (not over)Other thoughts* Active Noise Cancellation is nice, but not phenomenal* Price to sound and build quality ratio is great* If your head isn't huge... these are definitely worth looking into* If your head is huge... you probably want to look elsewhere",3.0 out of 5 stars,"Great sound, but bad for big heads and ears"
2,"on November 1, 2017","
      10 people found this helpful.
    ","I like Sennheiser. I've always had a good experience with their products ever since my first ""real"" set of quality headphones, the PC151 for my computer ~15 years ago.But this was the first time I've used their bluetooth headphones, and also the first time I've used their ANC. I take the train to and from work each day, and mostly wanted a pair of BT headphones that block out the noise both from the train and also from the people around me. These do that and then some. Despite what others may say, these headphones completely block out all of the noise from the train and let me enjoy my commute in peace. The sound quality is great considering my current phone does not support aptX, and I can't complain at all about the comfort or fit. Maybe I just have small ears? Regardless, this is a great product. I've used the Bose and Sony models, and they're also very quality products, but I really enjoy these headphones.The battery life surprised me. I'm coming from a set of Sony BT headphones without ANC. They'd last a good month or two between charges. I expected to take a hit in the battery life department, but I've managed to go ~3 weeks before hearing the low battery message, using them 4-5 days a week for 1-2 hours a day. Really can't complain with battery life like that.The ANC isn't perfect, though. I can still hear some noises, but with music playing it's a non-issue. Not enough for me to subtract a star, anyway. And even with no music playing, it completely silences the train. I hear a ""snap"" or ""pop"" sound when the ANC kicks in, then it's all quiet.If you're looking for good quality noise-cancelling headphones and don't want to pay $350-400, this is your best bet.",5.0 out of 5 stars,Sennheiser always delivers
3,"on November 8, 2017","
      20 people found this helpful.
    ","It's really funny because the only negative reviews are ""this headphone is too small"" or ""it's an on the ear not an over the ear headphone"".  I'm 6'4"" with a pretty large head and appropriately sized ears for my head, and I can manage them just fine.  Unless you have Mad Magazine cartoonishly large ears you should be fine.  It's definitely not a loose fit, but it's not uncomfortable, and I can wear them for hours without issue.The other negative I see is someone said that ""the noise cancelling is too hard to activate"".  To turn the noise cancelling on, you have to press the up and down volume at the same time and hold for like 1 second.  It's a single rocker, and the mediocre pictogram does show them using two fingers.  PERSONALLY, I use just my thumb and I manage fine...Anyway, outside of stupid people leaving bad reviews.  The sound profile is pretty good on bluetooth.  It's only atpX, not aptX HD, so you get 16 bit audio out of it so approximately CD quality.  That's still enough to tell that any audio from YouTube is ""meh"" at best, and that other websites have better bitrates.  The nice thing is that you can plug it in and listen wired if you want to and it does come with a 2.5mm to 3.5mm cable so you can plug your headset into any normal aux port.  They sound WAY better plugged in as long as your machine can output 24 bit audio (which makes sense if you think about it).The sound profile is nice and fairly clean, mids are a touch muddy, but the bass response is really nice.  Treble COULD be a bit punchier for my taste, but it's pretty clean and I haven't heard any clipping in the 10-ish hours I've used them to listen to music.  Basically, they are not studio quality headphones, what they are is really good quality general purpose headphones with a great name, good frequency response, and nice convenience being both bluetooth and wired.  I would highly recommend them if you're looking for what I'm describing above, if you're looking for more audiophile/studio/sit at home in a butterfly chair with a pipe listening to ELO on vinyl headphones at about the same price, the Audio Technica ath-m50x are about the same price including a bluetooth adapter.",5.0 out of 5 stars,Great value for price general purpose noise cancelling headphones.
4,"on June 20, 2017","
      21 people found this helpful.
    ","Sound: close to neutral and very clear, highly detailed, with a gentle touch of bass.These headphones are meant for advanced listeners and audiophiles seeking to customize their own sound preference using an equalizer (and have the proper app/hardware to do so). Sennheiser do not over manipulate frequencies, so the headphones may not have the out-of-the-box 'wow' effect most buyers are looking for.The mids are indeed strong as some say, and my guess is that it was done to achieve more gain or volume. This feature can be adjusted.Overall, a very detailed and stunning sound experience, once shaped to your taste. These headphones shine when listening to the mellow sounds of Radiohead, the powerful beats of Polica and the warmth of Bon Iver.Sennheiser's app, CapTune, can help you find the right EQ to match your sound taste.I personally use PowerAmp for android. Added screen caps of my personal EQ settings (with ANC turned off and on).ANC: Very (very) basic noise reduction for this price range. Cuts off low-frequency noise only, but it's better than nothing. It will not mute voices, external music and you will not feel isolated from the world.Build: Perfect. It's Sennheiser.",4.0 out of 5 stars,HD 4.50 sound review + EQ settings
5,"on May 2, 2017","
      14 people found this helpful.
    ","I am Sennheisers biggest fan.  I absolutely fell in love with their products based on sound quality and value.  I have always preferred the in ear phones and recently bought the 4.5 wireless blue tooth headphones.  At first listen i was very impressed, after listening to them for about a week I noticed the mid ranges literally seems to be overwhelming and the Bass is not as robust.  Almost a tinny sound (which I relate to cheap).  I think I am going to return them, not really happy as I thought I would be.",3.0 out of 5 stars,"Great Headphones, but not as good as I anticipated"
6,"on December 9, 2017","
      4 people found this helpful.
    ","Super comfy, although someone with larger ears may not find it comfortable. The product came with a little carrying bag (although I bought a carrying case at the same time), which is enough to carry the headphones. The sound quality is excellent! The noise cancelling feature is good as well but some background noise can still be heard.Edit: I almost returned these because I wasn’t able to pair my headphones to my phone. I had contacted both Amazon tech support and Sennheiser support, both responded quickly enough (the latter responded more than a day later) If anyone makes the same mistake as me.... make sure you hold on to the power button while connecting, it’ll flash blue and red, and let go once it’s connected. Don’t be silly like me and just turn the headphones on wondering why my phone couldn’t detect them...Also if you wear glasses it may not be 100% comfy. They jut mine out a little bit even if I try to push my glasses inward.",5.0 out of 5 stars,"Super comfy, although someone with larger ears may not ..."
7,"on October 7, 2017","
      70 people found this helpful.
    ","I love Sennheiser.  I have owned quite a few of them, even their esoteric HE90. I still have HD650 for my home reference headphone.  When I started looking for a noise cancelling headphones a year ago, I picked Sennheiser Momentum 2 blind.  The ear cup of M2 is too small too shallow, can't wear them even for short period of time.  So I give it away and pick Definitive Technology Symphony 1, which has good sound quality and huge ear cup.The DT Symphony 1 is not perfect -- a bit mid-bass boom, a tad grainy mid-range.  But the biggest problem is the headband: it presses on the top of my head which make it also impossible to wear for too long.  So I started to look for a new pair of  BTNC headphones.  I don't like BOSE brand but I tried the QC35 at BestBuy and their are extremely comfortable!  SONY 1000X is not that comfortable for me and doesn't sound very impressive either.  But I couldn't find any Sennheiser 4.50BTNC at store to try on so I bought them on Amazon and hope Sennheiser has fixed the ear cup design flaw.  Boy was I wrong!  the ear cup is still the same small/shallow design as in M2.  I can't wear them for too long.  Yeah I admit people have different anatomy so maybe mine is a bit off but my ear is certainly on the mid/small side for sure.  I am so disappointed.  I give 4.50BTNC one stars for sound quality which is ok.  but not as expected from Sennheiser.  sound stage is hollow,  frequency response is not balanced. Also the max sound volume is quite low, which could be an issue for some recordings.  As a comparison,  Bose QC35 is better in EVERY aspects!My advise for people consider buying 4.50BTNC:  TRY THEM ON before you buy!  They may work for you but don't assume so.  Also try Bose QC35 if you can!I posted the side-by-side photos of 4.50BTNC, HD650, and BOSE QC35  for reference.",1.0 out of 5 stars,Ear cup too small and uncomfortable
8,"on December 12, 2017","
      3 people found this helpful.
    ","Works fine and the sound quality is good but they really hug your head and there isn't a lot of space in the ear cups. These two things mean that they are uncomfortable to wear for more than a short time and make your ears hot. I don't have a large head. The ear cups are also a cheaper material so they'll probably last a long time but they're fairly stiff.Bottom line: Functionality is good, noise cancellation is good, and I can't really tell the difference between wired and bluetooth. However, comfortable is poor. If you plan to use them around the house for an hour or less, they'll be perfect. If you want these to travel and fly with, look elsewhere.",3.0 out of 5 stars,Works fine and the sound quality is good but they really ...
9,"on April 9, 2018","
      One person found this helpful.
    ","I gotta say that I am definitely a fan of these headphones, even though I returned them. My ears fit into the cups just fine (despite what others have said), but my wife says I have small ears, so there's that.  The sound quality is very good, especially with electronic music, though I'm sure all genres would hold up.However, I returned them because I didn't find the noise cancellation to be that great.  It definitely works but it only cuts out the lower end of the spectrum, leaving the highs to be acutely heard once the lows are eliminated.  I found that to distracting at times, though admittedly I kind of have OCD.That said, I had a hard time keeping them when I've read that the Bose (QC 35 ii) and Sonys (WH-1000XM2) do much better at noise cancellation.  I finally decided to pull the trigger and get the Bose and I am glad I did.  They are a lot softer and thus more comfortable, and the noise cancellation definitely works better, albeit marginally (they definitely don't block out *all* noise as I have been made to understand by reading reviews, but they eat into higher frequencies than the Sennheisers).  I'd say the price difference in price between them is accurate for what you get, so if you're willing to shell out nearly twice as much for the Bose you definitely get a more comfortable and effective product.Final note: They do sound great, so if that's your primary concern you're golden.  I think the Sennheisers actually sound just as good as the Bose, it was very hard to tell the difference.  Maybe that's just because, again, I was playing electronic music.  It was a short test, I was already sold on the Bose from the moment I put them on so I didn't spend very much time comparing them.",4.0 out of 5 stars,Silver Medal
