,Date,How Helpful,Review Contents,Score,Title
0,"on September 28, 2017","
      7 people found this helpful.
    ",Ear buds were uncomfortable.  Microphone picked up my every movement because it lays on your chest.  Very disappointed.,1.0 out of 5 stars,Very disappointed.
1,"on August 11, 2017","
      3 people found this helpful.
    ","Although I agree that the sound quality & clarity is wonderful, I found them so uncomfortable--heavy, hanging from my ears--that I knew I wouldn't use them. Very disappointing! Previously, I had tried a headphone style in the Sennheiser line & found them so heavy on the top of my head & tight on my ears that I knew I wouldn't use them either! Sennheiser, somehow you need to figure out how to combine quality sound with wearing comfort!",2.0 out of 5 stars,Don't Order These--Very Physically Uncomfortable
2,"on December 28, 2017","
      One person found this helpful.
    ","The sound is excellent for me especially with the added Speech Intelligibility feature active.  The rating would be a 5 except for two things:(1) the stethoscope style headphone is very heavy and uncomfortable suspended in the ear.  Some of the adjustments are on the base module, not on the headset (annoying) which, I assume, was to reduce the weight of the device.  I find myself lifting the headphones slightly off my chest to relieve the pressure in my ears or I use one hand to hold them pointed directly upward toward the ceiling to relieve the pressure and fit the ear buds further into the ear canal (see 2 below) .(2)  The earphones do not fit securely in the ear canal with either of the padded fittings provided so there is a significant amount of external sound bleed. That  is, although the TV sound is much improved using this set,  I hear the TV ""twice"" with a millisecond delay between the signals.  I find myself pressing the earbuds further into my ear canal to reduce the external sound. An additional set of full earphones placed over the headset also eliminates the sound bleed but adds to the discomfort.In summary, this rating would be a 5 except for weight of the headset and the incomplete fit of the ear buds.",3.0 out of 5 stars,"Heavy headset and sound ""bleed"" resulting in double signal with delay"
3,"on November 20, 2017","
      One person found this helpful.
    ","The learning curve is a bit complex, but once I was able to figure it out it's great. I used the 840 model for years, but my new TV only has the optical connection that this one offers. The advanced features are a plus. Those of us who aren't tech-savvy may need help with the settings (perhaps from a grandchild), but once this is done - voila!",4.0 out of 5 stars,Very sophisticated but worth it!
4,"on July 9, 2017","
      7 people found this helpful.
    ",While the sound awesome. Sound is clear and separates the background noise from the taking to make it easier to understand the spoken word.  For this I give it a 5. However it is terribly uncomfortable.  The inward pressure and weight of the unit on your ears is terrible.I could only stand it for 20 minute intervals.  It doesn't matter how great is sounds if you can't use it.,2.0 out of 5 stars,very uncomfortable
5,"on August 25, 2017","
      2 people found this helpful.
    ","As far as the quality of sound, size, design, ease of use and setup go - it's a fantastic set of TV headphones. The only problem is that it kills your ears after a while as the pressue of the earpieces is unbearable. So you have to remove them regularly to give your ears a rest. Changing the size of earplugs doesn't help.",4.0 out of 5 stars,"Great quality, but can't use the for long"
6,"on June 29, 2017","
      7 people found this helpful.
    ","I used these years ago but gave them up because the ""clamp"" pressure on the ears was too painful even after a short while. I stumbled upon them again and the description said, ""Pressure-free Wearing Comfort."" (On their webpage). I thought they had addressed the problem, which they knew existed because otherwise why advertise ""pressure free?"" However, nothing has changed. The pressure on the head is deeply uncomfortable and exactly as it was before.",1.0 out of 5 stars,I feel duped.
7,"on February 9, 2018","
      One person found this helpful.
    ","I realy do like these, I've been using Sennheiser headphone for the past 15 yearsso when they broke I immediately ordered another set because I cannot listen TV without them.  So I ordered them with the 2 day delivery and they did arrive on time.  I am very pleased with this new model they are very comfortable.  I woould recommend these to anyone with hearing problems.",5.0 out of 5 stars,"I realy do like these, I've been using Sennheiser headphone for the ..."
8,"on September 28, 2017","
      3 people found this helpful.
    ","I purchased this for my aged mother who previously had a earlier model that failed but she was happy with its performance.  The new one works ok but the ear plugs are hard, too large and uncomfortable for her.",3.0 out of 5 stars,... had a earlier model that failed but she was happy with its performance
9,"on March 10, 2018",,"So handy to listen to the TV at a volume best for ME, and not bother anyone else in the house.  I’m very pleased with the sound quality and the ease of set up and use.  The only small complaint I have is that the pressure of the unit handing in my ears is a bit bothersome if you’ve been watching a long time.  There are two sizes of ear buds to chose from to aid in fit.  It would probably be less bothersome if I were to take out my hearing aids, so I’ll try that in the future and see if the skin of my ears are still a bit tender or not.  Great for hard of hearing people!",5.0 out of 5 stars,"This works very well for people hard of hearing, or with hearing aids like I do."
