,Date,How Helpful,Review Contents,Score,Title
0,"on November 2, 2017","
      8 people found this helpful.
    ","The Sennheiser Flex 5000 Digital Wireless audio system for headphones is a Godsend. I’m 65 and have tinnitus (ringing in the ears). Thanks to thirty years in a huge train maintenance facility. Being retired is great except I live with family members that still work and go to bed earlier than me. They were always complaining that the TV volume was too loud and I’m sure it was. I had to have it down so low I would cup my hand over my ear to hear what people were saying. I knew I had to find a solution and began researching. I found TV Ears for around eighty bucks but the reviews were mixed. Then I googled best wireless headphones and Sennheiser came up a lot. They were pricey but at this point that didn’t matter. I ordered the Sennheiser RS-5000 that are designed like the TV Ears with the “receiver” suspended from your two ears and hangs down resting on your chest. They worked great but were uncomfortable to wear. Whenever you moved your head slightly your ears weren’t happy. Then an astute engineer at Sennheiser woke up and said “hey guys, why don’t we make a more comfortable pair and do away with the dangling receiver” and voila enter the Flex 5000. Now you simply plug in your favorite set of earbuds into the feather light receiver that measures a mere 3 x 3/4 inches, stuff it into your pocket and you can roam around the whole house while listening to the TV. How cool is that! A set of earbuds come with the Flex 5000 system but I found the set that came with my Apple IPhone work much better. I never used them anyway. The setup could not have been easier. I have a Visio smart TV with a sound bar hooked up by an optical cable. I opened the Flex 5000 box. Plugged the Flex “transmitter” into an ac wall socket, removed the optical cable from the sound bar and plugged it into the transmitter then plugged my earbuds into the tiny receiver, hit the “on” switch located on the receiver and turned the volume up. Suddenly a huge smile broke out over my face and I knew I and my family would live happily ever after! And we are. Now for some technical stuff. The long and the short of it is ....  (drum roll please) there isn’t any. That’s right there isn’t any. Oh yes you’ll read about the high tech built in audio circuits that do this and that. And audiophiles will wax on about the quality of their favorite symphony but that’s not my experience. I found the audio to be sublime for TV programs and music with the factory settings right out of the box. OK, enough blabbering ... we’re wasting time. How about doing yourself a big fat favor and spend the bucks to buy these things. Your life will change instantly for the better. Promise.",5.0 out of 5 stars,Brought a huge smile when first plugged in!
1,"on July 27, 2017","
      3 people found this helpful.
    ","I bought this unit as it allows you to use whatever headphones you already have. I use it to help hear some TV shows without turning up so loud my wife has to wear ear muffs.  I feed it from my HiFi amp connected to the TV.  It works very well, giving me independent volume control.  There is a very small delay that is noticeable if you have open backed headphones or simple ear buds, so make sure you have snug fitting earphones/in ear buds so that the sound  from the TV cannot be heard, otherwise the delay is untenable.  Of course this will not be a problem if you only listen via this device.  The sound quality is great, and using good quality ear buds the bass is very good.  I haven't needed to fiddle with the various sound enhancement modes for hearing disorders as my hearing is not that bad (yet).  I find that by using ear buds the footprint of the receiver plus buds is very small versus some other solutions that are large cans with inbuilt receivers.  It's bad enough having to use something like this but at least you don't look like a dork.  (Well, less of a dork...)",5.0 out of 5 stars,Recommended
2,"on September 20, 2017","
      3 people found this helpful.
    ","My 88 yo mother had gotten to the point where she couldn't read the crawler or announcements on our old 49-inch television.  I finally broke down and bought a larger set, but of course the new ones don't have a/v plugs, so her old Sennheiser headphones would no longer work.  After a lot of comparison, I purchased this set which has an optical input, and am very happy with it.Since you can plug in your own headphones, I was able to get her some under-chin headphones, since she can't raise her arms above her shoulders.  The sound is crystal-clear, and the range is so much better than the old tech which would go staticky with just a few steps.The only issue is that the charging station is connected to the television, so that if my mother forgets to get them before she sits down, she either has to get up again, or if I'm watching for her, I can jump up and retrieve them.  Not a big deal, as the battery lasts a long while, but still an annoyance for someone of limited abilities.  All-in-all, an excellent choice for those who are hard-of-hearing.",4.0 out of 5 stars,Excellent for the hard-of-hearing
3,"on October 3, 2017","
      3 people found this helpful.
    ","AMAZING product. My wife can now listen to the TV at the volume she prefers and I can hear all of the dialogue clearly at my preferred volume.  The receiver is extremely lightweight and attaches easily to clothing for hands free mobility. But the ability to use the headphones of your choice is what really makes this product a game-changer!  I can wear my Bose on-ear noise cancelling headphones, Sennheiser over the ear cans, or a lightweight pair of in-ear buds if I wish. This is SO MUCH better than being tied to one particular style of headphones as with the TV Ears or the other Sennheiser RF systems. If you already have headphones laying around the house (which most people do) - the FLEX 5000 is the way to go!. It's all about the FLEXIBILITY! Thanks Sennheiser!",5.0 out of 5 stars,AMAZING product. My wife can now listen to the ...
4,"on October 17, 2017","
      2 people found this helpful.
    ","I suffer from age-related reduction of higher frequency (above about 2kHz) hearing. I am not ready to buy hearing aids while I wait to see what the new law regarding FDA regulation of OTC HAs does to lower prices. Meanwhile, this makes a major improvement in the one context my hearing troubles me: understanding TV dialog. I use this with RHA IEMs which have bass, balanced, and treble filters--I need the treble filters.",5.0 out of 5 stars,This makes a major improvement in understanding TV dialog. Use with RHA IEMs & their treble filters.
5,"on January 28, 2018",,"So this was a great Christmas gift for my Dad.  He is ""audibly challenged"" but won't wear a hearing aid because ""they are too expensive"" so the entire house would experience a ""decibel earthquake"" when he watched his shows.  He loves these.  The sound is perfect... He says he can separate the conversations from the sound effects and music.  The headphones (Sennheiser HD 4.20s Around Ear Headphones) are super comfortable and because he can control the volume with the wireless remote, it saves alot of confusion and frustration that he generally experiences with headphones that have the controls on headset itself.  Great Quality and worth every penny.  I look at it this way, I made an investment in the entire household's sanity and the future potential of everyone elses hearing loss.",5.0 out of 5 stars,Great sound quality!
6,"on January 31, 2018",,"This device is fantastic.  I am using it with a wall mounted TV.  I put velcro on the base unit and mounted it to the rear of the TV so that it is completely hidden.  There is enough clearance to easily remove and replace the small remote unit.  I am using the ear buds that come with the Flex 5000, but I tried my headphones and they work fine as well.  I often have trouble understanding speech on TV, especially if the sound level is at a level that my wife finds tolerable.  The Flex 5000 has a special setting for listening to speech and it works extremely well.  I no longer struggle to understand the dialog.",5.0 out of 5 stars,It has transformed my TV viewing
7,"on August 15, 2017","
      2 people found this helpful.
    ",LOVE this unit! Allows me the freedom to choose what ever headset I desire. The dual listening modes sure help when listening to music and wanting to hear the voices stronger. Very happy with the charge time and 8 hours of use in between charges. I would highly recommend them!,5.0 out of 5 stars,LOVE this unit
8,"on December 19, 2017",,"Very nice compact unit. Sound is excellent. There are two problems to consider. #1. Ear buds are too large for myself and possible others also. So the kit should include a few interchangeable sizes. #2. I had to purchase a RCA type ""Y"" adapter for my type hook up, which I think should have been included. The adapter only cost $3.00, so why should I be required to go outside to purchase the adapter. The complete unit cost $199.00. Save the consumers the trouble and charge $3.00 more. Big deal.  Other than that I'm happy.",4.0 out of 5 stars,Very nice compact unit
9,"on November 8, 2017","
      2 people found this helpful.
    ",Fantastic! I wear BTE in both ears. So nice to take them off. Be sure to put the Sennheiser hd headphones in your cart to get them free. They are good/comfortable headphones.,5.0 out of 5 stars,Fantastic! Terrific audio. Loud enough
