,Date,How Helpful,Review Contents,Score,Title
0,"on October 23, 2017","
      4 people found this helpful.
    ","This was to replace a Sennheiser IS410, where the electronics are unobtrusive, no lower than neck level.  This has the electronics hanging down to chest level.  When used reclining, this can be very annoying.  Finally found an IS410 elsewhere, so returning this.",2.0 out of 5 stars,Electronics hang down to chest
1,"on December 29, 2017","
      3 people found this helpful.
    ","These are great!! God sent! My family can watch tv like normal, I put on the headset, adjust the volume to what works for me. My right ear hearing is not good, I can balance the headset to feed more to my right ear. I cannot express how happy I am.  Quality is great, just buy the audio cord, plug into the cable box & done. Simple! Recommend for anyone with hearing problems.",5.0 out of 5 stars,These are great!! God sent
2,"on December 31, 2017","
      One person found this helpful.
    ","Disappointing.  I had to buy an extra connection to  hook up these earphones.  When I got them connected, I was extremely disappointed in the sound quality. The sound lacks fidelity and clarity with these earphones. They are not comfortable when I turn my head to one side or the other.  The feature that I did like was the ability to adjust the volume in the right and left earphones separately. I had far superior sound quality on my old Sony earphones which are now in need of replacement. I am returning these Sennheisers and will be trying something different.",2.0 out of 5 stars,Poor sound quality
3,"on November 19, 2017","
      2 people found this helpful.
    ",I really like this product. Very comfortable to use,5.0 out of 5 stars,Five Stars
4,"on October 13, 2017","
      2 people found this helpful.
    ",Brought it for my husband whos a retired firefighter 👩‍🚒 and now hard of hearing. He said it works well and hes happy with it.,5.0 out of 5 stars,Works efficiently
5,"on April 6, 2018",,This is the best investment I have made in a long time.  Set up was easy.  The device is light.  And the sound is magnificent!!!!,5.0 out of 5 stars,Do you struggle to hear the TV?
6,"on January 27, 2018","
      One person found this helpful.
    ","Got for my dad, the clarity is astounding! He loves them and are comfortable to wear....",5.0 out of 5 stars,He loves them and are comfortable to wear
7,"on March 21, 2018",,Gave these as a gift to our daughter in law. Excellent Quality. Fair price. Cheaper than elsewhere.,5.0 out of 5 stars,Excellent Quality. Fair price
8,"on October 21, 2017",,disapointing. muffled sound and does not have a very far reach for rf.,3.0 out of 5 stars,there are better sennhausers than this
9,"on November 4, 2017","
      One person found this helpful.
    ",Excellent quality product.,5.0 out of 5 stars,Five Stars
10,"on October 25, 2017","
      One person found this helpful.
    ",Sound quality is not very good.  Muffled and voices are not clear,3.0 out of 5 stars,Three Stars
11,"on March 11, 2018",,very easy to set up and use,4.0 out of 5 stars,Four Stars
