,Date,How Helpful,Review Contents,Score,Title
0,"on January 5, 2018","
      13 people found this helpful.
    ",All I can say is WOW. I owned many top of the line Bluetooth ear buds and these are the best money can buy. If your looking for great sound meaning highs and lows these are it. They make you feel like you are in the studio with the bands. They also have a app where you can adjust the right and left ear to the way you want to here your music. One more thing the bass is great and I never did adjusted them to the app. They were great right out of the box. Hope this helps with your  decision. I believe you have 30 days to return them. Built very well.,5.0 out of 5 stars,I owned many top of the line Bluetooth ear buds and these are the best money can buy
1,"on March 20, 2018",,"Wow, great sound for wireless bluetooth. Most of the time I use wired IEM, B&H C5s for listening to music on my phone. Very good all around sound compared to others I have tried like plantronics back beat go 3's. This has them beat by a mile.  Yes, I know, listening to music on bluetooth is not supposed to sound good, but try them. . .  My phone I listen to MP3's. For lossless music, FLAC, I listen to FLAC files on a pioneer XDP-300R player using SONY MDR-1A headphones.  That player is a little big to carry around, so sometimes I use my phone with MP3s. Oh yes, most wired stereo bluetooth headsets I tried tend to drop the signal when I put my phone in my jeans pocket---this headset, Sennhieser HD1 Free does not drop a signal . . .love it for casual music listening.  Sounds good on calls too.BTW  using the B&W C5 is still my favorite for music on the phone.",5.0 out of 5 stars,"WOW, great sounding music for a bluetooth headset . . ."
2,"on March 8, 2018","
      One person found this helpful.
    ","I wanted to like these I really did but the battery life just doesn't hold up. You never get 6 hours. You barely get 4. I got comply tips bit they still fall out probably due to how they hang out of your ear and how heavy the controller is and the battery. The down angle of the ear piece is an issue I think.  And the control scheme of holding up or down for a second to change the track just doesn't work for me. I want to be able to double tap a button. On the plus side, sound is terrific. You can't go wrong for sound with these. Nice highs and lows for my tastes. If you guys make these changes I'll buy again and buy for family.",3.0 out of 5 stars,So close!
3,"on March 17, 2018",,"These ear phones are perfect!  I can easily walk 30 ft or so away from my iPad or iPhone without disconnecting, even when I go to the first level of my home. I have not tried going down 2 levels.  They are reasonably comfortable as ear buds can be. Like others have said, I wish the magnets were a little stronger to secure them around the neck when not in use. The magnets disconnect with too little resistance so I just place them in a pocket when idle for fear of losing them. I teamed it with the Sennheiser HD-1 app on my iPhone and set the graphic equalizer to my preferences. I am very pleased with the resulting sound.",5.0 out of 5 stars,The sound is superb.
4,"on March 18, 2018","
      2 people found this helpful.
    ",Note 8 paired keeps cutting off also microphone is horrible for calls,2.0 out of 5 stars,Two Stars
5,"on March 1, 2018","
      2 people found this helpful.
    ",I move from B&W wired to these and things got BETTER. Simply superb in every respect. You will not be disappointed.Not sure why the carry case needs to be so large... but it least it gives you somewhere to keep toffees etc.,5.0 out of 5 stars,The best bluetooth buds out there.
6,"on February 23, 2018","
      2 people found this helpful.
    ","The sound quality is great. They remind me of my car system from 20 years ago. These hit the lows , mids and highs with precision. They are super easy to pair, and automatically repair with their last device. If you are looking for NFC they have that too.",5.0 out of 5 stars,The sound quality is great. They remind me of my car system from ...
7,"on April 2, 2018",,"Went wireless after CX300II, and these are amazingly great! The sound is very neat and the phones are so light that sometimes when not listening I even forget I have one on me. Phones may drop music play shortly, but it's mostly because of the frost weather I have, so I keep my phones closer to them in upper pocket. Battery life is good, can't complain, serves me almost for half a week for road journeys.",5.0 out of 5 stars,and these are amazingly great! The sound is very neat and the phones ...
8,"on February 16, 2018",,"For a Bluetooth earphone. These sound the best. Tried lg's, tried Samsung, tried a few others and none compares.  Full wide sound range with no harshness and from a premium brand that is a staple among pro's .",5.0 out of 5 stars,These sound the best. Tried lg's
9,"on January 14, 2018","
      5 people found this helpful.
    ","Great headphones- super portable, decent battery life, and can connnect to 2 sources simultaneously.  My only gripe is that these headphones don't have a button press for muting while on a call. That means you need your phone out to mute a call. That's annoying.I bought these to replace the google pixel buds I bought, which were super badly designed.  These have great audio quality (for bluetooth headphones), good sound isolation, and they work with google voice/assistant. The earbuds are also quite comfortable.",4.0 out of 5 stars,Great headphones- super portable
