,Date,How Helpful,Review Contents,Score,Title
0,"on March 30, 2018","
      One person found this helpful.
    ","Edit: a couple of nags. No carrying pouch. The included case is too complex for the needs. Otherwise I am happy.Brief review of sound quality:Without using an EQ or any custom settings the sound is very V-Shaped.Treble: Well balanced with the occasional harshness in cymbals or guitar chords but nothing bad. Treble is very clear lyrically and allows melodies to come through in songs without getting muddied by the bass.Mids: Relatively missing, as with V-Shaped. I personally like mids to balance out the high and lows, there's just not a lot of detail here. If you are not the type of person to care for V-shaped, avoid these.Bass: Very well balanced. can be EQ'd up easily but otherwise they are there. They aren't booming but they are there undoubtedly.Other Notes:I replaced the earbud tips with memory foam because I personally cannot stand silicone in my ears. They are very light and extremely comfortable. I didn't think I would like the mic and battery portions on both sides but it balances out very well. No awkward pulling. For reference, I had tried the Beyerdynamic BT headphones before these and the treble on those was extremely harsh. I couldn't wear them long at all.In summary, the Sennheiser CX 6.00 BT are very well balanced and sounding headphones for the money. I am not an audiophile but I have spent decent money on a DAC/amp combo for my desktop. These headphone will likely replace my daily use Zero Audio Carbo Tenores just because I need the convenience of cordless.Update: Reducing by one star because it does not include a useful carrying pouch, the battery life could be better, and the band tie on the cord cannot be removed. Also, the remote buttons sit unnecessarily flush with the other buttons and remote body.",4.0 out of 5 stars,Worth the price if you like V-shaped audio profiles
1,"on March 13, 2018","
      2 people found this helpful.
    ","Considering the price, these sound pretty solid. It has a very clear and crisp sound and just enough bass. These are not bass heavy earbuds, so if you want a ton of bass then check elsewhere. The sound won't blow you away but, they sound cleaner than most other earbuds in this price range. Sound is pretty good. If you want even better sound check out the HD1 Free for double the price.As far as fit goes, I'm surprised how well they stay in my ear. These are NOT workout headphones so trying to use them for workouts will most likely lead to frustration. However for casual use like at the office, taking walks on break, doing groceries, etc these stay in place surprisingly well.Overall I'm very pleased with these. The sound great for the price, fit well, and slim enough to put in my pocket when not in use.",5.0 out of 5 stars,Solid sounding earbuds for the price
2,"on April 10, 2018",,"Great sound quality and super comfortable. The battery lasts all day and charges pretty quick. The earbuds fit in my ear nicely and stay put well enough for my day-to-day activities. I also love this design, when not in use, just hang them around your neck and tuck them in your shirt. They're so light weight, you won't even notice them. Best part, as with all Sennheiser BT products, is its super easy to use and connect - the earbuds talk to you, ""power on"", ""power off"", ""connected"", etc.Overall, could not be happier!",5.0 out of 5 stars,Excellent BT Earbuds
3,"on April 6, 2018",,"Bought this to replace my Jabra Sport pulse wireless headphones but I'm returning these.The sound stage is a giant V.  The lows are good, the mid is non-existent, and the highs is like somebody maxed out the treble.  It actually hurts my ears on songs with how prominent the highs are.  As a Sennheiser fan, these earbuds are definitely disappointing.",3.0 out of 5 stars,"The lows are good, the mid is non-existent"
4,"on April 13, 2018",,"Great headphonesBluetooth pairing couldn't be easier unless they had NFCSuperb sound quality as always from SennheiserGood battery, life quick rechargeSits very comfortably in the ear",5.0 out of 5 stars,Quality from Sennheiser as expected
5,"on March 23, 2018",,Excellent sound and dynamic range to these earbuds!,5.0 out of 5 stars,Excellent Sound!
6,"on March 23, 2018",,Really ugly looking. Sound quality is decent. But the two lobes that hang off both sides of the ears make these look really bad. Redesign much.,2.0 out of 5 stars,But the two lobes that hang off both sides of the ears make these look really bad. Redesign much
7,"on February 5, 2018","
      10 people found this helpful.
    ","Wired headphones are going to be ""retro"" devices very soon. You'd might as well get used to the fact that wireless headphones are charging forward whether we like it or not. I have mixed feelings, since I have a nice collection of wired headphones that I really like, but fewer and fewer devices I can plug them into.The Sennheiser CX 6.00 BT are reasonably priced for wireless headphones, particularly for a pair from a highly respected headphone maker. The packaging is nice, but I would’ve preferred they’d invested in a storage pouch of some sort. It comes with 2 additional ear “adapters” of varying sizes and a very short, micro-USB charging cable. The set of ear adapters that were already on the CX 6.00 are what I used to test with.Pairing the CX 6.00 was simple and the connection stayed solid throughout my testing. Range was excellent as well. I tested it with a Samsung Galaxy S8 mobile phone and an Apple iMac desktop computer and listened mostly to music from Apple Music and videos from Netflix/Amazon Prime/HBO Go.I found the CX 6.00 to be comfortable to wear for about an hour at a time, before having to take them out and take a break. Switching the ear “adapters” to Comply foam tips may improve comfort for longer periods of time. I don’t really like the way they look while I’m wearing them, however. The CX 6.00 has the remote on the right side, but another piece of electronics (mic?) on the left side and both sides flare out a bit, making me look rather goofy while I’m wearing them. The remote works well for switching tracks, changing the volume, and starting/pausing audio. It’s also convenient for answering/ending phone calls, if you still do that sort of thing on your smartphone.Sound quality on the CX 6.00 isn’t quite what I was expecting/hoping for. The highs can get a little harsh, but detail is good. The low end, while responsive, can overwhelm the mids. The mid-range is lacking for the most part.Feature-wise, I think the CX 6.00 is great. However, I wasn’t impressed with the overall sound quality. I expect Sennheiser headphones to have superior sound, regardless of the price point, but I think the CX 6.00 misses in that regard. You can find generic wireless headphones with “good enough” sound quality for 1/3 the price of the CX 6.00.",3.0 out of 5 stars,"Good features, but not the typical Sennheiser sound quality I was expecting"
8,"on February 9, 2018","
      One person found this helpful.
    ","Bought this through Sennheiser when it was first announced at CES. I've had about 1+ month of daily usage and I have to say, it's an excellent set. I had the wired earbuds from Sennheiser before this for several years and the audio quality and bluetooth consistency is legit. I can also have two devices simultaneously connected, which is great at work between my phone and laptop. Personally, it's totally worth the asking price, but feel free to wait for a sale price.",5.0 out of 5 stars,Great sound in a small portable headset
9,"on February 19, 2018","
      2 people found this helpful.
    ","As you would expect from a company with Sennheiser's reputation for making quality headphones, these Bluetooth in-ear headphones deliver an audio quality that's superior to most comparable in-ear products I've tried. I'm also impressed by the extremely light weight.  You may need to experiment with the different ear bud sizes (all provided) to get the right fit, and I'm not sure how well they will stay in my ear if engaged in vigorous activity like running, but otherwise this product is a cinch to charge, connect to your audio device, and use.",5.0 out of 5 stars,Lightweight With High Quality Sound
